Game,Date,Location,Opp,Win,FG,FGA,FG3,FG3A,FT,FTA,Rebounds,OffReb,Assists,Steals,Blocks,Trunovers,Fouls,Points,OppFG,OppFGA,OppFG3,OppFG3A,OppFT,OppFTA,OppOffReb,OppRebounds,OppAssists,OppSteals,OppBlocks,OppTurnovers,OppFouls,OppPoints
20,12/2/2010,Away,CLE,W,47,83,10,24,14,21,43,9,30,7,5,9,28,118,27,76,7,19,29,37,9,35,21,6,0,13,19,90
21,12/4/2010,Home,ATL,W,34,72,3,8,18,23,43,6,15,7,9,9,16,89,32,80,5,17,8,12,9,38,16,5,0,11,17,77
22,12/6/2010,Away,MIL,W,35,72,5,8,13,18,48,11,20,2,3,18,26,88,27,78,4,15,20,25,9,35,17,4,5,9,20,78
23,12/8/2010,Away,UTA,W,41,80,9,20,20,25,42,15,22,8,1,15,21,111,38,75,1,14,21,27,10,28,20,9,3,15,20,98
24,12/10/2010,Away,GSW,W,41,78,9,14,15,21,50,15,33,8,7,16,16,106,31,83,8,24,14,21,16,41,24,9,2,14,17,84
25,12/11/2010,Away,SAC,W,41,79,7,14,15,24,56,11,22,7,8,14,18,104,33,90,6,18,11,21,13,36,17,6,4,11,21,83
26,12/13/2010,Home,NOH,W,31,70,4,14,30,38,36,8,17,6,9,6,25,96,28,67,1,13,27,34,10,40,14,5,1,12,29,84
27,12/15/2010,Home,CLE,W,32,70,10,23,27,41,45,9,17,4,8,13,20,101,35,87,9,33,16,20,10,38,19,6,0,8,28,95
28,12/17/2010,Away,NYK,W,45,82,10,18,13,18,45,8,19,10,9,18,20,113,35,89,8,24,13,23,13,41,24,7,3,13,14,91
29,12/18/2010,Away,WAS,W,31,72,8,22,25,32,44,8,18,8,9,17,20,95,37,87,2,9,18,26,12,44,22,11,6,13,23,94
30,12/20/2010,Home,DAL,L,34,84,11,31,17,25,44,16,18,7,5,12,20,96,33,74,8,21,24,28,10,48,19,6,1,13,23,98
31,12/23/2010,Away,PHO,W,37,82,5,18,16,17,44,11,12,9,4,16,22,95,30,75,10,26,13,19,11,39,25,7,2,19,21,83
32,12/25/2010,Away,LAL,W,35,79,9,25,17,20,44,9,25,9,4,9,17,96,32,79,6,19,10,15,9,43,22,4,1,12,23,80
33,12/28/2010,Home,NYK,W,38,79,3,13,27,34,50,13,15,2,5,10,20,106,34,82,7,24,23,32,9,32,14,4,5,9,22,98
34,12/29/2010,Away,HOU,W,43,74,5,16,34,37,40,4,20,3,9,16,26,125,39,93,9,27,32,40,16,44,29,11,0,6,23,119
35,1/1/2011,Home,GSW,W,35,71,9,21,35,47,43,10,24,7,6,14,12,114,41,87,13,27,12,16,7,36,19,7,2,12,31,107
36,1/3/2011,Away,CHA,W,37,76,5,15,17,19,46,10,15,5,5,11,15,96,30,79,3,10,19,23,12,35,19,8,2,15,20,82
37,1/4/2011,Home,MIL,W,33,74,4,12,31,37,47,12,14,8,7,13,22,101,29,73,5,12,26,34,7,34,14,8,4,9,25,89
38,1/7/2011,Away,MIL,W,35,89,5,12,26,32,48,13,20,11,6,16,21,101,36,81,6,19,17,24,14,53,20,11,9,23,23,95
39,1/9/2011,Away,POR,W,45,79,5,15,12,16,41,7,19,7,3,17,22,107,38,91,5,24,19,22,15,43,24,8,3,13,15,100
40,1/12/2011,Away,LAC,L,37,88,8,27,23,30,46,13,22,3,5,7,21,105,42,84,6,16,21,34,9,42,33,6,8,10,18,111
41,1/13/2011,Away,DEN,L,41,89,10,23,10,18,41,12,23,3,5,16,15,102,49,92,15,31,17,22,12,50,31,8,3,9,18,130
42,1/15/2011,Away,CHI,L,34,77,13,28,15,20,30,6,18,2,9,12,20,96,39,84,7,19,14,17,10,42,23,6,5,9,14,99
43,1/18/2011,Home,ATL,L,28,77,7,30,26,29,46,11,12,6,5,16,18,89,38,95,7,31,10,14,15,48,20,8,2,10,22,93
44,1/22/2011,Home,TOR,W,42,80,16,26,20,26,42,10,27,4,8,13,22,120,38,81,5,8,22,24,8,33,20,7,1,11,21,103
45,1/27/2011,Away,NYK,L,30,72,5,19,23,33,49,11,13,7,5,17,22,88,30,83,10,33,23,28,14,45,24,9,1,11,22,93
46,1/28/2011,Home,DET,W,33,73,5,24,17,22,42,9,18,3,5,9,16,88,35,92,8,24,9,11,17,43,22,5,6,6,18,87
47,1/30/2011,Away,OKC,W,39,75,8,18,22,32,41,12,21,10,9,20,24,108,34,84,8,18,27,34,14,42,20,11,4,12,25,103
48,1/31/2011,Home,CLE,W,43,88,8,18,23,28,50,16,19,7,6,13,20,117,32,82,4,13,22,27,14,41,14,8,4,15,22,90
49,2/3/2011,Away,ORL,W,36,72,7,16,25,36,44,9,19,6,6,10,27,104,36,85,12,33,16,31,17,44,20,4,0,10,26,100
50,2/4/2011,Away,CHA,W,43,78,9,19,14,19,36,9,24,12,3,8,25,109,35,74,9,20,18,23,11,33,22,4,5,15,22,97
51,2/6/2011,Home,LAC,W,34,77,10,28,19,28,44,10,19,9,7,13,24,97,25,77,6,24,23,33,11,44,12,8,2,19,21,79
52,2/8/2011,Home,IND,W,44,83,8,24,21,28,36,10,20,10,3,11,14,117,44,86,7,22,17,20,11,37,18,8,2,13,24,112
53,2/11/2011,Away,DET,W,38,75,6,14,24,29,44,11,29,9,3,16,17,106,34,80,8,24,16,19,12,35,20,10,5,13,21,92
54,2/13/2011,Away,BOS,L,31,74,3,16,17,23,41,9,17,3,3,15,21,82,30,71,4,15,21,28,9,40,19,6,1,13,22,85
55,2/15/2011,Away,IND,W,43,88,4,16,20,26,50,10,15,6,8,13,21,110,36,86,8,18,23,29,11,45,19,8,2,11,19,103
56,2/16/2011,Away,TOR,W,36,73,2,11,29,37,49,10,22,5,6,17,14,103,36,87,6,14,17,20,11,41,26,9,7,10,24,95
57,2/22/2011,Home,SAC,W,51,90,7,18,8,11,43,8,20,9,4,9,19,117,40,84,4,14,13,20,9,34,18,3,1,12,14,97
58,2/24/2011,Away,CHI,L,32,79,2,12,23,27,39,6,12,8,5,12,23,89,34,82,4,21,21,25,13,53,17,7,3,14,27,93
59,2/25/2011,Home,WAS,W,41,78,5,13,34,45,34,5,14,5,6,8,17,121,43,91,10,23,17,23,14,45,21,3,2,12,29,113
60,2/27/2011,Home,NYK,L,32,74,6,22,16,22,42,6,20,9,3,18,18,86,31,80,8,30,21,23,8,43,17,6,5,16,20,91
61,3/3/2011,Home,ORL,L,35,75,3,17,23,30,35,8,13,10,5,12,19,96,34,71,16,29,15,18,8,37,25,3,8,13,24,99
62,3/4/2011,Away,SAS,L,37,78,7,20,14,20,40,6,23,3,2,14,22,95,46,82,17,28,16,23,5,40,29,7,1,8,18,125
63,3/6/2011,Home,CHI,L,33,68,3,9,17,23,30,8,18,8,4,16,23,86,34,74,3,14,16,20,10,36,16,7,5,15,17,87
64,3/8/2011,Home,POR,L,37,72,7,22,15,19,31,6,20,6,2,13,21,96,40,79,7,17,18,19,12,34,21,8,3,9,16,105
65,3/10/2011,Home,LAL,W,37,81,8,19,12,18,46,18,17,8,3,15,19,94,30,75,7,16,21,26,13,37,18,9,2,11,19,88
66,3/12/2011,Home,MEM,W,40,69,12,19,26,30,40,5,27,10,11,13,25,118,33,84,1,10,18,25,12,38,17,8,3,13,23,85
67,3/14/2011,Home,SAS,W,42,78,3,9,23,24,47,8,25,9,5,11,21,110,31,81,6,22,12,19,7,33,17,5,2,11,21,80
68,3/16/2011,Home,OKC,L,30,78,3,17,22,28,40,9,14,5,8,11,19,85,35,88,9,20,17,22,17,51,21,7,4,11,25,96
69,3/18/2011,Away,ATL,W,38,71,11,22,19,26,50,8,28,2,3,16,23,106,35,79,3,12,12,22,5,27,21,8,2,5,18,85
70,3/19/2011,Home,DEN,W,36,71,6,20,25,29,38,4,15,6,11,12,22,103,34,78,10,24,20,28,4,31,14,8,2,9,19,98
71,3/23/2011,Away,DET,W,31,64,6,19,32,39,34,8,20,6,1,11,21,100,35,71,4,13,20,26,8,37,28,6,1,12,26,94
72,3/25/2011,Home,PHI,W,41,83,7,20,22,28,49,15,22,11,6,15,17,111,40,86,7,19,12,14,7,31,22,10,2,13,24,99
73,3/27/2011,Home,HOU,W,46,92,5,17,28,34,48,17,16,1,6,10,19,125,43,89,9,21,24,28,9,33,21,4,2,10,23,119
74,3/29/2011,Away,CLE,L,33,78,10,25,14,22,30,8,24,5,3,12,25,90,35,63,9,17,23,35,6,44,25,5,7,15,23,102
75,3/30/2011,Away,WAS,W,41,71,10,19,31,39,35,8,28,7,7,13,18,123,38,77,9,16,22,31,12,35,15,8,6,14,30,107
76,4/1/2011,Away,MIN,W,42,77,4,13,23,30,46,9,26,8,3,18,20,111,34,81,10,23,14,19,7,31,16,7,3,14,24,92
77,4/3/2011,Away,NJN,W,42,75,5,15,19,32,50,8,22,5,4,15,23,108,34,85,8,28,18,25,6,30,22,9,0,9,25,94
78,4/6/2011,Home,MIL,L,30,74,8,23,17,21,43,12,14,6,6,16,15,85,34,76,7,20,15,15,6,38,16,11,4,9,16,90
79,4/8/2011,Home,CHA,W,39,69,3,9,31,35,34,5,26,7,4,16,20,112,41,86,5,16,16,21,11,33,17,10,4,10,25,103
80,4/10/2011,Home,BOS,W,38,75,6,18,18,26,42,15,24,9,4,17,17,100,29,64,6,13,13,16,3,26,16,9,2,14,18,77
81,4/11/2011,Away,ATL,W,36,69,6,17,20,24,38,10,24,5,3,17,19,98,37,83,4,12,12,21,15,35,25,11,1,13,21,90
82,4/13/2011,Away,TOR,W,37,81,13,26,10,14,40,13,20,6,1,14,18,97,28,64,1,8,22,34,10,33,16,8,8,17,15,79
