"respondent_id","gender","age","household_income","education","location","more_grammar_correct","heard_oxford_comma","care_oxford_comma","write_following","data_singular_plural","care_data","care_proper_grammar"
3292753795,"Male","18-29","$50,000 - $99,999","Bachelor degree","Mountain","It's important for a person to be honest, kind, and loyal.",TRUE,"Some","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Not at all","Very important"
3292742681,"Male","30-44","$25,000 - $49,999","Some college or Associate degree","Middle Atlantic","It's important for a person to be honest, kind and loyal.",FALSE,"Not at all","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Not at all","Somewhat important"
3292735069,"Male","18-29","$50,000 - $99,999","Bachelor degree","East South Central","It's important for a person to be honest, kind, and loyal.",FALSE,"Some","Some experts say it's important to drink milk, but the data is inconclusive.",TRUE,"Some","Very important"
3292720964,"Male","18-29",NA,"Some college or Associate degree","West North Central","It's important for a person to be honest, kind, and loyal.",TRUE,"A lot","Some experts say it's important to drink milk, but the data is inconclusive.",TRUE,"Some","Somewhat important"
3292707770,"Male","18-29","$0 - $24,999","Some college or Associate degree","Pacific","It's important for a person to be honest, kind and loyal.",TRUE,"Some","Some experts say it's important to drink milk, but the data is inconclusive.",TRUE,"Some","Very important"
3292702854,"Male","30-44","$50,000 - $99,999","Graduate degree","West North Central","It's important for a person to be honest, kind, and loyal.",TRUE,"A lot","Some experts say it's important to drink milk, but the data is inconclusive.",TRUE,"Some","Very important"
3292692304,"Male","30-44","$100,000 - $149,999","Graduate degree","West North Central","It's important for a person to be honest, kind, and loyal.",TRUE,"Not much","Some experts say it's important to drink milk, but the data are inconclusive.",FALSE,"Not much","Somewhat important"
3292653724,"Male","18-29",NA,"Some college or Associate degree","East North Central","It's important for a person to be honest, kind, and loyal.",TRUE,"Some","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Not much","Somewhat important"
3292648325,"Male","30-44","$100,000 - $149,999","Bachelor degree","Mountain","It's important for a person to be honest, kind and loyal.",FALSE,"Some","Some experts say it's important to drink milk, but the data are inconclusive.",TRUE,"Some","Very important"
3292644552,"Male","30-44","$100,000 - $149,999","Bachelor degree","Pacific","It's important for a person to be honest, kind and loyal.",FALSE,"Not at all","Some experts say it's important to drink milk, but the data is inconclusive.",TRUE,"Not much","Very important"
3292631647,"Male","18-29",NA,"Some college or Associate degree","West North Central","It's important for a person to be honest, kind, and loyal.",TRUE,"A lot","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Some","Somewhat important"
3292625431,"Male","18-29","$50,000 - $99,999","Bachelor degree","Pacific","It's important for a person to be honest, kind and loyal.",TRUE,"Some","Some experts say it's important to drink milk, but the data is inconclusive.",TRUE,"Some","Very important"
3292615827,"Male","18-29","$50,000 - $99,999","Bachelor degree","Pacific","It's important for a person to be honest, kind, and loyal.",TRUE,"Not much","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Not at all","Somewhat important"
3292587673,NA,NA,NA,NA,NA,"It's important for a person to be honest, kind, and loyal.",TRUE,"A lot","Some experts say it's important to drink milk, but the data is inconclusive.",TRUE,"Some",NA
3292583593,"Male","18-29","$100,000 - $149,999","Bachelor degree","South Atlantic","It's important for a person to be honest, kind, and loyal.",TRUE,"A lot","Some experts say it's important to drink milk, but the data are inconclusive.",TRUE,"A lot","Somewhat important"
3292577509,NA,NA,NA,NA,NA,"It's important for a person to be honest, kind and loyal.",NA,NA,NA,NA,NA,NA
3292576591,"Male","30-44",NA,"Bachelor degree","East North Central","It's important for a person to be honest, kind and loyal.",FALSE,"Some","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Not much","Very important"
3292568162,"Male","18-29","$0 - $24,999","Bachelor degree","Pacific","It's important for a person to be honest, kind, and loyal.",TRUE,"A lot","Some experts say it's important to drink milk, but the data is inconclusive.",TRUE,"A lot","Very important"
3292565382,"Male","18-29","$150,000+","Some college or Associate degree","East North Central","It's important for a person to be honest, kind and loyal.",TRUE,"Not much","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Some","Somewhat unimportant"
3292552180,"Male","18-29","$25,000 - $49,999","Bachelor degree","East North Central","It's important for a person to be honest, kind, and loyal.",TRUE,"Some","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Some","Very important"
3292538254,"Male","30-44",NA,"Bachelor degree","Pacific","It's important for a person to be honest, kind, and loyal.",TRUE,"Some","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Not much","Somewhat important"
3292525186,"Male","30-44","$100,000 - $149,999","Graduate degree","West South Central","It's important for a person to be honest, kind and loyal.",FALSE,"Not much","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Not at all","Somewhat important"
3292516800,"Male","18-29","$50,000 - $99,999","Some college or Associate degree","West North Central","It's important for a person to be honest, kind and loyal.",FALSE,"Not much","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Not at all","Somewhat unimportant"
3292500526,"Male","18-29","$25,000 - $49,999","Some college or Associate degree","Pacific","It's important for a person to be honest, kind and loyal.",TRUE,"A lot","Some experts say it's important to drink milk, but the data is inconclusive.",TRUE,"A lot","Very important"
3292476328,"Male","18-29","$50,000 - $99,999","Bachelor degree","West North Central","It's important for a person to be honest, kind, and loyal.",TRUE,"Some","Some experts say it's important to drink milk, but the data is inconclusive.",TRUE,"A lot","Very important"
3292471540,"Male","18-29",NA,"Bachelor degree","Pacific","It's important for a person to be honest, kind, and loyal.",TRUE,"Some","Some experts say it's important to drink milk, but the data are inconclusive.",TRUE,"Not much","Very important"
3292470085,"Male","18-29","$25,000 - $49,999","High school degree","New England","It's important for a person to be honest, kind and loyal.",TRUE,"Not much","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Not at all","Somewhat important"
3292461339,"Male","30-44",NA,"Bachelor degree","Mountain","It's important for a person to be honest, kind, and loyal.",FALSE,"Some","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"A lot","Very important"
3292459579,"Male","18-29","$150,000+","Less than high school degree","West South Central","It's important for a person to be honest, kind, and loyal.",FALSE,"A lot","Some experts say it's important to drink milk, but the data is inconclusive.",TRUE,"Not much","Very important"
3292445554,"Male","18-29","$0 - $24,999","Some college or Associate degree","West North Central","It's important for a person to be honest, kind, and loyal.",FALSE,"A lot","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Not at all","Very important"
3292442484,"Male","30-44","$100,000 - $149,999","Some college or Associate degree","Mountain","It's important for a person to be honest, kind, and loyal.",TRUE,"Some","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Not at all","Very important"
3292393560,"Male","18-29","$0 - $24,999","Some college or Associate degree","Pacific","It's important for a person to be honest, kind and loyal.",TRUE,"Some","Some experts say it's important to drink milk, but the data is inconclusive.",TRUE,"Some","Somewhat important"
3292379467,"Male","18-29","$0 - $24,999","Some college or Associate degree","Mountain","It's important for a person to be honest, kind, and loyal.",TRUE,"A lot","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Not much","Very important"
3292345432,"Male","18-29","$25,000 - $49,999","Some college or Associate degree","West South Central","It's important for a person to be honest, kind, and loyal.",TRUE,"Some","Some experts say it's important to drink milk, but the data is inconclusive.",TRUE,"Some","Somewhat important"
3292335822,"Male","30-44",NA,"Some college or Associate degree","Middle Atlantic","It's important for a person to be honest, kind and loyal.",TRUE,"Not much","Some experts say it's important to drink milk, but the data is inconclusive.",TRUE,"Some","Very important"
3292322774,"Male","18-29","$25,000 - $49,999","Bachelor degree","Middle Atlantic","It's important for a person to be honest, kind and loyal.",FALSE,"Not at all","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Not at all","Very important"
3292282953,"Male","18-29","$100,000 - $149,999","Some college or Associate degree","East South Central","It's important for a person to be honest, kind, and loyal.",FALSE,"Some","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Some","Somewhat important"
3292263118,"Male","18-29","$25,000 - $49,999","Graduate degree","West South Central","It's important for a person to be honest, kind, and loyal.",TRUE,"A lot","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Some","Somewhat important"
3292257628,"Male","18-29","$50,000 - $99,999","Bachelor degree","Mountain","It's important for a person to be honest, kind, and loyal.",TRUE,"A lot","Some experts say it's important to drink milk, but the data is inconclusive.",TRUE,"Not much","Somewhat important"
3292253077,"Male","18-29","$150,000+","Bachelor degree","Pacific","It's important for a person to be honest, kind, and loyal.",FALSE,"Some","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Not at all","Somewhat important"
3292214390,"Male","18-29",NA,"Some college or Associate degree","East North Central","It's important for a person to be honest, kind, and loyal.",TRUE,"Not much","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Not much","Very important"
3292205163,"Male","18-29","$0 - $24,999","High school degree","New England","It's important for a person to be honest, kind, and loyal.",TRUE,"A lot","Some experts say it's important to drink milk, but the data is inconclusive.",TRUE,"Not much","Very important"
3292192357,"Male","30-44","$25,000 - $49,999","Some college or Associate degree","South Atlantic","It's important for a person to be honest, kind and loyal.",TRUE,"Not much","Some experts say it's important to drink milk, but the data is inconclusive.",TRUE,"Not much","Very important"
3292183306,"Male","30-44","$50,000 - $99,999","Some college or Associate degree","West South Central","It's important for a person to be honest, kind and loyal.",FALSE,"Some","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Some","Somewhat important"
3292170498,"Male","30-44","$150,000+","Bachelor degree","Pacific","It's important for a person to be honest, kind, and loyal.",TRUE,"Not much","Some experts say it's important to drink milk, but the data is inconclusive.",TRUE,"Some","Somewhat important"
3292161436,"Male","30-44","$100,000 - $149,999","Bachelor degree","South Atlantic","It's important for a person to be honest, kind and loyal.",TRUE,"Some","Some experts say it's important to drink milk, but the data are inconclusive.",TRUE,"Not much","Somewhat important"
3292149318,"Male","30-44","$50,000 - $99,999","Bachelor degree","Pacific","It's important for a person to be honest, kind, and loyal.",TRUE,"A lot","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Some","Very important"
3292137946,"Male","18-29",NA,"High school degree","West South Central","It's important for a person to be honest, kind, and loyal.",FALSE,"Not at all","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Not at all","Somewhat important"
3292117389,"Male","18-29","$100,000 - $149,999","Some college or Associate degree","New England","It's important for a person to be honest, kind, and loyal.",TRUE,"Some","Some experts say it's important to drink milk, but the data is inconclusive.",TRUE,"Not much","Somewhat important"
3292105747,"Male","18-29","$100,000 - $149,999","Bachelor degree","Pacific","It's important for a person to be honest, kind and loyal.",TRUE,"Not much","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Not at all","Somewhat important"
3292101250,"Male","18-29","$150,000+","High school degree","East South Central","It's important for a person to be honest, kind, and loyal.",TRUE,"Some","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Not much","Very important"
3292096238,"Male","30-44","$25,000 - $49,999","Some college or Associate degree","Mountain","It's important for a person to be honest, kind and loyal.",TRUE,"Some","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Not much","Very important"
3292094597,NA,NA,NA,NA,NA,"It's important for a person to be honest, kind, and loyal.",TRUE,"Not at all","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Not at all","Somewhat unimportant"
3292089591,"Male","30-44",NA,"Bachelor degree","East North Central","It's important for a person to be honest, kind, and loyal.",FALSE,"Not at all","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Not at all","Very unimportant"
3292073795,"Male","18-29","$0 - $24,999","Some college or Associate degree","Pacific","It's important for a person to be honest, kind, and loyal.",TRUE,"Some","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Not much","Very unimportant"
3292023968,"Male","18-29","$25,000 - $49,999","Graduate degree","East South Central","It's important for a person to be honest, kind and loyal.",TRUE,"Not much","Some experts say it's important to drink milk, but the data are inconclusive.",FALSE,"Not much","Somewhat important"
3291984774,"Male","18-29","$50,000 - $99,999","High school degree","Middle Atlantic","It's important for a person to be honest, kind and loyal.",TRUE,"Not much","Some experts say it's important to drink milk, but the data are inconclusive.",TRUE,"Some","Somewhat important"
3291958520,NA,NA,NA,NA,NA,"It's important for a person to be honest, kind and loyal.",TRUE,"Not much","Some experts say it's important to drink milk, but the data are inconclusive.",TRUE,"Some","Somewhat important"
3291950618,"Male","30-44","$50,000 - $99,999","Graduate degree","West North Central","It's important for a person to be honest, kind and loyal.",TRUE,"Not much","Some experts say it's important to drink milk, but the data are inconclusive.",TRUE,"Some","Somewhat important"
3291948110,"Male","30-44","$25,000 - $49,999","Bachelor degree","Pacific","It's important for a person to be honest, kind and loyal.",TRUE,"Not at all","Some experts say it's important to drink milk, but the data is inconclusive.",TRUE,"Not at all","Somewhat important"
3291919494,"Male","30-44","$50,000 - $99,999","Graduate degree","West North Central","It's important for a person to be honest, kind, and loyal.",TRUE,"A lot","Some experts say it's important to drink milk, but the data are inconclusive.",TRUE,"A lot","Very important"
3291874328,"Male","30-44","$50,000 - $99,999","High school degree","East North Central","It's important for a person to be honest, kind and loyal.",FALSE,"Not much","Some experts say it's important to drink milk, but the data is inconclusive.",TRUE,"Some","Somewhat important"
3291857979,"Male","30-44","$100,000 - $149,999","High school degree","New England","It's important for a person to be honest, kind and loyal.",TRUE,"Some","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Not much","Very important"
3291853466,"Male","30-44","$25,000 - $49,999","High school degree","Middle Atlantic","It's important for a person to be honest, kind, and loyal.",TRUE,"Not much","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Not at all","Neither important nor unimportant (neutral)"
3291817712,"Male","18-29",NA,"High school degree","South Atlantic","It's important for a person to be honest, kind and loyal.",TRUE,"Some","Some experts say it's important to drink milk, but the data are inconclusive.",TRUE,"Some","Very important"
3291815581,"Male","30-44","$50,000 - $99,999","Some college or Associate degree","West North Central","It's important for a person to be honest, kind, and loyal.",FALSE,"Not much","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Not at all","Somewhat unimportant"
3291811837,"Male","30-44","$50,000 - $99,999","High school degree","New England","It's important for a person to be honest, kind, and loyal.",TRUE,"A lot","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Not much","Very important"
3291803239,"Male","30-44","$100,000 - $149,999","Bachelor degree","Middle Atlantic","It's important for a person to be honest, kind, and loyal.",FALSE,"Not much","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Some","Very important"
3291802821,NA,NA,NA,NA,NA,"It's important for a person to be honest, kind, and loyal.",TRUE,"A lot",NA,NA,NA,NA
3291775856,"Male","18-29","$25,000 - $49,999","Bachelor degree","South Atlantic","It's important for a person to be honest, kind, and loyal.",TRUE,"A lot","Some experts say it's important to drink milk, but the data are inconclusive.",TRUE,"Some","Somewhat important"
3291768087,"Male","30-44","$50,000 - $99,999","Graduate degree","Middle Atlantic","It's important for a person to be honest, kind and loyal.",TRUE,"Some","Some experts say it's important to drink milk, but the data are inconclusive.",TRUE,"Some","Somewhat important"
3291753086,"Male","30-44","$50,000 - $99,999","Bachelor degree","Middle Atlantic","It's important for a person to be honest, kind and loyal.",TRUE,"A lot","Some experts say it's important to drink milk, but the data is inconclusive.",TRUE,"Not much","Very important"
3291745570,NA,NA,NA,NA,NA,"It's important for a person to be honest, kind, and loyal.",NA,NA,NA,NA,NA,NA
3291743986,"Male","18-29","$0 - $24,999","Graduate degree","Mountain","It's important for a person to be honest, kind, and loyal.",TRUE,"A lot","Some experts say it's important to drink milk, but the data are inconclusive.",TRUE,"Some","Very important"
3291721733,"Male","30-44","$0 - $24,999","High school degree","South Atlantic","It's important for a person to be honest, kind and loyal.",TRUE,"Some","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Not much","Somewhat important"
3291681411,"Male","18-29","$0 - $24,999","Some college or Associate degree","Middle Atlantic","It's important for a person to be honest, kind, and loyal.",TRUE,"Not much","Some experts say it's important to drink milk, but the data is inconclusive.",TRUE,"Not much","Somewhat important"
3291676997,"Male","> 60","$25,000 - $49,999","Bachelor degree","West South Central","It's important for a person to be honest, kind and loyal.",TRUE,"Some","Some experts say it's important to drink milk, but the data is inconclusive.",TRUE,"Some","Very important"
3291674215,"Male","18-29","$100,000 - $149,999","Graduate degree","Middle Atlantic","It's important for a person to be honest, kind, and loyal.",TRUE,"A lot","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Not at all","Very important"
3291668593,"Male","> 60","$100,000 - $149,999","Graduate degree","West North Central","It's important for a person to be honest, kind, and loyal.",TRUE,"A lot","Some experts say it's important to drink milk, but the data are inconclusive.",FALSE,"Some","Somewhat important"
3291654452,"Male","30-44","$25,000 - $49,999","Some college or Associate degree","Pacific","It's important for a person to be honest, kind and loyal.",FALSE,"Not much","Some experts say it's important to drink milk, but the data is inconclusive.",TRUE,"Not much","Very important"
3291648628,"Male","> 60","$25,000 - $49,999","High school degree","West North Central","It's important for a person to be honest, kind and loyal.",FALSE,"Not much","Some experts say it's important to drink milk, but the data are inconclusive.",FALSE,"Some","Very important"
3291648208,"Male","> 60",NA,"Some college or Associate degree","Mountain","It's important for a person to be honest, kind and loyal.",FALSE,"Some","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Not much","Very important"
3291646929,"Male","> 60",NA,NA,"East North Central","It's important for a person to be honest, kind, and loyal.",TRUE,"A lot","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Not much","Very important"
3291640249,"Male","> 60","$50,000 - $99,999","Graduate degree",NA,"It's important for a person to be honest, kind, and loyal.",TRUE,"Some","Some experts say it's important to drink milk, but the data are inconclusive.",TRUE,"Not much","Somewhat important"
3291639565,"Male","> 60",NA,NA,"West North Central","It's important for a person to be honest, kind and loyal.",FALSE,"Some","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Not at all","Somewhat important"
3291625347,NA,NA,NA,NA,NA,"It's important for a person to be honest, kind and loyal.",FALSE,"Some","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Not much",NA
3291619033,"Male","30-44",NA,"Some college or Associate degree","Middle Atlantic","It's important for a person to be honest, kind, and loyal.",TRUE,"Some","Some experts say it's important to drink milk, but the data is inconclusive.",TRUE,"Some","Somewhat important"
3291617977,"Male","> 60","$50,000 - $99,999","Bachelor degree","South Atlantic","It's important for a person to be honest, kind and loyal.",FALSE,"Not at all","Some experts say it's important to drink milk, but the data is inconclusive.",TRUE,"Not at all","Somewhat important"
3291616811,"Male","18-29",NA,"Bachelor degree","West North Central","It's important for a person to be honest, kind and loyal.",TRUE,"Not at all","Some experts say it's important to drink milk, but the data is inconclusive.",TRUE,"Not at all","Very important"
3291606803,"Male","> 60","$0 - $24,999","High school degree","South Atlantic","It's important for a person to be honest, kind, and loyal.",FALSE,"Not much","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Not at all","Very important"
3291604017,"Male","> 60",NA,"Some college or Associate degree","South Atlantic","It's important for a person to be honest, kind, and loyal.",TRUE,"Some","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"A lot","Very important"
3291601879,"Male","> 60","$0 - $24,999","Bachelor degree","Middle Atlantic","It's important for a person to be honest, kind and loyal.",FALSE,"Some","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Some","Very important"
3291597318,"Male","18-29","$50,000 - $99,999","Bachelor degree","West South Central","It's important for a person to be honest, kind, and loyal.",TRUE,"Not much","Some experts say it's important to drink milk, but the data is inconclusive.",TRUE,"Not much","Very important"
3291593564,"Male","30-44","$50,000 - $99,999","Graduate degree","South Atlantic","It's important for a person to be honest, kind, and loyal.",TRUE,"A lot","Some experts say it's important to drink milk, but the data are inconclusive.",TRUE,"A lot","Very important"
3291591744,"Male","18-29","$25,000 - $49,999","Graduate degree","South Atlantic","It's important for a person to be honest, kind, and loyal.",TRUE,"Not at all","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Not much","Somewhat important"
3291572455,"Male","18-29","$0 - $24,999","Some college or Associate degree","East North Central","It's important for a person to be honest, kind, and loyal.",TRUE,"A lot","Some experts say it's important to drink milk, but the data is inconclusive.",TRUE,"Not much","Very important"
3291556856,"Male","> 60","$150,000+","Graduate degree","West North Central","It's important for a person to be honest, kind and loyal.",TRUE,"Some","Some experts say it's important to drink milk, but the data are inconclusive.",TRUE,"Some","Very important"
3291545872,"Male","18-29","$0 - $24,999","Graduate degree","South Atlantic","It's important for a person to be honest, kind, and loyal.",TRUE,"A lot","Some experts say it's important to drink milk, but the data is inconclusive.",TRUE,"Some","Somewhat important"
3291543352,"Male","> 60","$50,000 - $99,999","Some college or Associate degree","Middle Atlantic","It's important for a person to be honest, kind, and loyal.",FALSE,"Some","Some experts say it's important to drink milk, but the data are inconclusive.",FALSE,"Not much","Somewhat important"
3291541633,NA,NA,NA,NA,NA,"It's important for a person to be honest, kind and loyal.",TRUE,"Not much","Some experts say it's important to drink milk, but the data are inconclusive.",TRUE,"Some",NA
3291463676,"Male","45-60","$50,000 - $99,999","Bachelor degree","Middle Atlantic","It's important for a person to be honest, kind, and loyal.",TRUE,"Some","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Some","Very important"
3291459209,"Male","30-44",NA,"Bachelor degree","East North Central","It's important for a person to be honest, kind and loyal.",TRUE,"Not much","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Not much","Very important"
3291443169,"Male","30-44","$50,000 - $99,999","Bachelor degree","South Atlantic","It's important for a person to be honest, kind and loyal.",TRUE,"Not at all","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Not much","Very important"
3291432876,NA,NA,NA,NA,NA,"It's important for a person to be honest, kind and loyal.",NA,NA,NA,NA,NA,NA
3291427198,"Female","45-60","$0 - $24,999","Some college or Associate degree","Middle Atlantic","It's important for a person to be honest, kind and loyal.",FALSE,"Not much","Some experts say it's important to drink milk, but the data is inconclusive.",TRUE,"Some","Very important"
3291426952,"Female","45-60","$100,000 - $149,999","Graduate degree","Pacific","It's important for a person to be honest, kind and loyal.",TRUE,"Some","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Not much","Very important"
3291426312,NA,NA,NA,NA,NA,"It's important for a person to be honest, kind and loyal.",NA,NA,NA,NA,NA,NA
3291426104,"Female","45-60","$25,000 - $49,999","High school degree","South Atlantic","It's important for a person to be honest, kind, and loyal.",FALSE,"Not much","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Not much","Somewhat important"
3291424721,"Male","45-60","$50,000 - $99,999","Graduate degree","East North Central","It's important for a person to be honest, kind and loyal.",TRUE,"Some","Some experts say it's important to drink milk, but the data are inconclusive.",TRUE,"A lot","Very important"
3291424411,"Female","45-60","$100,000 - $149,999","Bachelor degree","New England","It's important for a person to be honest, kind, and loyal.",TRUE,"A lot","Some experts say it's important to drink milk, but the data is inconclusive.",TRUE,"A lot","Very important"
3291421762,"Female","45-60","$100,000 - $149,999","Some college or Associate degree","South Atlantic","It's important for a person to be honest, kind and loyal.",FALSE,"Not at all","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Not at all","Somewhat important"
3291420341,"Female","45-60","$25,000 - $49,999","High school degree","East South Central","It's important for a person to be honest, kind and loyal.",FALSE,"Not much","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Some","Very important"
3291416221,"Male","> 60","$150,000+","Bachelor degree","Middle Atlantic","It's important for a person to be honest, kind and loyal.",FALSE,"A lot","Some experts say it's important to drink milk, but the data are inconclusive.",FALSE,"Some","Very important"
3291414448,"Female","45-60","$50,000 - $99,999","Graduate degree","Middle Atlantic","It's important for a person to be honest, kind, and loyal.",FALSE,"A lot","Some experts say it's important to drink milk, but the data is inconclusive.",TRUE,"A lot","Very important"
3291405591,"Female","> 60",NA,"Graduate degree","South Atlantic","It's important for a person to be honest, kind, and loyal.",FALSE,"A lot","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Some","Very important"
3291402678,NA,NA,NA,NA,NA,"It's important for a person to be honest, kind, and loyal.",NA,NA,NA,NA,NA,NA
3291399741,"Male","45-60","$50,000 - $99,999","Some college or Associate degree","East North Central","It's important for a person to be honest, kind, and loyal.",TRUE,"Some","Some experts say it's important to drink milk, but the data are inconclusive.",FALSE,"Not much","Somewhat important"
3291397512,"Male","> 60","$100,000 - $149,999","Bachelor degree","West North Central","It's important for a person to be honest, kind and loyal.",FALSE,"Not much","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Not at all","Somewhat important"
3291396459,"Female","> 60",NA,"High school degree","Mountain","It's important for a person to be honest, kind and loyal.",FALSE,"Not much","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Some","Very important"
3291396303,"Male","45-60","$50,000 - $99,999","Some college or Associate degree","South Atlantic","It's important for a person to be honest, kind and loyal.",FALSE,"A lot","Some experts say it's important to drink milk, but the data are inconclusive.",TRUE,"A lot","Very important"
3291394671,"Female","45-60",NA,"Some college or Associate degree","New England","It's important for a person to be honest, kind, and loyal.",FALSE,"A lot","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Some","Somewhat important"
3291392985,"Female","45-60","$50,000 - $99,999","High school degree","Middle Atlantic","It's important for a person to be honest, kind, and loyal.",TRUE,"Not much","Some experts say it's important to drink milk, but the data is inconclusive.",TRUE,"Not much","Somewhat important"
3291386692,NA,NA,NA,NA,NA,"It's important for a person to be honest, kind, and loyal.",TRUE,"Not at all","Some experts say it's important to drink milk, but the data is inconclusive.",NA,NA,NA
3291381063,NA,NA,NA,NA,NA,"It's important for a person to be honest, kind and loyal.",FALSE,"Some","Some experts say it's important to drink milk, but the data is inconclusive.",FALSE,"Not much","Very important"
