Rank,Song,Artist,Year,Lyrics,Source
11,cheerleader,omi,2015,when i need motivation my one solution is my queen cause she stay strong yeah yeah she is always in my corner right there when i want her all these other girls are tempting but im empty when youre gone and they saydo you need me do you think im pretty do i make you feel like cheating and im like no not really causeoh i think that i found myself a cheerleader she is always right there when i need heroh i think that i found myself a cheerleader she is always right there when i need hershe walks like a model she grants my wishes like a genie in a bottle yeah yeah cause im the wizard of love and i got the magic wand all these other girls are tempting but im empty when youre gone and they saydo you need me do you think im pretty do i make you feel like cheating and im like no not really causeoh i think that i found myself a cheerleader she is always right there when i need heroh i think that i found myself a cheerleader she is always right there when i need hershe gives me love and affection baby did i mention youre the only girl for me no i dont need a next one mama loves you too she thinks i made the right selection now all thats left to do is just for me to pop the questionoh i think that i found myself a cheerleader she is always right there when i need heroh i think that i found myself a cheerleader she is always right there when i need her,1
12,cant feel my face,the weeknd,2015,and i know shell be the death of me at least well both be numb and shell always get the best of me the worst is yet to come but at least well both be beautiful and stay forever young this i know yeah this i knowshe told me dont worry about it she told me dont worry no more we both know we cant go without it she told me youll never be in love oh oh wooi cant feel my face when im with you but i love it but i love it oh i cant feel my face when im with you but i love it but i love it oh    memory  byamandah   editor    were kind of obsessed with alessia caras cover of cant feel my face for on air with ryan seacrest that voiceheart eyes    see all   and i know shell be the death of me at least well both be numb and shell always get the best of me the worst is yet to come all the misery was necessary when were deep in love this i know girl i knowshe told me dont worry about it she told me dont worry no more we both know we cant go without it she told me youll never be in love oh oh wooi cant feel my face when im with you but i love it but i love it oh i cant feel my face i cant feel nothing when im with you but i love it but i love it but i love it oh i cant feel my face when im with you but i love it but i love it but i love itbut i love it oh i cant feel my face when im with you but i love it but i love it but i love it but i love it ohshe told me dont worry about it she told me dont worry no more we both know we cant go without it she told me youll never be in love oh oh wooi cant feel my face when im with you i cant feel my face but i love itbut i love it but i love it oh i love it oh i cant feel my face when im with you said i cant feel my face but i love it but i love it but i love it ohi cant feel my face when im with you face when im with you but i love it but i love it but i love it dont you think i cant i cant feel my face when im with you i cant feel my face but i love it when im with you baby but i love it when im with you baby i cant feel my fa,1
13,love me like you do,ellie goulding,2015,youre the light youre the night youre the color of my blood youre the cure youre the pain youre the only thing i wanna touch never knew that it could mean so much so muchyoure the fear i dont care cause ive never been so high follow me to the dark let me take you past our satellites you can see the world you brought to life to lifeso love me like you do lololove me like you do love me like you do lololove me like you do touch me like you do tototouch me like you do what are you waiting for  meaning  byrobeg03     maybe her accent is just really thick but i heard youre the cutter of my blood and interpreted as if youre cut then you bleed if your blood is flowing    see all   fading in fading out on the edge of paradise every inch of your skin is a holy gray ive got to find only you can set my heart on fire on fire yeah ill let you set the pace cause im not thinking straight my head spinning around i cant see clear no more what are you waiting forlove me like you do lololove me like you do love me like you do lololove me like you do touch me like you do tototouch me like you do what are you waiting forlove me like you do lololove me like you do like you do love me like you do lololove me like you do yeah touch me like you do tototouch me like you do what are you waiting forill let you set the pace cause im not thinking straight my head spinning around i cant see clear no more what are you waiting forlove me like you do lololove me like you do like you do love me like you do lololove me like you do yeah touch me like you do tototouch me like you do what are you waiting forlove me like you do lololove me like you do like you do love me like you do lololove me like you do yeah touch me like you do tototouch me like you do what are you waiting for,1
14,take me to church,hozier,2015,my lovers got humour shes the giggle at a funeral knows everybodys disapproval i shouldve worshipped her sooner if the heavens ever did speak she is the last true mouthpiece every sundays getting more bleak a fresh poison each week we were born sick you heard them say it my church offers no absolutes she tells me worship in the bedroom the only heaven ill be sent to is when im alone with you i was born sick but i love it command me to be well amen amen amentake me to church ill worship like a dog at the shrine of your lies ill tell you my sins and you can sharpen your knife offer me that deathless death good god let me give you my lifetake me to church ill worship like a dog at the shrine of your lies ill tell you my sins and you can sharpen your knife offer me that deathless death good god let me give you my life  meaning  bymoneyboss     i think this is a good song its about a guy who is in love with this girl but he didnt know it before hand and he wants to do anything to give her what she    see all   if im a pagan of the good times my lovers the sunlight to keep the goddess on my side she demands a sacrifice to drain the whole sea get something shiny something meaty for the main course thats a fine looking high horse what you got in the stable weve a lot of starving faithful that looks tasty that looks plenty this is hungry worktake me to church ill worship like a dog at the shrine of your lies ill tell you my sins and you can sharpen your knife offer me that deathless death good god let me give you my lifetake me to church ill worship like a dog at the shrine of your lies ill tell you my sins and you can sharpen your knife offer me that deathless death good god let me give you my lifeno masters or kings when the ritual begins there is no sweeter innocence than our gentle sin in the madness and soil of that sad earthly scene only then i am human only then i am clean amen amen amentake me to church ill worship like a dog at the shrine of your lies ill tell you my sins and you can sharpen your knife offer me that deathless death good god let me give you my lifetake me to church ill worship like a dog at the shrine of your lies ill tell you my sins and you can sharpen your knife offer me that deathless death good god let me give you my life,1
15,bad blood,taylor swift featuring kendrick lamar,2015,cause baby now we got bad blood you know it used to be mad love so take a look at what youve done cause baby now we got bad bloodhey now we got problems and i dont think we can solve them you made a really deep cut and baby now we got bad bloodhey did you have to do this i was thinking that you could be trusted did you have to ruin what was shining now its all rusted did you have to hit me where im weak baby i couldnt breathe i rubbed it in so deep salt in the wound like youre laughing right at me oh its so sad to think about the good times you and icause baby now we got bad blood you know it used to be mad love so take a look at what youve done cause baby now we got bad blood    meaning  byjamesg   editor    bad blood is a pop song by american singer taylor swift featuring american rapper kendrick lamar on the remixed version it is the fourth single from her    see all   hey now we got problems and i dont think we can solve them you made a really deep cut and baby now we got bad bloodhey did you think wed be fine still got scars on my back from your knife so dont think its in the past these kind of wounds they last and they last now did you think it all through all these things will catch up to you and time can heal but this wont so if you come in my way just dont oh its so sad to think about the good times you and icause baby now we got bad blood you know it used to be mad love so take a look at what youve done cause baby now we got bad bloodhey now we got problems and i dont think we can solve them you made a really deep cut and baby now we got bad bloodhey bandaids dont fix bullet holes you say sorry just for show you live like that you live with ghosts ghosts bandaids dont fix bullet holes hey you say sorry just for show hey you live like that you live with ghosts hey hm if you love like that blood runs coldcause baby now we got bad blood you know it used to be mad love so take a look at what youve done cause baby now we got bad bloodhey now we got problems and i dont think we can solve them think we can solve them you made a really deep cut and baby now we got bad bloodcause now we got bad blood cause baby now we got bad blood you know it used to be mad love so take a look at what youve done look at what youve done cause baby now we got bad blood woah now we got problems and i dont think we can solve them you made a really deep cut and baby now we got bad blood hey,1
16,lean on,major lazer and dj snake featuring mo,2015,do you recall not long ago we would walk on the sidewalk innocent remember all we did was care for each otherbut the night was warm we were bold and young all around the wind blows we would only hold on to let goblow a kiss fire a gun we need someone to lean on blow a kiss fire a gun all we need is somebody to lean on    meaning  byjamesg   editor    lean on is a song recorded by american edm group major lazer and french producer dj snake taken from the formers third studio album peace is the mission    see all   blow a kiss fire a gun we need someone to lean on blow a kiss fire a gun all we need is somebody to lean onwhat will we do when we get old will we walk down the same road will you be there by my side standing strong as the waves roll overwhen the nights are long longing for you to come home all around the wind blows we would only hold on to let goblow a kiss fire a gun we need someone to lean on blow a kiss fire a gun all we need is somebody to lean onblow a kiss fire a gun we need someone to lean on blow a kiss fire a gun all we need is somebody to lean onall we need is somebody to lean on all we need is somebody to lean onblow a kiss fire a gun we need someone to lean on blow a kiss fire a gun all we need is somebody to lean onblow a kiss fire a gun we need someone to lean on blow a kiss fire a gun all we need is somebody to lean on,1
17,want to want me,jason derulo,2015,its too hard to sleep i got the sheets on the floor nothing on me and i cant take it no more its a hundred degrees i got one foot out the door where are my keys cause i gotta leave yeah in the back of the cab i tipped the driver head of time get me there fast i got your body on my mind i want it bad oh just the thought of you gets me so high so highgirl youre the one i want to want me and if you want me girl you got me theres nothing i no i wouldnt do i wouldnt do just to get up next to yougirl youre the one i want to want me and if you want me girl you got me theres nothing i no i wouldnt do i wouldnt do just to get up next to you just to get up next to youyou open the door wearing nothing but a smile down to the floor and you whisper in my ear baby im yours ooh just the thought of you gets me so high so high so highgirl youre the one i want to want me and if you want me girl you got me theres nothing i no i wouldnt do i wouldnt do just to get up next to yougirl youre the one i want to want me and if you want me girl you got me theres nothing i no i wouldnt do i wouldnt do just to get up next to you just to get up next to youjust the thought of you gets me so high so high oh just the thought of you gets me so high so highgirl youre the one i want to want me and if you want me girl you got me theres nothing i no i wouldnt do i wouldnt do just to get up next to yougirl youre the one i want to want me and if you want me girl you got me theres nothing i no i wouldnt do i wouldnt do just to get up next to youi would do anything just to get up next to you anything and everything just to get up next to youjust to get up next to you,1
18,shake it off,taylor swift,2015,i stay up too late got nothing in my brain thats what people say mmm thats what people say mm i go on too many dates but i cant make em stay at least thats what people say mmm thats what people say mmmbut i keep cruising cant stop wont stop moving its like i got this music in my body and its gonna be alrightcause the players gonna play play play play play and the haters gonna hate hate hate hate hate baby im just gonna shake shake shake shake shake i shake it off i shake it off heartbreakers gonna break break break break break and the fakers gonna fake fake fake fake fake baby im just gonna shake shake shake shake shake i shake it off i shake it offill never miss a beat im lightning on my feet and thats what they dont see mmm thats what they dont see mmm im dancing on my own dancing on my own ill make the moves up as i go moves up as i go and thats what they dont know mmm thats what they dont know mmmbut i keep cruising cant stop wont stop grooving its like i got this music in my body saying its gonna be alrightcause the players gonna play play play play play and the haters gonna hate hate hate hate hate baby im just gonna shake shake shake shake shake i shake it off i shake it off heartbreakers gonna break break break break break and the fakers gonna fake fake fake fake fake baby im just gonna shake shake shake shake shake i shake it off i shake it offi i shake it off i shake it off i i shake it off i shake it off i i shake it off i shake it off i i shake it off i shake it offhey hey hey just think while youve been getting down and out about the liars and dirty dirty cheats in the world you could have been getting down to this sick beatmy exman brought his new girlfriend shes like oh my god but im just gonna shake it and to the fella over there with the hella good hair wont you come on over baby we can shake shake shakecause the players gonna play play play play play and the haters gonna hate hate hate hate hate baby im just gonna shake shake shake shake shake i shake it off i shake it off heartbreakers gonna break break break break break and the fakers gonna fake fake fake fake fake baby im just gonna shake shake shake shake shake i shake it off i shake it offi i shake it off i shake it off i i shake it off i shake it off i i shake it off i shake it off i i shake it off i shake it off i shake it off i shake it off i i shake it off i shake it off i i shake it off i shake it off i i shake it off i shake it off,1
19,"where are ""u now",skrillex and diplo featuring justin bieber,2015,i need you i need you i need you i need you i need you i need you i need you i need you i need you i need you i need you the mosti gave you the key when the door wasnt open just admit it see i gave you faith and you doubted it open cant deny it now im all alone and my choice to the open tell me he where are you now that i need ya where are you now where are you now where are you now that i need ya couldnt find you anywhere when you broke down i didnt leave ya i was by your side so where are you now that i need yawhere are you now that i need ya where are you now that i need ya where are you now that i need ya where are you now that i need yai gave you attention when nobody else was payin i gave you the shirt off my back whatchu sayin to keep you warm i showed you the game everybody else was playin thats for sure and i was on my knees when nobody else was prayin oh lordwhere are you now that i need ya where are you now that i need ya i need you i need you i need you i need you i need you where are you now that i need ya i need you i need you i need you i need you i need you i need you the mostwhere are you now that i need ya where are you now that i need ya where are you now that i need yai need you the most i need you the most i need you the most,1
20,fight song,rachel platten,2015,like a small boat on the ocean sending big waves into motion like how a single word can make a heart open i might only have one match but i can make an explosionand all those things i didnt say wrecking balls inside my brain i will scream them loud tonight can you hear my voice this timethis is my fight song take back my life song prove im alright song my powers turned on starting right now ill be strong ill play my fight song and i dont really care if nobody else believes cause ive still got a lot of fight left in melosing friends and im chasing sleep everybodys worried about me in too deep say im in too deep in too deep and its been two years i miss my home but theres a fire burning in my bones still believe yeah i still believeand all those things i didnt say wrecking balls inside my brain i will scream them loud tonight can you hear my voice this timethis is my fight song take back my life song prove im alright song my powers turned on starting right now ill be strong ill play my fight song and i dont really care if nobody else believes cause ive still got a lot of fight left in mea lot of fight left in melike a small boat on the ocean sending big waves into motion like how a single word can make a heart open i might only have one match but i can make an explosionthis is my fight song take back my life song prove im alright song my powers turned on starting right now ill be strong ill be strong ill play my fight song and i dont really care if nobody else believes cause ive still got a lot of fight left in meknow ive still got a lot of fight left in me,1
21,679,fetty wap featuring remy boyz,2015,baby girl youre so damn fine though im tryna know if i could hit it from behind though im sipping on you like some fine wine though and when its over i press rewind though you talking bands girl i got it benjamins all in my pocket i traded in my trues for some robins he playing batman fettys gon rob him i got a glock in my rari 17 shots no 38 i got a glock in my rari 17 shots no 38im like yeah shes fine wonder when shell be mine she walk past i press rewind to see that ass one more time and i got this sewed up remy boyz they know us all fast money no slow bucks no one can control us ay yeaaah baby    meaning  byjamesg   editor    679 is the second single by american rapper fetty wap aka willie maxwell taken from his eponymous debut studio album fetty wap 2015 the song    see all   tell me what you see is it money or its me i smoke twenty smell the weed i got hunnies in my v they like monty can you be my baby daddy im like yeah i got robins on my jeans you see the wings on every pair all you see is remy boyz you know my niggas everywhere and if somebody got a problem we could meet up anywhere now go say something dont you niggas play dumb you know where we came from you dont want sauce no a1im like yeah shes fine wonder when shell be mine she walk past i press rewind to see that ass one more time and i got this sewed up remy boyz they know us all fast money no slow bucks no one can control us ay yeaaah babyshe a cutie and she fine make me wanna make her mine she aint nothing like them bimbos if you like it we can swerve we can light and stain up here blowing pluck it out the window dj playing press rewind got her singing every time take a high note for me girlfriend got my city looking rude i aint diddy i aint loon but i think i need a girlfriend she feeling great as im talking to her she a remygirl so im gon pursue her i brought a lot of loud lot of remy to sip on thousand dollars when i get my tip on im off her asked her if her fatty with it she said thats all her got her with the happy feel im bouta spoil her got her with the happy feel im bouta spoil her oh myim like yeah shes fine wonder when shell be mine she walk past i press rewind to see that ass one more time and i got this sewed up remy boyz they know us all fast money no slow bucks no one can control us ay yeaaah baby,1
