City,Age,Distance,Time,Sex
Atlanta,37,3,15,M
Atlanta,29,0,5,F
Atlanta,24,20,30,M
Atlanta,22,23,35,F
Atlanta,38,50,60,M
Atlanta,28,20,30,M
Atlanta,53,25,50,M
Atlanta,21,3,5,M
Atlanta,44,10,10,M
Atlanta,34,20,30,M
Atlanta,67,16,35,M
Atlanta,49,1,3,F
Atlanta,35,20,25,F
Atlanta,45,25,30,M
Atlanta,40,20,45,F
Atlanta,62,101,180,M
Atlanta,64,7,15,F
Atlanta,71,5,30,F
Atlanta,37,20,50,F
Atlanta,33,14,20,F
Atlanta,71,8,20,M
Atlanta,33,33,45,M
Atlanta,53,16,45,F
Atlanta,39,35,45,M
Atlanta,17,10,10,M
Atlanta,51,32,40,M
Atlanta,26,14,35,F
Atlanta,40,15,15,M
Atlanta,49,40,40,F
Atlanta,54,15,30,F
Atlanta,54,18,35,F
Atlanta,50,10,15,F
Atlanta,42,12,20,F
Atlanta,29,8,25,M
Atlanta,55,18,25,F
Atlanta,51,2,3,M
Atlanta,28,1,5,F
Atlanta,31,30,90,M
Atlanta,48,23,23,F
Atlanta,41,4,20,M
Atlanta,27,28,40,F
Atlanta,29,10,25,M
Atlanta,35,20,45,M
Atlanta,28,10,25,M
Atlanta,31,15,30,F
Atlanta,34,5,10,M
Atlanta,38,35,45,M
Atlanta,33,12,30,F
Atlanta,40,8,25,F
Atlanta,35,20,20,F
Atlanta,51,45,45,M
Atlanta,57,9,9,M
Atlanta,44,15,20,F
Atlanta,39,45,45,F
Atlanta,49,20,45,F
Atlanta,53,8,20,F
Atlanta,32,12,30,M
Atlanta,50,3,10,M
Atlanta,33,6,15,M
Atlanta,34,30,50,F
Atlanta,41,0,10,M
Atlanta,36,15,45,M
Atlanta,63,0,5,F
Atlanta,51,2,2,M
Atlanta,31,20,30,F
Atlanta,36,12,30,F
Atlanta,29,3,7,F
Atlanta,42,15,18,M
Atlanta,46,3,10,F
Atlanta,58,17,25,M
Atlanta,39,30,45,M
Atlanta,25,60,120,M
Atlanta,50,38,45,M
Atlanta,35,30,30,F
Atlanta,34,2,7,F
Atlanta,57,23,35,M
Atlanta,36,20,25,M
Atlanta,31,20,20,F
Atlanta,27,1,3,F
Atlanta,33,58,60,M
Atlanta,43,7,12,F
Atlanta,32,20,30,M
Atlanta,56,27,35,M
Atlanta,34,3,5,F
Atlanta,63,5,10,F
Atlanta,38,15,20,F
Atlanta,38,17,28,M
Atlanta,57,25,40,F
Atlanta,25,6,30,M
Atlanta,53,5,15,M
Atlanta,37,16,32,M
Atlanta,59,30,60,F
Atlanta,37,10,20,F
Atlanta,37,3,15,M
Atlanta,28,15,20,M
Atlanta,19,0,2,M
Atlanta,47,35,40,F
Atlanta,51,38,45,F
Atlanta,65,50,90,M
Atlanta,40,9,20,F
Atlanta,22,7,15,M
Atlanta,66,23,30,M
Atlanta,33,15,45,F
Atlanta,47,12,20,M
Atlanta,31,12,25,F
Atlanta,47,5,15,F
Atlanta,55,25,55,M
Atlanta,55,8,15,M
Atlanta,28,30,30,M
Atlanta,19,34,45,M
Atlanta,48,35,40,M
Atlanta,47,49,90,M
Atlanta,43,30,30,M
Atlanta,39,60,80,F
Atlanta,45,25,30,F
Atlanta,66,20,30,M
Atlanta,55,62,90,M
Atlanta,55,23,23,F
Atlanta,28,2,12,F
Atlanta,28,20,30,F
Atlanta,18,20,25,F
Atlanta,50,0,1,F
Atlanta,43,10,25,F
Atlanta,69,17,30,F
Atlanta,64,8,15,F
Atlanta,48,37,45,M
Atlanta,40,25,75,F
Atlanta,48,10,15,F
Atlanta,48,30,40,F
Atlanta,60,10,20,M
Atlanta,49,35,35,F
Atlanta,33,5,15,F
Atlanta,30,60,80,F
Atlanta,54,10,10,M
Atlanta,56,17,30,M
Atlanta,25,4,15,F
Atlanta,36,10,10,F
Atlanta,75,25,35,M
Atlanta,26,12,50,F
Atlanta,40,30,35,F
Atlanta,48,10,30,F
Atlanta,43,22,35,F
Atlanta,41,0,2,M
Atlanta,22,5,10,M
Atlanta,50,16,30,F
Atlanta,27,17,25,F
Atlanta,23,0,10,F
Atlanta,23,18,25,M
Atlanta,52,5,7,F
Atlanta,45,35,45,M
Atlanta,51,50,60,M
Atlanta,55,33,33,F
Atlanta,26,10,25,M
Atlanta,17,15,15,M
Atlanta,61,6,13,M
Atlanta,45,10,10,M
Atlanta,51,13,20,M
Atlanta,54,18,25,M
Atlanta,42,4,15,M
Atlanta,32,30,40,M
Atlanta,38,30,30,F
Atlanta,29,1,2,M
Atlanta,45,20,20,M
Atlanta,47,25,46,F
Atlanta,58,30,30,F
Atlanta,23,25,30,M
Atlanta,51,38,45,F
Atlanta,51,18,25,F
Atlanta,23,12,20,F
Atlanta,43,12,17,F
Atlanta,40,39,60,F
Atlanta,31,5,15,M
Atlanta,28,15,15,F
Atlanta,39,8,15,F
Atlanta,21,13,30,M
Atlanta,40,3,10,F
Atlanta,56,30,30,M
Atlanta,38,13,20,M
Atlanta,44,30,30,M
Atlanta,45,50,75,F
Atlanta,49,20,20,F
Atlanta,22,4,10,F
Atlanta,54,8,15,M
Atlanta,44,7,20,M
Atlanta,31,8,15,F
Atlanta,43,26,30,M
Atlanta,32,23,30,M
Atlanta,32,7,15,M
Atlanta,55,7,20,F
Atlanta,34,15,20,F
Atlanta,54,5,10,M
Atlanta,51,22,22,F
Atlanta,19,3,10,M
Atlanta,47,6,30,M
Atlanta,53,10,15,F
Atlanta,27,100,181,M
Atlanta,47,30,35,M
Atlanta,30,10,30,M
Atlanta,35,20,35,M
Atlanta,28,11,25,F
Atlanta,30,2,5,M
Atlanta,40,30,30,F
Atlanta,42,10,15,F
Atlanta,33,6,14,M
Atlanta,52,25,60,F
Atlanta,17,11,35,M
Atlanta,38,3,5,F
Atlanta,16,20,25,F
Atlanta,52,30,30,M
Atlanta,55,35,60,M
Atlanta,17,15,20,F
Atlanta,34,35,45,F
Atlanta,35,6,16,F
Atlanta,43,22,25,M
Atlanta,49,13,13,F
Atlanta,33,30,35,M
Atlanta,39,40,45,M
Atlanta,41,45,45,M
Atlanta,25,7,15,F
Atlanta,35,38,45,M
Atlanta,17,2,5,F
Atlanta,18,12,15,M
Atlanta,48,35,40,M
Atlanta,35,11,30,M
Atlanta,40,38,60,F
Atlanta,44,0,3,F
Atlanta,55,30,30,M
Atlanta,47,30,120,F
Atlanta,43,30,45,M
Atlanta,52,3,7,M
Atlanta,40,1,1,M
Atlanta,54,25,25,M
Atlanta,44,34,45,F
Atlanta,62,45,45,M
Atlanta,38,10,20,F
Atlanta,26,30,35,F
Atlanta,45,5,10,M
Atlanta,32,25,25,M
Atlanta,52,10,30,M
Atlanta,40,25,30,M
Atlanta,50,25,25,M
Atlanta,29,13,30,F
Atlanta,43,22,45,M
Atlanta,39,30,30,M
Atlanta,50,22,25,F
Atlanta,28,35,45,F
Atlanta,65,26,27,M
Atlanta,50,15,20,M
Atlanta,20,8,15,F
Atlanta,41,15,40,F
Atlanta,54,4,10,F
Atlanta,38,15,22,M
Atlanta,36,90,90,M
Atlanta,27,8,20,F
Atlanta,22,30,45,F
Atlanta,37,6,15,F
Atlanta,35,6,15,M
Atlanta,25,25,25,F
Atlanta,17,23,45,F
Atlanta,31,33,80,M
Atlanta,27,15,20,M
Atlanta,19,15,20,F
Atlanta,42,4,10,F
Atlanta,39,5,10,M
Atlanta,31,23,45,F
Atlanta,57,15,30,M
Atlanta,41,20,25,F
Atlanta,44,23,45,M
Atlanta,32,33,45,F
Atlanta,27,36,40,M
Atlanta,33,22,38,F
Atlanta,39,12,25,F
Atlanta,62,10,20,M
Atlanta,30,7,15,M
Atlanta,37,5,10,F
Atlanta,27,12,15,F
Atlanta,60,12,20,M
Atlanta,18,5,120,M
Atlanta,38,10,20,F
Atlanta,56,15,15,F
Atlanta,43,12,25,M
Atlanta,52,25,30,F
Atlanta,34,15,45,F
Atlanta,33,17,35,F
Atlanta,53,25,25,M
Atlanta,17,5,7,F
Atlanta,39,10,45,M
Atlanta,39,12,20,M
Atlanta,35,7,20,M
Atlanta,46,45,45,M
Atlanta,55,10,20,F
Atlanta,31,31,45,M
Atlanta,54,15,20,F
Atlanta,20,3,15,F
Atlanta,34,25,30,M
Atlanta,33,12,15,M
Atlanta,29,20,35,F
Atlanta,23,30,90,F
Atlanta,16,1,5,F
Atlanta,43,15,20,F
Atlanta,40,35,40,M
Atlanta,38,14,35,F
Atlanta,28,7,10,M
Atlanta,57,11,23,M
Atlanta,23,36,60,F
Atlanta,68,15,15,M
Atlanta,49,25,45,F
Atlanta,17,2,5,F
Atlanta,21,20,25,F
Atlanta,56,11,20,F
Atlanta,34,5,10,M
Atlanta,51,12,20,M
Atlanta,16,12,25,M
Atlanta,43,28,45,M
Atlanta,44,22,45,M
Atlanta,25,35,45,F
Atlanta,49,18,18,F
Atlanta,19,15,15,M
Atlanta,35,25,25,F
Atlanta,41,1,3,F
Atlanta,34,8,20,M
Atlanta,46,12,15,M
Atlanta,39,5,10,F
Atlanta,48,14,18,F
Atlanta,33,12,20,F
Atlanta,39,15,30,F
Atlanta,57,10,15,F
Atlanta,37,10,10,F
Atlanta,48,6,60,F
Atlanta,32,20,20,F
Atlanta,28,6,10,F
Atlanta,42,8,15,M
Atlanta,44,30,30,F
Atlanta,55,5,12,M
Atlanta,37,10,10,F
Atlanta,58,10,25,M
Atlanta,52,20,20,M
Atlanta,30,0,5,M
Atlanta,57,13,20,F
Atlanta,30,0,3,F
Atlanta,28,20,30,M
Atlanta,56,25,30,M
Atlanta,30,35,45,F
Atlanta,36,4,20,F
Atlanta,35,20,35,M
Atlanta,53,3,10,M
Atlanta,44,10,30,F
Atlanta,27,30,30,F
Atlanta,48,15,40,F
Atlanta,46,12,60,M
Atlanta,25,35,60,M
Atlanta,34,25,40,F
Atlanta,53,20,30,M
Atlanta,49,8,10,M
Atlanta,37,45,60,M
Atlanta,43,10,12,F
Atlanta,85,25,30,F
Atlanta,32,15,35,M
Atlanta,57,8,15,M
Atlanta,45,4,7,M
Atlanta,39,3,10,F
Atlanta,44,28,30,M
Atlanta,43,6,10,F
Atlanta,26,5,10,F
Atlanta,48,10,15,F
Atlanta,22,7,15,F
Atlanta,43,10,10,M
Atlanta,49,46,80,M
Atlanta,44,3,15,M
Atlanta,49,35,35,F
Atlanta,21,20,25,F
Atlanta,57,27,50,M
Atlanta,26,15,20,M
Atlanta,44,20,60,M
Atlanta,36,32,40,M
Atlanta,37,15,30,F
Atlanta,35,10,20,F
Atlanta,31,20,20,M
Atlanta,27,40,60,F
Atlanta,30,23,30,F
Atlanta,28,18,25,F
Atlanta,24,10,15,M
Atlanta,46,22,60,M
Atlanta,27,15,30,F
Atlanta,27,12,20,M
Atlanta,40,35,35,F
Atlanta,45,10,15,F
Atlanta,35,30,55,F
Atlanta,42,35,40,F
Atlanta,46,18,25,M
Atlanta,51,14,25,F
Atlanta,34,15,45,F
Atlanta,58,5,5,F
Atlanta,22,0,1,F
Atlanta,38,7,15,M
Atlanta,47,20,30,F
Atlanta,58,16,25,F
Atlanta,39,38,45,F
Atlanta,37,20,45,F
Atlanta,29,22,22,M
Atlanta,31,30,30,F
Atlanta,39,14,30,F
Atlanta,34,1,1,F
Atlanta,43,45,60,M
Atlanta,58,15,20,M
Atlanta,57,22,45,F
Atlanta,32,9,15,M
Atlanta,27,15,30,M
Atlanta,44,15,30,M
Atlanta,52,20,45,M
Atlanta,25,30,30,M
Atlanta,25,25,63,M
Atlanta,50,15,30,M
Atlanta,27,25,34,M
Atlanta,28,9,15,M
Atlanta,23,15,30,M
Atlanta,43,10,20,M
Atlanta,42,26,65,M
Atlanta,28,3,5,F
Atlanta,28,10,12,F
Atlanta,32,18,60,F
Atlanta,42,34,34,M
Atlanta,40,13,25,F
