"ID","Churned","Age","Married","Cust_years","Churned_contacts"
"395",0,61,1,3,2
"396",1,20,1,5,2
"397",0,51,1,3,3
"398",1,21,1,3,1
"399",0,25,0,2,0
"400",0,56,1,3,2
"401",0,60,1,2,1
"402",0,26,1,3,1
"403",1,30,1,4,2
"404",0,41,0,4,2
"405",0,35,0,3,3
"406",0,61,1,2,3
"407",0,61,0,2,2
"408",0,42,0,4,2
"409",0,61,0,3,3
"410",0,46,0,4,1
"411",0,52,1,2,1
"412",0,50,1,5,2
"413",0,35,1,2,3
"414",0,61,1,4,0
"415",0,32,0,4,1
"416",1,21,1,4,2
"417",0,31,0,2,1
"418",0,58,1,2,1
"419",0,41,1,3,3
"420",0,33,0,5,3
"421",0,54,1,4,2
"422",0,56,1,3,0
"423",0,59,1,2,1
"424",0,65,0,3,3
"425",0,44,1,2,2
"426",0,38,0,3,3
"427",0,54,1,5,2
"428",0,24,0,6,1
"429",1,23,0,3,2
"430",0,61,1,5,1
"431",0,47,1,2,2
"432",0,55,1,1,1
"433",0,61,1,2,0
"434",0,34,0,2,0
"435",0,61,1,3,3
"436",0,64,0,4,1
"437",0,39,1,3,1
"438",1,29,1,3,1
"439",0,43,1,6,2
"440",0,40,1,5,3
"441",0,37,1,2,1
"442",0,53,0,3,0
"443",0,57,0,4,0
"444",0,64,0,2,1
"445",0,64,0,3,2
"446",1,19,1,2,1
"447",1,24,0,3,2
"448",0,62,1,4,0
"449",0,37,1,3,3
"450",0,19,0,3,3
"451",0,56,1,3,0
"452",0,53,0,3,2
"453",0,41,0,3,2
"454",0,25,0,3,2
"455",0,19,1,2,1
"456",0,45,0,2,3
"457",0,44,1,2,0
"458",0,61,0,3,0
"459",0,47,1,4,1
"460",0,52,1,3,2
"461",0,26,1,2,3
"462",0,64,1,2,1
"463",1,30,1,3,2
"464",0,37,1,5,1
"465",0,46,1,3,2
"466",0,59,0,3,1
"467",0,58,0,4,1
"468",1,23,1,3,2
"469",0,33,1,2,1
"470",0,29,1,2,3
"471",0,47,0,2,2
"472",0,51,0,2,1
"473",1,29,1,2,2
"474",0,48,0,4,2
"475",0,61,0,3,2
"476",0,25,0,5,1
"477",0,49,1,2,1
"478",0,61,1,3,3
"479",0,61,1,2,3
"480",1,34,0,4,2
"481",1,38,0,3,1
"482",0,64,1,5,1
"483",0,42,0,3,3
"484",0,45,1,2,2
"485",0,60,1,3,1
"486",1,23,1,4,0
"487",0,45,0,2,1
"488",0,24,0,4,3
"489",1,20,1,2,1
"490",0,53,1,3,2
"491",0,62,1,4,3
"492",0,25,1,3,0
"493",0,56,0,3,3
"494",0,35,0,2,0
"495",0,24,1,6,0
"496",0,62,1,3,0
"497",0,39,1,3,1
"498",0,36,0,2,3
"499",1,23,0,3,2
"500",1,27,1,3,2
"501",1,27,0,3,2
"502",0,60,1,3,2
"503",0,37,1,3,0
"504",0,35,1,3,2
"505",1,22,0,3,2
"506",0,28,1,3,2
"507",0,36,1,4,2
"508",1,19,1,5,1
"509",0,47,1,3,2
"510",0,59,0,4,2
"511",0,54,0,3,2
"512",0,39,0,2,3
"513",1,20,0,3,2
"514",1,25,1,3,1
"515",0,40,1,2,0
"516",0,36,0,2,3
"517",0,25,1,3,2
"518",0,53,1,3,1
"519",1,25,0,3,0
"520",0,62,0,4,2
"521",0,53,1,3,3
"522",0,51,1,1,3
"523",0,30,0,4,1
"524",0,58,1,2,0
"525",0,24,0,4,3
"526",0,37,0,2,0
"527",0,41,0,4,2
"528",0,46,1,4,2
"529",0,61,0,5,1
"530",0,40,1,3,3
"531",0,45,0,2,0
"532",1,18,0,4,2
"533",0,37,0,3,1
"534",0,64,1,3,1
"535",0,52,0,5,0
"536",0,21,0,5,0
"537",0,49,1,4,2
"538",0,57,0,4,2
"539",0,31,1,5,3
"540",0,39,0,2,1
"541",0,52,0,3,1
"542",0,26,0,6,2
"543",0,35,1,2,1
"544",0,29,1,3,3
"545",0,60,0,4,0
"546",0,63,1,3,2
"547",0,47,0,3,1
"548",0,51,0,3,2
"549",0,36,1,5,1
"550",0,32,0,3,1
"551",1,26,0,4,2
"552",0,24,1,2,1
"553",0,36,0,3,2
"554",0,37,0,3,2
"555",1,62,1,3,3
"556",0,38,0,3,1
"557",0,35,0,3,1
"558",0,36,1,2,1
"559",0,51,1,4,0
"560",0,65,1,3,3
"561",0,42,1,3,2
"562",0,47,0,5,1
"563",0,62,1,3,0
"564",0,42,0,2,1
"565",0,58,1,2,1
"566",1,30,0,6,0
"567",0,50,0,3,3
"568",0,36,0,4,1
"569",0,39,1,3,2
"570",0,46,0,4,2
"571",0,27,1,2,2
"572",0,19,0,3,0
"573",0,36,0,3,3
"574",0,64,1,2,2
"575",0,51,0,4,1
"576",0,40,1,2,1
"577",0,58,1,3,2
"578",1,19,0,3,3
"579",0,28,1,3,2
"580",0,28,0,2,2
"581",1,26,0,4,3
"582",0,52,1,5,1
"583",1,18,0,3,2
"584",0,63,0,2,1
"585",1,20,0,4,0
"586",0,34,0,2,1
"587",0,65,0,4,1
"588",1,32,1,4,2
"589",0,43,0,3,0
"590",0,37,0,5,3
"591",0,44,0,3,1
"592",1,21,1,3,2
"593",0,62,1,2,2
"594",0,33,0,3,3
"595",0,57,0,4,2
"596",0,46,1,3,2
"597",1,28,0,3,0
"598",1,35,1,4,1
"599",0,40,1,4,2
"600",0,29,0,2,2
"601",0,61,0,2,1
"602",1,24,0,4,1
"603",0,52,0,3,2
"604",0,44,1,3,1
"605",0,53,1,4,3
"606",0,37,0,3,2
"607",0,54,1,2,0
"608",0,42,1,4,1
"609",0,45,1,2,0
"610",0,64,1,3,0
"611",0,59,0,5,1
"612",0,27,0,4,2
"613",0,49,0,3,2
"614",0,54,0,5,3
"615",0,65,1,5,2
"616",0,47,0,4,2
"617",1,34,1,4,1
"618",0,48,0,5,0
"619",0,54,0,3,3
"620",1,19,1,2,2
"621",0,48,0,3,1
"622",0,20,0,1,0
"623",0,39,0,2,2
"624",0,62,1,3,2
"625",0,37,1,4,2
"626",0,38,0,4,1
"627",0,45,1,2,3
"628",0,49,1,5,2
"629",0,56,0,5,3
"630",1,30,1,2,2
"631",0,38,1,3,3
"632",0,19,0,2,2
"633",0,47,1,2,2
"634",1,20,1,2,2
"635",1,22,0,3,2
"636",0,51,1,3,2
"637",1,19,0,3,3
"638",0,46,0,2,3
"639",0,37,0,5,2
"640",0,50,1,1,0
"641",1,22,0,3,1
"642",0,43,1,6,0
"643",0,54,0,5,1
"644",0,34,1,4,2
"645",0,64,0,3,1
"646",0,59,0,3,2
"647",0,60,1,2,2
"648",0,27,0,2,1
"649",0,35,1,3,2
"650",0,56,1,4,1
"651",1,22,1,4,1
"652",0,59,1,3,1
"653",0,64,0,4,1
"654",0,45,0,2,1
"655",0,38,0,5,1
"656",0,62,0,2,0
"657",0,63,1,2,3
"658",0,49,1,2,2
"659",0,55,0,2,3
"660",0,40,0,4,0
"661",0,27,1,4,0
"662",1,40,0,3,3
"663",1,27,0,3,1
"664",0,46,1,3,3
"665",0,30,1,2,1
"666",0,63,1,3,3
"667",1,26,1,5,2
"668",0,57,1,3,2
"669",0,41,0,4,1
"670",0,57,1,3,1
"671",1,27,0,4,3
"672",0,42,1,4,2
"673",0,61,1,5,1
"674",0,53,1,2,0
"675",0,29,1,3,1
"676",1,23,1,4,3
"677",0,44,1,3,3
"678",0,61,1,3,3
"679",0,62,1,4,2
"680",0,34,0,3,0
"681",0,50,0,3,1
"682",0,41,0,3,1
"683",0,56,0,2,1
"684",0,27,1,2,2
"685",0,51,1,4,0
"686",0,47,0,3,2
"687",0,24,1,2,2
"688",0,55,1,3,1
"689",1,22,0,3,3
"690",0,28,0,3,1
"691",0,58,0,3,0
"692",0,46,0,2,1
"693",0,65,1,4,1
"694",0,65,0,3,1
"695",0,60,0,2,2
"696",0,52,0,3,3
"697",0,56,1,3,3
"698",0,64,0,3,2
"699",1,19,0,2,2
"700",0,28,0,4,3
"701",0,44,1,2,2
"702",0,37,0,3,2
"703",1,21,0,4,1
"704",0,23,0,3,2
"705",0,45,1,3,2
"706",0,32,0,2,1
"707",1,27,0,4,2
"708",1,35,1,3,2
"709",0,54,1,4,1
"710",0,46,0,2,2
"711",0,49,1,3,0
"712",0,30,1,4,1
"713",0,63,1,2,1
"714",0,51,0,4,1
"715",1,29,1,4,2
"716",0,49,1,4,1
"717",1,40,1,4,3
"718",1,23,0,7,3
"719",0,49,1,3,3
"720",0,34,1,3,1
"721",0,65,1,3,2
"722",0,52,1,3,2
"723",0,33,1,3,0
"724",0,48,1,3,1
"725",0,41,0,4,0
"726",0,58,0,4,2
"727",0,44,1,3,1
"728",0,64,1,3,0
"729",1,24,1,3,2
"730",0,35,0,4,0
"731",0,28,1,3,3
"732",0,50,1,4,2
"733",0,48,0,4,1
"734",0,26,0,3,2
"735",0,51,0,2,2
"736",0,62,0,4,0
"737",1,43,1,5,2
"738",0,51,1,2,2
"739",0,40,0,3,2
"740",0,29,0,4,1
"741",0,46,1,3,3
"742",1,55,1,5,1
"743",1,21,0,5,1
"744",0,44,0,3,1
"745",0,40,0,6,1
"746",0,63,0,3,1
"747",0,64,1,4,1
"748",0,63,0,5,1
"749",0,35,0,2,0
"750",1,25,1,2,2
"751",0,39,1,1,1
"752",0,49,1,4,1
"753",0,53,1,4,2
"754",0,37,0,4,1
"755",0,65,0,3,0
"756",0,62,0,5,1
"757",0,45,0,2,1
"758",0,36,1,5,2
"759",0,42,0,5,1
"760",1,43,0,3,0
"761",0,56,1,3,1
"762",0,32,1,3,0
"763",0,62,1,2,1
"764",0,57,0,3,3
"765",0,63,1,5,2
"766",0,60,0,7,0
"767",0,42,0,3,0
"768",0,64,0,2,2
"769",1,29,1,3,1
"770",1,22,0,2,0
"771",0,38,1,3,0
"772",0,36,1,3,1
"773",0,61,1,3,1
"774",0,40,1,3,3
"775",1,38,0,3,0
"776",1,27,0,3,3
"777",0,41,0,3,3
"778",1,27,0,4,0
"779",0,45,1,2,3
"780",1,19,0,2,0
"781",0,59,0,4,1
"782",0,55,0,4,2
"783",1,19,0,4,3
"784",0,24,1,3,3
"785",0,43,0,3,1
"786",0,35,0,2,3
"787",1,23,1,4,2
"788",0,59,1,2,0
"789",0,63,0,2,1
"790",0,49,0,3,2
"791",0,63,0,3,2
"792",0,59,1,3,0
"793",1,27,0,3,1
"794",0,24,0,3,1
"795",1,20,0,2,1
"796",1,23,0,4,2
"797",0,51,1,2,2
"798",0,62,1,3,3
"799",0,56,1,2,3
"800",0,32,0,2,2
"801",1,27,1,3,1
"802",0,37,1,2,2
"803",0,59,1,5,1
"804",1,37,1,2,1
"805",1,23,0,3,0
"806",0,65,0,4,2
"807",0,60,0,2,1
"808",1,33,1,2,3
"809",0,42,1,3,1
"810",0,57,1,3,0
"811",1,38,1,5,2
"812",0,54,0,2,2
"813",0,46,1,2,2
"814",0,47,0,2,2
"815",0,38,0,3,1
"816",0,32,1,4,2
"817",0,34,1,4,0
"818",1,22,0,2,2
"819",0,29,1,3,0
"820",0,29,1,7,2
"821",0,59,1,3,1
"822",1,25,1,4,2
"823",0,52,1,6,2
"824",0,42,1,4,2
"825",0,23,0,3,3
"826",0,25,0,2,1
"827",0,35,1,4,3
"828",0,50,0,4,1
"829",0,33,1,3,2
"830",1,23,0,4,3
"831",1,33,1,3,2
"832",0,57,1,2,2
"833",1,25,1,2,2
"834",0,52,0,2,0
"835",0,29,0,4,0
"836",0,29,1,4,3
"837",0,36,1,1,3
"838",0,49,1,2,2
"839",0,50,0,3,2
"840",0,40,1,4,0
"841",1,38,0,6,2
"842",1,35,1,3,2
"843",0,57,0,2,1
"844",0,61,0,4,2
"845",0,23,0,2,1
"846",0,44,1,4,2
"847",0,31,1,3,1
"848",0,40,1,5,2
"849",0,38,0,4,3
"850",0,52,1,3,2
"851",0,21,1,3,0
"852",0,40,1,3,0
"853",0,26,1,3,1
"854",0,31,0,1,3
"855",0,63,0,3,2
"856",0,43,1,4,1
"857",0,37,1,4,2
"858",0,41,0,5,2
"859",0,55,0,4,1
"860",0,54,0,3,1
"861",1,20,1,3,0
"862",0,43,1,3,1
"863",0,56,0,4,1
"864",1,36,0,2,2
"865",0,50,0,3,2
"866",0,20,1,2,0
"867",1,27,0,4,1
"868",0,49,0,3,1
"869",0,47,0,5,3
"870",0,38,1,3,1
"871",1,19,1,5,1
"872",0,57,0,2,1
"873",0,52,1,2,0
"874",0,36,0,4,2
"875",0,25,1,2,2
"876",0,49,0,5,1
"877",0,35,1,3,2
"878",0,51,1,3,3
"879",0,45,1,4,1
"880",0,42,1,3,2
"881",0,19,0,3,0
"882",0,36,1,2,0
"883",0,37,1,3,0
"884",0,21,1,2,1
"885",0,56,0,4,1
"886",0,24,1,3,2
"887",0,53,0,2,0
"888",0,64,0,3,3
"889",0,51,1,3,2
"890",0,46,1,3,1
"891",1,20,1,3,3
"892",0,59,1,4,3
"893",0,32,0,2,2
"894",0,62,0,3,2
"895",1,25,1,2,1
"896",1,21,0,6,2
"897",0,41,1,2,2
"898",0,25,1,3,1
"899",0,63,0,5,1
"900",0,25,1,6,1
"901",0,39,1,3,2
"902",1,23,1,3,2
"903",1,22,1,3,2
"904",0,34,1,3,2
"905",0,37,1,4,0
"906",0,53,0,2,2
"907",0,43,1,3,2
"908",1,29,1,3,1
"909",0,50,1,3,2
"910",0,63,1,3,2
"911",0,54,1,3,2
"912",0,44,1,2,2
"913",0,47,0,4,1
"914",0,59,1,3,0
"915",0,39,0,4,2
"916",1,20,0,3,3
"917",0,40,0,5,2
"918",0,18,1,4,1
"919",0,33,0,3,1
"920",1,27,0,5,3
"921",1,29,0,2,1
"922",1,29,1,3,3
"923",0,58,0,2,2
"924",1,30,1,3,0
"925",0,47,0,2,1
"926",0,60,1,3,3
"927",0,34,1,2,2
"928",0,29,0,3,1
"929",0,43,0,2,0
"930",0,35,0,2,0
"931",0,56,1,2,2
"932",0,51,1,3,3
"933",1,24,0,2,1
"934",0,30,0,4,2
"935",1,23,0,3,1
"936",0,39,1,3,3
"937",0,47,0,2,1
"938",0,34,0,3,1
"939",1,27,0,2,2
"940",0,55,0,3,1
"941",0,29,0,4,0
"942",0,47,1,4,1
"943",1,36,0,4,2
"944",0,21,0,3,2
"945",0,35,0,3,2
"946",1,18,0,2,2
"947",0,25,0,3,0
"948",0,53,0,3,1
"949",0,42,1,2,3
"950",0,52,1,4,1
"951",0,44,1,6,1
"952",1,21,1,7,1
"953",0,57,1,3,2
"954",0,65,1,2,2
"955",0,53,0,3,2
"956",0,31,0,3,3
"957",0,50,1,3,2
"958",1,18,1,3,1
"959",1,36,0,3,2
"960",0,63,0,3,1
"961",1,19,0,4,1
"962",0,34,0,3,1
"963",0,52,0,3,3
"964",0,54,1,3,0
"965",0,54,0,4,0
"966",1,25,1,2,3
"967",0,58,0,3,3
"968",0,64,1,3,1
"969",0,61,0,4,0
"970",0,41,1,2,3
"971",0,54,0,5,3
"972",0,37,0,3,1
"973",1,25,0,5,1
"974",0,55,1,4,2
"975",0,50,1,5,3
"976",0,59,1,3,1
"977",0,56,0,4,2
"978",0,39,1,5,2
"979",0,19,0,3,2
"980",0,28,1,3,2
"981",0,45,1,4,2
"982",1,22,0,3,0
"983",0,39,1,4,0
"984",0,30,0,2,1
"985",0,59,0,3,2
"986",0,59,0,5,3
"987",0,28,0,2,2
"988",1,27,0,4,1
"989",1,30,0,3,2
"990",0,38,0,2,2
"991",0,31,1,2,1
"992",1,26,1,3,0
"993",0,44,0,6,2
"994",0,56,0,3,2
"995",1,26,0,3,3
"996",1,30,0,2,1
"997",0,45,0,3,2
"998",0,38,1,2,2
"999",0,58,0,2,1
"1000",0,25,0,5,2
"1001",0,55,0,4,1
"1002",1,33,1,2,1
"1003",0,42,0,5,3
"1004",1,32,0,2,1
"1005",0,54,1,3,1
"1006",0,43,0,2,3
"1007",0,54,1,4,3
"1008",0,35,1,4,0
"1009",0,65,0,2,1
"1010",0,41,0,2,3
"1011",0,33,1,2,1
"1012",0,56,1,3,1
"1013",0,64,0,4,1
"1014",0,61,0,3,1
"1015",0,29,1,5,1
"1016",0,64,0,2,1
"1017",0,21,1,3,0
"1018",0,35,1,3,2
"1019",0,42,0,2,1
"1020",0,52,1,4,1
"1021",1,34,0,5,2
"1022",0,37,1,3,1
"1023",0,47,1,2,0
"1024",0,57,0,4,1
"1025",0,21,0,4,1
"1026",0,56,0,2,2
"1027",0,20,0,2,1
"1028",0,52,1,3,2
"1029",0,51,1,3,0
"1030",0,36,1,4,3
"1031",0,60,1,3,1
"1032",0,40,0,3,0
"1033",0,47,0,3,2
"1034",0,57,0,3,2
"1035",1,20,1,2,1
"1036",0,41,0,5,1
"1037",0,36,1,3,0
"1038",0,39,1,3,3
"1039",0,63,1,3,1
"1040",0,45,0,2,0
"1041",0,41,0,5,2
"1042",0,24,1,2,1
"1043",0,29,0,4,1
"1044",0,43,0,3,2
"1045",0,34,0,4,1
"1046",0,60,1,4,2
"1047",1,21,0,4,0
"1048",0,64,1,4,3
"1049",0,32,0,2,2
"1050",1,28,0,2,2
"1051",0,59,0,3,1
"1052",1,29,1,2,3
"1053",0,24,0,2,2
"1054",1,31,1,2,1
"1055",1,47,1,3,3
"1056",0,53,1,2,2
"1057",0,42,0,3,2
"1058",0,20,0,2,3
"1059",1,21,0,5,1
"1060",0,39,0,3,2
"1061",0,40,1,3,2
"1062",0,46,0,2,1
"1063",1,18,1,4,1
"1064",1,26,0,2,3
"1065",0,64,0,4,1
"1066",0,45,0,5,0
"1067",0,50,1,2,2
