season,club,home_win,away_win,home_loss,away_loss,matches_won,matches_lost,matches_drawn,total_matches,points,home_goals,away_goals,goals_scored,goals_conceded,goal_difference
1972-73,Granada,8,1,3,11,9,14,11,34,38,20,5,25,32,-7
1972-73,Real Oviedo,7,2,3,10,9,13,12,34,39,18,15,33,44,-11
1972-73,Celta de Vigo,10,0,3,12,10,15,9,34,39,22,8,30,37,-7
1972-73,Sporting de Gijon,10,1,2,14,11,16,7,34,40,26,6,32,37,-5
1972-73,Las Palmas,9,2,3,11,11,14,9,34,42,23,15,38,44,-6
1972-73,Real Zaragoza,9,1,3,7,10,10,14,34,44,28,8,36,36,0
1972-73,CD Malaga,9,2,3,9,11,12,11,34,44,23,10,33,29,4
1972-73,Athletic Club,11,1,2,11,12,13,9,34,45,27,14,41,38,3
1972-73,Valencia,9,3,4,8,12,12,10,34,46,22,15,37,33,4
1972-73,Real Sociedad,11,2,2,11,13,13,8,34,47,27,10,37,39,-2
1972-73,Castellon,11,2,3,9,13,12,9,34,48,34,10,44,38,6
1972-73,Real Madrid,11,6,1,7,17,8,9,34,60,28,17,45,29,16
1972-73,Espanyol,13,4,0,6,17,6,11,34,62,35,13,48,27,21
1972-73,Barcelona,12,6,1,5,18,6,10,34,64,28,13,41,21,20
1972-73,Atletico de Madrid,11,9,3,3,20,6,8,34,68,30,19,49,29,20
1973-74,Real Oviedo,7,2,5,14,9,19,6,34,33,16,13,29,52,-23
1973-74,Racing de Santander,7,1,2,13,8,15,11,34,35,24,12,36,54,-18
1973-74,Castellon,8,1,2,12,9,14,11,34,38,21,7,28,46,-18
1973-74,Murcia,8,2,3,12,10,15,9,34,39,19,8,27,37,-10
1973-74,Elche,9,2,2,14,11,16,7,34,40,13,12,25,33,-8
1973-74,Celta de Vigo,12,0,5,11,12,16,6,34,42,30,13,43,49,-6
1973-74,Sporting de Gijon,12,1,4,13,13,17,4,34,43,35,14,49,59,-10
1973-74,Valencia,9,4,4,10,13,14,7,34,46,27,14,41,33,8
1973-74,Las Palmas,13,1,1,14,14,15,5,34,47,22,6,28,35,-7
1973-74,Espanyol,12,1,1,12,13,13,8,34,47,24,10,34,38,-4
1973-74,Real Madrid,11,2,2,11,13,13,8,34,47,34,14,48,38,10
1973-74,CD Malaga,11,1,2,8,12,10,12,34,48,22,9,31,32,-1
1973-74,Granada,10,2,1,9,12,10,12,34,48,25,9,34,35,-1
1973-74,Athletic Club,13,2,2,10,15,12,7,34,52,29,6,35,31,4
1973-74,Real Sociedad,12,4,1,10,16,11,7,34,55,32,14,46,45,1
1973-74,Real Zaragoza,14,2,0,10,16,10,8,34,56,41,10,51,38,13
1973-74,Atletico de Madrid,14,4,1,9,18,10,6,34,60,36,14,50,31,19
1973-74,Barcelona,15,6,0,5,21,5,8,34,71,49,26,75,24,51
1974-75,Murcia,6,1,4,14,7,18,9,34,30,22,9,31,66,-35
1974-75,Celta de Vigo,10,0,2,12,10,14,10,34,40,24,6,30,41,-11
1974-75,Granada,9,1,1,12,10,13,11,34,41,27,8,35,47,-12
1974-75,Sporting de Gijon,10,1,2,11,11,13,10,34,43,28,12,40,40,0
1974-75,CD Malaga,12,1,2,14,13,16,5,34,44,26,7,33,42,-9
1974-75,Las Palmas,12,0,1,13,12,14,8,34,44,30,11,41,39,2
1974-75,Valencia,10,2,2,12,12,14,8,34,44,30,23,53,48,5
1974-75,Salamanca,9,1,2,7,10,9,15,34,45,20,13,33,29,4
1974-75,Athletic Club,12,1,2,12,13,14,7,34,46,30,10,40,42,-2
1974-75,Atletico de Madrid,11,0,0,10,11,10,13,34,46,36,10,46,34,12
1974-75,Elche,12,1,3,10,13,13,8,34,47,25,10,35,44,-9
1974-75,Espanyol,13,1,3,12,14,15,5,34,47,30,8,38,47,-9
1974-75,Hercules,7,4,3,6,11,9,14,34,47,22,15,37,36,1
1974-75,Betis,12,2,1,13,14,14,6,34,48,24,11,35,41,-6
1974-75,Real Sociedad,10,2,0,10,12,10,12,34,48,27,10,37,32,5
1974-75,Barcelona,12,3,0,12,15,12,7,34,52,42,15,57,36,21
1974-75,Real Zaragoza,13,2,0,11,15,11,8,34,53,45,13,58,47,11
1974-75,Real Madrid,15,5,0,4,20,4,10,34,70,42,24,66,34,32
1975-76,Sporting de Gijon,7,0,4,13,7,17,10,34,31,30,11,41,46,-5
1975-76,Granada,7,1,4,12,8,16,10,34,34,19,10,29,50,-21
1975-76,Elche,8,0,2,12,8,14,12,34,36,28,10,38,49,-11
1975-76,Real Oviedo,10,1,4,14,11,18,5,34,38,33,8,41,45,-4
1975-76,Real Zaragoza,11,0,4,11,11,15,8,34,41,33,12,45,43,2
1975-76,Las Palmas,9,3,3,13,12,16,6,34,42,31,8,39,43,-4
1975-76,Valencia,9,3,3,11,12,14,8,34,44,25,18,43,41,2
1975-76,Sevilla,12,1,1,14,13,15,6,34,45,29,6,35,39,-4
1975-76,Racing de Santander,13,1,1,15,14,16,4,34,46,34,11,45,56,-11
1975-76,Salamanca,9,3,2,10,12,12,10,34,46,22,9,31,33,-2
1975-76,Real Sociedad,10,2,1,11,12,12,10,34,46,33,12,45,45,0
1975-76,Hercules,10,2,1,9,12,10,12,34,48,21,12,33,37,-4
1975-76,Betis,12,3,3,11,15,14,5,34,50,23,11,34,50,-16
1975-76,Athletic Club,14,0,0,9,14,9,11,34,53,28,15,43,38,5
1975-76,Espanyol,15,3,1,11,18,12,4,34,58,34,14,48,45,3
1975-76,Atletico de Madrid,14,4,0,10,18,10,6,34,60,40,20,60,38,22
1975-76,Barcelona,15,3,0,9,18,9,7,34,61,41,20,61,41,20
1975-76,Real Madrid,15,5,1,5,20,6,8,34,68,37,17,54,26,28
1976-77,CD Malaga,5,1,7,15,6,22,6,34,24,15,12,27,60,-33
1976-77,Celta de Vigo,9,0,1,13,9,14,11,34,38,16,6,22,40,-18
1976-77,Real Zaragoza,9,1,2,12,10,14,10,34,40,29,13,42,51,-9
1976-77,Racing de Santander,10,2,1,14,12,15,7,34,43,28,13,41,62,-21
1976-77,Hercules,11,0,1,12,11,13,10,34,43,27,8,35,41,-6
1976-77,Elche,10,1,2,10,11,12,11,34,44,30,15,45,47,-2
1976-77,Sevilla,10,1,3,8,11,11,12,34,45,22,10,32,39,-7
1976-77,Salamanca,9,4,3,12,13,15,6,34,45,20,10,30,34,-4
1976-77,Burgos,12,2,2,14,14,16,4,34,46,33,13,46,50,-4
1976-77,Real Madrid,9,3,3,9,12,12,10,34,46,36,21,57,53,4
1976-77,Real Sociedad,12,1,0,13,13,13,8,34,47,40,14,54,41,13
1976-77,Valencia,10,3,3,8,13,11,10,34,49,34,19,53,47,6
1976-77,Espanyol,13,1,2,10,14,12,8,34,50,40,21,61,59,2
1976-77,Betis,12,3,3,10,15,13,6,34,51,26,16,42,42,0
1976-77,Las Palmas,13,2,1,12,15,13,6,34,51,42,14,56,51,5
1976-77,Athletic Club,12,3,2,9,15,11,8,34,53,39,16,55,45,10
1976-77,Barcelona,13,5,1,6,18,7,9,34,63,53,16,69,34,35
1976-77,Atletico de Madrid,13,6,2,5,19,7,8,34,65,44,18,62,33,29
1977-78,Cadiz,7,0,5,14,7,19,8,34,29,20,10,30,69,-39
1977-78,Elche,10,1,5,13,11,18,5,34,38,31,13,44,66,-22
1977-78,Hercules,9,1,2,12,10,14,10,34,40,22,10,32,40,-8
1977-78,Burgos,10,0,1,12,10,13,11,34,41,25,8,33,47,-14
1977-78,Betis,10,1,2,13,11,15,8,34,41,34,17,51,52,-1
1977-78,Racing de Santander,10,1,1,13,11,14,9,34,42,25,4,29,45,-16
1977-78,Espanyol,11,1,4,12,12,16,6,34,42,32,16,48,60,-12
1977-78,Rayo Vallecano,12,0,1,12,12,13,9,34,45,39,11,50,59,-9
1977-78,Real Sociedad,10,2,2,11,12,13,9,34,45,40,12,52,46,6
1977-78,Sevilla,12,1,1,12,13,13,8,34,47,26,12,38,45,-7
1977-78,Las Palmas,8,4,2,9,12,11,11,34,47,29,14,43,41,2
1977-78,Salamanca,10,4,4,10,14,14,6,34,48,19,18,37,40,-3
1977-78,Atletico de Madrid,14,2,2,12,16,14,4,34,52,41,20,61,52,9
1977-78,Sporting de Gijon,12,3,1,9,15,10,9,34,54,36,17,53,43,10
1977-78,Valencia,13,3,2,9,16,11,7,34,55,42,12,54,33,21
1977-78,Athletic Club,14,2,0,10,16,10,8,34,56,42,20,62,36,26
1977-78,Barcelona,13,3,1,8,16,9,9,34,57,37,12,49,29,20
1977-78,Real Madrid,15,7,0,9,22,9,3,34,69,48,29,77,40,37
1978-79,Recreativo de Huelva,7,1,7,14,8,21,5,34,29,28,11,39,66,-27
1978-79,Racing de Santander,7,2,6,15,9,21,4,34,31,24,13,37,63,-26
1978-79,Celta de Vigo,8,1,2,13,9,15,10,34,37,28,7,35,55,-20
1978-79,Rayo Vallecano,8,1,3,11,9,14,11,34,38,22,9,31,54,-23
1978-79,Burgos,7,3,2,10,10,12,12,34,42,16,22,38,47,-9
1978-79,Real Zaragoza,12,0,2,14,12,16,6,34,42,43,13,56,59,-3
1978-79,Hercules,11,2,3,12,13,15,6,34,45,22,10,32,38,-6
1978-79,Sevilla,10,2,2,11,12,13,9,34,45,27,20,47,48,-1
1978-79,Athletic Club,11,1,2,10,12,12,10,34,46,42,14,56,46,10
1978-79,Salamanca,11,2,1,12,13,13,8,34,47,25,11,36,40,-4
1978-79,Valencia,12,2,1,12,14,13,7,34,49,32,12,44,39,5
1978-79,Espanyol,13,2,2,12,15,14,5,34,50,24,13,37,46,-9
1978-79,Las Palmas,10,4,2,9,14,11,9,34,51,29,20,49,43,6
1978-79,Barcelona,14,2,2,10,16,12,6,34,54,54,15,69,37,32
1978-79,Atletico de Madrid,9,5,1,6,14,7,13,34,55,31,24,55,37,18
1978-79,Real Sociedad,14,4,2,9,18,11,5,34,59,34,19,53,36,17
1978-79,Sporting de Gijon,14,3,1,7,17,8,9,34,60,36,14,50,35,15
1978-79,Real Madrid,12,4,0,3,16,3,15,34,63,39,22,61,36,25
1979-80,Burgos,4,1,4,15,5,19,10,34,25,16,13,29,61,-32
1979-80,CD Malaga,7,1,6,13,8,19,6,33,30,15,13,28,58,-30
1979-80,Rayo Vallecano,7,2,6,11,9,17,8,34,35,28,18,46,61,-15
1979-80,Hercules,7,1,3,11,8,14,12,34,36,26,10,36,39,-3
1979-80,Espanyol,7,2,3,10,9,13,12,34,39,17,11,28,37,-9
1979-80,AD Almeria,9,1,0,12,10,12,11,33,41,29,12,41,50,-9
1979-80,Atletico de Madrid,8,2,4,9,10,13,11,34,41,24,14,38,44,-6
1979-80,Las Palmas,11,2,2,13,13,15,6,34,45,30,6,36,49,-13
1979-80,Real Zaragoza,9,4,3,11,13,14,7,34,46,29,14,43,40,3
1979-80,Salamanca,9,4,4,9,13,13,8,34,47,26,11,37,37,0
1979-80,Betis,11,1,2,8,12,10,12,34,48,29,13,42,40,2
1979-80,Sevilla,13,1,1,13,14,14,6,34,48,37,13,50,47,3
1979-80,Valencia,11,1,0,10,12,10,12,34,48,37,13,50,42,8
1979-80,Athletic Club,14,1,2,12,15,14,5,34,50,42,10,52,44,8
1979-80,Barcelona,12,1,1,8,13,9,12,34,51,25,17,42,33,9
1979-80,Sporting de Gijon,10,6,3,8,16,11,7,34,55,27,20,47,34,13
1979-80,Real Sociedad,13,6,0,1,19,1,14,34,71,36,18,54,20,34
1979-80,Real Madrid,15,7,0,3,22,3,9,34,75,49,21,70,33,37
1980-81,AD Almeria,6,0,5,16,6,21,7,34,25,21,9,30,66,-36
1980-81,Salamanca,7,0,7,13,7,20,7,34,28,22,10,32,67,-35
1980-81,Murcia,5,3,6,13,8,19,7,34,31,19,16,35,49,-14
1980-81,Real Zaragoza,6,3,6,8,9,14,11,34,38,21,10,31,44,-13
1980-81,Las Palmas,6,6,8,10,12,18,4,34,40,24,23,47,61,-14
1980-81,Hercules,6,4,6,8,10,14,10,34,40,23,19,42,48,-6
1980-81,Valladolid,8,1,4,8,9,12,13,34,40,24,16,40,46,-6
1980-81,Osasuna,11,1,4,10,12,14,8,34,44,24,11,35,46,-11
1980-81,Espanyol,10,4,2,12,14,14,6,34,48,22,15,37,42,-5
1980-81,Athletic Club,10,4,4,9,14,13,7,34,49,44,20,64,53,11
1980-81,Sevilla,12,2,0,11,14,11,9,34,51,22,12,34,42,-8
1980-81,Sporting de Gijon,12,2,1,9,14,10,10,34,52,43,15,58,40,18
1980-81,Betis,10,7,2,9,17,11,6,34,57,30,25,55,38,17
1980-81,Atletico de Madrid,11,5,2,6,16,8,10,34,58,28,18,46,39,7
1980-81,Valencia,12,5,1,8,17,9,8,34,59,41,18,59,41,18
1980-81,Barcelona,13,5,3,8,18,11,5,34,59,43,23,66,41,25
1980-81,Real Sociedad,13,6,1,7,19,8,7,34,64,33,19,52,29,23
1980-81,Real Madrid,15,5,1,8,20,9,5,34,65,46,20,66,37,29
1981-82,Castellon,2,1,10,15,3,25,6,34,15,15,18,33,82,-49
1981-82,Hercules,7,4,7,11,11,18,5,34,38,26,15,41,52,-11
1981-82,Sporting de Gijon,9,1,5,10,10,15,9,34,39,27,11,38,44,-6
1981-82,Las Palmas,9,2,3,13,11,16,7,34,40,27,14,41,53,-12
1981-82,Cadiz,12,1,2,16,13,18,3,34,42,24,7,31,47,-16
1981-82,Racing de Santander,11,1,5,9,12,14,8,34,44,30,11,41,52,-11
1981-82,Espanyol,10,3,5,10,13,15,6,34,45,28,20,48,55,-7
1981-82,Valladolid,12,1,2,11,13,13,8,34,47,27,13,40,53,-13
1981-82,Real Zaragoza,8,5,1,12,13,13,8,34,47,31,14,45,56,-11
1981-82,Osasuna,10,4,4,10,14,14,6,34,48,31,14,45,45,0
1981-82,Atletico de Madrid,12,3,3,12,15,15,4,34,49,25,13,38,37,1
1981-82,Sevilla,10,5,2,12,15,14,5,34,50,35,17,52,39,13
1981-82,Betis,12,3,3,10,15,13,6,34,51,34,19,53,44,9
1981-82,Valencia,15,2,1,11,17,12,5,34,56,37,17,54,46,8
1981-82,Athletic Club,14,4,1,11,18,12,4,34,58,46,17,63,41,22
1981-82,Real Madrid,13,5,0,8,18,8,8,34,62,39,18,57,34,23
1981-82,Barcelona,14,5,1,7,19,8,7,34,64,49,26,75,40,35
1981-82,Real Sociedad,15,5,0,7,20,7,7,34,67,37,21,58,33,25
1982-83,Las Palmas,7,0,4,12,7,16,11,34,32,24,8,32,55,-23
1982-83,Racing de Santander,8,1,4,16,9,20,5,34,32,32,12,44,63,-19
1982-83,Celta de Vigo,7,2,7,12,9,19,6,34,33,17,10,27,56,-29
1982-83,Valencia,9,0,3,15,9,18,7,34,34,28,14,42,56,-14
1982-83,Osasuna,10,0,3,15,10,18,6,34,36,30,9,39,54,-15
1982-83,Salamanca,9,1,4,12,10,16,8,34,38,20,11,31,48,-17
1982-83,Valladolid,9,0,4,10,9,14,11,34,38,23,11,34,51,-17
1982-83,Betis,7,2,3,10,9,13,12,34,39,28,14,42,45,-3
1982-83,CD Malaga,9,1,4,10,10,14,10,34,40,24,13,37,48,-11
1982-83,Sporting de Gijon,7,2,1,9,9,10,15,34,42,20,11,31,32,-1
1982-83,Espanyol,11,2,3,12,13,15,6,34,45,31,14,45,47,-2
1982-83,Real Sociedad,10,2,1,9,12,10,12,34,48,21,8,29,27,2
1982-83,Sevilla,11,4,1,6,15,7,12,34,57,27,17,44,31,13
1982-83,Real Zaragoza,12,5,2,9,17,11,6,34,57,40,19,59,39,20
1982-83,Barcelona,11,6,2,5,17,7,10,34,61,31,29,60,29,31
1982-83,Atletico de Madrid,12,8,0,8,20,8,6,34,66,28,28,56,38,18
1982-83,Real Madrid,15,5,1,4,20,5,9,34,69,35,22,57,25,32
1982-83,Athletic Club,15,7,1,5,22,6,6,34,72,48,23,71,36,35
1983-84,Mallorca,2,1,5,11,3,16,15,34,24,17,10,27,56,-29
1983-84,Salamanca,5,0,5,14,5,19,10,34,25,21,9,30,59,-29
1983-84,Cadiz,5,1,6,12,6,18,10,34,28,22,14,36,51,-15
1983-84,Osasuna,9,2,3,14,11,17,6,34,39,25,5,30,44,-14
1983-84,Valladolid,10,1,3,13,11,16,7,34,40,28,16,44,60,-16
1983-84,Sporting de Gijon,7,4,4,11,11,15,8,34,41,24,14,38,47,-9
1983-84,Murcia,9,1,3,9,10,12,12,34,42,27,15,42,38,4
1983-84,Espanyol,8,2,3,8,10,11,13,34,43,26,16,42,44,-2
1983-84,Valencia,7,5,5,9,12,14,8,34,44,27,18,45,47,-2
1983-84,CD Malaga,10,1,3,9,11,12,11,34,44,32,9,41,35,6
1983-84,Sevilla,12,1,2,11,13,13,8,34,47,31,11,42,43,-1
1983-84,Real Zaragoza,8,4,5,6,12,11,11,34,47,31,19,50,41,9
1983-84,Real Sociedad,11,3,4,7,14,11,9,34,51,22,21,43,35,8
1983-84,Betis,15,2,0,13,17,13,4,34,55,33,12,45,40,5
1983-84,Atletico de Madrid,12,5,2,7,17,9,8,34,59,31,22,53,47,6
1983-84,Barcelona,12,8,1,5,20,6,8,34,68,38,24,62,28,34
1983-84,Athletic Club,14,6,1,4,20,5,9,34,69,40,13,53,30,23
1983-84,Real Madrid,13,9,1,6,22,7,5,34,71,34,25,59,37,22
1984-85,Murcia,5,1,8,10,6,18,10,34,28,16,8,24,52,-28
1984-85,Elche,5,1,3,11,6,14,14,34,32,11,7,18,37,-19
1984-85,CD Malaga,5,2,4,8,7,12,15,34,36,16,7,23,36,-13
1984-85,Valladolid,4,3,4,7,7,11,16,34,37,22,17,39,45,-6
1984-85,Hercules,6,3,1,12,9,13,12,34,39,18,10,28,45,-17
1984-85,Sevilla,6,4,5,8,10,13,11,34,41,17,12,29,41,-12
1984-85,Betis,6,5,9,6,11,15,8,34,41,21,16,37,43,-6
1984-85,Racing de Santander,9,1,2,10,10,12,12,34,42,23,4,27,34,-7
1984-85,Valencia,5,4,3,7,9,10,15,34,42,20,20,40,37,3
1984-85,Real Zaragoza,5,6,5,7,11,12,11,34,44,20,19,39,39,0
1984-85,Espanyol,9,2,2,9,11,11,12,34,45,25,15,40,44,-4
1984-85,Real Sociedad,7,4,6,5,11,11,12,34,45,24,17,41,33,8
1984-85,Osasuna,9,4,4,9,13,13,8,34,47,26,12,38,38,0
1984-85,Real Madrid,8,5,5,6,13,11,10,34,49,30,16,46,36,10
1984-85,Sporting de Gijon,9,4,2,4,13,6,15,34,54,23,11,34,23,11
1984-85,Athletic Club,9,4,1,5,13,6,15,34,54,28,11,39,26,13
1984-85,Atletico de Madrid,9,7,4,3,16,7,11,34,59,24,27,51,28,23
1984-85,Barcelona,13,8,0,2,21,2,11,34,74,42,27,69,25,44
1985-86,Celta de Vigo,5,0,11,14,5,25,4,34,19,20,12,32,72,-40
1985-86,Hercules,7,1,5,15,8,20,6,34,30,26,9,35,62,-27
1985-86,Valencia,6,2,6,11,8,17,9,34,33,22,16,38,62,-24
1985-86,Cadiz,8,1,5,12,9,17,8,34,35,20,10,30,58,-28
1985-86,Las Palmas,8,1,4,12,9,16,9,34,36,29,8,37,65,-28
1985-86,Osasuna,7,2,6,10,9,16,9,34,36,16,8,24,33,-9
1985-86,Racing de Santander,7,3,2,11,10,13,11,34,41,25,8,33,34,-1
1985-86,Espanyol,11,0,4,10,11,14,9,34,42,35,8,43,40,3
1985-86,Valladolid,12,1,2,13,13,15,6,34,45,38,16,54,48,6
1985-86,Betis,7,4,2,8,11,10,13,34,46,23,17,40,40,0
1985-86,Sevilla,8,4,2,10,12,12,10,34,46,20,19,39,34,5
1985-86,Sporting de Gijon,8,5,2,4,13,6,15,34,54,23,14,37,27,10
1985-86,Real Sociedad,12,5,2,10,17,12,5,34,56,44,20,64,51,13
1985-86,Real Zaragoza,9,6,2,5,15,7,12,34,57,27,24,51,34,17
1985-86,Atletico de Madrid,13,4,3,6,17,9,8,34,59,32,21,53,38,15
1985-86,Athletic Club,11,6,1,7,17,8,9,34,60,32,12,44,31,13
1985-86,Barcelona,11,7,2,5,18,7,9,34,63,33,28,61,36,25
1985-86,Real Madrid,17,9,0,4,26,4,4,34,82,47,36,83,33,50
1986-87,Cadiz,9,1,7,18,10,25,9,44,39,22,9,31,59,-28
1986-87,Racing de Santander,10,2,5,18,12,23,9,44,45,31,15,46,66,-20
1986-87,Sabadell,10,2,4,14,12,18,14,44,50,24,14,38,59,-21
1986-87,Osasuna,11,1,6,12,12,18,14,44,50,27,13,40,48,-8
1986-87,Sevilla,10,4,5,14,14,19,11,44,53,34,17,51,53,-2
1986-87,Valladolid,12,3,2,16,15,18,11,44,56,27,15,42,45,-3
1986-87,Mallorca,12,3,3,14,15,17,12,44,57,32,16,48,65,-17
1986-87,Las Palmas,11,5,4,15,16,19,9,44,57,37,22,59,67,-8
1986-87,Athletic Club,12,3,4,13,15,17,12,44,57,36,15,51,50,1
1986-87,Murcia,16,1,5,15,17,20,7,44,58,39,11,50,63,-13
1986-87,Real Zaragoza,11,4,2,13,15,15,14,44,59,29,17,46,47,-1
1986-87,Sporting de Gijon,12,4,4,11,16,15,13,44,61,38,20,58,50,8
1986-87,Betis,15,3,4,13,18,17,9,44,63,40,21,61,59,2
1986-87,Atletico de Madrid,13,5,4,11,18,15,11,44,65,34,24,58,54,4
1986-87,Real Sociedad,14,5,4,12,19,16,9,44,66,42,17,59,54,5
1986-87,Espanyol,16,4,1,12,20,13,11,44,71,44,22,66,46,20
1986-87,Barcelona,19,5,1,4,24,5,15,44,87,46,17,63,29,34
1986-87,Real Madrid,16,11,1,4,27,5,12,44,93,48,36,84,37,47
1987-88,Sabadell,7,2,6,12,9,18,11,38,38,17,10,27,48,-21
1987-88,Mallorca,8,1,5,12,9,17,12,38,39,26,9,35,50,-15
1987-88,Murcia,6,3,4,12,9,16,13,38,40,17,14,31,42,-11
1987-88,Las Palmas,9,3,10,11,12,21,5,38,41,27,16,43,65,-22
1987-88,Valencia,8,2,5,10,10,15,13,38,43,26,18,44,53,-9
1987-88,Espanyol,8,3,6,10,11,16,11,38,44,28,16,44,55,-11
1987-88,Logrones,9,3,5,12,12,17,9,38,45,20,8,28,45,-17
1987-88,Cadiz,8,3,4,10,11,14,13,38,46,28,19,47,54,-7
1987-88,Betis,11,3,3,16,14,19,5,38,47,30,12,42,54,-12
1987-88,Real Zaragoza,8,3,3,10,11,13,14,38,47,32,22,54,56,-2
1987-88,Sevilla,7,6,4,10,13,14,11,38,50,23,18,41,46,-5
1987-88,Valladolid,10,3,2,11,13,13,12,38,51,17,14,31,34,-3
1987-88,Sporting de Gijon,11,3,2,12,14,14,10,38,52,32,12,44,49,-5
1987-88,Celta de Vigo,11,3,2,11,14,13,11,38,53,31,12,43,40,3
1987-88,Barcelona,9,6,7,7,15,14,9,38,54,31,18,49,44,5
1987-88,Osasuna,11,4,2,11,15,13,10,38,55,30,10,40,34,6
1987-88,Athletic Club,12,5,2,7,17,9,12,38,63,31,19,50,43,7
1987-88,Atletico de Madrid,13,6,5,4,19,9,10,38,67,32,28,60,38,22
1987-88,Real Sociedad,13,9,3,6,22,9,7,38,73,33,28,61,33,28
1987-88,Real Madrid,18,10,1,3,28,4,6,38,90,59,36,95,26,69
1988-89,Elche,3,1,11,16,4,27,7,38,19,15,14,29,71,-42
1988-89,Murcia,5,4,10,13,9,23,6,38,33,16,11,27,58,-31
1988-89,Espanyol,5,2,6,9,7,15,16,38,37,20,9,29,44,-15
1988-89,Betis,7,2,7,11,9,18,11,38,38,20,16,36,55,-19
1988-89,Cadiz,3,6,5,9,9,14,15,38,42,16,15,31,41,-10
1988-89,Logrones,6,3,4,9,9,13,16,38,43,15,10,25,37,-12
1988-89,CD Malaga,6,6,6,11,12,17,9,38,45,21,18,39,53,-14
1988-89,Real Sociedad,9,2,4,9,11,13,14,38,47,22,16,38,47,-9
1988-89,Real Oviedo,8,4,7,8,12,15,11,38,47,26,15,41,48,-7
1988-89,Sporting de Gijon,8,5,6,10,13,16,9,38,48,24,18,42,42,0
1988-89,Osasuna,9,4,4,10,13,14,11,38,50,20,19,39,43,-4
1988-89,Sevilla,9,4,4,9,13,13,12,38,51,26,12,38,39,-1
1988-89,Celta de Vigo,9,5,4,9,14,13,11,38,53,23,19,42,48,-6
1988-89,Athletic Club,11,4,3,8,15,11,12,38,57,32,13,45,35,10
1988-89,Real Zaragoza,9,6,3,7,15,10,13,38,58,22,26,48,42,6
1988-89,Valladolid,13,5,4,9,18,13,7,38,61,22,18,40,31,9
1988-89,Atletico de Madrid,13,6,2,9,19,11,8,38,65,49,20,69,45,24
1988-89,Valencia,11,7,2,5,18,7,13,38,67,27,12,39,26,13
1988-89,Barcelona,15,8,1,3,23,4,11,38,80,50,30,80,26,54
