title,date,summary
Electric,Reviewed 1 week ago ,"Thank you for your review Orlando_USA_4 and I'm delighted that you enjoyed the Players Experience Tour. We love our visitors of this tour feeling a new Barça player, presenting them at the press room and of course taking them at the Barça locker room. I...More"
Magnificent experience!,Reviewed 1 week ago ,"My husband and nephew had the privilege of watching the recent match between FC Barça and Atletico Madrid at Camp Nou on VIP tickets.

I was worried, given the enormous cost of the tickets, to read some other reviews complaining of poor catering, poor service...More"
NOU CAMP MUST SEE,Reviewed 1 week ago ,"I went to both the tour and the match in March 2019 with 2 mates. 
Iv already left a review for the tour (which was amazing and 100% worth doing for €30). But the match was breathtaking. 
They beat Espanyol 2-0, Messi scored 2. What...More"
Its ok - but not a guided tour,Reviewed 1 week ago ,"Stadium tour is ok - just left to wander around. Very tired and scruffy stadium. Staff are ok but not over friendly and the shop, as you can imagine, is very over priced"
Don't pay for the guide or the VR experience,Reviewed 1 week ago ,The tour mostly consists of spending time in the stadium museum and then a little bit of the actual stadium. Quite disappointing in comparison to other football stadiums or other sports grounds. Then you get the privilege at the end of purchasing  a replica shirt...More
Massive stadium,Reviewed 1 week ago ,Tour well worth booking as lots to see including the museum. Lots of stairs to go up and down but the view from the top row is impressive.
Needs no explanation!,Reviewed 1 week ago ,"If you are into football, then a must. You get a stadium tour and visit to the museum. My tip would be don't pay extra for the audio guide, all it really says is things like ""this is the visitors changing rooms""....""this is the press...More"
Friendly ,Reviewed 1 week ago ,"Thank you for your visit and taking the time to comment Spencer H. We’re glad that you enjoyed the overall experience. Our audio guide has 90 minutes explanations about the tour areas, videos of our best moments in history and also quiz games to play...More"
What a stadium!!,Reviewed 1 week ago ,"Considering the age of this stadium, it’s great! The only issue I had was a long walk and then a queue for the toilets! 
Excellent views from the top tier. Definitely more friendly than football in the UK!"
Camp Nou in the eyes of non-football lover,Reviewed 1 week ago ,"The tour is definitely a must! It’s incredible to see all the memorabilia and to get a sense of what the players, staff etc go through when in there. We done the tour that included virtual reality and would recommend doing that. The new stadium...More"
Not The New Tottenham Stadium but very special ,Reviewed 1 week ago ,"Colourfull & amazing football field. I am not a football lover, but i like this place & enjoy my visit to Camp Nou"
FCB Stadium Tour,Reviewed 1 week ago ,"Excellent value, a must see if you are a football fan even if the stadium looks tired, be warned €55 for 3 photos in an album seems bonkers to me, that said if you’re a Barca fan you may pay more !"
Unique experience and I'm not a big footie fan!!,Reviewed 1 week ago ,"We did the Players Experience Tour - seemed worth it since we're there! Great tour guide who was obviously a fan, his stories brought it to life, hearing about the players and training regimes etc. I'm not that into football but this was great!  Total...More"
Unforgettable,Reviewed 1 week ago ,"Totally worth it for a FC Barcelona fan, what a visit!!!
What they have achieved here is eternal!!!!!"
"Estadio Camp Nou F.C Barcelona,a must see! ",Reviewed 1 week ago ,"My beautiful wife suprised me with Barcelona trip,including Camp Nou Tour for my birthday. What a great suprise it was. She had everything planned. As a big fan of football she knows where I’d really love to be. The answer was Estadio Camp Nou F.C...More"
In my bucket list,Reviewed 1 week ago ,I am glad I went for the a Barca-Espanol game...I enjoyed every single moment...and Messi score two gols!!!!!
Waste of time,Reviewed 1 week ago ,"We visited Barcelona last month, an exciting Christmas present from my mum to my brother and I, along with our partners. My partner is a true football fan and it had been a life long dream to visit camp nou. We paid for VR and...More"
Amazing ,Reviewed 1 week ago ,Fantastic seats. Booked through Barcelona FC main site - Could not have got better. Seats were €89. Amazing!
Camp Nou's Player's Experience Tour,Reviewed 1 week ago ,"It was quite impressive to stand on the sideline of the ""holy green"" and see some of the areas hidden to the general public. The locker room of FCB was great, also the pictures that were taken by a professional at the press conference stage...More"
Amazing environment,Reviewed 1 week ago ,"This was the best football match I ever attended. Even if you are not Barcelona fan, it is worth going, such a nice environments."
Worth a visit if you a football lover and a Barca Fan!,Reviewed 1 week ago ,We visited two times. Once for the camp nou tour with players experience. this allows you access inside the stadium and yes to the dressing room of both FCB and away team. They do not allow to click photos inside the FCB dressing room. though...More
Camp Nou,Reviewed 1 week ago ,We pre-booked tickets for the guided tour and it surpassed our expectations! The guide was informative and had a great sense of humour! A great experience even for non football fans.
One of the most famous Stadium in Europe,Reviewed 1 week ago ,"I'm not a football fan, but my husband like it, so we visited this very popular place. There was no match, it was evening, so we could only see it outside. It is huge, 99,000 people can sit there. We walked around and took lots...More"
Amazing ,Reviewed 1 week ago ,"Amazing and best stadium at the world,it’s good to football lovers,big museum,club shops,and you sea all part of that and it’s good experience"
"Expensive, but great for a Barça fan.",Reviewed 1 week ago ,"On the expensive side, but a must for a Barça fan. The museum is particularly interesting and the staff are really pleasant."
Excellent guide provided a great tour of Camp Nou,Reviewed 1 week ago ,"Excellent guided tour (Guide was Laura) who presented great knowledge about the club, the stadium and a great passion for both.

We went high (press area), low (guest team dressing room), middle (the pitch) and got lots of great information.

Highly recommendable."
Worth to visit!,Reviewed 1 week ago ,"Worth to visit even if you are not into football. Basic tour was ok, but consider the time waiting in line."
Amazing :-),Reviewed 1 week ago ,"We visited barcelona and camp nou tour has been on mine and husbands bucket list, we both football mad.

Where do i start?

Staff are very friendly and helped you along the way. At the entrance the staff checked tickets to make sure it was...More"
A wonderful experience,Reviewed 1 week ago ,"This was a birthday gift for my father and my mother. After the game, it was a great experience to go to the stadium."
Fantastic,Reviewed 2 weeks ago ,"Was amazing and very good organization, try it if you love FC Barcelona, I really suggest it to real madrid fans😉😄"
Wonderful experience,Reviewed 2 weeks ago ,Massive stadium and very impressive. We did the stadium tour and i was taken back the sheer size of the stadium and how full the trophy cabinet was. It would have been excellent however i belive the price is a bit high for what it...More
"Paid full price, arrived and the tour was closed due to next day match, only had access to mueseum",Reviewed 2 weeks ago ,"Bought tickets online in the morning, nothing on the website to say the tour would be closed due to match the next day, and paid full price, arrived and only had access to the museum. When it says tour online you would expect just that...More"
Visit to fcb,Reviewed 2 weeks ago ,"The trip was good as a football fan. Great to be there in the stadium. The number of stairs to climb up and get down demand some form of fitness. The cost of souvenirs are exponentially high and spoiled the spirit.

The translator / audio...More"
Barcelona-Espanyol,Reviewed 2 weeks ago ,It is always nice to visit Camp Nou. Easy axcess and friendly atmosphere. Nice and friendly staff. And Barcelona always wins!
Soccer pilgrimage ,Reviewed 2 weeks ago ,"Could not visit Barcelona without visiting Camp Nou...we are a family of Messi fans and FCB in general. The basic tour allows you to see the museum (small and basic compared to Allianz in Munich but still cool to see the trophies), visitors locker room,...More"
Footballers Dream,Reviewed 2 weeks ago ,A really good tour of an amazing facility.  While you can spend a small fortune and gain access to the home locker room most of the rest of the facility can be accessed for a reasonable price.  The museum will take the majority of your...More
FC Barcelona football match,Reviewed 2 weeks ago ,"The atmosphere is superb, a must for all football fans. Watching Messi scoring two goals was the top of the visit"
Good experience ,Reviewed 2 weeks ago ,"Very good experience.
From ramblas you can Take the métro L3 and stop by station les corts then you need To walk 5/7 mins.

This campnou experience is really good, it allows you to Feel not only like a supporter but like a barca player....More"
Grand,Reviewed 2 weeks ago ,"Tourist trap, extra charges around every corner. (I imagine with children it would break your heart) Only real aspect that impressed me was getting to walk out onto the pitch via the players tunnel."
Day visit all things FCB,Reviewed 2 weeks ago ,Some quick tips first. Book online and save €1.5 per ticket. There is then free parking at gate 14 for the whole day. Would recommended parking then getting metro into Barcelona and going to look around the museum ground about 5 when it is way...More
Awesome experience!!,Reviewed 2 weeks ago ,This experience was one of a lifetime for any Barca fan. We did the Players Experience Tour and it was worth every penny we paid.
"Great game, beer tips",Reviewed 2 weeks ago ,"Love this place, FYI you can bring in food and some drinks. You can't bring in beer or buy it inside"
Surprisingly positive tour,Reviewed 2 weeks ago ,Not much hassle. Plenty of seeing inside. Maybe museum was heavily crowded when a guided group was around. Go to the top to see panorama and also visit to the ground level at the bench next to the field.
Father and son visit ,Reviewed 2 weeks ago ,"My second visit to this incredible stadium. Sad not to catch Messi play the first time, this time got to see him score a brace. Atmosphere was pretty good as it was a derby game (Espanyol) we also did the tour of the stadium which...More"
"overpriced but for diehard fans, it's Disneyland combined with the Holy Grail",Reviewed 2 weeks ago ,"Not my choice of attraction, but my daughter's...I knew a trip to Barcelona would entail a pilgrimage to Camp Nou and so I booked the tickets online.  Knowing what I know now, I would skip the audioguide which was truly confusing to use.  There's enough...More"
Iconic stadium but overpriced experience,Reviewed 2 weeks ago ,"The theme of the trip is not customer satisfaction, rather the ability to take as much revenue from the crowd of tourists marched through the tour like cattle. 6 euro here and there for ‘extras’ that should have formed part of the entrance fee. Compared...More"
Simply awesome!,Reviewed 2 weeks ago ,"Without any doubt Barcelona’s best sight!

The standard tour takes you though all key places on the stadium, and the museum is just breathtaking with its history and artifacts. 

We had a great day at Camp Nou!"
great place to visit for all ages,Reviewed 2 weeks ago ,got here early ticket queue was ok but lots of group bookings so hard to get in to the queue for entrance not very well signed  as to where to join the entrance queue  but one inside a great day for all ages
Recommend a visit,Reviewed 2 weeks ago ,"We went for for the basic tour. 
Great experience
You go through the museum, pitch, different rooms.
Definitely worth a visit."
Not worth the effort of going!,Reviewed 2 weeks ago ,"Given all the hype around the football club that plays here, I was very disappointed at the stadium. Having visited several, in many different places, I have certainly seen better.
I did not do the inside tour, so am unable to say how that was."
Second visit in 3 years - must go,Reviewed 2 weeks ago ,"This was my second visit to the Nou camp and I loved it as much as the first. If you are a fan, book ahead and enjoy the tour"
Mecca for Barcelona FC fan,Reviewed 2 weeks ago ,"We took the Barcelona Turistic Blue line which stopped right outside the main entrance.  Once stepped into the entrance, there are shops, eateries & lots of people. There is no guide bringing us around, everyone just follow the directions on the walls.  

Tour started with...More"
Amazing experience - both a match and the museum tour,Reviewed 2 weeks ago ,"It’s my fouth time in Barcelona watching football at Camp Nou amd visiting the museum. It’s a amazing Experience every time, eventhough you’re not a Barca Fan. This time I paid for “plus” Tour it’s with a device and audio - really good! Worth the...More"
Best team best atmosphere,Reviewed 2 weeks ago ,This is just the garden of best team in the world. Going for a game when you visit Barcelona is a must
"Save ur $$$!, Not worth it! unless you are a die hard Soccer fan of La BARCA",Reviewed 2 weeks ago ,"Tour not worth it!, they literally only give you  access to a couple of behind the scenes areas and everything about this place is about marketing, every where you go, there is the  staff waiting to take your picture, they were very aggressive about it,...More"
Camp Nou tour ,Reviewed 2 weeks ago ,I booked the tour for my boyfriends birthday and it was amazing the guide aleix was brilliant every question we asked he knew! Would definitely recommend this trip!
Best stadium in the world!,Reviewed 2 weeks ago ,You don’t have to be a football fan to appreciate how amazing Barcelona FC really are. A must see/do
Nice museum,Reviewed 2 weeks ago ,"It was an interesting visit. I enjoyed reading all the info and watching the videos. It can be crowded in the middle of the day. Better purchase tickets online and show them at the entrance. The standard ticket was enough for us. From my understanding,...More"
Cool,Reviewed 3 weeks ago ,A nice way to spend a morning touring the stadium and facilities. A good insight from the players perspective
The largest football field in Europe!,Reviewed 3 weeks ago ,"Even if you are not really interested in football, as myself, it is an interesting sight to visit. It is astonishing how “Barca” presents itself to the visitor, showing its history, athletic achievements  and highlights. A grand athletic establishment very well organized!"
Best Experience Eveeeer,Reviewed 3 weeks ago ,I made the Camp Nou experience and it was amazing! I think price is very reasonable for all that it includes and I would definitely do it again!
What an experience!,Reviewed 3 weeks ago ,"Lionel Messi, Luis Suarez, Phillipe Coutinho...and many more make for an entertaining evening of football. The stadium is iconic as is the club that plays there; FC Barcelona.

It was reasonably easy to get to the stadium, the crowd was very controlled, they subscribe to...More"
Impressive ,Reviewed 3 weeks ago ,"Wanted to visit Camp Nou for a while (sort of Bucket list wish). 
Wasn’t disappointed, used a Barcelona City Bus tour, it stopped outside the ground for easy access. 
Booked tour tickets on arrival, and was impressed with the stadium - if playing on the...More"
Not bad,Reviewed 3 weeks ago ,"Huge stadium that accomodates around 100,000 ppl. 
Got here by Hop on-off bus but decided not to visit inside the stadium. For me, the tour tickets, photos and mechandise seemed a bit pricey. But thats just me."
Great value for money,Reviewed 3 weeks ago ,"Booked in the UK and printed the tickets, worked out slightly cheaper (€26 each). Only did the self guided tour as we didn’t see the point in paying extra, and still don’t, for a guided tour. Spent around 1 1/2 hours, great history, great photos...More"
Camp Nou,Reviewed 3 weeks ago ,Worth the visit but is too expensive to enjoy the full experience. A photo book with three pictures costs €59 and a single photo €20. The museum and the camp nou experience are really good if you are a football fan.
Champions league game,Reviewed 3 weeks ago ,"What an incredible experience to have gone to a game at camp nou. Barcelona beat up on Lyon in the champions league 

100000 people all chanting and singing. What a place"
Couldn’t resist,Reviewed 3 weeks ago ,I’m not at all a football fan but I couldn’t resist taking the trip to go see what the hype was all about.
Despucable,Reviewed 3 weeks ago ,We bought 4 tickets on the Barcelona official website for a game in February and spent just over 400 euros. Shortly before the game was due they moved the date of the game to a date when we would have left the country. We went...More
LOVE,Reviewed 3 weeks ago ,"As a Barcelona Fan, visitng the Camp Nou was one of the best things I ever did;;i just wish they would let you in the field"
Worth a visit,Reviewed 3 weeks ago ,"I am not a football fan, but my husband wanted to go there. We have booked for a guided tour, but they contacted us later, saying it was overbooked. So we switched to the normal visit with audio guide instead. I think it was for...More"
A Must,Reviewed 3 weeks ago ,"We went to this fabulous stadium in March. It is indeed a great stadium with wide range of history.
 
Visiting museum is a greatly experience. You ‘d love to see all the trophies and their MVPs.
Our tour-guide was fabulous who can speak both English...More"
Fabulous tour,Reviewed 3 weeks ago ,"We organised a day trip tour to Barcelona from our hotel in salou. The trip included a tour of the Camp Nou. My son a keen footballer was 11 and just loved it as did the rest of us. We got to see everything, it...More"
A Stadium and a Team with a Rich History,Reviewed 3 weeks ago ,"If you are at least a sports fan, this is a visit you mustn't miss. Now if you are a football fan, you'll regret not taking the time out to visit this storied stadium.  The access is unbelievable as you get to see the press...More"
Great Stadium Tour,Reviewed 3 weeks ago ,"it's a great tour. we went because my boyfriend is a Barça fan, but i liked also very much the tour."
Interactive and informative,Reviewed 3 weeks ago ,"Great experience and a day out. definitely book your tickets in advance to avoid the queues, it's very busy.
this activity is suitable for all ages and is designed to be interesting to all ages, it's quite interactive as well. there's lots to see and...More"
Camp nou is the land of God!!,Reviewed 3 weeks ago ,"There is one God in football and that is Lionel Messi!! I went several times on this legendary stadium to see the greatest team in history!! For those who never been , I would recommended to see Messi before he will retire."
Barca Champions League game,Reviewed 3 weeks ago ,"Great stadium, a bit old but to watch one of the great teams of football and perhaps the best ever footballer perform under the big lights is a truly unbelievable and unforgettable experience!"
awesome stadium and fantastic tour,Reviewed 3 weeks ago ,the stadium was magnificent. we were there for a private event and attended the tour after that. we visited different parts of the stadium and absolutely enjoyed learning about the history of the club and the stadium. the highlight of the trip was the visit...More
The best FC in the world,Reviewed 3 weeks ago ,Another location that if you visit Barcelona you should check out. If you are a sport fan this is a must .. you get a close look at one if not rve best club in the world.  Their trophies exhibit is just amazing you will...More
BARCA match,Reviewed 3 weeks ago ,"Went with eight of my colleagues to watch BARCA play Rayo Valanco (3-1) on Saturday 9March

I liked the tremendous  atmosphere at the venue. What strikes me was the great family friendly atmosphere with spectators of all age and sex people enjoying the game.

I...More"
A sporting cathedral,Reviewed 3 weeks ago ,"Barcelona is already well known as a city of cathedrals, old and under current construction. But for the sports fan here is another of spectacular proportions. Having previously done the stadium tour many years ago I knew a live match had to be on the...More"
Barça vs Lyon,Reviewed 3 weeks ago ,"Had an amazing time watching Barça dominate the pitch. Atmosphere was beyond what I imagined to be. After years of watching them on tv, I finally was able to visit. Camp Nou did not disappoint! Definitely the biggest stadium in Europe!"
Nice stadium,Reviewed 3 weeks ago ,"I think is a little expensive, but if you love football is definitely a must see in Barcelona
The museum is really impressive, with a lot of things."
Interesting,Reviewed 3 weeks ago ,"as a non football fan i found this quite interesting
its hug so make sure you wear comfy shoes especially if you walk far to get to it"
Achievement unlocked !,Reviewed 4 weeks ago ,"It was my first time experience a tour in a European football club stadium. And it was worth spending a 26 Euros for. 
Buy the ticket online in advance and print it out too because on-site printing does cost ! 
Got a lot of photos...More"
Great stadium,Reviewed 4 weeks ago ,We got the virtual reality tour which should be longer than the 5 mins you get in my opinion. We paid for the audio guide and my earphones didnt work. Cool to see but just buy a standard ticket!
Must see,Reviewed 4 weeks ago ,"It's a must see!!!
Very beautiful and you can feel the athmosfere.....
The prices in the store are very high. So be carreful to this.... The same quality you can buy in other places."
The best attraction in Barcelona,Reviewed 4 weeks ago ,"We got the tickets to see FC Barcelona Vs Lyons. We were lucky to get the better seat in the middle. What an exciting experience for us. Messi had two goals and two assist, 6 goals to watch. Lyons put up a fight in the...More"
Camp Nou,Reviewed 4 weeks ago ,"This has to be the best experience in the world!!Visiting the best soccer club's stadium in world has to be the best experience ever!!The museum , change rooms ,etc is out of this world."
"Barca, Barca, Barca!",Reviewed 4 weeks ago ,"We got to see Barca vs Alvarez at the start of La Liga’s season. Messi scored a goal, the stadium is huge, and the fans were welcoming. Go if you can to see the best player of our generation."
Fantastic,Reviewed 4 weeks ago ,No matter you are FC Barcelona fan (I am) or not this is spectacular place to be. I was here on 11th dec 2018 when Barcelona was playing with Tottenham in group stage of UCL and you can see that there was a lot of...More
They know how to get 100k people in and out efficiently!,Reviewed 4 weeks ago ,"Went to see FCB vs Lyon Terrific stadium and FCB kicked the crap out of OL, 5-1!
Fantastic experience. If FCB is playing when you visit, make it a point to attend. Is easy to get there as well as navigate in and around the...More"
A must for all (not just footbal fans),Reviewed 4 weeks ago ,A visit to Barcelona was only enhanced by visiting the extraordinary Nou Camp stadium. A shame there wasn't a game on during my stay as this is the only thing that would have topped this
Great experience!,Reviewed 4 weeks ago ,"If you are a football fan, it will be very worth to visit this stadium museum and tour. Rich history museum displays very well content with amazing design and media. Reserve your time 3-4 hours for the tour. Very worth and enjoy!"
Great Stadium,Reviewed 4 weeks ago ,"We went to Barca v Rayo Vallecano and bought our tickets through the Barca website at €130 per ticket for tier 2 seats which were meant to be the best and didn’t disappoint.  Great atmosphere and very relaxed, no aggression or any problems."
Vs Lyon,Reviewed 4 weeks ago ,"In Barcelona and they were playing Lyon and I had to get tickets.

The walk to the stadium was intoxicating, the noise vibrant. It was busy but it's not quite Wembley where you only have one tube line.

The ground was magnificent, I could only...More"
Great time!,Reviewed 4 weeks ago ,Loved seeing the game here! Worth it to spend more on tickets to be closer to the field. Great atmosphere.
When in BCN and you love football,Reviewed 4 weeks ago ,One of our bucket list visits seeing Messi play and we did. The stadium was electric not a bad seat in the place
A must see place when Messi plays,Reviewed 4 weeks ago ,"Yesterday was one of these nights when the magician, the “touched by god” players came to work with two scores and two passes to goals when Barca bit Lion 5:1.  Every football fan must see him once in his life playing before this magic is...More"
