code,name,latitude,longitude,country,countryRegion,population,regionCode,region,date
1131316,Paghman,34.58787,68.95091,AF,13,49157,2328,Asia/Kabul,8/4/12
1131833,Nili,33.72178,66.13023,AF,41,30058,2069,Asia/Kabul,8/2/13
1132495,Nahrin,36.0649,69.13343,AF,3,22363,1138,Asia/Kabul,2/28/12
1133453,Maymana,35.92139,64.78361,AF,7,75900,864,Asia/Kabul,8/16/10
1133574,Mehtar Lam,34.67139,70.20944,AF,35,17345,795,Asia/Kabul,1/16/12
1133616,Mazar-e Sharif,36.70904,67.11087,AF,30,303282,361,Asia/Kabul,1/16/12
1134720,Lashkar Gah,31.59382,64.37161,AF,10,43934,786,Asia/Kabul,4/11/13
1135158,Kushk,33.29565,61.95221,AF,11,16952,1115,Asia/Kabul,1/16/12
1135689,Kunduz,36.72896,68.857,AF,24,161902,402,Asia/Kabul,1/16/12
1136469,Khost,33.33951,69.92041,AF,37,96123,1183,Asia/Kabul,1/16/12
1136575,Khulm,36.69736,67.69826,AF,30,64933,445,Asia/Kabul,2/28/12
1136863,Khash,31.52919,62.79055,AF,19,15133,579,Asia/Kabul,1/16/12
1137168,Khanabad,36.6825,69.11556,AF,24,71531,503,Asia/Kabul,3/3/09
1137807,Karukh,34.48108,62.5863,AF,11,17484,1340,Asia/Kabul,2/28/12
1138336,Kandahar,31.61332,65.71013,AF,23,391190,1007,Asia/Kabul,5/11/13
1138958,Kabul,34.52813,69.17233,AF,13,3043532,1798,Asia/Kabul,5/30/10
1139715,Jalalabad,34.42647,70.45153,AF,18,200331,575,Asia/Kabul,1/16/12
1139807,Jabal os Saraj,35.11833,69.23778,AF,40,15032,1612,Asia/Kabul,3/29/10
1140026,Herat,34.34817,62.19967,AF,11,272806,927,Asia/Kabul,5/18/13
1141089,Ghormach,35.73062,63.78264,AF,2,3e4,659,Asia/Kabul,12/21/11
1141269,Ghazni,33.55391,68.42096,AF,8,141e3,2179,Asia/Kabul,5/9/13
1141540,Gereshk,31.82089,64.57005,AF,10,43588,830,Asia/Kabul,2/28/12
1141857,Gardez,33.59744,69.22592,AF,36,103601,2308,Asia/Kabul,1/16/12
1142170,Fayzabad,37.11664,70.58002,AF,1,44421,1210,Asia/Kabul,8/16/10
1142264,Farah,32.37451,62.11638,AF,6,43561,662,Asia/Kabul,1/16/12
1142404,Kafir Qala,34.66667,61.06667,AF,11,18086,726,Asia/Kabul,1/16/12
1145352,Charikar,35.01361,69.17139,AF,40,53676,1554,Asia/Kabul,1/29/10
1147066,Baraki Barak,33.96744,68.9492,AF,17,22305,1940,Asia/Kabul,2/7/13
1147242,Bamyan,34.82156,67.82734,AF,5,61863,2550,Asia/Kabul,8/2/13
1147290,Balkh,36.75635,66.8972,AF,30,114883,348,Asia/Kabul,2/28/12
1147540,Baghlan,36.13068,68.70829,AF,3,108449,531,Asia/Kabul,2/28/12
1148106,Art Khwajah,37.08571,69.47958,AF,26,18623,481,Asia/Kabul,1/16/12
1148205,Asmar,35.03333,71.35809,AF,34,15708,913,Asia/Kabul,2/28/12
1148311,Asadabad,34.87311,71.14697,AF,34,48400,837,Asia/Kabul,2/24/12
1148658,Andkhoy,36.95293,65.12376,AF,7,29208,306,Asia/Kabul,2/28/12
1429434,Bazarak,35.31292,69.51519,AF,42,65e3,1965,Asia/Kabul,8/2/13
1469706,Markaz-e Woluswali-ye Achin,34.12583,70.70778,AF,18,15098,972,Asia/Kabul,8/10/10
6692413,Cool urhajo,34.26545,67.34516,AF,5,58525,2884,Asia/Kabul,5/19/08
3576022,Saint John's,17.11667,-61.85,AG,4,24226,6,America/Antigua,1/18/12
3573374,The Valley,18.21704,-63.05783,AI,0,2035,19,America/Anguilla,2/2/13
363243,Sarande,39.87556,20.00528,AL,51,15147,32,Europe/Tirane,6/14/12
782661,Kukes,42.07694,20.42194,AL,47,17832,351,Europe/Tirane,1/19/12
782756,Korce,40.61861,20.78083,AL,46,58259,869,Europe/Tirane,11/26/12
783148,Gjirokaster,40.07583,20.13889,AL,45,23437,286,Europe/Tirane,1/19/12
783263,Elbasan,41.1125,20.08222,AL,43,100903,128,Europe/Tirane,1/19/12
783493,Burrel,41.61028,20.00889,AL,41,15405,315,Europe/Tirane,6/2/12
3183719,Vlore,40.46667,19.48972,AL,51,89546,2,Europe/Tirane,1/19/12
3183875,Tirana,41.3275,19.81889,AL,50,374801,113,Europe/Tirane,2/28/12
3184081,Shkoder,42.06828,19.51258,AL,49,88245,12,Europe/Tirane,1/3/13
3184517,Patos Fshat,40.64278,19.65083,AL,44,22679,157,Europe/Tirane,1/19/12
3184862,Lushnje,40.94194,19.705,AL,44,41469,22,Europe/Tirane,6/5/12
3184935,Lezhe,41.78361,19.64361,AL,48,18695,7,Europe/Tirane,1/19/12
3185012,Lac,41.63556,19.71306,AL,48,24825,33,Europe/Tirane,6/11/12
3185060,Kucove,40.80028,19.91667,AL,40,18166,58,Europe/Tirane,6/2/12
3185082,Kruje,41.50917,19.79278,AL,42,21286,509,Europe/Tirane,6/1/12
3185211,Kavaje,41.18556,19.55694,AL,50,29354,19,Europe/Tirane,6/13/12
3185670,Fier-Cifci,40.71667,19.56667,AL,44,60995,17,Europe/Tirane,5/30/07
3185672,Fier,40.72389,19.55611,AL,44,56297,20,Europe/Tirane,1/19/12
3185728,Durres,41.32306,19.44139,AL,42,122034,13,Europe/Tirane,1/19/12
3186084,Berat,40.70583,19.95222,AL,40,46866,66,Europe/Tirane,6/3/12
174875,Kapan,39.20754,46.40576,AM,8,33160,774,Asia/Yerevan,1/17/12
174895,Goris,39.51288,46.33816,AM,8,20379,1377,Asia/Yerevan,1/17/12
174972,Hats'avan,39.46405,45.97047,AM,8,15208,1761,Asia/Yerevan,1/17/12
174979,Artashat,39.96144,44.54447,AM,2,20562,830,Asia/Yerevan,1/17/12
174991,Ararat,39.83166,44.70489,AM,2,28832,822,Asia/Yerevan,1/17/12
616052,Yerevan,40.18111,44.51361,AM,11,1093485,994,Asia/Yerevan,1/17/12
616062,Ejmiatsin,40.16557,44.29462,AM,3,49513,877,Asia/Yerevan,1/17/12
616199,Spitak,40.8322,44.2673,AM,6,15059,1548,Asia/Yerevan,1/17/12
616250,Sevan,40.5484,44.94868,AM,4,17083,1921,Asia/Yerevan,1/17/12
616435,Masis,40.06762,44.43591,AM,2,18911,839,Asia/Yerevan,1/17/12
616530,Vanadzor,40.80456,44.4939,AM,6,101098,1344,Asia/Yerevan,1/14/12
616599,Gavarr,40.35398,45.12386,AM,4,21680,1953,Asia/Yerevan,1/17/12
616629,Hrazdan,40.49748,44.7662,AM,5,40795,1762,Asia/Yerevan,3/28/11
616631,Armavir,40.15446,44.03815,AM,3,25963,870,Asia/Yerevan,1/17/12
616635,Gyumri,40.7942,43.84528,AM,7,148381,1549,Asia/Yerevan,1/17/12
616877,Ashtarak,40.2991,44.36204,AM,1,18779,1142,Asia/Yerevan,1/17/12
617026,Abovyan,40.26741,44.62656,AM,5,35673,1409,Asia/Yerevan,1/17/12
145531,Saurimo,-9.66078,20.39155,AO,18,40498,1071,Africa/Luanda,1/17/12
145724,Lucapa,-8.41915,20.74466,AO,17,20115,955,Africa/Luanda,1/17/12
876177,Luau,-10.70727,22.22466,AO,14,18465,1106,Africa/Luanda,1/17/12
2236568,Uige,-7.60874,15.06131,AO,15,60008,825,Africa/Luanda,10/28/11
2236967,Soio,-6.1349,12.36894,AO,16,67491,10,Africa/Luanda,1/17/12
2239001,Nzeto,-7.23116,12.8666,AO,16,18352,19,Africa/Luanda,2/1/12
2239076,N'dalatando,-9.29782,14.91162,AO,5,383100,795,Africa/Luanda,8/2/13
2239520,Mbanza Congo,-6.26703,14.2401,AO,16,24220,544,Africa/Luanda,1/17/12
2239862,Malanje,-9.54015,16.34096,AO,12,87046,1134,Africa/Luanda,10/28/11
2240449,Luanda,-8.83682,13.23432,AO,20,2776168,73,Africa/Luanda,10/27/11
2242001,Caxito,-8.57848,13.66425,AO,19,28224,20,Africa/Luanda,10/28/11
2243271,Cabinda,-5.55,12.2,AO,3,66020,1,Africa/Luanda,1/17/12
3346015,Sumbe,-11.20605,13.84371,AO,6,33277,10,Africa/Luanda,1/17/12
3347019,Mocamedes,-15.19611,12.15222,AO,13,80149,13,Africa/Luanda,6/28/13
3347353,Menongue,-14.6585,17.69099,AO,4,32203,1355,Africa/Luanda,6/8/10
3347719,Luena,-11.78333,19.91667,AO,14,21115,1337,Africa/Luanda,1/17/12
3347762,Lubango,-14.91717,13.4925,AO,9,102541,1760,Africa/Luanda,10/27/11
3347853,Longonjo,-12.90667,15.25333,AO,8,24346,1424,Africa/Luanda,1/17/12
3347939,Lobito,-12.3644,13.53601,AO,1,207932,4,Africa/Luanda,6/9/13
3348078,Cuito,-12.38333,16.93333,AO,2,113624,1715,Africa/Luanda,6/4/13
3348313,Huambo,-12.77611,15.73917,AO,8,226145,1716,Africa/Luanda,6/4/13
3350246,Catumbela,-12.43139,13.54722,AO,1,16977,15,Africa/Luanda,1/17/12
3350372,Catabola,-12.15,17.28333,AO,2,18855,1531,Africa/Luanda,6/4/13
3351014,Camacupa,-12.01667,17.48333,AO,2,19150,1473,Africa/Luanda,1/17/12
3351024,Caluquembe,-13.78333,14.68333,AO,9,30300,1699,Africa/Luanda,1/17/12
3351500,Caala,-12.8525,15.56056,AO,8,21205,1742,Africa/Luanda,1/17/12
3351663,Benguela,-12.57626,13.40547,AO,1,151226,11,Africa/Luanda,10/28/11
3427213,Zarate,-34.09814,-59.02858,AR,1,88781,28,America/Argentina/Buenos_Aires,1/18/12
3427388,Villa Ocampo,-28.48752,-59.35515,AR,21,19101,54,America/Argentina/Cordoba,1/18/12
3427408,Villa Lugano,-34.67907,-58.47262,AR,7,114e3,19,America/Argentina/Buenos_Aires,5/1/13
3427428,Villaguay,-31.8653,-59.02689,AR,8,32027,50,America/Argentina/Cordoba,1/18/12
3427431,Villa Gesell,-37.26394,-56.97304,AR,1,23257,9,America/Argentina/Buenos_Aires,4/25/10
3427761,Tigre,-34.42603,-58.57962,AR,1,31106,8,America/Argentina/Buenos_Aires,3/25/12
3427833,Tandil,-37.32167,-59.13316,AR,1,104325,192,America/Argentina/Buenos_Aires,1/18/12
3428068,San Vicente,-26.61667,-54.13333,AR,14,38247,603,America/Argentina/Cordoba,5/31/10
3428071,Santo Tome,-28.54939,-56.04077,AR,6,22634,81,America/Argentina/Cordoba,1/18/12
3428359,Santa Elena,-30.94768,-59.78696,AR,8,18410,66,America/Argentina/Cordoba,1/18/12
3428577,San Pedro,-26.62207,-54.10842,AR,14,23736,554,America/Argentina/Cordoba,4/19/11
3428708,San Luis del Palmar,-27.5079,-58.55454,AR,6,15347,62,America/Argentina/Cordoba,5/6/12
3428759,San Lorenzo,-28.13306,-58.76733,AR,6,47626,64,America/Argentina/Cordoba,4/19/11
3428975,San Javier,-30.57781,-59.9317,AR,21,15606,27,America/Argentina/Cordoba,4/4/13
3429403,Saladas,-28.25384,-58.62591,AR,6,18349,75,America/Argentina/Cordoba,4/19/11
3429576,Retiro,-34.58333,-58.38333,AR,7,38635,7,America/Argentina/Buenos_Aires,1/18/12
3429577,Resistencia,-27.46056,-58.98389,AR,3,387158,56,America/Argentina/Cordoba,1/18/12
3429594,Reconquista,-29.15,-59.65,AR,21,90184,50,America/Argentina/Cordoba,1/18/12
3429652,Quilmes,-34.72418,-58.25265,AR,1,518788,24,America/Argentina/Buenos_Aires,1/18/12
3429732,Puerto Rico,-26.79598,-55.02402,AR,14,17491,147,America/Argentina/Cordoba,1/18/12
3429777,Puerto Iguazu,-25.59912,-54.57355,AR,14,32038,177,America/Argentina/Cordoba,7/26/10
3429786,Puerto Esperanza,-26.01517,-54.67306,AR,14,15579,152,America/Argentina/Cordoba,1/18/12
3429790,Puerto Eldorado,-26.40842,-54.69463,AR,14,54189,102,America/Argentina/Cordoba,1/18/12
3429886,Posadas,-27.36708,-55.89608,AR,14,312060,127,America/Argentina/Cordoba,2/21/12
3429902,Pontevedra,-34.74974,-58.68696,AR,1,33515,23,America/Argentina/Buenos_Aires,2/2/12
3429949,Pirane,-25.73239,-59.10879,AR,9,19124,86,America/Argentina/Cordoba,2/2/12
3430104,Paso de los Libres,-29.71311,-57.08991,AR,6,43805,70,America/Argentina/Cordoba,1/18/12
3430340,Obera,-27.48706,-55.11994,AR,14,56528,345,America/Argentina/Cordoba,1/18/12
3430443,Necochea,-38.54726,-58.73675,AR,1,80478,20,America/Argentina/Buenos_Aires,1/18/12
3430545,Moron,-34.65344,-58.61975,AR,1,319934,29,America/Argentina/Buenos_Aires,11/18/11
3430598,Monte Caseros,-30.25359,-57.63626,AR,6,24671,53,America/Argentina/Cordoba,1/18/12
3430601,Montecarlo,-26.5662,-54.757,AR,14,22229,205,America/Argentina/Cordoba,1/18/12
3430708,Mercedes,-34.65146,-59.43068,AR,1,52949,43,America/Argentina/Buenos_Aires,2/2/12
3430709,Mercedes,-29.18186,-58.07895,AR,6,30649,98,America/Argentina/Cordoba,1/18/12
3430863,Mar del Plata,-38.00228,-57.55754,AR,1,553935,15,America/Argentina/Buenos_Aires,1/18/12
3430988,Lujan,-34.57028,-59.105,AR,1,81749,27,America/Argentina/Buenos_Aires,1/18/12
3432043,La Plata,-34.92145,-57.95453,AR,1,694167,27,America/Argentina/Buenos_Aires,1/18/12
3432079,La Paz,-30.74485,-59.64566,AR,8,24716,56,America/Argentina/Cordoba,1/18/12
3433349,Jardin America,-27.04346,-55.22698,AR,14,24905,227,America/Argentina/Cordoba,5/31/10
3433658,Gualeguaychu,-33.00938,-58.51722,AR,8,78676,14,America/Argentina/Cordoba,5/8/13
3433663,Gualeguay,-33.14156,-59.30966,AR,8,33120,14,America/Argentina/Cordoba,1/18/12
3433715,Goya,-29.14003,-59.26256,AR,6,70245,44,America/Argentina/Cordoba,1/18/12
3433753,Gobernador Ingeniero Valentin Virasoro,-28.05,-56.03333,AR,6,28756,133,America/Argentina/Cordoba,1/18/12
3433803,General Jose de San Martin,-26.53743,-59.34158,AR,3,31758,81,America/Argentina/Cordoba,1/18/12
3433836,Garupa,-27.48171,-55.82921,AR,14,28814,108,America/Argentina/Cordoba,2/2/12
3433899,Formosa,-26.17753,-58.17814,AR,9,221383,70,America/Argentina/Cordoba,1/18/12
3433901,Fontana,-27.41813,-59.02392,AR,3,26745,54,America/Argentina/Cordoba,2/2/12
3433956,Federal,-30.95465,-58.78326,AR,8,16333,67,America/Argentina/Cordoba,1/18/12
3434095,Esquina,-30.01444,-59.52719,AR,6,26399,44,America/Argentina/Cordoba,2/2/12
3434291,El Soberbio,-27.29846,-54.19877,AR,14,19571,156,America/Argentina/Cordoba,1/18/12
3435038,Dolores,-36.31322,-57.67918,AR,1,25190,14,America/Argentina/Buenos_Aires,4/19/11
3435103,Curuzu Cuatia,-29.79171,-58.0546,AR,6,36390,79,America/Argentina/Cordoba,5/9/13
3435217,Corrientes,-27.4806,-58.8341,AR,6,339067,63,America/Argentina/Cordoba,1/18/12
3435261,Concordia,-31.39296,-58.02089,AR,8,145210,30,America/Argentina/Cordoba,1/18/12
3435264,Concepcion del Uruguay,-32.48249,-58.23722,AR,8,67895,16,America/Argentina/Cordoba,1/18/12
3435356,Colegiales,-34.57365,-58.44924,AR,7,57e3,27,America/Argentina/Buenos_Aires,11/28/10
3435486,Chajari,-30.75048,-57.97962,AR,8,30655,58,America/Argentina/Cordoba,1/18/12
3435810,Campana,-34.16874,-58.95914,AR,1,81612,17,America/Argentina/Buenos_Aires,1/18/12
3435910,Buenos Aires,-34.61315,-58.37723,AR,7,13076300,31,America/Argentina/Buenos_Aires,1/12/12
3436124,Barranqueras,-27.48299,-58.93579,AR,3,50823,52,America/Argentina/Cordoba,1/18/12
3436199,Azul,-36.77698,-59.85854,AR,1,53941,141,America/Argentina/Buenos_Aires,1/18/12
3436230,Avellaneda,-29.11761,-59.65834,AR,21,23077,52,America/Argentina/Cordoba,1/18/12
3436287,Aristobulo del Valle,-27.09625,-54.89626,AR,14,20683,494,America/Argentina/Cordoba,2/2/12
3832132,Zapala,-38.89916,-70.05442,AR,15,31534,1015,America/Argentina/Salta,1/18/12
3832260,Yerba Buena,-26.81667,-65.31667,AR,24,50783,515,America/Argentina/Tucuman,1/18/12
3832647,Villa Regina,-39.1,-67.06667,AR,16,31209,201,America/Argentina/Salta,1/18/12
3832653,Villa Paula de Sarmiento,-31.4933,-68.53838,AR,18,19092,646,America/Argentina/San_Juan,1/18/12
3832662,Villa Nueva,-32.43293,-63.24763,AR,5,16841,204,America/Argentina/Cordoba,4/19/11
3832694,Villa Maria,-32.40751,-63.24016,AR,5,92453,202,America/Argentina/Cordoba,1/18/12
3832756,Villa Dolores,-31.94585,-65.18958,AR,5,28009,523,America/Argentina/Cordoba,1/18/12
3832778,Villa Constitucion,-33.22778,-60.3297,AR,21,44271,32,America/Argentina/Cordoba,1/18/12
3832791,Villa Carlos Paz,-31.42414,-64.49778,AR,5,69451,666,America/Argentina/Cordoba,1/18/12
3832811,Villa Angela,-27.57383,-60.71526,AR,3,43511,79,America/Argentina/Cordoba,2/2/12
3832815,Villa Allende,-31.29458,-64.29538,AR,5,21683,505,America/Argentina/Cordoba,4/4/13
3832899,Viedma,-40.81345,-62.99668,AR,16,48940,8,America/Argentina/Salta,1/18/12
3832934,Victoria,-32.61841,-60.15478,AR,8,25139,52,America/Argentina/Cordoba,1/29/10
3833027,Vera,-29.4593,-60.21261,AR,21,19797,64,America/Argentina/Cordoba,1/18/12
3833062,Venado Tuerto,-33.74556,-61.96884,AR,21,72340,117,America/Argentina/Cordoba,1/18/12
3833112,Veinticinco de Mayo,-35.4323,-60.17271,AR,1,24668,57,America/Argentina/Buenos_Aires,1/18/12
3833367,Ushuaia,-54.8,-68.3,AR,23,58028,52,America/Argentina/Ushuaia,1/18/12
3833412,Unquillo,-31.23073,-64.31615,AR,5,15369,633,America/Argentina/Cordoba,1/18/12
3833794,Tres Isletas,-26.34066,-60.43207,AR,3,24747,102,America/Argentina/Cordoba,2/2/12
3833859,Tres Arroyos,-38.37394,-60.27978,AR,1,47136,113,America/Argentina/Buenos_Aires,1/18/12
3833883,Trelew,-43.24895,-65.30505,AR,4,93442,14,America/Argentina/Catamarca,2/18/07
3834502,Termas de Rio Hondo,-27.49983,-64.86042,AR,22,27838,265,America/Argentina/Cordoba,1/18/12
3834601,Tartagal,-22.51636,-63.80131,AR,17,60819,499,America/Argentina/Salta,1/18/12
3834813,Tafi Viejo,-26.73201,-65.25921,AR,24,48459,629,America/Argentina/Tucuman,1/18/12
3834971,Sunchales,-30.94404,-61.56148,AR,21,18757,98,America/Argentina/Cordoba,1/18/12
3835793,Santo Tome,-31.66274,-60.7653,AR,21,59072,19,America/Argentina/Cordoba,1/18/12
3835869,Santiago del Estero,-27.79511,-64.26149,AR,22,354692,188,America/Argentina/Cordoba,1/18/12
3835994,Santa Rosa,-36.61667,-64.28333,AR,11,111424,179,America/Argentina/Salta,1/18/12
3836194,Santa Lucia,-31.53987,-68.49503,AR,18,43565,620,America/Argentina/San_Juan,2/2/12
3836277,Santa Fe de la Vera Cruz,-31.63333,-60.7,AR,21,489505,21,America/Argentina/Cordoba,2/3/12
3836564,San Salvador de Jujuy,-24.19456,-65.29712,AR,10,305891,1260,America/Argentina/Jujuy,11/27/12
3836620,San Ramon de la Nueva Oran,-23.13705,-64.32426,AR,17,74059,358,America/Argentina/Salta,5/9/13
3836669,San Rafael,-34.61772,-68.33007,AR,13,109163,702,America/Argentina/Mendoza,1/18/12
3836772,San Pedro,-24.23127,-64.86614,AR,10,58430,587,America/Argentina/Jujuy,2/2/12
3836846,San Nicolas de los Arroyos,-33.33578,-60.22523,AR,1,127742,25,America/Argentina/Buenos_Aires,1/18/12
3836873,San Miguel de Tucuman,-26.82414,-65.2226,AR,24,781023,452,America/Argentina/Tucuman,1/18/12
3836951,San Martin de los Andes,-40.16038,-71.34865,AR,15,23519,677,America/Argentina/Salta,8/19/10
3836992,San Martin,-33.08103,-68.46814,AR,13,82549,661,America/Argentina/Mendoza,1/18/12
3837056,San Luis,-33.29501,-66.33563,AR,19,183982,729,America/Argentina/San_Luis,1/18/12
3837124,San Justo,-30.78913,-60.59189,AR,21,21809,59,America/Argentina/Cordoba,4/4/13
3837213,San Juan,-31.5375,-68.53639,AR,18,447048,649,America/Argentina/San_Juan,1/18/12
3837240,San Jose de Jachal,-30.24057,-68.74693,AR,18,21018,1176,America/Argentina/San_Juan,1/18/12
3837441,San Jorge,-31.89618,-61.85984,AR,21,16873,109,America/Argentina/Cordoba,4/19/11
3837675,San Francisco,-31.42797,-62.08266,AR,5,59062,118,America/Argentina/Cordoba,1/18/12
3837702,San Fernando del Valle de Catamarca,-28.46957,-65.78524,AR,2,188812,545,America/Argentina/Catamarca,1/18/12
3837980,San Antonio Oeste,-40.73193,-64.94769,AR,16,16966,12,America/Argentina/Salta,1/18/12
3838233,Salta,-24.7859,-65.41166,AR,17,512686,1183,America/Argentina/Salta,1/18/12
3838506,Rufino,-34.26827,-62.71262,AR,21,18361,118,America/Argentina/Cordoba,1/18/12
3838583,Rosario,-32.94682,-60.63932,AR,21,1173533,38,America/Argentina/Cordoba,2/3/12
3838793,Rio Tercero,-32.17301,-64.11406,AR,5,53389,387,America/Argentina/Cordoba,1/18/12
3838797,Rio Segundo,-31.6526,-63.9099,AR,5,18155,341,America/Argentina/Cordoba,4/19/11
3838859,Rio Gallegos,-51.62261,-69.21813,AR,20,85700,15,America/Argentina/Rio_Gallegos,1/18/12
3838874,Rio Cuarto,-33.13067,-64.34992,AR,5,153757,441,America/Argentina/Cordoba,1/18/12
3838902,Rio Ceballos,-31.16486,-64.32241,AR,5,16632,705,America/Argentina/Cordoba,1/18/12
3839307,Rawson,-43.30016,-65.10228,AR,4,26335,13,America/Argentina/Catamarca,1/18/12
3839479,Rafaela,-31.25033,-61.4867,AR,21,88713,103,America/Argentina/Cordoba,1/18/12
3839490,Quitilipi,-26.86913,-60.21683,AR,3,32083,88,America/Argentina/Cordoba,5/6/12
3839982,Punta Alta,-38.87588,-62.07359,AR,1,57209,8,America/Argentina/Buenos_Aires,1/18/12
3840092,Puerto Madryn,-42.7692,-65.03851,AR,4,64555,11,America/Argentina/Catamarca,1/18/12
3840300,Presidencia Roque Saenz Pena,-26.78522,-60.43876,AR,3,81879,97,America/Argentina/Cordoba,1/18/12
3840860,Pocito,-31.68333,-68.58333,AR,18,40969,608,America/Argentina/San_Juan,2/2/12
3840885,Plottier,-38.96667,-68.23333,AR,15,25186,279,America/Argentina/Salta,1/18/12
3841490,Pergamino,-33.88995,-60.57357,AR,1,87652,69,America/Argentina/Buenos_Aires,1/18/12
3841500,Perez,-32.99835,-60.76791,AR,21,24436,37,America/Argentina/Cordoba,1/18/12
3841956,Parana,-31.73197,-60.5238,AR,8,262295,60,America/Argentina/Cordoba,1/18/12
3842190,Palpala,-24.25648,-65.21163,AR,10,48199,1126,America/Argentina/Jujuy,4/4/13
3842670,Olavarria,-36.89272,-60.32254,AR,1,86320,170,America/Argentina/Buenos_Aires,1/18/12
3842881,Nueve de Julio,-35.44437,-60.88313,AR,1,34718,80,America/Argentina/Buenos_Aires,1/18/12
3843123,Neuquen,-38.95161,-68.0591,AR,15,242092,281,America/Argentina/Salta,1/18/12
3843619,Morteros,-30.71164,-61.99862,AR,5,15129,99,America/Argentina/Cordoba,1/18/12
3843803,Monteros,-27.16742,-65.49832,AR,24,23771,360,America/Argentina/Tucuman,4/19/11
3844421,Mendoza,-32.89084,-68.82717,AR,13,876884,746,America/Argentina/Mendoza,1/18/12
3844899,Marcos Juarez,-32.6978,-62.10672,AR,5,24226,117,America/Argentina/Cordoba,1/18/12
3845330,Machagai,-26.92614,-60.04956,AR,3,28070,90,America/Argentina/Cordoba,2/2/12
3846864,Lincoln,-34.86649,-61.5302,AR,1,41808,92,America/Argentina/Buenos_Aires,2/2/12
3846915,Libertador General San Martin,-23.80644,-64.78757,AR,10,49267,485,America/Argentina/Jujuy,1/18/12
3848687,Las Brenas,-27.08966,-61.08161,AR,3,26955,104,America/Argentina/Cordoba,2/2/12
3848950,La Rioja,-29.41105,-66.85067,AR,12,162620,502,America/Argentina/La_Rioja,1/18/12
3851331,La Falda,-31.08841,-64.48987,AR,5,15112,947,America/Argentina/Cordoba,1/18/12
3852374,La Calera,-31.34377,-64.33529,AR,5,24796,495,America/Argentina/Cordoba,4/19/11
3852468,Laboulaye,-34.12662,-63.39119,AR,5,19908,143,America/Argentina/Cordoba,2/2/12
3853354,Junin,-34.58382,-60.94332,AR,1,85007,83,America/Argentina/Buenos_Aires,4/21/13
3853491,Joaquin V. Gonzalez,-25.08333,-64.18333,AR,17,19185,400,America/Argentina/Salta,1/18/12
3853510,Jesus Maria,-30.98153,-64.09424,AR,5,26825,533,America/Argentina/Cordoba,1/18/12
3854895,Granadero Baigorria,-32.85683,-60.71754,AR,21,32427,32,America/Argentina/Cordoba,1/18/12
3854985,Gobernador Galvez,-33.03016,-60.64045,AR,21,74650,28,America/Argentina/Cordoba,1/18/12
3855065,General Roca,-39.03333,-67.58333,AR,16,73212,237,America/Argentina/Salta,1/18/12
3855074,General Pinedo,-27.31667,-61.28333,AR,3,15741,95,America/Argentina/Cordoba,1/18/12
