due_date,comments
document_01,"When watching the video, she reminded me a lot of the way Dr. Skiles teaches, which I loved. She was very informative and I liked how she was honest with arules, saying everyone will struggle. Her arules graphic was awesome to see visually."
document_01,Article ( )
document_01,"The article I found was called, ""Analysis of motorcycle accidents using association rule mining-based framework with parameter optimization and GIS technology"". The author of this article used association rule mining (ARM) to identify the critical factors associated with the seriousness of injuries in motorcycle accidents. They identified that there are limitations from existing studies on the subject in regard to objectiveness and efficiency, and that they lacked in-depth analysis. They applied their improved method to data from Victoria, Australia. More so, they identified several factors related to fatal injuries, and were able to use Geographic Information System (GIS) to identify where fatal accidents happen more."
document_01," I liked the video, where she gives a brief introduction of association rules to introduce it to her audience. Still, the point that most caught my attention was how it was applied to analyze Twitter data. The speaker goes through many of the steps that she had problems with, starting from getting the data from Twitter using a developer's account, then proceeding to the cleaning process where she had to use grep to take out digits, https, and things that could yield problematic associations to the analysis. It also stood out when she mentioned some points she had to clean the data manually and how interesting the data visualization looked like."
document_01,"Here is a research proposal paper about Identifying Influential Users on Twitter’s Trendy Hashtags Using Association Rule Learning ( ) that brings a brief explanation of how association rule mining was applied to trendy hashtags. In this study, some key elements, such as the support, confidence, and lift values from different hashtags related to Christmas, were used to identify the factors associated with the evolution of these hashtags and the effects of influent users. I found it really interesting since it is directly connected with the subject of the speaker."
document_01,"Awesome article, Gustavo!"
document_01,I thought that this presentation was very informative and helped to show the various steps for association rules mining in R in a condensed way. I feel like this video is an easy way to help someone grasp the concepts as well as being useful for reviewing the concepts.
document_01,The paper I found was related to creating a genetic algorithm to mine for the association rules of a given set as opposed to apriori and other algorithms and utilizing the FP-tree algorithm to improve the efficiency of the algorithm. This is the link to the paper ( ). This paper was very interesting to me because it is a novel use of a type of computational learning which is helping to optimize various fields.
document_01,"I really enjoyed this presentation, she did a wonderful job breaking association rule mining. I thought it was really interesting to see her explain her cleaning techniques from something as unpredictable as twitter. I also enjoyed that she said manually cleaning parts of data wasn't cheating or a taboo topic."
document_01,"I found a paper called ""A study of IoT malware activities using association rule learning for darknet sensor data ( )"" that talks about using association rule learning to find patterns on the darknet of hackers trying to compromise Internet-of-Things devices. They successfully used it as an early detection program for threats on IoT devices. This could be used as an autonomous cybersecurity measure for these devices."
document_01,I enjoyed Dr. Gates explaining how the association rule mining and apriori algorithm works. It gave me a better understanding of how the two topics are utilized. What tied everything together was when she talked about the transaction data that she created and walked through the process of how she incorporated the arule library and apriori algorithm using R.
document_01,"This interesting article  ( )titled, "" Association Rule Mining Tourist-Attractive Destinations for the Sustainable Development of a Large Tourism Area in Hokkaido Using Wi-Fi Tracking Data"" talks about utilizing association rule mining to observe the tourism area in Hokkaido to look for ways to develop and enhance sustainable tourism attractions while maintaining the natural landscape. The authors worked with transaction data and association rule mining to study the patterns of what destinations were frequent the most and if the attraction had a part in that. In this study, 31 destinations in Hokkaido were studied and multiple techniques were used to evaluate the rules of the destination visits."
document_01,This was a pretty cool presentation! The speaker had a pleasant sense of humor. I enjoyed learning about how the measures of correlation can be formatted in R. Also the visualization of the concepts of the apriori algorithm provided more insight to what we’ve been learning in class. She did a great job unpacking those rules!
document_01,"I found this article ( ) interesting. It explores the accuracy of identifying hypertension, a common cardiovascular disease, among patients using class association rules. The CARs gather meaningful information from patients about their physiological status. The researchers also designed a set of features that characterize significant patterns while analyzing patients."
document_01,"I like how she organized the slides that can be understood by a novice, especially when she color-coated the symbols for the {diaper} --> {beer} example. It's good to create slides that are comprehendible to those who have limited knowledge of the topic, which is apparent in industries."
document_01,"I found this article, https://www.cs.purdue.edu/homes/clifton/DistDM/kdd02.pdf  ( ) discusses the issue of association rule mining where transactions are distributed across sources. The paper focuses on how sites hold some attributes of every transaction, and why these sites would like to cooperate to distinguish universally accepted association rules, but the sites must not show the truth of the individual transaction data. Their main goal is to develop methods that enable any data mining that can be achieved at a sole site to be done across many sources while obeying the given privacy policies. The paper reveals that it is achievable to receive quality individual security while communication costs correspond to the required build of a centralized data warehouse. "
document_01,"What interested me about the presentation was that she determined that transaction information was essentially probability, which helps statisticians to make sense of the data they are analyzing."
document_01,I found a research paper analyzing motorcycle accidents using association rule mining-based framework with parameter optimization and GIS technology.  ( )
document_01,The paper is interesting and points out the factors that may be related to fatal accidents. They use GIS maps to present hot spots of motorcycle accidents related to fatal factors.
document_01,"Like everyone else I was super surprised about Beer and diapers being associated. The Core concept seems to be correlation of two things happenining. Does not explain why, but shows if A then B.  Which a lot of times you dont need to explain why things happen togther, you just need to know that they do. I found this article interesting."
document_01,https://getpocket.com/explore/item/think-you-have-a-hit-make-sure-it-s-the-first-song-on-your-album?utm_source=pocket-newtab ( )
document_01,"This article talks about the association of skip rates and intro lengths. Basically associates having your better songs first in an album means more people listen to it, thus more plays and money. They call this ""front loading"" an album."
document_01,"Her presentation was really interesting and I enjoyed how she involved the audience consistently. Also, the examples she used to explain the content were funny and represented real situations (I never thought about how diapers and beer would be correlated when shopping but it actually makes sense). "
document_01,Article's name: Using Association Rules Mining for Retrieving Genre-specific Music Files  
document_01,Link: https://www.researchgate.net/profile/Ismail_Biskri/publication/317338780_Using_Association_Rules_Mining_for_Retrieving_Genre-specific_Music_Files/links/593375f645851553b6ca8a46/Using-Association-Rules-Mining-for-Retrieving-Genre-specific-Music-Files.pdf ( )
document_01,"This article is a study about how Association Rules Mining could help with searching for specific music files within a large database, since it is a tedious and complex task. They suggested using association rules mining to find significant relations between content-based descriptors of musical files and use these relations to create indexes. Within their conclusion it is possible to assume that association rules can yield interesting results especially for retrieving classical music, and even though the study is focused on music, this methodology can be also applied to image, video, or text."
document_01,"I thought that in Dr. Gates initial introduction about the correlation of diapers and beer being purchased simultaneously was interesting because it's a humorous descriptor of the human condition, but while researching paper I found another research paper preview on a similar topic regarding the political tweet mining that she conducted as well. It was a paper done by Lakshmi Prasanna Konudula on the topic of Leveragaing Social Media to Discover Threatening Tweets Using Clustering and Association Rule Mining; however, this was not a full access article, but I did find it interesting that Konudula utilized the profanity as a marker for Tweets of this nature, rather than Dr. Gates who took the time to remove them. I can confirm that Boulder, Colorado is one of the happiest places in the U.S. I highly recommend hiking Royal Arch ( ) in the area. "
document_01,In terms of full length research proposal papers A Systematic Review of Defensive and Offensive Cybersecurity with Machine Learning  ( )utilized many techniques that we are studying in this course. 
document_01,"This is a systematic review of over one hundred research papers about machine learning methods applied to defensive and offensive cybersecurity. In contrast to previous reviews, which focused on several fragments of research topics in this area, this paper systematically and comprehensively combines domain knowledge into a single review. Ultimately, this paper seeks to provide a base for researchers that wish to delve into the field of machine learning for cybersecurity. Our findings identify the frequently used machine learning methods within supervised, unsupervised, and semi-supervised machine learning, the most useful data sets for evaluating intrusion detection methods within supervised learning, and methods from machine learning that have shown promise in tackling various threats in defensive and offensive cybersecurity. "
document_01,"Offensive Machine Learning Techniques: Neural networks were the commonly used technique, while unsupervised ML techniques such as association rule mining, frequent pattern mining, and clustering were used in a few studies. Combinations of supervised methods as semi-supervised learning were also used."
document_01,"I enjoyed watching this video as it provided me with much insight into how Association Rule Mining is so important when working with data. While watching this video, the part I found interesting was that each Tweet must be treated as its own transaction. That appears to be super helpful when using Association Rule Mining since there is so much information in each tweet, a lot can be interpreted and analyzed from the data.  "
document_01,"The article I chose is “Association rule mining based quantitative analysis approach of household characteristics impacts on residential electricity consumption patterns”, and I found it interesting because it not only showed residential electricity consumption patterns, but also the reasons behind them. These reasons are considered household characteristics and show us much about the data. Some of the conclusions are that if a house uses electricity to cook, they will have higher electricity consumption. Another conclusion is that households with at least two people will have a bigger fluctuation in electricity consumption between seasons. Overall, I found this to be a great resource that explains how useful Association Rule Mining for interpreting data."
document_01,https://www.sciencedirect.com/science/article/pii/S0196890418306265 ( )
document_01,"One thing that I really liked about this presentation is how she went about showing the apriori algorithm using the visual aids. I also ultimately think that without the visual aids it would be pretty difficult to understand some of this content. I found this really interesting article on ieee https://ieeexplore.ieee.org/abstract/document/7374211 ( ) ""Analysing road accident data using association rule mining"" Its a really interesting article where  they use association rule mining to look at accident data not only on major highways but also on Local surface streets. They used the results of the study to determine which type of accidents were happening the most and then they would use this to suggest possible solutions to the problem.  It was association rule mining that ultimately led them to fixing the amount of accidents that were happening in certain areas. "
document_01,"After watching the presentation, I found it very interesting specifically the topic about Lyft and that Lyft is a really cool way to determine whether or not something is interesting through the interesting rule set. Weather a rule shows if something is interesting or not. I thought that was a very cool topic that I would like to use more in my studies."
document_01,"The article I found was using Association rule mining to analyze customers for banks and see what type of customers they have and how they can use that data to get more customers coming through their banks. Specifically, Using a two stage framework of the customers behavior to analyze and create an algorithm which is used to identify groups of customers that are based on their recency, frequency, and monetary behavior scoring predictors that divides the customers into three profitable groups. Then that is used to create customer profiles by identifying them by their behaviors to help facilitate market strategies and development for the actual bank."
document_01,Link for the article: http://ijiepr.iust.ac.ir/article-1-241-en.html
document_02,"Something I found interesting in this lecture was his comparisons of data analytics to other subjects. He showed how theories in music control what will sound good and what wont, so we use the same logic to apply theories to data analysis to show what will look good and what wont. In his music example, he has many issues with his lines of music; it had missing notes, a direct octave, unresolved 7th, parallel fifths, which all violate the music theory. This violation indicates that this set of notes will not sound good. In terms of data analysis, once a theory is found, it could be infinitely scalable to help teach data analysis and could be applied to multiple visualization problems. If the figure is not effectively created, it will not show the comparisons, causality, mechanism, systematic structure, multivariate data, etc. This theory can be applied as a blanket theory to deter from ineffective data graphics. "
document_02,"I loved the use of music to illustrate different points in this talk! I'm not really a musical human being, but the examples were so clear through this train of thought. It was really cleverly done and even I could appreciate. :)"
document_02,"My favorite part was also definitely his discussion was the Charles Ives/Avril Lavinge/etc. segment discussing music. I find music extremely fascinating both as someone who plays and someone who finds the concept of data and/or machine created music fascinating. Is what a machine creates truly art? If a machine can create art, have we lost one of our greatest distinctions from them? Part of what creates music is breaking the rules that define it."
document_02,"While it may have been semi-obvious, I did look up to confirm that the Tidy Package directly connected to the Tidyverse we still use today. Crazy to think just how groundbreaking it was. I was a little disappointed that he was talking about music as a methodology for creating better code rather than talking about using data to drive musical creation, but I do think the association is extremely strong."
document_02,"The Aesthetics -> Methodology segment I think was my favorite part of this chunk of the lecture. Thinking about code AS a language I find fascinating conceptually, and I completely agree that trying to create similar code ‘Aesthetics’ is potentially really important for expanding the field, especially with regard to using the tools we have better, rather than just constantly improving the tools themselves.  "
document_02,"Being the fact that I am majoring in Data Science, I have heard the statement that data analysts are needed and the demand for analysts are only increasing.  However, I never really thought about automation, even though like Dean said, its one of the first thing people think about changing or improving a job field.  Cause it happens with so many others so why not data analysts?  And I just started thinking, can data analysts or jobs related to it become fully automated?  We have software and programs that help us calculating and presenting data but these are really seen more as tools than anything else, at least in my point of view.  Or will the data analysis field of work always need some kind of human element, and I don't mean as like a technician or operator, but as someone that interprets the data.  I feel that at least right now, yes, we need a human element.  Even though we can make plenty of mistakes, we can also make intuitive decisions that programs may not be capable of yet.  Maybe in the future it can become automated, and would be interesting to see if its within our lifetime."
document_02,"This leads to interesting discussion... for now, never forget the power of intuitive decisions, creativity, and assessment"
document_02,"I liked the quote he had at around the 19-minute mark. It said ""Statisticians have  a process they espouse but do not know anything about."" It reminds me of Calc 2 with Professor Burbank. Nobody feels like we needed to know how or why things (like integrals) are calculated a certain way since we have calculators that can do it for us, but if we didn't learn it, who would make new calculators? I don't know if that's exactly what the quote is saying but I'll roll with it. In terms of baseball, I can know what every stat means and what a good number to have in that column is, but if I don't understand the game-mechanics, biometrics, and other key factors that go into those numbers, my analysis of them probably won't be that insightful. I just want to talk about baseball ;_;"
document_02,Him talking about music theory gave me unwelcome flashbacks. 
document_02,Game 1 Tuesday night. More and more jobs like this one in upcoming years: R&D Analyst for the Mariners  
document_02,"I'm a Padres fan but since I live basically in Tampa I'll be rooting for the Rays! I also just applied for a position with the Rangers, but it said you need a degree so I'm not too sure about it :3"
document_02,"Overall, in the video, the presenter was very entertaining. I enjoyed his comments and found them excellent. When watching the video, I thought it was interesting that he mentioned people find it challenging to define data analysis. My thoughts on data analysis were that it was all the items he listed. I do not think we will ever have a general definition of data analysis. When you look at data analysis job descriptions, they are specific. You have to know different programming languages; however, the different jobs' summary can be entirely different from each other. Whereas in other jobs such as a research analyst, the summaries are similar. This was just something I noticed when applying for internships.  I found it amusing that he wrote his own music example and knew how it sounded when he wrote it. Additionally, I learned about who named tidy data. It made me reflect on how it is used for homework. "
document_02,Dr. Peng's lecture was great to watch and very insightful. He provided many applications and examples to explain what data analysis is and how it works. His approach on the word research versus re-search was interesting.
document_02,"When he talked about music theory, I thought it was a great approach to help people understand the process of data analysis. Explaining and showing the different music genres was a fun and easy way of explaining that once you know the basics and fundamentals of music theory (or data analysis), you can predict what will come after next note (reviewing a peer's work) or produce something awesome from scratch (creating your own EDA or models). I think this holds true because I already know the methods and different tools to use to produce models and analysis. I can discern if my models have any discrepancies or came out the way it should and make any changes based on that.   "
document_02,"The examples that he discussed towards the end are good reminders when working with data analysis: reproducible for people, translatable to other software, and robustness to new data."
document_02,"“Terrible plots come from excel, good plots come from everywhere else”"
document_02,I agree that including music theory is a great way to describe the data analysis process. Even if you have no experience in this field I feel like you would still come away from this lecture with a decent understanding because of the way he integrated the simple music theory into his lecture.
document_02,"""reproducible for people, translatable to other software, and robustness to new data."" - excellent!"
document_02,I really enjoyed this presentation by Dr. Roger Peng and i found it very informative.
document_02,Some points I found interesting from this hour long presentation were:
document_02,I really liked how he went about comparing data analytics to other subjects that you might at first not relate.
document_02,I found it really interesting to hear about some of the challenges that Roger had to face. I really related to the point where he was talking about the student who was a good student and by the second to last lecture they were saying they understand how to do everything conceptually but they don't know how to apply it. 
document_02,I found Roger while very accomplished in his own regard someone very easy to relate to with the way he talks about subjects and the way he interacts with the audience. Much like another data science professor I have right now.
document_02,Towards the end of the presentation I really enjoyed the links to music he was making when talking about data analytics. 
document_02,"Definitely felt for that student, I have been there where I think I understand a topic but don't know how to apply, only to learn from a professor that I really don't understand that topic at all then. "
document_02,"I found it interesting how he used sheet music as an example of Data analysis, as someone who played the trumpet back in high school i saw sheet music all the time and never thought of it in the way he describes as compiled data. I makes sense since sheet music is composed of many notes and added thing to change the dynamics, Just as a data set or database is made from many different individual data points which are collected together and extrapolated into graphs and data that paint a bigger picture. It was nice to see something i was so similar with being used to explain data analytics, the fact that he had many examples like John Coltrane and Gustave Mauler both of which i have been exposed to in my High school band days. It hammers home the point of data analytics which is to bring all these pieces together and find a meaning to it."
document_02,That is awesome that you played the trumpet! I did not know that. I like your analysis on how you have been exposed to both those types of music. I personally have never heard of both those artists. 
document_02,"This was a very interesting lecture. Dr. Peng brought some great points that I have never thought about before when it comes to data analysis. The biggest point that stood out to me is how we never really have been taught the ""rules"" of a good data analysis. We are taught statistics, modeling techniques, and packages but never a framework for analyzing our data. I love how he uses the field of music as an example and how music theory gives a foundation for making good music. Another example is color theory, which gives a framework on how to use colors effectively for visual designs. We just don't have that theory or foundation yet for data analysis but it will be extremely beneficial for society once we do. One of the audience members brought up an interesting point about individuals who will break the ""rules"" of data analysis once those rules have been formulated. How will we be able to discover what those true rules are if people are successfuly breaking the rules we created? I think that Dr. Peng made a great answer, which was essentially ""We have to know the rules before we can break them correctly"". I am looking forward to the day when we can see this initial discussion of making a framework for good data analysis comes to fruition. "
document_02,Little by little. Our intro to data science course motivates some of these ideas. I just had a lecture on colors a couple of weeks ago for my data viz class. If interested check: https://www.reisanar.com/slides/colors#1 
document_02,"I really enjoyed how he included music so seamlessly into his lecture. Talking about more abstract idea can sometimes be challenging but being able to draw on peoples' prior knowledge is a great way to drive a point home. I particularly like how he showed the different examples to write down a song. Some are very simple and others are very specific and detailed. Different genres of music require different levels of detail. That lesson is very applicable in many different fields but many people don't talk about it or even think about it. He really stared to make me think about different ways data analysis can be done with different levels of detail, but is detailed enough for someone else to reproduce it close enough to its original form."
document_02,"I also liked how he mentioned the question ""How to determine whether a data analysis is good?"" near the beginning of the lecture. It feels like it is almost impossible to write a formula or list of rules to determine if data analysis is good or bad. It is easy to look at a completed project and see if it is good or bad but hard to write a rubric for an unknown project."
document_02,Overall this was a good lecture and it gave me a lot of good things to think about.
document_02,Glad you enjoyed it.
document_02,"I enjoyed watching Dr. Peng’s video as it had much insight. It also had many interesting points as well. The first interesting point he made was how many data analytics jobs are going to be needed. He noted a study from McKinsey and Company in 2011 that predicted in 2013 there were going to be approximately 140,000 to 190,000 unfilled data analytics job openings. It was also predicted that there are going to be 2.72 million data science and analytical roles in 2020. Another interesting point that was quite intriguing is that every single person is s a data analyst, even without their knowledge since data is always constantly being collected now. A third interesting thing about this video is how Dr. Peng compares data analysis to a bus stop. He tells that a good bus stop is comparable to successful data analysis since it is pleasant and easy to work with, which leads him into the topic of design patterns, which are quite interesting as well. Overall, this video was very intelligent and shed more light on the topic of data analysis."
document_02,"I really liked the presentation by Dr.Roger D. Peng, I thought it was really interesting and really well presented. I think one of the most interesting takeaways from this presentation and maybe one of the most important is that data is taking over the world, but the analysis is far from it and it's getting worse every day. It's really put some things in perspective for me because we have all of these ways of collecting data and accessing huge data sets but the analysis of those data sets is really not that good. This can also be seen in the reflection of the number of jobs that are being increased based on projections. So back in 2011, they projected that by 2018 will be 180k jobs for data science on the market. A new production was made in 2018 that projected by 2020 there will be 2.72 million jobs on the market which is insane change! Something else I found interesting/funny was how he compared object-oriented software development to designing a bus stop it was pretty funny to me but also spot on."
document_02,"I enjoyed Dr. Peng's lecture style and how he used music examples to explain conceptually how interpreting data analysis results should be approached. The ""What Can We Learn?"" slide helps put into perspective how the presentation of data analysis varies, in that it allows us to set expectations about what is ""good"" data, but is not necessarily instill a concrete ""command"" of what is exactly correct or not correct. He then mentioned that his point was that he thinks ""a lot of discussion about data analysis to date has largely been focused on the instruments, and there's not much discussion about the music that's being produced."" I feel this is still true largely because the results of analyses are just laid out and presented as findings, but does not give much insight into the problem or topic being analyzed unless you're familiar with the data and where it came from, which in most cases can be obtained from reading a report, but not solely from graphical output. I found the last closing slides interesting, that it's important to think about what we're trying to achieve in the data analysis, and how evaluating and testing them with different methodologies can affect the results, and even more importantly, how to find the right balance to ethically conduct the data analysis process. This video was thoroughly enjoyable! "
