duration,offer,lapse,price,gender,age
804,20,37,26.11,1,66
1013,20,65,17.3,0,35
326,30,92,0,0,44
498,20,75,0,0,55
116,25,35,12.93,1,50
149,30,80,0,1,62
592,20,37,-0.8,0,36
530,20,80,0,1,26
23,25,36,13.87,0,73
953,20,112,0,0,35
769,20,45,-5.85,0,62
262,30,36,5.88,0,59
572,20,77,14.24,1,40
315,30,102,15.25,0,47
648,30,20,-12.19,1,75
339,30,105,0,1,71
860,25,134,-17.57,0,61
783,30,47,19.46,1,55
943,30,102,2.15,1,41
16,30,92,41.04,0,33
802,30,161,0,1,39
419,30,66,-12.16,0,39
489,20,35,0,0,50
534,30,24,0,1,71
309,25,33,-9.57,0,36
175,25,13,0.74,0,59
631,25,108,-14.73,0,70
690,25,59,0,1,37
950,30,95,0,0,36
745,30,131,-16.39,1,50
1233,20,101,0,0,49
633,20,24,0,1,47
374,30,19,37.43,0,62
67,30,60,0,0,67
940,30,31,-8.55,0,71
629,20,94,0,0,67
252,20,108,19.01,0,39
869,30,64,0,0,50
525,20,119,17.34,0,26
353,30,117,0,0,70
511,30,119,27.83,0,43
710,20,67,0,1,39
815,25,64,21.12,0,42
484,30,110,0,0,67
484,30,42,0,0,50
583,30,61,32.46,1,56
884,30,178,9.23,1,56
458,20,119,0,0,73
289,20,65,0,0,27
722,30,79,0,1,46
1292,20,168,3.89,0,37
475,20,40,-3.79,0,32
1407,20,46,-24.57,0,65
384,30,181,34.57,1,30
872,30,108,0,1,43
236,20,96,22.09,0,29
669,30,104,-23.41,1,39
331,30,123,0,0,44
702,25,130,8.95,0,63
136,30,92,14.87,0,72
439,25,26,9.87,0,63
203,30,65,0,0,31
836,30,153,-5.72,1,47
483,20,143,32.01,0,27
433,25,102,-3.27,0,52
740,25,60,21.99,1,52
489,20,144,29.25,0,48
883,30,61,0,1,26
637,25,145,4.58,0,59
830,30,84,-41.21,0,69
380,20,76,29.24,0,64
238,30,42,16.59,0,37
813,20,118,17.78,0,28
882,30,47,-6.47,1,31
616,30,124,5.32,1,35
337,25,113,1.68,0,38
309,25,104,25.04,0,37
411,30,83,0,1,31
709,25,8,23.94,0,29
299,20,62,0,0,62
846,25,123,35.01,1,46
347,20,51,0,0,34
1194,30,100,-1.23,0,54
1043,25,122,18.7,1,68
571,30,70,4.34,0,53
1426,30,74,-11.28,1,33
212,25,46,0,1,61
608,20,20,0,0,33
703,20,94,-4.17,0,51
897,20,99,0,0,68
1124,20,34,-16.2,0,43
465,20,76,0,0,28
742,20,44,0,0,51
651,25,132,-5.57,0,55
957,25,59,9.17,1,41
453,30,158,3.04,0,42
796,25,144,-10.83,1,62
513,20,164,8.15,0,36
740,30,114,0,1,61
739,25,64,-8.94,1,27
834,30,41,0,0,70
702,30,107,2.82,1,57
790,20,47,-15.81,0,37
560,20,90,0,0,25
331,20,73,13.99,0,47
572,30,182,-8.24,0,36
486,25,95,0,0,72
457,30,54,19.18,1,71
913,20,94,3.55,1,41
418,30,44,12.31,1,72
360,30,83,-2.81,1,40
437,25,72,-18.66,0,45
827,20,114,-4.78,0,52
702,25,120,-27.88,0,27
637,25,141,0,0,65
963,25,148,4.47,0,53
1203,20,49,0,1,55
1244,25,89,0,1,27
436,20,86,4.44,0,38
572,20,34,32.02,0,49
404,25,107,24.32,0,30
769,30,61,0,0,55
760,30,107,0,1,52
990,30,93,-11.97,1,51
818,20,74,-24.02,0,48
195,30,75,0,0,56
1262,20,33,-10.45,0,46
741,25,109,0,1,68
470,30,144,6.55,1,58
953,20,40,0,1,51
325,20,57,24.25,0,51
827,20,131,-9.18,0,42
930,30,69,0,1,68
369,25,77,0,1,32
598,30,104,0,0,41
456,20,51,-14.61,0,27
117,30,83,24.03,0,27
609,30,148,0,0,67
613,25,76,0,0,25
773,30,116,0,1,27
500,20,76,0,0,30
370,20,79,0,1,32
429,20,63,-10.26,0,60
640,25,122,0,0,73
439,20,75,20.64,0,28
1155,20,120,-17.94,0,49
1088,30,137,0,1,34
557,25,64,0,1,29
984,20,36,0,1,50
1133,30,114,-6.05,0,46
150,20,47,5.2,0,29
582,30,175,-15.49,0,35
1056,20,89,-31.43,0,34
1371,30,141,-18.62,1,35
489,30,112,-12.62,1,65
713,20,68,0,0,38
934,30,35,0,1,34
521,20,107,2.21,1,53
1204,20,59,0,1,35
1195,25,110,3.38,1,30
742,30,188,-4.06,1,56
753,20,67,0,0,74
763,25,41,0,0,68
325,25,81,6.85,0,74
884,30,90,0,1,52
1213,20,172,-30.76,0,50
490,30,60,0,1,64
746,20,59,0,1,33
838,30,125,3.58,1,61
1189,20,17,0,1,30
334,30,73,4.41,1,50
693,25,17,-7.17,0,46
244,20,63,0,1,30
1041,30,199,-28.45,1,42
923,30,136,-8.88,1,46
472,20,43,18.18,0,42
1166,20,116,0,0,62
419,30,76,10.79,0,62
796,25,53,-14.01,0,71
521,25,119,0,0,34
561,25,63,19.21,0,70
275,25,13,4.12,0,41
337,20,104,8.2,1,54
1122,20,61,-4.99,1,48
564,20,143,5.2,1,30
1161,20,35,-33.02,1,65
348,25,74,0,1,42
108,25,30,26.33,1,72
703,20,37,34.45,1,29
308,30,116,24.16,1,36
1038,25,87,-41.76,1,32
664,30,64,8.32,1,30
978,30,85,-12.85,0,37
1253,20,164,-14.8,0,39
705,25,61,0,0,39
775,20,113,-6.09,1,65
641,30,73,-5.57,1,31
725,20,68,0,0,75
655,25,118,17.24,0,43
269,30,43,-5.6,1,56
905,25,62,0,1,44
709,20,73,0,0,34
