state,demVote,year,south
New Jersey,59.54,1936,FALSE
New Mexico,62.69,1936,FALSE
New York,58.85,1936,FALSE
North Carolina,73.4,1936,TRUE
North Dakota,59.6,1936,FALSE
Ohio,57.99,1936,FALSE
Oklahoma,66.83,1936,FALSE
Oregon,64.41,1936,FALSE
Pennsylvania,56.88,1936,FALSE
Rhode Island,52.96,1936,FALSE
South Carolina,98.57,1936,TRUE
South Dakota,54.02,1936,FALSE
Tennessee,68.77,1936,TRUE
Texas,87.08,1936,TRUE
Utah,69.34,1936,FALSE
Vermont,43.24,1936,FALSE
Virginia,70.23,1936,TRUE
Washington,66.38,1936,FALSE
West Virginia,60.56,1936,FALSE
Wisconsin,63.8,1936,FALSE
Wyoming,60.58,1936,FALSE
Alabama,85.22,1940,TRUE
Arizona,63.49,1940,FALSE
Arkansas,78.44,1940,TRUE
California,57.44,1940,FALSE
Colorado,48.37,1940,FALSE
Connecticut,53.44,1940,FALSE
Delaware,54.7,1940,FALSE
Florida,73.99,1940,TRUE
Georgia,84.81,1940,TRUE
Idaho,54.36,1940,FALSE
Illinois,50.97,1940,FALSE
Indiana,49.03,1940,FALSE
Iowa,47.62,1940,FALSE
Kansas,42.4,1940,FALSE
Kentucky,57.45,1940,FALSE
Louisiana,85.88,1940,TRUE
Maine,48.77,1940,FALSE
Maryland,58.26,1940,FALSE
Massachusetts,53.11,1940,FALSE
Michigan,49.52,1940,FALSE
Minnesota,51.49,1940,FALSE
Mississippi,95.7,1940,TRUE
Missouri,52.27,1940,FALSE
Montana,58.78,1940,FALSE
Nebraska,42.81,1940,FALSE
Nevada,60.08,1940,FALSE
New Hampshire,53.22,1940,FALSE
New Jersey,51.55,1940,FALSE
New Mexico,56.59,1940,FALSE
New York,51.6,1940,FALSE
North Carolina,74.03,1940,TRUE
North Dakota,44.18,1940,FALSE
Ohio,52.2,1940,FALSE
Oklahoma,57.41,1940,FALSE
Oregon,53.7,1940,FALSE
Pennsylvania,53.23,1940,FALSE
Rhode Island,56.73,1940,FALSE
South Carolina,95.63,1940,TRUE
South Dakota,42.59,1940,FALSE
Tennessee,67.25,1940,TRUE
Texas,80.93,1940,TRUE
Utah,62.25,1940,FALSE
Vermont,44.92,1940,FALSE
Virginia,68.08,1940,TRUE
Washington,58.22,1940,FALSE
West Virginia,57.1,1940,FALSE
Wisconsin,50.15,1940,FALSE
Wyoming,52.82,1940,FALSE
Alabama,81.28,1944,TRUE
Arizona,58.8,1944,FALSE
Arkansas,69.95,1944,TRUE
California,56.48,1944,FALSE
Colorado,46.4,1944,FALSE
Connecticut,52.3,1944,FALSE
Delaware,54.38,1944,FALSE
Florida,70.29,1944,TRUE
Georgia,81.73,1944,TRUE
Idaho,51.55,1944,FALSE
Illinois,51.52,1944,FALSE
Indiana,46.73,1944,FALSE
Iowa,47.49,1944,FALSE
Kansas,39.18,1944,FALSE
Kentucky,54.45,1944,FALSE
Louisiana,80.59,1944,TRUE
Maine,47.45,1944,FALSE
Maryland,51.85,1944,FALSE
Massachusetts,52.8,1944,FALSE
Michigan,50.19,1944,FALSE
Minnesota,52.41,1944,FALSE
Mississippi,93.56,1944,TRUE
Missouri,51.37,1944,FALSE
Montana,54.28,1944,FALSE
Nebraska,41.42,1944,FALSE
Nevada,54.62,1944,FALSE
New Hampshire,52.11,1944,FALSE
New Jersey,50.31,1944,FALSE
New Mexico,53.47,1944,FALSE
New York,52.31,1944,FALSE
North Carolina,66.71,1944,TRUE
North Dakota,45.48,1944,FALSE
Ohio,49.82,1944,FALSE
Oklahoma,55.57,1944,FALSE
Oregon,51.78,1944,FALSE
Pennsylvania,51.14,1944,FALSE
Rhode Island,58.59,1944,FALSE
South Carolina,87.64,1944,TRUE
South Dakota,41.67,1944,FALSE
Tennessee,60.45,1944,TRUE
Texas,71.42,1944,TRUE
Utah,60.44,1944,FALSE
Vermont,42.93,1944,FALSE
Virginia,62.36,1944,TRUE
Washington,56.84,1944,FALSE
West Virginia,54.89,1944,FALSE
Wisconsin,48.57,1944,FALSE
Wyoming,48.77,1944,FALSE
Arizona,53.79,1948,FALSE
Arkansas,61.72,1948,TRUE
California,47.57,1948,FALSE
Colorado,51.88,1948,FALSE
Connecticut,47.91,1948,FALSE
Delaware,48.76,1948,FALSE
Florida,48.82,1948,TRUE
Georgia,60.8,1948,TRUE
Idaho,49.98,1948,FALSE
Illinois,50.07,1948,FALSE
Indiana,48.78,1948,FALSE
Iowa,50.31,1948,FALSE
Kansas,44.61,1948,FALSE
Kentucky,56.74,1948,FALSE
Louisiana,32.75,1948,TRUE
Maine,42.27,1948,FALSE
Maryland,48.01,1948,FALSE
Massachusetts,54.66,1948,FALSE
Michigan,47.57,1948,FALSE
Minnesota,57.16,1948,FALSE
Mississippi,10.09,1948,TRUE
Missouri,58.11,1948,FALSE
Montana,53.09,1948,FALSE
Nebraska,45.85,1948,FALSE
Nevada,50.37,1948,FALSE
New Hampshire,46.66,1948,FALSE
New Jersey,45.93,1948,FALSE
New Mexico,56.38,1948,FALSE
New York,45.01,1948,FALSE
North Carolina,58.02,1948,TRUE
North Dakota,43.41,1948,FALSE
Ohio,49.48,1948,FALSE
Oklahoma,62.75,1948,FALSE
Oregon,46.4,1948,FALSE
Pennsylvania,46.91,1948,FALSE
Rhode Island,57.59,1948,FALSE
South Carolina,24.14,1948,TRUE
South Dakota,47.04,1948,FALSE
Tennessee,49.14,1948,TRUE
Texas,65.96,1948,TRUE
Utah,53.98,1948,FALSE
Vermont,36.92,1948,FALSE
Virginia,47.89,1948,TRUE
Washington,52.61,1948,FALSE
West Virginia,57.32,1948,FALSE
Wisconsin,50.7,1948,FALSE
Wyoming,51.62,1948,FALSE
Alabama,64.55,1952,TRUE
Arizona,41.65,1952,FALSE
Arkansas,55.9,1952,TRUE
California,42.74,1952,FALSE
Colorado,38.96,1952,FALSE
Connecticut,43.91,1952,FALSE
Delaware,47.88,1952,FALSE
Florida,44.97,1952,TRUE
Georgia,69.66,1952,TRUE
Idaho,34.42,1952,FALSE
Illinois,44.94,1952,FALSE
Indiana,40.99,1952,FALSE
Iowa,35.59,1952,FALSE
Kansas,30.5,1952,FALSE
Kentucky,49.91,1952,FALSE
Louisiana,52.92,1952,TRUE
Maine,33.77,1952,FALSE
Maryland,43.83,1952,FALSE
Massachusetts,45.46,1952,FALSE
Michigan,43.97,1952,FALSE
Minnesota,44.11,1952,FALSE
Mississippi,60.44,1952,TRUE
Missouri,49.14,1952,FALSE
Montana,40.07,1952,FALSE
Nebraska,30.85,1952,FALSE
Nevada,38.55,1952,FALSE
New Hampshire,39.08,1952,FALSE
New Jersey,42,1952,FALSE
New Mexico,44.28,1952,FALSE
New York,43.55,1952,FALSE
North Carolina,53.91,1952,TRUE
North Dakota,28.39,1952,FALSE
Ohio,43.24,1952,FALSE
Oklahoma,45.41,1952,FALSE
Oregon,38.93,1952,FALSE
Pennsylvania,46.85,1952,FALSE
Rhode Island,49.05,1952,FALSE
South Carolina,50.72,1952,TRUE
South Dakota,30.73,1952,FALSE
Tennessee,49.71,1952,TRUE
Texas,46.69,1952,TRUE
Utah,41.07,1952,FALSE
Vermont,28.23,1952,FALSE
Virginia,43.36,1952,TRUE
Washington,44.69,1952,FALSE
West Virginia,51.92,1952,FALSE
Wisconsin,38.71,1952,FALSE
Wyoming,37.09,1952,FALSE
Alabama,56.52,1956,TRUE
Arizona,38.9,1956,FALSE
Arkansas,52.46,1956,TRUE
California,44.27,1956,FALSE
Colorado,39.26,1956,FALSE
Connecticut,36.26,1956,FALSE
Delaware,44.62,1956,FALSE
Florida,42.67,1956,TRUE
Georgia,66.41,1956,TRUE
Idaho,38.78,1956,FALSE
Illinois,40.29,1956,FALSE
Indiana,39.7,1956,FALSE
Iowa,40.65,1956,FALSE
Kansas,34.21,1956,FALSE
Kentucky,45.21,1956,FALSE
Louisiana,39.51,1956,TRUE
Maine,29.13,1956,FALSE
Maryland,39.94,1956,FALSE
Massachusetts,40.37,1956,FALSE
Michigan,44.15,1956,FALSE
Minnesota,46.08,1956,FALSE
Mississippi,58.22,1956,TRUE
Missouri,50.11,1956,FALSE
Montana,42.87,1956,FALSE
Nebraska,34.49,1956,FALSE
Nevada,42.03,1956,FALSE
New Hampshire,33.84,1956,FALSE
New Jersey,34.23,1956,FALSE
New Mexico,41.78,1956,FALSE
New York,38.73,1956,FALSE
North Carolina,50.66,1956,TRUE
North Dakota,38.09,1956,FALSE
Ohio,38.89,1956,FALSE
Oklahoma,44.87,1956,FALSE
Oregon,44.72,1956,FALSE
Pennsylvania,43.3,1956,FALSE
Rhode Island,41.74,1956,FALSE
South Carolina,45.37,1956,TRUE
South Dakota,41.61,1956,FALSE
Tennessee,48.6,1956,TRUE
Texas,43.98,1956,TRUE
Utah,35.44,1956,FALSE
Vermont,27.81,1956,FALSE
Virginia,38.36,1956,TRUE
Washington,45.44,1956,FALSE
West Virginia,45.92,1956,FALSE
Wisconsin,37.84,1956,FALSE
Wyoming,39.92,1956,FALSE
Alabama,56.83,1960,TRUE
Alaska,49.06,1960,FALSE
Arizona,44.36,1960,FALSE
Arkansas,50.19,1960,TRUE
California,49.55,1960,FALSE
Colorado,44.91,1960,FALSE
Connecticut,53.73,1960,FALSE
Delaware,50.63,1960,FALSE
Florida,48.49,1960,TRUE
Georgia,62.54,1960,TRUE
Hawaii,50.03,1960,FALSE
Idaho,46.22,1960,FALSE
Illinois,49.98,1960,FALSE
Indiana,44.6,1960,FALSE
Iowa,43.22,1960,FALSE
Kansas,39.1,1960,FALSE
Kentucky,46.41,1960,FALSE
Louisiana,50.42,1960,TRUE
Maine,42.95,1960,FALSE
Maryland,53.61,1960,FALSE
Massachusetts,60.22,1960,FALSE
Michigan,50.85,1960,FALSE
Minnesota,50.58,1960,FALSE
Mississippi,36.34,1960,TRUE
Missouri,50.26,1960,FALSE
Montana,48.6,1960,FALSE
Nebraska,37.93,1960,FALSE
Nevada,51.16,1960,FALSE
New Hampshire,46.58,1960,FALSE
New Jersey,49.96,1960,FALSE
New Mexico,50.15,1960,FALSE
New York,52.53,1960,FALSE
North Carolina,52.11,1960,TRUE
North Dakota,44.52,1960,FALSE
Ohio,46.72,1960,FALSE
Oklahoma,40.98,1960,FALSE
Oregon,47.32,1960,FALSE
Pennsylvania,51.06,1960,FALSE
Rhode Island,63.63,1960,FALSE
South Carolina,51.24,1960,TRUE
South Dakota,41.79,1960,FALSE
Tennessee,45.77,1960,TRUE
Texas,50.52,1960,TRUE
Utah,45.17,1960,FALSE
Vermont,41.35,1960,FALSE
Virginia,46.97,1960,TRUE
Washington,48.27,1960,FALSE
West Virginia,52.73,1960,FALSE
Wisconsin,48.05,1960,FALSE
Wyoming,44.99,1960,FALSE
Alaska,65.91,1964,FALSE
Arizona,49.45,1964,FALSE
Arkansas,56.06,1964,TRUE
California,59.11,1964,FALSE
Colorado,61.27,1964,FALSE
Connecticut,67.81,1964,FALSE
Delaware,60.95,1964,FALSE
DC,85.5,1964,FALSE
Florida,51.15,1964,TRUE
Georgia,45.87,1964,TRUE
Hawaii,78.76,1964,FALSE
Idaho,50.92,1964,FALSE
Illinois,59.47,1964,FALSE
Indiana,55.98,1964,FALSE
Iowa,61.88,1964,FALSE
Kansas,54.09,1964,FALSE
Kentucky,64.01,1964,FALSE
Louisiana,43.19,1964,TRUE
Maine,68.84,1964,FALSE
Maryland,65.47,1964,FALSE
Massachusetts,76.19,1964,FALSE
Michigan,66.7,1964,FALSE
Minnesota,63.76,1964,FALSE
Mississippi,12.86,1964,TRUE
Missouri,64.05,1964,FALSE
Montana,58.95,1964,FALSE
Nebraska,52.61,1964,FALSE
Nevada,58.58,1964,FALSE
New Hampshire,63.89,1964,FALSE
New Jersey,65.61,1964,FALSE
New Mexico,59.03,1964,FALSE
New York,68.56,1964,FALSE
North Carolina,56.15,1964,TRUE
North Dakota,57.97,1964,FALSE
Ohio,62.94,1964,FALSE
Oklahoma,55.75,1964,FALSE
Oregon,63.72,1964,FALSE
Pennsylvania,64.92,1964,FALSE
Rhode Island,80.87,1964,FALSE
South Carolina,41.11,1964,TRUE
South Dakota,55.61,1964,FALSE
Tennessee,55.5,1964,TRUE
Texas,63.32,1964,TRUE
Utah,54.71,1964,FALSE
Vermont,66.3,1964,FALSE
Virginia,53.54,1964,TRUE
Washington,61.97,1964,FALSE
West Virginia,67.94,1964,FALSE
Wisconsin,62.09,1964,FALSE
Wyoming,56.56,1964,FALSE
Alabama,18.72,1968,TRUE
Alaska,42.65,1968,FALSE
Arizona,35.02,1968,FALSE
Arkansas,30.36,1968,TRUE
California,44.74,1968,FALSE
Colorado,41.32,1968,FALSE
Connecticut,49.48,1968,FALSE
Delaware,41.61,1968,FALSE
DC,81.82,1968,FALSE
Florida,30.93,1968,TRUE
Georgia,26.75,1968,TRUE
Hawaii,59.83,1968,FALSE
Idaho,30.66,1968,FALSE
Illinois,44.15,1968,FALSE
Indiana,37.99,1968,FALSE
Iowa,40.82,1968,FALSE
Kansas,34.72,1968,FALSE
Kentucky,37.65,1968,FALSE
Louisiana,28.21,1968,TRUE
Maine,55.3,1968,FALSE
Maryland,43.59,1968,FALSE
Massachusetts,63.01,1968,FALSE
Michigan,48.18,1968,FALSE
Minnesota,54,1968,FALSE
Mississippi,23.02,1968,TRUE
Missouri,43.74,1968,FALSE
Montana,41.59,1968,FALSE
Nebraska,31.81,1968,FALSE
Nevada,39.29,1968,FALSE
New Hampshire,43.93,1968,FALSE
New Jersey,43.97,1968,FALSE
New Mexico,39.74,1968,FALSE
New York,49.74,1968,FALSE
North Carolina,29.24,1968,TRUE
North Dakota,38.23,1968,FALSE
Ohio,42.95,1968,FALSE
Oklahoma,31.99,1968,FALSE
Oregon,43.78,1968,FALSE
Pennsylvania,47.59,1968,FALSE
Rhode Island,64.03,1968,FALSE
South Carolina,29.61,1968,TRUE
South Dakota,41.96,1968,FALSE
Tennessee,28.13,1968,TRUE
Texas,41.14,1968,TRUE
Utah,37.07,1968,FALSE
Vermont,43.53,1968,FALSE
Virginia,32.49,1968,TRUE
Washington,47.23,1968,FALSE
West Virginia,49.6,1968,FALSE
Wisconsin,44.27,1968,FALSE
Wyoming,35.51,1968,FALSE
Alabama,25.54,1972,TRUE
Alaska,34.62,1972,FALSE
Arizona,31.87,1972,FALSE
Arkansas,30.69,1972,TRUE
California,41.54,1972,FALSE
Colorado,34.59,1972,FALSE
Connecticut,40.13,1972,FALSE
Delaware,39.18,1972,FALSE
DC,78.1,1972,FALSE
Florida,27.8,1972,TRUE
Georgia,24.65,1972,TRUE
Hawaii,37.52,1972,FALSE
Idaho,26.04,1972,FALSE
Illinois,40.51,1972,FALSE
Indiana,33.34,1972,FALSE
Iowa,40.48,1972,FALSE
Kansas,29.5,1972,FALSE
Kentucky,34.77,1972,FALSE
Louisiana,28.35,1972,TRUE
Maine,38.51,1972,FALSE
Maryland,37.36,1972,FALSE
Massachusetts,54.2,1972,FALSE
Michigan,41.82,1972,FALSE
Minnesota,46.07,1972,FALSE
Mississippi,19.63,1972,TRUE
Missouri,37.57,1972,FALSE
Montana,37.85,1972,FALSE
Nebraska,29.5,1972,FALSE
Nevada,36.32,1972,FALSE
New Hampshire,34.86,1972,FALSE
New Jersey,36.77,1972,FALSE
New Mexico,36.53,1972,FALSE
New York,41.18,1972,FALSE
North Carolina,28.89,1972,TRUE
North Dakota,35.79,1972,FALSE
Ohio,38.07,1972,FALSE
Oklahoma,24,1972,FALSE
Oregon,42.33,1972,FALSE
Pennsylvania,39.13,1972,FALSE
Rhode Island,46.81,1972,FALSE
South Carolina,27.72,1972,TRUE
South Dakota,45.52,1972,FALSE
Tennessee,29.75,1972,TRUE
Texas,33.25,1972,TRUE
Utah,26.39,1972,FALSE
Vermont,36.47,1972,FALSE
Virginia,30.12,1972,TRUE
Washington,38.64,1972,FALSE
West Virginia,36.39,1972,FALSE
Wisconsin,43.72,1972,FALSE
Wyoming,30.47,1972,FALSE
Alabama,55.73,1976,TRUE
Alaska,35.65,1976,FALSE
Arizona,39.8,1976,FALSE
Arkansas,64.96,1976,TRUE
California,47.57,1976,FALSE
Colorado,42.56,1976,FALSE
Connecticut,46.9,1976,FALSE
Delaware,51.98,1976,FALSE
DC,81.63,1976,FALSE
Florida,51.93,1976,TRUE
Georgia,66.74,1976,TRUE
Hawaii,50.59,1976,FALSE
Idaho,36.78,1976,FALSE
Illinois,48.13,1976,FALSE
Indiana,45.7,1976,FALSE
Iowa,48.46,1976,FALSE
Kansas,44.94,1976,FALSE
Kentucky,52.75,1976,FALSE
Louisiana,51.73,1976,TRUE
Maine,48.07,1976,FALSE
Maryland,52.75,1976,FALSE
Massachusetts,56.11,1976,FALSE
Michigan,46.44,1976,FALSE
Minnesota,54.9,1976,FALSE
Mississippi,49.56,1976,TRUE
Missouri,51.1,1976,FALSE
Montana,45.4,1976,FALSE
Nebraska,38.46,1976,FALSE
Nevada,45.81,1976,FALSE
New Hampshire,43.47,1976,FALSE
New Jersey,47.92,1976,FALSE
New Mexico,48.07,1976,FALSE
New York,51.87,1976,FALSE
North Carolina,55.24,1976,TRUE
North Dakota,45.79,1976,FALSE
Ohio,48.92,1976,FALSE
Oklahoma,48.75,1976,FALSE
Oregon,47.62,1976,FALSE
Pennsylvania,50.4,1976,FALSE
Rhode Island,55.36,1976,FALSE
South Carolina,56.17,1976,TRUE
South Dakota,48.91,1976,FALSE
Tennessee,55.94,1976,TRUE
Texas,51.14,1976,TRUE
Utah,33.65,1976,FALSE
Vermont,43.11,1976,FALSE
Virginia,47.96,1976,TRUE
Washington,46.11,1976,FALSE
West Virginia,58.05,1976,FALSE
Wisconsin,49.44,1976,FALSE
Wyoming,39.81,1976,FALSE
Alabama,47.45,1980,TRUE
Alaska,26.41,1980,FALSE
Arizona,28.24,1980,FALSE
Arkansas,47.52,1980,TRUE
California,35.91,1980,FALSE
Colorado,31.07,1980,FALSE
Connecticut,38.52,1980,FALSE
Delaware,44.83,1980,FALSE
DC,74.82,1980,FALSE
Florida,38.5,1980,TRUE
Georgia,55.79,1980,TRUE
Hawaii,44.8,1980,FALSE
Idaho,25.19,1980,FALSE
Illinois,41.72,1980,FALSE
Indiana,37.65,1980,FALSE
Iowa,38.6,1980,FALSE
Kansas,33.29,1980,FALSE
Kentucky,47.61,1980,FALSE
Louisiana,45.75,1980,TRUE
Maine,42.25,1980,FALSE
Maryland,47.14,1980,FALSE
Massachusetts,41.75,1980,FALSE
Michigan,42.5,1980,FALSE
Minnesota,46.5,1980,FALSE
Mississippi,48.09,1980,TRUE
Missouri,44.35,1980,FALSE
Montana,32.43,1980,FALSE
Nebraska,26.04,1980,FALSE
Nevada,26.89,1980,FALSE
New Hampshire,28.35,1980,FALSE
New Jersey,38.56,1980,FALSE
New Mexico,36.73,1980,FALSE
New York,43.99,1980,FALSE
North Carolina,47.18,1980,TRUE
North Dakota,26.26,1980,FALSE
Ohio,40.91,1980,FALSE
Oklahoma,34.97,1980,FALSE
Oregon,38.67,1980,FALSE
Pennsylvania,42.48,1980,FALSE
Rhode Island,47.67,1980,FALSE
South Carolina,48.14,1980,TRUE
South Dakota,31.69,1980,FALSE
Tennessee,48.41,1980,TRUE
Texas,41.42,1980,TRUE
Utah,20.57,1980,FALSE
Vermont,38.42,1980,FALSE
Virginia,40.31,1980,TRUE
Washington,37.32,1980,FALSE
West Virginia,49.81,1980,FALSE
Wisconsin,43.18,1980,FALSE
Wyoming,27.97,1980,FALSE
Alabama,38.28,1984,TRUE
Alaska,29.87,1984,FALSE
Arizona,32.54,1984,FALSE
Arkansas,38.29,1984,TRUE
California,41.27,1984,FALSE
Colorado,35.12,1984,FALSE
Connecticut,38.83,1984,FALSE
Delaware,39.93,1984,FALSE
DC,85.38,1984,FALSE
Florida,34.66,1984,TRUE
Georgia,39.78,1984,TRUE
Hawaii,43.82,1984,FALSE
Idaho,26.39,1984,FALSE
Illinois,43.3,1984,FALSE
Indiana,37.68,1984,FALSE
Iowa,45.89,1984,FALSE
Kansas,32.6,1984,FALSE
Kentucky,39.4,1984,FALSE
Louisiana,38.18,1984,TRUE
Maine,38.78,1984,FALSE
Maryland,47.02,1984,FALSE
Massachusetts,48.43,1984,FALSE
Michigan,40.24,1984,FALSE
Minnesota,49.72,1984,FALSE
Mississippi,37.42,1984,TRUE
Missouri,39.98,1984,FALSE
Montana,38.18,1984,FALSE
Nebraska,28.81,1984,FALSE
Nevada,31.97,1984,FALSE
New Hampshire,30.94,1984,FALSE
New Jersey,39.2,1984,FALSE
New Mexico,39.23,1984,FALSE
New York,45.83,1984,FALSE
North Carolina,37.89,1984,TRUE
North Dakota,33.8,1984,FALSE
Ohio,40.14,1984,FALSE
Oklahoma,30.67,1984,FALSE
Oregon,43.74,1984,FALSE
Pennsylvania,45.99,1984,FALSE
Rhode Island,48.02,1984,FALSE
South Carolina,35.57,1984,TRUE
South Dakota,36.53,1984,FALSE
Tennessee,41.57,1984,TRUE
Texas,36.11,1984,TRUE
Utah,24.68,1984,FALSE
Vermont,40.81,1984,FALSE
Virginia,37.09,1984,TRUE
Washington,42.86,1984,FALSE
West Virginia,44.6,1984,FALSE
Wisconsin,45.02,1984,FALSE
Wyoming,28.24,1984,FALSE
Alabama,39.86,1988,TRUE
Alaska,36.27,1988,FALSE
Arizona,38.74,1988,FALSE
Arkansas,42.19,1988,TRUE
California,47.56,1988,FALSE
Colorado,45.28,1988,FALSE
Connecticut,46.87,1988,FALSE
Delaware,43.48,1988,FALSE
DC,82.65,1988,FALSE
Florida,38.51,1988,TRUE
Georgia,39.5,1988,TRUE
Hawaii,54.27,1988,FALSE
Idaho,36.01,1988,FALSE
Illinois,48.6,1988,FALSE
Indiana,39.69,1988,FALSE
Iowa,54.71,1988,FALSE
Kansas,42.56,1988,FALSE
Kentucky,43.88,1988,FALSE
Louisiana,44.06,1988,TRUE
Maine,43.88,1988,FALSE
Maryland,48.2,1988,FALSE
Massachusetts,53.23,1988,FALSE
Michigan,45.67,1988,FALSE
Minnesota,52.91,1988,FALSE
Mississippi,39.07,1988,TRUE
Missouri,47.84,1988,FALSE
Montana,46.2,1988,FALSE
Nebraska,39.2,1988,FALSE
Nevada,37.92,1988,FALSE
New Hampshire,36.29,1988,FALSE
New Jersey,42.6,1988,FALSE
New Mexico,46.9,1988,FALSE
New York,51.62,1988,FALSE
North Carolina,41.71,1988,TRUE
North Dakota,42.97,1988,FALSE
Ohio,44.15,1988,FALSE
Oklahoma,41.28,1988,FALSE
Oregon,51.28,1988,FALSE
Pennsylvania,48.39,1988,FALSE
Rhode Island,55.64,1988,FALSE
South Carolina,37.58,1988,TRUE
South Dakota,46.51,1988,FALSE
Tennessee,41.55,1988,TRUE
Texas,43.35,1988,TRUE
Utah,32.05,1988,FALSE
Vermont,47.58,1988,FALSE
Virginia,39.23,1988,TRUE
Washington,50.05,1988,FALSE
West Virginia,52.2,1988,FALSE
Wisconsin,51.41,1988,FALSE
Wyoming,38.01,1988,FALSE
Alabama,40.88,1992,TRUE
Alaska,30.29,1992,FALSE
Arizona,36.52,1992,FALSE
Arkansas,53.21,1992,TRUE
California,46.01,1992,FALSE
Colorado,40.13,1992,FALSE
Connecticut,42.21,1992,FALSE
Delaware,43.51,1992,FALSE
DC,84.64,1992,FALSE
Florida,39,1992,TRUE
Georgia,43.47,1992,TRUE
Hawaii,48.09,1992,FALSE
Idaho,28.42,1992,FALSE
Illinois,48.58,1992,FALSE
Indiana,36.79,1992,FALSE
Iowa,43.29,1992,FALSE
Kansas,33.74,1992,FALSE
Kentucky,44.55,1992,FALSE
Louisiana,45.58,1992,TRUE
Maine,38.77,1992,FALSE
Maryland,49.8,1992,FALSE
Massachusetts,47.54,1992,FALSE
Michigan,43.77,1992,FALSE
Minnesota,43.48,1992,FALSE
Mississippi,40.77,1992,TRUE
Missouri,44.07,1992,FALSE
Montana,37.63,1992,FALSE
Nebraska,29.4,1992,FALSE
Nevada,37.36,1992,FALSE
New Hampshire,38.86,1992,FALSE
New Jersey,42.95,1992,FALSE
New Mexico,45.9,1992,FALSE
New York,49.73,1992,FALSE
North Carolina,42.65,1992,TRUE
North Dakota,32.18,1992,FALSE
Ohio,40.18,1992,FALSE
Oklahoma,34.02,1992,FALSE
Oregon,42.48,1992,FALSE
Pennsylvania,45.15,1992,FALSE
Rhode Island,47.04,1992,FALSE
South Carolina,39.88,1992,TRUE
South Dakota,37.14,1992,FALSE
Tennessee,47.08,1992,TRUE
Texas,37.08,1992,TRUE
Utah,24.65,1992,FALSE
Vermont,46.11,1992,FALSE
Virginia,40.59,1992,TRUE
Washington,43.4,1992,FALSE
West Virginia,48.41,1992,FALSE
Wisconsin,41.13,1992,FALSE
Wyoming,33.98,1992,FALSE
Alabama,43.16,1996,TRUE
Alaska,33.27,1996,FALSE
Arizona,46.52,1996,FALSE
Arkansas,53.74,1996,TRUE
California,51.1,1996,FALSE
Colorado,44.43,1996,FALSE
Connecticut,52.83,1996,FALSE
Delaware,51.82,1996,FALSE
DC,85.19,1996,FALSE
Florida,48.02,1996,TRUE
Georgia,45.84,1996,TRUE
Hawaii,56.93,1996,FALSE
Idaho,33.65,1996,FALSE
Illinois,54.32,1996,FALSE
