news_date,news_titles,news_summary
"July 10, 2019",Fall orientation to ignite excitement for Florida Poly,One of the most difficult parts of transitioning to university life is knowing how to get things done and where to go for help. Florida Polytechnic University’s orientation program aims to make this easier while also giving incoming students strong connections to new peers and mentors across campus.
"July 2, 2019",Powering the future through a passion for engineering,"A summer internship at Siemens in Orlando has become one of the most powerful educational motivators of Florida Polytechnic University senior Kelsey Marin’s life. “I love this experience. It’s amazing,” Marin said. “I love being surrounded by engineers and everyone is super intelligent. Every day, every hour I’ve been learning something new.”"
"June 28, 2019","Florida Poly holds key to economic growth, says President Avent","There is a need to build a robust “creative class” in central Florida to improve the economic future of the region, and Florida Polytechnic University can play a key role in making it happen. That was the core message Dr. Randy K. Avent, Florida Poly president, delivered at the I-4 Commercial Corridor Conference held on Friday, June 28, at the Innovation, Science and Technology Building in Lakeland, Florida."
"June 26, 2019",Destination Aviation Camp fuels up on knowledge at Florida Poly,"Future aviators and engineers received a close-up look at Florida Polytechnic University this week as part of a program designed to fuel their budding interest in aviation and STEM (science, technology, engineering and math) disciplines."
"June 25, 2019",From palm trees to a STEM hub: Proudly sharing her Caribbean flavor,"June is National Caribbean American Heritage Month, and Trinidad and Tobago native Vaishnavi Maharaj is proud to be the only Florida Polytechnic University student from the dual-island nation. Born and raised in beautiful Trinidad, she is used to living in a cultural melting pot."
"June 23, 2019",Women at Florida Poly changing the face of modern engineering,"On June 23, International Women in Engineering Day will celebrate the achievements of women in the field and encourage more females to enter engineering and related areas. The theme of this year’s celebration is “Transform the Future,” a goal female students and faculty at Florida Polytechnic University work toward every day in the traditionally male-dominated field."
"June 21, 2019",Summer fun awaits Florida Poly students this weekend,Summer officially starts today and there are plenty of things for Florida Polytechnic University students to do in the area this weekend to mark today’s end of the Summer A Session and celebrate the beginning of the most fun and relaxing part of the year.
"June 20, 2019",Florida Poly junior optimizing new platform for national retailer,"For the first time in the company’s more than 100-year history, customers can purchase furniture, appliances and other home goods directly from Badcock Home Furniture &more’s website. Florida Polytechnic University junior Phelippe ‘Phil’ Souza-Herod is playing an important role in making it happen."
"June 17, 2019",Florida Poly senior director to lead international research on autonomous vehicles,"As the Advanced Mobility Institute at Florida Polytechnic University positions itself as a leader in autonomous vehicle research, senior director of special projects Dr. Rahul Razdan will head a new series of reports focused on the testing and validation of this emerging technology around the world."
"June 13, 2019",Florida Poly junior celebrates fatherhood while chasing engineering dreams,"When Florida Polytechnic University junior Matthew McBride Jr. wakes up on Father’s Day this Sunday, he’ll be celebrated by two of his biggest – and smallest – supporters. His children, Pheenix, 8, and Lincoln, 2, will surely shower him with handmade crafts, giggles, and Father’s Day wishes before they and his wife, Amnesty McBride, hit the pool and launch a kite into the afternoon sunshine."
"June 12, 2019",Florida Poly junior devotes summer to improving airline entertainment,"Next time Florida Polytechnic University junior Lindsey Gerberich boards a plane, she may feel satisfaction knowing she played a role in the Wi-Fi service she’ll connect to, the payment service she’ll use, and the movie she’ll watch during the flight."
"June 10, 2019",Florida Poly Rotaract Club strives to serve others above self,"Dorian Gray had never heard of the Rotaract Club when he began his journey at Florida Polytechnic University in 2016, coming from his native Bahamas. All he knew was that he wanted to focus not only on his classes, but also on his new environment and get involved in the community he now called home."
"June 7, 2019","Underrepresented students discover possibilities for bright, high-tech futures","Stanley Pierre Gilles, 17, said he sees himself as a corporate lawyer when he pictures the future. At least those were his plans before participating in the second Summer STEAM Boot Camp at Florida Polytechnic University, designed for first-generation-in-college and low-income high school students in Polk County."
"June 5, 2019",Prepare today for hurricane season,"The Atlantic hurricane season is just getting started, and Florida Poly wants to make sure you’re ready. Preparing now will make it easier to handle potentially treacherous conditions as the first named storms of the year begin forming. Taking simple steps today can prevent stress, worry, and dangerous conditions if a hurricane strikes our area. The following tips and links can help you prepare for hurricane season, which ends Nov. 30."
"June 4, 2019",Cracking the code to success,"When Jonathan Gan attended the Florida Poly Career and Internship Fair last February, he wanted to see what kinds of opportunities were available to students, but he didn’t expect employers to take much interest in a sophomore like him. However, his creativity and his passion for learning sparked the interest of a leading software company in Tampa, Florida."
"May 31, 2019","Florida Poly professor chosen to join elite, international fellowship for female STEM leaders","Dr. Grisselle Centeno is making history by becoming the first Florida Polytechnic University professor and one of two first ever in the state to be selected for the prominent and competitive Executive Leadership in Academic Technology, Engineering, and Science (ELATES) program."
"May 23, 2019","Florida Poly research to help citrus industry with faster, cheaper greening detection","Florida Poly researchers have developed a new cutting-edge technology that aims to simplify and make more affordable the detection of citrus greening in groves throughout Florida and beyond. “Citrus greening has posed a terrible threat to crops locally and worldwide as it has no cure,” said Dr. Muhammad R. Abid, assistant professor of computer science and lead researcher."
"May 20, 2019",Florida ranked No. 1 in Higher Education rankings from U.S. News & World Report,"For the third consecutive year, Florida has been named the No. 1 state in the country for higher education by U.S. News & World Report. Florida Poly is the 12th and newest of the state universities in Florida, and the only university dedicated exclusively to STEM (science, technology, engineering, and math) education. The rankings are […]"
"May 17, 2019",Florida Poly alumna wins prestigious award for empowering young women,"Florida Polytechnic University alumna Anita Silwal ’19 received one of the most prestigious awards given to women in Polk County for making a difference in girls’ lives. She won the “She Knows Where She’s Going” award, presented each year by Girls Inc. of Lakeland and Bartow to celebrate women for their commitment to the community and mentorship of girls and young women."
"May 16, 2019",Future electrical engineer pursues Olympic dreams,"Bruce Hicks has his eyes on Paris. The 2024 Summer Olympic Games, that is. This Florida Polytechnic University sophomore has been successfully competing in archery competitions across the state for more than five years. Now, he divides his energy between his goal of completing a bachelor’s degree in electrical engineering and the dream of becoming an Olympic athlete."
"May 14, 2019",Rocket dreams come true for Florida Poly junior,Geoffrey Doback has no doubts of where he wants his career ambitions to take him. The Florida Polytechnic University student has been captivated by aviation and the so-called next frontier ever since he was a young boy.
"May 8, 2019",New partnership gives Florida Poly students access to new career opportunities,"For the first time, Florida Polytechnic University will have a presence at the annual Statewide Job Fair, one of the largest career events in the state focused on the recruitment of graduates and alumni from Florida’s public universities. "
"May 5, 2019",Hundreds of graduates soar to success during second four-year class commencement,"Nearly 300 graduate and undergraduate students received degrees at Florida Polytechnic University’s second four-year class commencement on Sunday, May 5 at the RP Funding Center in Lakeland, Florida."
"May 3, 2019",Q&A: Max Cowan turns curiosity and dedication into opportunity of a lifetime,"Ohio native Max Cowan ’19 came to Florida Poly ready to tackle new challenges and expand his critical thinking. As he pursued a computer science degree with a concentration in cybersecurity, Max discovered new interests in building autonomous systems and machine learning. He interned as a cybersecurity analyst at Phacil, Inc. in Cocoa Beach, Florida, and later fulfilled another internship at Amazon Web Services in Seattle, Washington."
"May 2, 2019",Former NASA astronaut and four-star general to address Florida Poly graduates,"Close to 300 Florida Polytechnic University students will receive undergraduate and graduate degrees at the Spring 2019 Commencement, as retired Air Force general and three-time space shuttle astronaut Kevin P. Chilton inspires them to launch their high-tech careers and reach new heights."
"May 1, 2019","Q&A: Payton Barnwell reaches for the stars, literally","Payton Barnwell’s ’19 true fascination with space led her to stellar opportunities in the aerospace industry while at Florida Poly. The mechanical engineering major from Tampa, Florida, was awarded the prestigious Brooke Owens Fellowship in 2018, which enabled her to intern at Generation Orbit Launch Services in Atlanta, Georgia."
"April 26, 2019",Presidential Ambassador Program welcomes new members,"Florida Polytechnic University announced its 2019-20 Class of Presidential Ambassadors, welcoming 10 new members to the distinguished student program. The annual induction ceremony was held Tuesday, April 23, at the Aula Magna in the Innovation, Science, and Technology (IST) Building. The new class of Presidential Ambassadors is comprised of 19 students who were appointed by […]"
"April 25, 2019",Florida Poly seniors shine at first Capstone Design Showcase,"More than 200 students impressed an eager crowd of industry and community leaders as they presented their capstone projects during the inaugural Capstone Design Showcase held Wednesday, April 24 at the Saddle Creek Logistics Commons in the Innovation, Science, and Technology (IST) Building."
"April 24, 2019",Spirit Week Aims to help Students De-Stress from Finals,"The end of semester is here for Florida Polytechnic University students. The Innovation, Science, and Technology (IST) Building commons is packed with students, guests from end of the year showcases and expos, and white boards are filled to the brink with math equations. Finals week is coming. The last couple of weeks leading up to finals can be the most stressful for the entire semester which is why students from Florida Poly’s Campus Activities Board (CAB) puts on a semi-annual event called Spirit Week. "
"April 23, 2019",Q&A: Austin Lubetkin’s developing software that changes lives,"Computer Science major Austin Lubetkin ‘19 isn’t the average college student. He’s also an inventor, accomplished artist, entrepreneur, and activist. Lubetkin who is from Boca Raton, Florida has a passion for developing technology that improves the lives of people with disabilities."
"April 22, 2019",Saddle Creek Logistic Services receives inaugural Florida Poly #ChangeMaker Award,"Almost 100 community and business leaders and University supporters came together to celebrate Florida Polytechnic University’s Founders Day on Friday, April 19, 2019.Even though the festivities were brought indoors by bad weather, spirits were high as Dr. Randy Avent, Florida Poly president, presented Saddle Creek Logistic Services with the University’s first annual #ChangeMaker Award."
"April 18, 2019",University leaders set Florida Poly Ablaze for second straight year,"LAKELAND, Fla. – Florida Polytechnic University celebrated its second annual Ablaze ceremony, recognizing a dozen members of its staff and faculty for their dedication and professional contributions to the school. The event was held on Wednesday, April 17 at the Magnolia Building in Lakeland. Ablaze is a program launched in 2018 to acknowledge the commitment and […]"
"April 17, 2019",Q&A: Alison Hart follows passion for a challenge into the world of cybersecurity,"Auburndale, Florida native Alison Hart ’19 has always had a passion for cybersecurity. Hart, who is majoring in computer science with a concentration in cybersecurity, is a lifelong learner who has excelled at Florida Polytechnic University as a programing teaching assistant, Presidential Ambassador, and is currently working as an information technology contractor at Badcock Home Furniture & More."
"April 17, 2019",Local leaders take the helm of Florida Poly’s Foundation Board,"The Florida Polytechnic University Foundation Board of Directors has elected Lakeland businesswoman Alice Hunt as its new chair. The new vice-chair is Jack Harrell III, senior vice president of marketing, sales and R&D at Harrell’s LLC in Lakeland."
"April 16, 2019",Florida Poly sophomore discovering path from zero to data hero,"Florida Poly student Leanne Paquin is only 18 and she’s already walking the hallways of Saddle Creek Logistics with the confidence of an expert data analyst. In reality, she’s only just beginning. Paquin is a sophomore majoring in Business Analytics, fulfilling her dream of interning at a major company she’s known her whole life."
