year,month,day,precipitation,max_temp,min_temp
2016,7,4,0.00000,92.00000,80.00000
2016,7,5,0.00000,92.00000,81.00000
2016,7,6,0.00000,94.00000,82.00000
2016,7,7,0.00000,90.00000,81.00000
2016,7,8,0.00000,94.00000,80.00000
2016,7,9,0.00000,92.00000,80.00000
2016,7,10,0.00000,91.00000,81.00000
2016,7,11,0.35000,94.00000,74.00000
2016,7,12,0.52000,94.00000,73.00000
2016,7,13,0.00000,93.00000,76.00000
2016,7,14,0.07000,92.00000,78.00000
2016,7,15,0.01000,92.00000,76.00000
2016,7,16,0.00000,92.00000,79.00000
2016,7,17,0.11000,96.00000,75.00000
2016,7,18,0.00000,95.00000,77.00000
2016,7,19,0.00000,93.00000,77.00000
2016,7,20,0.04000,93.00000,76.00000
2016,7,21,0.00000,94.00000,78.00000
2016,7,22,0.52000,92.00000,75.00000
2016,7,23,0.00000,89.00000,74.00000
2016,7,24,1.31000,90.00000,73.00000
2016,7,25,0.00000,90.00000,75.00000
2016,7,26,1.34000,92.00000,75.00000
2016,7,27,0.36000,95.00000,79.00000
2016,7,28,0.07000,93.00000,77.00000
2016,7,29,0.03000,90.00000,82.00000
2016,7,30,0.05000,89.00000,80.00000
2016,7,31,1.26000,93.00000,74.00000
2016,8,1,0.00000,92.00000,76.00000
2016,8,2,0.00000,94.00000,78.00000
2016,8,3,0.00000,90.00000,77.00000
2016,8,4,1.91000,88.00000,75.00000
2016,8,5,0.00000,89.00000,79.00000
2016,8,6,0.00000,86.00000,79.00000
2016,8,7,0.40000,82.00000,76.00000
2016,8,8,1.98000,82.00000,74.00000
2016,8,9,0.39000,81.00000,76.00000
2016,8,10,0.00000,91.00000,76.00000
2016,8,11,0.09000,91.00000,77.00000
2016,8,12,0.01000,92.00000,76.00000
2016,8,13,0.00000,92.00000,77.00000
2016,8,14,0.00000,91.00000,78.00000
2016,8,15,0.00000,95.00000,78.00000
2016,8,16,0.79000,94.00000,75.00000
2016,8,17,0.29000,94.00000,77.00000
2016,8,18,0.08000,92.00000,76.00000
2016,8,19,0.00000,93.00000,78.00000
2016,8,20,0.00000,90.00000,80.00000
2016,8,21,0.00000,91.00000,79.00000
2016,8,22,0.00000,92.00000,80.00000
2016,8,23,0.52000,95.00000,79.00000
2016,8,24,0.01000,90.00000,79.00000
2016,8,25,0.00000,94.00000,78.00000
2016,8,26,0.39000,95.00000,77.00000
2016,8,27,0.06000,94.00000,78.00000
2016,8,28,0.04000,95.00000,78.00000
2016,8,29,1.27000,91.00000,75.00000
2016,8,30,0.44000,90.00000,77.00000
2016,8,31,4.04000,78.00000,75.00000
2016,9,1,1.19000,84.00000,76.00000
2016,9,2,1.23000,84.00000,77.00000
2016,9,3,0.52000,86.00000,75.00000
2016,9,4,0.00000,91.00000,77.00000
2016,9,5,0.46000,91.00000,76.00000
2016,9,6,0.00000,92.00000,74.00000
2016,9,7,0.00000,92.00000,76.00000
2016,9,8,0.00000,93.00000,74.00000
2016,9,9,0.00000,95.00000,77.00000
2016,9,10,0.00000,95.00000,79.00000
2016,9,11,0.00000,95.00000,78.00000
2016,9,12,0.00000,93.00000,78.00000
2016,9,13,0.02000,89.00000,76.00000
2016,9,14,0.00000,90.00000,78.00000
2016,9,15,0.00000,90.00000,80.00000
2016,9,16,0.00000,90.00000,78.00000
2016,9,17,0.00000,91.00000,78.00000
2016,9,18,0.00000,91.00000,79.00000
2016,9,19,0.00000,91.00000,80.00000
2016,9,20,0.02000,91.00000,78.00000
2016,9,21,0.00000,91.00000,79.00000
2016,9,22,0.00000,91.00000,78.00000
2016,9,23,0.00000,93.00000,77.00000
2016,9,24,0.00000,93.00000,77.00000
2016,9,25,0.26000,91.00000,76.00000
2016,9,26,0.00000,90.00000,76.00000
2016,9,27,0.00000,90.00000,74.00000
2016,9,28,0.28000,88.00000,75.00000
2016,9,29,0.09000,88.00000,76.00000
2016,9,30,0.07000,89.00000,77.00000
2016,10,1,0.02000,89.00000,74.00000
2016,10,2,0.70000,91.00000,73.00000
2016,10,3,0.20000,87.00000,73.00000
2016,10,4,0.01000,90.00000,75.00000
2016,10,5,0.00000,92.00000,75.00000
2016,10,6,0.25000,87.00000,75.00000
2016,10,7,0.13000,83.00000,75.00000
2016,10,8,0.04000,89.00000,77.00000
2016,10,9,0.00000,90.00000,73.00000
2016,10,10,0.00000,85.00000,67.00000
2016,10,11,0.00000,84.00000,68.00000
2016,10,12,0.00000,87.00000,69.00000
2016,10,13,0.00000,89.00000,71.00000
2016,10,14,0.00000,88.00000,73.00000
2016,10,15,0.20000,88.00000,73.00000
2016,10,16,0.00000,90.00000,74.00000
2016,10,17,0.00000,90.00000,71.00000
2016,10,18,0.00000,89.00000,71.00000
2016,10,19,0.00000,88.00000,70.00000
2016,10,20,0.00000,88.00000,68.00000
2016,10,21,0.00000,86.00000,68.00000
2016,10,22,0.00000,76.00000,58.00000
2016,10,23,0.00000,79.00000,54.00000
2016,10,24,0.00000,80.00000,61.00000
2016,10,25,0.00000,80.00000,64.00000
2016,10,26,0.00000,86.00000,64.00000
2016,10,27,0.00000,86.00000,69.00000
2016,10,28,0.00000,85.00000,69.00000
2016,10,29,0.00000,86.00000,70.00000
2016,10,30,0.00000,88.00000,71.00000
2016,10,31,0.00000,87.00000,67.00000
2016,11,1,0.00000,87.00000,67.00000
2016,11,2,0.00000,88.00000,68.00000
2016,11,3,0.00000,86.00000,68.00000
2016,11,4,0.00000,87.00000,66.00000
2016,11,5,0.00000,84.00000,66.00000
2016,11,6,0.00000,84.00000,64.00000
2016,11,7,0.00000,82.00000,67.00000
2016,11,8,0.00000,83.00000,64.00000
2016,11,9,0.01000,81.00000,67.00000
2016,11,10,0.00000,82.00000,63.00000
2016,11,11,0.00000,80.00000,60.00000
2016,11,12,0.00000,80.00000,61.00000
2016,11,13,0.00000,81.00000,58.00000
2016,11,14,0.00000,73.00000,64.00000
2016,11,15,0.00000,75.00000,59.00000
2016,11,16,0.00000,79.00000,56.00000
2016,11,17,0.00000,80.00000,58.00000
2016,11,18,0.00000,81.00000,60.00000
2016,11,19,0.00000,80.00000,60.00000
2016,11,20,0.00000,70.00000,50.00000
2016,11,21,0.00000,70.00000,44.00000
2016,11,22,0.00000,77.00000,49.00000
2016,11,23,0.00000,79.00000,57.00000
2016,11,24,0.00000,83.00000,62.00000
2016,11,25,0.00000,83.00000,66.00000
2016,11,26,0.00000,81.00000,63.00000
2016,11,27,0.00000,80.00000,57.00000
2016,11,28,0.00000,80.00000,62.00000
2016,11,29,0.00000,83.00000,68.00000
2016,11,30,0.00000,83.00000,70.00000
2016,12,1,0.00000,80.00000,66.00000
2016,12,2,0.00000,77.00000,59.00000
2016,12,3,0.00000,80.00000,58.00000
2016,12,4,0.00000,84.00000,64.00000
2016,12,5,0.00000,84.00000,70.00000
2016,12,6,0.33000,79.00000,69.00000
2016,12,7,0.00000,78.00000,62.00000
2016,12,8,0.00000,69.00000,58.00000
2016,12,9,0.04000,63.00000,51.00000
2016,12,10,0.00000,73.00000,50.00000
2016,12,11,0.00000,79.00000,56.00000
2016,12,12,0.00000,80.00000,68.00000
2016,12,13,0.00000,81.00000,65.00000
2016,12,14,0.00000,78.00000,64.00000
2016,12,15,0.04000,76.00000,61.00000
2016,12,16,0.00000,79.00000,56.00000
2016,12,17,0.00000,83.00000,66.00000
2016,12,18,0.00000,84.00000,72.00000
2016,12,19,0.00000,84.00000,72.00000
2016,12,20,0.00000,77.00000,67.00000
2016,12,21,0.00000,70.00000,57.00000
2016,12,22,0.00000,80.00000,52.00000
2016,12,23,0.00000,82.00000,60.00000
2016,12,24,0.00000,85.00000,64.00000
2016,12,25,0.00000,86.00000,67.00000
2016,12,26,0.00000,85.00000,68.00000
2016,12,27,0.00000,82.00000,67.00000
2016,12,28,0.00000,82.00000,65.00000
2016,12,29,0.02000,80.00000,62.00000
2016,12,30,0.00000,64.00000,49.00000
2016,12,31,0.00000,75.00000,43.00000
2017,1,1,0.00000,81.00000,59.00000
