"year","month","date_of_month","date","day_of_week","births"
2000,2,23,2000-02-23,"Wed",12252
2000,2,24,2000-02-24,"Thurs",12423
2000,2,25,2000-02-25,"Fri",12204
2000,2,26,2000-02-26,"Sat",9026
2000,2,27,2000-02-27,"Sun",7836
2000,2,28,2000-02-28,"Mon",11455
2000,2,29,2000-02-29,"Tues",11895
2000,3,1,2000-03-01,"Wed",12672
2000,3,2,2000-03-02,"Thurs",12524
2000,3,3,2000-03-03,"Fri",12390
2000,3,4,2000-03-04,"Sat",9054
2000,3,5,2000-03-05,"Sun",7734
2000,3,6,2000-03-06,"Mon",11375
2000,3,7,2000-03-07,"Tues",12420
2000,3,8,2000-03-08,"Wed",12338
2000,3,9,2000-03-09,"Thurs",12615
2000,3,10,2000-03-10,"Fri",12152
2000,3,11,2000-03-11,"Sat",8822
2000,3,12,2000-03-12,"Sun",7937
2000,3,13,2000-03-13,"Mon",11157
2000,3,14,2000-03-14,"Tues",12773
2000,3,15,2000-03-15,"Wed",12428
2000,3,16,2000-03-16,"Thurs",12431
2000,3,17,2000-03-17,"Fri",12385
2000,3,18,2000-03-18,"Sat",8677
2000,3,19,2000-03-19,"Sun",7782
2000,3,20,2000-03-20,"Mon",11595
2000,3,21,2000-03-21,"Tues",12689
2000,3,22,2000-03-22,"Wed",12272
2000,3,23,2000-03-23,"Thurs",12396
2000,3,24,2000-03-24,"Fri",12327
2000,3,25,2000-03-25,"Sat",9155
2000,3,26,2000-03-26,"Sun",7815
2000,3,27,2000-03-27,"Mon",11291
2000,3,28,2000-03-28,"Tues",12650
2000,3,29,2000-03-29,"Wed",12077
2000,3,30,2000-03-30,"Thurs",12071
2000,3,31,2000-03-31,"Fri",11820
2000,4,1,2000-04-01,"Sat",8388
2000,4,2,2000-04-02,"Sun",7540
2000,4,3,2000-04-03,"Mon",11397
2000,4,4,2000-04-04,"Tues",12797
2000,4,5,2000-04-05,"Wed",12209
2000,4,6,2000-04-06,"Thurs",12192
2000,4,7,2000-04-07,"Fri",12213
2000,4,8,2000-04-08,"Sat",8743
2000,4,9,2000-04-09,"Sun",7759
2000,4,10,2000-04-10,"Mon",11333
2000,4,11,2000-04-11,"Tues",12850
2000,4,12,2000-04-12,"Wed",12545
2000,4,13,2000-04-13,"Thurs",11907
2000,4,14,2000-04-14,"Fri",12053
2000,4,15,2000-04-15,"Sat",8887
2000,4,16,2000-04-16,"Sun",7859
2000,4,17,2000-04-17,"Mon",11322
2000,4,18,2000-04-18,"Tues",12783
2000,4,19,2000-04-19,"Wed",12562
2000,4,20,2000-04-20,"Thurs",12301
2000,4,21,2000-04-21,"Fri",11257
2000,4,22,2000-04-22,"Sat",8367
2000,4,23,2000-04-23,"Sun",7483
2000,4,24,2000-04-24,"Mon",11309
2000,4,25,2000-04-25,"Tues",12488
2000,4,26,2000-04-26,"Wed",12245
2000,4,27,2000-04-27,"Thurs",12235
2000,4,28,2000-04-28,"Fri",11989
2000,4,29,2000-04-29,"Sat",8703
2000,4,30,2000-04-30,"Sun",7641
2000,5,1,2000-05-01,"Mon",11621
2000,5,2,2000-05-02,"Tues",12934
2000,5,3,2000-05-03,"Wed",12259
2000,5,4,2000-05-04,"Thurs",12434
2000,5,5,2000-05-05,"Fri",12539
2000,5,6,2000-05-06,"Sat",8814
2000,5,7,2000-05-07,"Sun",7797
2000,5,8,2000-05-08,"Mon",11604
2000,5,9,2000-05-09,"Tues",12744
2000,5,10,2000-05-10,"Wed",12607
2000,5,11,2000-05-11,"Thurs",12442
2000,5,12,2000-05-12,"Fri",12132
2000,5,13,2000-05-13,"Sat",8747
2000,5,14,2000-05-14,"Sun",7617
2000,5,15,2000-05-15,"Mon",11587
2000,5,16,2000-05-16,"Tues",12898
2000,5,17,2000-05-17,"Wed",12729
2000,5,18,2000-05-18,"Thurs",12580
2000,5,19,2000-05-19,"Fri",12174
2000,5,20,2000-05-20,"Sat",8673
2000,5,21,2000-05-21,"Sun",7887
2000,5,22,2000-05-22,"Mon",11582
2000,5,23,2000-05-23,"Tues",13097
2000,5,24,2000-05-24,"Wed",12669
2000,5,25,2000-05-25,"Thurs",13026
2000,5,26,2000-05-26,"Fri",12726
2000,5,27,2000-05-27,"Sat",8991
2000,5,28,2000-05-28,"Sun",7873
2000,5,29,2000-05-29,"Mon",8272
2000,5,30,2000-05-30,"Tues",11954
2000,5,31,2000-05-31,"Wed",12941
2000,6,1,2000-06-01,"Thurs",13363
2000,6,2,2000-06-02,"Fri",12695
2000,6,3,2000-06-03,"Sat",8940
2000,6,4,2000-06-04,"Sun",7983
2000,6,5,2000-06-05,"Mon",11647
2000,6,6,2000-06-06,"Tues",12765
2000,6,7,2000-06-07,"Wed",12474
2000,6,8,2000-06-08,"Thurs",12751
2000,6,9,2000-06-09,"Fri",12504
2000,6,10,2000-06-10,"Sat",9134
2000,6,11,2000-06-11,"Sun",8116
2000,6,12,2000-06-12,"Mon",11848
2000,6,13,2000-06-13,"Tues",12683
2000,6,14,2000-06-14,"Wed",12849
2000,6,15,2000-06-15,"Thurs",12798
2000,6,16,2000-06-16,"Fri",12727
2000,6,17,2000-06-17,"Sat",9143
2000,6,18,2000-06-18,"Sun",8162
2000,6,19,2000-06-19,"Mon",11649
2000,6,20,2000-06-20,"Tues",13017
2000,6,21,2000-06-21,"Wed",12729
2000,6,22,2000-06-22,"Thurs",12809
2000,6,23,2000-06-23,"Fri",12603
2000,6,24,2000-06-24,"Sat",9094
2000,6,25,2000-06-25,"Sun",8178
2000,6,26,2000-06-26,"Mon",12164
2000,6,27,2000-06-27,"Tues",13354
2000,6,28,2000-06-28,"Wed",13033
2000,6,29,2000-06-29,"Thurs",13462
2000,6,30,2000-06-30,"Fri",13225
2000,7,1,2000-07-01,"Sat",9376
2000,7,2,2000-07-02,"Sun",8100
2000,7,3,2000-07-03,"Mon",11345
2000,7,4,2000-07-04,"Tues",9550
2000,7,5,2000-07-05,"Wed",12346
2000,7,6,2000-07-06,"Thurs",13853
2000,7,7,2000-07-07,"Fri",13658
2000,7,8,2000-07-08,"Sat",9631
2000,7,9,2000-07-09,"Sun",8586
2000,7,10,2000-07-10,"Mon",12420
2000,7,11,2000-07-11,"Tues",13584
2000,7,12,2000-07-12,"Wed",12827
2000,7,13,2000-07-13,"Thurs",12980
2000,7,14,2000-07-14,"Fri",13230
2000,7,15,2000-07-15,"Sat",9627
2000,7,16,2000-07-16,"Sun",8423
2000,7,17,2000-07-17,"Mon",12053
2000,7,18,2000-07-18,"Tues",13663
2000,7,19,2000-07-19,"Wed",13001
2000,7,20,2000-07-20,"Thurs",13173
2000,7,21,2000-07-21,"Fri",13027
2000,7,22,2000-07-22,"Sat",9463
2000,7,23,2000-07-23,"Sun",8166
2000,7,24,2000-07-24,"Mon",12128
2000,7,25,2000-07-25,"Tues",13176
2000,7,26,2000-07-26,"Wed",12931
2000,7,27,2000-07-27,"Thurs",13155
2000,7,28,2000-07-28,"Fri",12890
2000,7,29,2000-07-29,"Sat",9465
2000,7,30,2000-07-30,"Sun",8444
2000,7,31,2000-07-31,"Mon",11860
2000,8,1,2000-08-01,"Tues",13356
2000,8,2,2000-08-02,"Wed",12835
2000,8,3,2000-08-03,"Thurs",13092
2000,8,4,2000-08-04,"Fri",12940
2000,8,5,2000-08-05,"Sat",9398
2000,8,6,2000-08-06,"Sun",8350
2000,8,7,2000-08-07,"Mon",11864
2000,8,8,2000-08-08,"Tues",13693
2000,8,9,2000-08-09,"Wed",13170
2000,8,10,2000-08-10,"Thurs",12953
2000,8,11,2000-08-11,"Fri",12729
2000,8,12,2000-08-12,"Sat",9305
2000,8,13,2000-08-13,"Sun",8313
2000,8,14,2000-08-14,"Mon",11927
2000,8,15,2000-08-15,"Tues",13374
2000,8,16,2000-08-16,"Wed",13174
2000,8,17,2000-08-17,"Thurs",13099
2000,8,18,2000-08-18,"Fri",13124
2000,8,19,2000-08-19,"Sat",9276
2000,8,20,2000-08-20,"Sun",8346
2000,8,21,2000-08-21,"Mon",12003
2000,8,22,2000-08-22,"Tues",13406
2000,8,23,2000-08-23,"Wed",12929
2000,8,24,2000-08-24,"Thurs",13021
2000,8,25,2000-08-25,"Fri",12926
2000,8,26,2000-08-26,"Sat",9341
2000,8,27,2000-08-27,"Sun",8240
2000,8,28,2000-08-28,"Mon",12074
2000,8,29,2000-08-29,"Tues",13237
2000,8,30,2000-08-30,"Wed",13111
2000,8,31,2000-08-31,"Thurs",13287
2000,9,1,2000-09-01,"Fri",13145
2000,9,2,2000-09-02,"Sat",9265
2000,9,3,2000-09-03,"Sun",8248
2000,9,4,2000-09-04,"Mon",8603
2000,9,5,2000-09-05,"Tues",12200
2000,9,6,2000-09-06,"Wed",13917
2000,9,7,2000-09-07,"Thurs",13512
2000,9,8,2000-09-08,"Fri",13487
2000,9,9,2000-09-09,"Sat",9860
2000,9,10,2000-09-10,"Sun",8552
2000,9,11,2000-09-11,"Mon",12405
2000,9,12,2000-09-12,"Tues",13649
2000,9,13,2000-09-13,"Wed",13299
2000,9,14,2000-09-14,"Thurs",13739
2000,9,15,2000-09-15,"Fri",13552
2000,9,16,2000-09-16,"Sat",9780
2000,9,17,2000-09-17,"Sun",8683
2000,9,18,2000-09-18,"Mon",12554
2000,9,19,2000-09-19,"Tues",13850
2000,9,20,2000-09-20,"Wed",13775
2000,9,21,2000-09-21,"Thurs",13350
2000,9,22,2000-09-22,"Fri",13189
2000,9,23,2000-09-23,"Sat",9494
2000,9,24,2000-09-24,"Sun",8539
2000,9,25,2000-09-25,"Mon",12432
2000,9,26,2000-09-26,"Tues",13540
2000,9,27,2000-09-27,"Wed",13467
2000,9,28,2000-09-28,"Thurs",13515
2000,9,29,2000-09-29,"Fri",13045
2000,9,30,2000-09-30,"Sat",9335
2000,10,1,2000-10-01,"Sun",8453
2000,10,2,2000-10-02,"Mon",12223
2000,10,3,2000-10-03,"Tues",13245
2000,10,4,2000-10-04,"Wed",13154
2000,10,5,2000-10-05,"Thurs",13288
2000,10,6,2000-10-06,"Fri",12774
2000,10,7,2000-10-07,"Sat",9131
2000,10,8,2000-10-08,"Sun",8119
2000,10,9,2000-10-09,"Mon",11343
2000,10,10,2000-10-10,"Tues",13124
2000,10,11,2000-10-11,"Wed",12907
2000,10,12,2000-10-12,"Thurs",13038
2000,10,13,2000-10-13,"Fri",11723
2000,10,14,2000-10-14,"Sat",9163
2000,10,15,2000-10-15,"Sun",8156
2000,10,16,2000-10-16,"Mon",12001
2000,10,17,2000-10-17,"Tues",13106
2000,10,18,2000-10-18,"Wed",12816
2000,10,19,2000-10-19,"Thurs",12502
2000,10,20,2000-10-20,"Fri",12471
2000,10,21,2000-10-21,"Sat",8956
2000,10,22,2000-10-22,"Sun",7938
2000,10,23,2000-10-23,"Mon",11810
2000,10,24,2000-10-24,"Tues",12995
2000,10,25,2000-10-25,"Wed",12780
2000,10,26,2000-10-26,"Thurs",12787
2000,10,27,2000-10-27,"Fri",12333
2000,10,28,2000-10-28,"Sat",8978
2000,10,29,2000-10-29,"Sun",8124
2000,10,30,2000-10-30,"Mon",11558
2000,10,31,2000-10-31,"Tues",11372
2000,11,1,2000-11-01,"Wed",12927
2000,11,2,2000-11-02,"Thurs",13066
2000,11,3,2000-11-03,"Fri",12630
2000,11,4,2000-11-04,"Sat",9084
2000,11,5,2000-11-05,"Sun",8078
2000,11,6,2000-11-06,"Mon",11862
2000,11,7,2000-11-07,"Tues",12822
2000,11,8,2000-11-08,"Wed",12829
2000,11,9,2000-11-09,"Thurs",12778
2000,11,10,2000-11-10,"Fri",12554
2000,11,11,2000-11-11,"Sat",9318
2000,11,12,2000-11-12,"Sun",8070
2000,11,13,2000-11-13,"Mon",11480
2000,11,14,2000-11-14,"Tues",13153
2000,11,15,2000-11-15,"Wed",12953
2000,11,16,2000-11-16,"Thurs",13061
2000,11,17,2000-11-17,"Fri",12888
2000,11,18,2000-11-18,"Sat",9137
2000,11,19,2000-11-19,"Sun",8077
2000,11,20,2000-11-20,"Mon",12974
2000,11,21,2000-11-21,"Tues",13991
2000,11,22,2000-11-22,"Wed",12420
2000,11,23,2000-11-23,"Thurs",8144
2000,11,24,2000-11-24,"Fri",9805
2000,11,25,2000-11-25,"Sat",8537
2000,11,26,2000-11-26,"Sun",7950
2000,11,27,2000-11-27,"Mon",12175
2000,11,28,2000-11-28,"Tues",13799
2000,11,29,2000-11-29,"Wed",13114
2000,11,30,2000-11-30,"Thurs",12818
2000,12,1,2000-12-01,"Fri",12545
2000,12,2,2000-12-02,"Sat",8914
2000,12,3,2000-12-03,"Sun",7930
2000,12,4,2000-12-04,"Mon",11501
2000,12,5,2000-12-05,"Tues",12997
2000,12,6,2000-12-06,"Wed",12697
2000,12,7,2000-12-07,"Thurs",12820
2000,12,8,2000-12-08,"Fri",12548
2000,12,9,2000-12-09,"Sat",8853
2000,12,10,2000-12-10,"Sun",8022
2000,12,11,2000-12-11,"Mon",11811
2000,12,12,2000-12-12,"Tues",13627
2000,12,13,2000-12-13,"Wed",12567
2000,12,14,2000-12-14,"Thurs",12640
2000,12,15,2000-12-15,"Fri",12656
2000,12,16,2000-12-16,"Sat",9184
2000,12,17,2000-12-17,"Sun",8026
2000,12,18,2000-12-18,"Mon",12590
2000,12,19,2000-12-19,"Tues",13829
2000,12,20,2000-12-20,"Wed",13762
2000,12,21,2000-12-21,"Thurs",13524
2000,12,22,2000-12-22,"Fri",12248
2000,12,23,2000-12-23,"Sat",8484
2000,12,24,2000-12-24,"Sun",6971
2000,12,25,2000-12-25,"Mon",6719
2000,12,26,2000-12-26,"Tues",10395
2000,12,27,2000-12-27,"Wed",13252
2000,12,28,2000-12-28,"Thurs",13900
2000,12,29,2000-12-29,"Fri",13607
2000,12,30,2000-12-30,"Sat",9405
2000,12,31,2000-12-31,"Sun",7892
2001,1,1,2001-01-01,"Mon",7663
2001,1,2,2001-01-02,"Tues",10635
2001,1,3,2001-01-03,"Wed",12449
2001,1,4,2001-01-04,"Thurs",12678
2001,1,5,2001-01-05,"Fri",12647
2001,1,6,2001-01-06,"Sat",9180
2001,1,7,2001-01-07,"Sun",7883
2001,1,8,2001-01-08,"Mon",11447
2001,1,9,2001-01-09,"Tues",12386
2001,1,10,2001-01-10,"Wed",12455
2001,1,11,2001-01-11,"Thurs",12433
2001,1,12,2001-01-12,"Fri",12735
2001,1,13,2001-01-13,"Sat",8836
2001,1,14,2001-01-14,"Sun",7818
2001,1,15,2001-01-15,"Mon",10926
2001,1,16,2001-01-16,"Tues",12327
2001,1,17,2001-01-17,"Wed",12344
2001,1,18,2001-01-18,"Thurs",12648
2001,1,19,2001-01-19,"Fri",12339
2001,1,20,2001-01-20,"Sat",8771
2001,1,21,2001-01-21,"Sun",7850
2001,1,22,2001-01-22,"Mon",11444
2001,1,23,2001-01-23,"Tues",12446
2001,1,24,2001-01-24,"Wed",12244
2001,1,25,2001-01-25,"Thurs",12570
2001,1,26,2001-01-26,"Fri",12191
2001,1,27,2001-01-27,"Sat",8795
2001,1,28,2001-01-28,"Sun",7761
2001,1,29,2001-01-29,"Mon",11513
2001,1,30,2001-01-30,"Tues",12488
2001,1,31,2001-01-31,"Wed",12477
2001,2,1,2001-02-01,"Thurs",12477
2001,2,2,2001-02-02,"Fri",12470
2001,2,3,2001-02-03,"Sat",8650
2001,2,4,2001-02-04,"Sun",7716
2001,2,5,2001-02-05,"Mon",11825
2001,2,6,2001-02-06,"Tues",12536
2001,2,7,2001-02-07,"Wed",12343
2001,2,8,2001-02-08,"Thurs",12390
2001,2,9,2001-02-09,"Fri",12343
2001,2,10,2001-02-10,"Sat",8791
2001,2,11,2001-02-11,"Sun",7563
2001,2,12,2001-02-12,"Mon",11670
2001,2,13,2001-02-13,"Tues",12267
2001,2,14,2001-02-14,"Wed",13191
2001,2,15,2001-02-15,"Thurs",12632
2001,2,16,2001-02-16,"Fri",12355
2001,2,17,2001-02-17,"Sat",8609
2001,2,18,2001-02-18,"Sun",7555
2001,2,19,2001-02-19,"Mon",10522
2001,2,20,2001-02-20,"Tues",12373
2001,2,21,2001-02-21,"Wed",12492
2001,2,22,2001-02-22,"Thurs",12482
2001,2,23,2001-02-23,"Fri",12242
2001,2,24,2001-02-24,"Sat",8656
2001,2,25,2001-02-25,"Sun",7794
2001,2,26,2001-02-26,"Mon",11332
2001,2,27,2001-02-27,"Tues",12334
2001,2,28,2001-02-28,"Wed",12209
2001,3,1,2001-03-01,"Thurs",12530
2001,3,2,2001-03-02,"Fri",12383
2001,3,3,2001-03-03,"Sat",8935
2001,3,4,2001-03-04,"Sun",7799
2001,3,5,2001-03-05,"Mon",11411
2001,3,6,2001-03-06,"Tues",12339
2001,3,7,2001-03-07,"Wed",12351
2001,3,8,2001-03-08,"Thurs",12440
2001,3,9,2001-03-09,"Fri",12461
2001,3,10,2001-03-10,"Sat",8807
2001,3,11,2001-03-11,"Sun",7697
2001,3,12,2001-03-12,"Mon",11595
2001,3,13,2001-03-13,"Tues",12534
2001,3,14,2001-03-14,"Wed",12578
2001,3,15,2001-03-15,"Thurs",12525
2001,3,16,2001-03-16,"Fri",12460
2001,3,17,2001-03-17,"Sat",9006
2001,3,18,2001-03-18,"Sun",7526
2001,3,19,2001-03-19,"Mon",11352
2001,3,20,2001-03-20,"Tues",12868
2001,3,21,2001-03-21,"Wed",12690
2001,3,22,2001-03-22,"Thurs",12472
2001,3,23,2001-03-23,"Fri",12432
2001,3,24,2001-03-24,"Sat",8830
2001,3,25,2001-03-25,"Sun",7800
2001,3,26,2001-03-26,"Mon",11290
2001,3,27,2001-03-27,"Tues",12570
2001,3,28,2001-03-28,"Wed",12469
2001,3,29,2001-03-29,"Thurs",12366
2001,3,30,2001-03-30,"Fri",12059
2001,3,31,2001-03-31,"Sat",8770
2001,4,1,2001-04-01,"Sun",7212
2001,4,2,2001-04-02,"Mon",11673
2001,4,3,2001-04-03,"Tues",12864
2001,4,4,2001-04-04,"Wed",12655
2001,4,5,2001-04-05,"Thurs",12438
2001,4,6,2001-04-06,"Fri",12407
2001,4,7,2001-04-07,"Sat",8755
2001,4,8,2001-04-08,"Sun",7718
2001,4,9,2001-04-09,"Mon",11617
2001,4,10,2001-04-10,"Tues",13031
2001,4,11,2001-04-11,"Wed",12912
2001,4,12,2001-04-12,"Thurs",12733
2001,4,13,2001-04-13,"Fri",10881
2001,4,14,2001-04-14,"Sat",8262
2001,4,15,2001-04-15,"Sun",7230
2001,4,16,2001-04-16,"Mon",11220
2001,4,17,2001-04-17,"Tues",12867
2001,4,18,2001-04-18,"Wed",12381
2001,4,19,2001-04-19,"Thurs",12257
2001,4,20,2001-04-20,"Fri",12296
2001,4,21,2001-04-21,"Sat",8849
2001,4,22,2001-04-22,"Sun",7758
2001,4,23,2001-04-23,"Mon",11672
2001,4,24,2001-04-24,"Tues",12981
2001,4,25,2001-04-25,"Wed",12728
2001,4,26,2001-04-26,"Thurs",12560
2001,4,27,2001-04-27,"Fri",12335
2001,4,28,2001-04-28,"Sat",8574
2001,4,29,2001-04-29,"Sun",7602
2001,4,30,2001-04-30,"Mon",11416
2001,5,1,2001-05-01,"Tues",13037
2001,5,2,2001-05-02,"Wed",12542
2001,5,3,2001-05-03,"Thurs",12596
2001,5,4,2001-05-04,"Fri",12276
2001,5,5,2001-05-05,"Sat",8795
2001,5,6,2001-05-06,"Sun",8001
2001,5,7,2001-05-07,"Mon",11635
2001,5,8,2001-05-08,"Tues",13032
2001,5,9,2001-05-09,"Wed",12477
2001,5,10,2001-05-10,"Thurs",12632
2001,5,11,2001-05-11,"Fri",12296
2001,5,12,2001-05-12,"Sat",8692
2001,5,13,2001-05-13,"Sun",7479
2001,5,14,2001-05-14,"Mon",11577
2001,5,15,2001-05-15,"Tues",13124
2001,5,16,2001-05-16,"Wed",12625
2001,5,17,2001-05-17,"Thurs",12630
2001,5,18,2001-05-18,"Fri",12313
2001,5,19,2001-05-19,"Sat",8803
2001,5,20,2001-05-20,"Sun",7732
2001,5,21,2001-05-21,"Mon",11680
2001,5,22,2001-05-22,"Tues",13047
2001,5,23,2001-05-23,"Wed",12936
2001,5,24,2001-05-24,"Thurs",13179
2001,5,25,2001-05-25,"Fri",12722
2001,5,26,2001-05-26,"Sat",8911
2001,5,27,2001-05-27,"Sun",7529
2001,5,28,2001-05-28,"Mon",7993
2001,5,29,2001-05-29,"Tues",12013
2001,5,30,2001-05-30,"Wed",13334
2001,5,31,2001-05-31,"Thurs",13051
2001,6,1,2001-06-01,"Fri",12677
2001,6,2,2001-06-02,"Sat",8920
2001,6,3,2001-06-03,"Sun",7887
2001,6,4,2001-06-04,"Mon",11500
2001,6,5,2001-06-05,"Tues",12683
2001,6,6,2001-06-06,"Wed",12804
2001,6,7,2001-06-07,"Thurs",12566
2001,6,8,2001-06-08,"Fri",12451
2001,6,9,2001-06-09,"Sat",8756
2001,6,10,2001-06-10,"Sun",7674
2001,6,11,2001-06-11,"Mon",11776
2001,6,12,2001-06-12,"Tues",13218
2001,6,13,2001-06-13,"Wed",12342
2001,6,14,2001-06-14,"Thurs",12655
2001,6,15,2001-06-15,"Fri",12394
2001,6,16,2001-06-16,"Sat",8780
2001,6,17,2001-06-17,"Sun",7722
2001,6,18,2001-06-18,"Mon",11756
2001,6,19,2001-06-19,"Tues",12785
2001,6,20,2001-06-20,"Wed",12704
2001,6,21,2001-06-21,"Thurs",12615
2001,6,22,2001-06-22,"Fri",12299
2001,6,23,2001-06-23,"Sat",8452
2001,6,24,2001-06-24,"Sun",7639
2001,6,25,2001-06-25,"Mon",11575
2001,6,26,2001-06-26,"Tues",12939
2001,6,27,2001-06-27,"Wed",12809
2001,6,28,2001-06-28,"Thurs",13059
2001,6,29,2001-06-29,"Fri",12922
2001,6,30,2001-06-30,"Sat",9247
2001,7,1,2001-07-01,"Sun",8145
2001,7,2,2001-07-02,"Mon",12390
2001,7,3,2001-07-03,"Tues",13364
2001,7,4,2001-07-04,"Wed",9608
2001,7,5,2001-07-05,"Thurs",12531
2001,7,6,2001-07-06,"Fri",13151
2001,7,7,2001-07-07,"Sat",9544
2001,7,8,2001-07-08,"Sun",8249
2001,7,9,2001-07-09,"Mon",12036
2001,7,10,2001-07-10,"Tues",13614
2001,7,11,2001-07-11,"Wed",13026
2001,7,12,2001-07-12,"Thurs",13188
2001,7,13,2001-07-13,"Fri",12187
2001,7,14,2001-07-14,"Sat",9269
2001,7,15,2001-07-15,"Sun",8047
2001,7,16,2001-07-16,"Mon",12383
2001,7,17,2001-07-17,"Tues",13657
2001,7,18,2001-07-18,"Wed",13241
2001,7,19,2001-07-19,"Thurs",13293
2001,7,20,2001-07-20,"Fri",12950
2001,7,21,2001-07-21,"Sat",9410
2001,7,22,2001-07-22,"Sun",8116
2001,7,23,2001-07-23,"Mon",12099
2001,7,24,2001-07-24,"Tues",13532
2001,7,25,2001-07-25,"Wed",12988
2001,7,26,2001-07-26,"Thurs",13022
2001,7,27,2001-07-27,"Fri",12677
2001,7,28,2001-07-28,"Sat",9102
2001,7,29,2001-07-29,"Sun",7892
2001,7,30,2001-07-30,"Mon",12150
2001,7,31,2001-07-31,"Tues",13218
2001,8,1,2001-08-01,"Wed",12960
2001,8,2,2001-08-02,"Thurs",13097
2001,8,3,2001-08-03,"Fri",12859
2001,8,4,2001-08-04,"Sat",9143
2001,8,5,2001-08-05,"Sun",8062
2001,8,6,2001-08-06,"Mon",12008
2001,8,7,2001-08-07,"Tues",13488
2001,8,8,2001-08-08,"Wed",13185
2001,8,9,2001-08-09,"Thurs",13339
2001,8,10,2001-08-10,"Fri",13094
2001,8,11,2001-08-11,"Sat",9275
2001,8,12,2001-08-12,"Sun",8261
2001,8,13,2001-08-13,"Mon",11682
2001,8,14,2001-08-14,"Tues",13325
2001,8,15,2001-08-15,"Wed",13332
2001,8,16,2001-08-16,"Thurs",13372
2001,8,17,2001-08-17,"Fri",13102
2001,8,18,2001-08-18,"Sat",9294
2001,8,19,2001-08-19,"Sun",7945
2001,8,20,2001-08-20,"Mon",12313
2001,8,21,2001-08-21,"Tues",13590
2001,8,22,2001-08-22,"Wed",13146
2001,8,23,2001-08-23,"Thurs",13158
2001,8,24,2001-08-24,"Fri",12996
2001,8,25,2001-08-25,"Sat",9229
2001,8,26,2001-08-26,"Sun",8115
2001,8,27,2001-08-27,"Mon",12080
2001,8,28,2001-08-28,"Tues",13792
2001,8,29,2001-08-29,"Wed",13160
2001,8,30,2001-08-30,"Thurs",13520
2001,8,31,2001-08-31,"Fri",13461
2001,9,1,2001-09-01,"Sat",9248
2001,9,2,2001-09-02,"Sun",8239
2001,9,3,2001-09-03,"Mon",8115
2001,9,4,2001-09-04,"Tues",12501
2001,9,5,2001-09-05,"Wed",14055
2001,9,6,2001-09-06,"Thurs",13925
2001,9,7,2001-09-07,"Fri",13721
2001,9,8,2001-09-08,"Sat",9344
2001,9,9,2001-09-09,"Sun",8347
2001,9,10,2001-09-10,"Mon",12459
2001,9,11,2001-09-11,"Tues",13590
2001,9,12,2001-09-12,"Wed",13149
2001,9,13,2001-09-13,"Thurs",13186
2001,9,14,2001-09-14,"Fri",13444
2001,9,15,2001-09-15,"Sat",9662
2001,9,16,2001-09-16,"Sun",8319
2001,9,17,2001-09-17,"Mon",12664
2001,9,18,2001-09-18,"Tues",13526
2001,9,19,2001-09-19,"Wed",13575
2001,9,20,2001-09-20,"Thurs",13750
2001,9,21,2001-09-21,"Fri",13341
