"","occupation","education","income","women","prestige","census","type"
"86","aircraft.repairmen",10.1,7716,0.78,50.3,8582,"bc"
"87","railway.sectionmen",6.67,4696,0,27.3,8715,"bc"
"88","electrical.linemen",9.05,8316,1.34,40.9,8731,"bc"
"89","electricians",9.93,7147,0.99,50.2,8733,"bc"
"90","construction.foremen",8.24,8880,0.65,51.1,8780,"bc"
"91","carpenters",6.92,5299,0.56,38.9,8781,"bc"
"92","masons",6.6,5959,0.52,36.2,8782,"bc"
"93","house.painters",7.81,4549,2.46,29.9,8785,"bc"
"94","plumbers",8.33,6928,0.61,42.9,8791,"bc"
"95","construction.labourers",7.52,3910,1.09,26.5,8798,"bc"
"96","pilots",12.27,14032,0.58,66.1,9111,"prof"
"97","train.engineers",8.49,8845,0,48.9,9131,"bc"
"98","bus.drivers",7.58,5562,9.47,35.9,9171,"bc"
"99","taxi.drivers",7.93,4224,3.59,25.1,9173,"bc"
"100","longshoremen",8.37,4753,0,26.1,9313,"bc"
"101","typesetters",10,6462,13.58,42.2,9511,"bc"
"102","bookbinders",8.55,3617,70.87,35.2,9517,"bc"
