danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_uri,duration_ms,time_signature,key_mode,playlist_name,playlist_img,track_name,artist_name,album_name,album_img,year
0.556,0.456,C,-17.609,major,0.0295,0.515,0,0.331,0.848,105.29,1C9wkR4Io5Va7pKsSNeJeH,144133,3,C major,summer_hits_1959,https://mosaic.scdn.co/640/393a3949af5e68688174223be99dca674c44b37971dad258fab522d63c47716bdcfb954d9fdd3a79ad3c8cac0cc18e9eae3cf681cb88e0a27cb52b63efa549a3619dffcbf31e937b3419750195f42282,Lonely Boy,Paul Anka,21 Golden Hits,https://i.scdn.co/image/ad3c8cac0cc18e9eae3cf681cb88e0a27cb52b63,1959
0.703,0.753,A,-11.783,major,0.135,0.803,0,0.0997,0.921,177.162,1XRA4Tjb2YrcQU5ThDllCw,152067,4,A major,summer_hits_1959,https://mosaic.scdn.co/640/393a3949af5e68688174223be99dca674c44b37971dad258fab522d63c47716bdcfb954d9fdd3a79ad3c8cac0cc18e9eae3cf681cb88e0a27cb52b63efa549a3619dffcbf31e937b3419750195f42282,The Battle Of New Orleans,Johnny Horton,Johnny Horton - 16 Biggest Hits,https://i.scdn.co/image/71dad258fab522d63c47716bdcfb954d9fdd3a79,1959
0.843,0.12,E,-17.305,major,0.0788,0.611,2.31e-6,0.124,0.622,128.532,1xa6QJA0OiUJs2ybiyMPA0,126800,4,E major,summer_hits_1959,https://mosaic.scdn.co/640/393a3949af5e68688174223be99dca674c44b37971dad258fab522d63c47716bdcfb954d9fdd3a79ad3c8cac0cc18e9eae3cf681cb88e0a27cb52b63efa549a3619dffcbf31e937b3419750195f42282,My Heart Is An Open Book,Carl Dobkins,Pop Megahits Of The 1950's - Volume 2,https://i.scdn.co/image/393a3949af5e68688174223be99dca674c44b379,1959
0.551,0.934,G,-6.66,minor,0.0481,0.822,0.143,0.419,0.96,87.055,6PUsG2iMvCjnPFLjydO1RR,133093,4,G minor,summer_hits_1959,https://mosaic.scdn.co/640/393a3949af5e68688174223be99dca674c44b37971dad258fab522d63c47716bdcfb954d9fdd3a79ad3c8cac0cc18e9eae3cf681cb88e0a27cb52b63efa549a3619dffcbf31e937b3419750195f42282,A Big Hunk O' Love,Elvis Presley,Elvis 30 #1 Hits,https://i.scdn.co/image/efa549a3619dffcbf31e937b3419750195f42282,1959
0.455,0.327,G,-10.113,major,0.0328,0.83,0,0.0997,0.324,106.303,5xghdTMuqQPqtDJ0bn3zkn,173840,4,G major,summer_hits_1959,https://mosaic.scdn.co/640/393a3949af5e68688174223be99dca674c44b37971dad258fab522d63c47716bdcfb954d9fdd3a79ad3c8cac0cc18e9eae3cf681cb88e0a27cb52b63efa549a3619dffcbf31e937b3419750195f42282,The Three Bells (Les Trois Cloches),The Browns,The Essential Jim Ed Brown And The Browns,https://i.scdn.co/image/21d858128943959ae67f400804876502a8850174,1959
0.588,0.449,F,-8.782,major,0.0339,0.723,0,0.0989,0.889,128.929,5vjigjfoXuJEttqLB3HTAg,157733,4,F major,summer_hits_1959,https://mosaic.scdn.co/640/393a3949af5e68688174223be99dca674c44b37971dad258fab522d63c47716bdcfb954d9fdd3a79ad3c8cac0cc18e9eae3cf681cb88e0a27cb52b63efa549a3619dffcbf31e937b3419750195f42282,Personality,Lloyd Price,Lloyd Price Greatest Hits: The Original ABC-Paramount Recordings,https://i.scdn.co/image/f8da7f6e2a1ff84ce61e6f42139435cfefa49b6f,1959
0.715,0.572,F#,-8.628,minor,0.0527,0.0809,0,0.338,0.859,129.897,3cfN34fxSbtaJ5HmSDrdAX,137107,4,F# minor,summer_hits_1959,https://mosaic.scdn.co/640/393a3949af5e68688174223be99dca674c44b37971dad258fab522d63c47716bdcfb954d9fdd3a79ad3c8cac0cc18e9eae3cf681cb88e0a27cb52b63efa549a3619dffcbf31e937b3419750195f42282,There Goes My Baby,The Drifters,Magic Moments,https://i.scdn.co/image/e65eb6b4f49934b1a737dba62dfdaabc55370ddc,1959
0.468,0.281,G#,-13.322,major,0.0354,0.832,0.738,0.205,0.479,114.61,0YARD4OwVGKKzfTrUXlxYr,134453,3,G# major,summer_hits_1959,https://mosaic.scdn.co/640/393a3949af5e68688174223be99dca674c44b37971dad258fab522d63c47716bdcfb954d9fdd3a79ad3c8cac0cc18e9eae3cf681cb88e0a27cb52b63efa549a3619dffcbf31e937b3419750195f42282,Lavender Blue,Sammy Turner,Paradise,https://i.scdn.co/image/5d6ca1ab1a5fb90088dfafe848cf2af195e455ca,1959
0.463,0.607,G#,-10.714,minor,0.0299,0.482,0,0.117,0.964,203.85,3YXPyakTFaoVS2ffimogLR,146933,4,G# minor,summer_hits_1959,https://mosaic.scdn.co/640/393a3949af5e68688174223be99dca674c44b37971dad258fab522d63c47716bdcfb954d9fdd3a79ad3c8cac0cc18e9eae3cf681cb88e0a27cb52b63efa549a3619dffcbf31e937b3419750195f42282,Waterloo,Stonewall Jackson,American Originals,https://i.scdn.co/image/58aed4151fa67b25d62563283a7e0cccf426d95c,1959
0.568,0.752,E,-10.478,minor,0.0447,0.777,0.0554,0.365,0.947,167.708,27ho7lO6aLxpXzY0e4RbOu,149467,4,E minor,summer_hits_1959,https://mosaic.scdn.co/640/393a3949af5e68688174223be99dca674c44b37971dad258fab522d63c47716bdcfb954d9fdd3a79ad3c8cac0cc18e9eae3cf681cb88e0a27cb52b63efa549a3619dffcbf31e937b3419750195f42282,Tiger,Fabian,Tiger Man,https://i.scdn.co/image/6c0ac978b0edd49125b09f0668fbd8bdc771715e,1959
0.558,0.223,A#,-12.362,major,0.0299,0.868,9.72e-4,0.13,0.303,101.711,4LJcNiq2pBb8OeqrGdBJQw,161547,3,A# major,summer_hits_1960,https://mosaic.scdn.co/640/cdae21020f60e7a47354a89d93dcaef47ec144c7d899c1d100d1fe5b43276dc33b78ed407aa7575de5f3063c9b4b1c9dab32aebf44343c300e564cd5efa549a3619dffcbf31e937b3419750195f42282,I'm Sorry,Brenda Lee,Brenda Lee,https://i.scdn.co/image/d899c1d100d1fe5b43276dc33b78ed407aa7575d,1960
0.643,0.491,E,-9.312,major,0.0344,0.642,0.00972,0.286,0.753,126.399,1XunTmhOcj3xwh4b8P3isX,194600,4,E major,summer_hits_1960,https://mosaic.scdn.co/640/cdae21020f60e7a47354a89d93dcaef47ec144c7d899c1d100d1fe5b43276dc33b78ed407aa7575de5f3063c9b4b1c9dab32aebf44343c300e564cd5efa549a3619dffcbf31e937b3419750195f42282,It's Now or Never,Elvis Presley,Elvis 30 #1 Hits,https://i.scdn.co/image/efa549a3619dffcbf31e937b3419750195f42282,1960
0.589,0.643,C#,-8.118,major,0.0304,0.826,3.62e-5,0.237,0.781,84.308,3o3tJQNE3og07wS93sZrOP,16e4,4,C# major,summer_hits_1960,https://mosaic.scdn.co/640/cdae21020f60e7a47354a89d93dcaef47ec144c7d899c1d100d1fe5b43276dc33b78ed407aa7575de5f3063c9b4b1c9dab32aebf44343c300e564cd5efa549a3619dffcbf31e937b3419750195f42282,Everybody's Somebody's Fool,Connie Francis,At Her Best,https://i.scdn.co/image/e5f3063c9b4b1c9dab32aebf44343c300e564cd5,1960
0.656,0.559,G,-4.237,major,0.0529,0.771,0,0.173,0.886,65.22,5zSaNRRrhmn60aZFGYa76b,158e3,4,G major,summer_hits_1960,https://mosaic.scdn.co/640/cdae21020f60e7a47354a89d93dcaef47ec144c7d899c1d100d1fe5b43276dc33b78ed407aa7575de5f3063c9b4b1c9dab32aebf44343c300e564cd5efa549a3619dffcbf31e937b3419750195f42282,Alley Oop,Hollywood Argyles,"Lute Records, Vol. 1 - 60s Soul, Doo-Wop and Novelties",https://i.scdn.co/image/cdae21020f60e7a47354a89d93dcaef47ec144c7,1960
0.795,0.4,D,-13.01,major,0.0749,0.682,0,0.0326,0.968,122.174,3Aug2RunJbjGiz2CTtWu5l,144493,4,D major,summer_hits_1960,https://mosaic.scdn.co/640/cdae21020f60e7a47354a89d93dcaef47ec144c7d899c1d100d1fe5b43276dc33b78ed407aa7575de5f3063c9b4b1c9dab32aebf44343c300e564cd5efa549a3619dffcbf31e937b3419750195f42282,Itsy Bitsy Teenie Weenie Yellow Polka-Dot Bikini,Brian Hyland,Greatest Hits,https://i.scdn.co/image/c2f8a8b4de4bff0d2ae0e462910e1bfee2908f56,1960
0.57,0.529,F,-10.769,major,0.028,0.377,0.00509,0.203,0.934,123.273,0PkBTqRtN25z3oKasWoKlj,145533,4,F major,summer_hits_1960,https://mosaic.scdn.co/640/cdae21020f60e7a47354a89d93dcaef47ec144c7d899c1d100d1fe5b43276dc33b78ed407aa7575de5f3063c9b4b1c9dab32aebf44343c300e564cd5efa549a3619dffcbf31e937b3419750195f42282,Only the Lonely,Roy Orbison,Sings Lonely and Blue,https://i.scdn.co/image/3b3437a3e98cdb169da2c175a96e8355bdff59f2,1960
0.466,0.861,C,-8.61,major,0.0318,0.566,0.0595,0.22,0.955,154.928,74Qp7hzjPFQZUBMpNDqUIM,126733,4,C major,summer_hits_1960,https://mosaic.scdn.co/640/cdae21020f60e7a47354a89d93dcaef47ec144c7d899c1d100d1fe5b43276dc33b78ed407aa7575de5f3063c9b4b1c9dab32aebf44343c300e564cd5efa549a3619dffcbf31e937b3419750195f42282,Walk - Don't Run,The Ventures,Walk Don't Run - All-Time Greatest Hits,https://i.scdn.co/image/f41c73759c7daee8a61238c6ab4d138f9072440e,1960
0.498,0.582,G,-8.961,major,0.0339,0.412,0,0.372,0.866,119.809,1MA9StLzlFftLbuqOmoWij,144013,4,G major,summer_hits_1960,https://mosaic.scdn.co/640/cdae21020f60e7a47354a89d93dcaef47ec144c7d899c1d100d1fe5b43276dc33b78ed407aa7575de5f3063c9b4b1c9dab32aebf44343c300e564cd5efa549a3619dffcbf31e937b3419750195f42282,Cathy's Clown,The Everly Brothers,The Golden Hits Of The Everly Brothers,https://i.scdn.co/image/e4f502f7feb7cc49e0c9f2ce711fb40f6652236e,1960
0.51,0.592,E,-6.387,major,0.0384,0.814,0,0.0933,0.545,128.876,5KPCpGCjdjvXdsXy89AQSQ,148333,4,E major,summer_hits_1960,https://mosaic.scdn.co/640/cdae21020f60e7a47354a89d93dcaef47ec144c7d899c1d100d1fe5b43276dc33b78ed407aa7575de5f3063c9b4b1c9dab32aebf44343c300e564cd5efa549a3619dffcbf31e937b3419750195f42282,Mule Skinner Blues,The Fendermen,Mule Skinner Blues,https://i.scdn.co/image/8adf91713f14e976e49739ac14a12261851db231,1960
0.701,0.623,A,-10.508,major,0.0332,0.0122,0.743,0.0858,0.848,120.567,3Ek534aTTKexQoOp8kMuOa,121480,4,A major,summer_hits_1960,https://mosaic.scdn.co/640/cdae21020f60e7a47354a89d93dcaef47ec144c7d899c1d100d1fe5b43276dc33b78ed407aa7575de5f3063c9b4b1c9dab32aebf44343c300e564cd5efa549a3619dffcbf31e937b3419750195f42282,Because They're Young,Duane Eddy,"$1,000,000 Worth Of Twang",https://i.scdn.co/image/fd556c33edd034b220e9a219103317c09fd43a3a,1960
0.569,0.722,C,-8.914,major,0.0393,0.225,0,0.108,0.965,142.736,79s3pSe1u6ggQBEwVPm58Z,159640,4,C major,summer_hits_1961,https://mosaic.scdn.co/640/04a0bc430aa69b40c9c3f2760d5f0f96de70ab034b0a8bbf4ed378df7260f292576179f09db05fcd6a33cc2d8b75b38ee20a7345cdf256ba78624409c67208ee2abb24bbac32067d1b60b68bb6b8fe3a,Tossin' And Turnin',Bobby Lewis,Tossin' and Turnin',https://i.scdn.co/image/04a0bc430aa69b40c9c3f2760d5f0f96de70ab03,1961
0.463,0.831,C,-9.276,minor,0.206,0.932,0.0755,0.893,0.898,164.964,7aHn8rGeEGkDkQiUV0DpW1,150400,4,C minor,summer_hits_1961,https://mosaic.scdn.co/640/04a0bc430aa69b40c9c3f2760d5f0f96de70ab034b0a8bbf4ed378df7260f292576179f09db05fcd6a33cc2d8b75b38ee20a7345cdf256ba78624409c67208ee2abb24bbac32067d1b60b68bb6b8fe3a,Quarter To Three,Gary U.S. Bonds,The Very Best Of Gary U.S. Bonds,https://i.scdn.co/image/6a33cc2d8b75b38ee20a7345cdf256ba78624409,1961
0.786,0.262,F,-15.396,major,0.132,0.487,0.0545,0.104,0.902,139.882,72KXKD7XAPrmMxjKVSGJF5,167079,4,F major,summer_hits_1961,https://mosaic.scdn.co/640/04a0bc430aa69b40c9c3f2760d5f0f96de70ab034b0a8bbf4ed378df7260f292576179f09db05fcd6a33cc2d8b75b38ee20a7345cdf256ba78624409c67208ee2abb24bbac32067d1b60b68bb6b8fe3a,The Boll Weevil Song,Brook Benton,Brook Benton - The Best of Brook Benton,https://i.scdn.co/image/c67208ee2abb24bbac32067d1b60b68bb6b8fe3a,1961
0.577,0.544,F,-12.315,major,0.0742,0.884,0,0.22,0.813,143.914,3L1hW52J69eKF9xYP5N0Te,120200,4,F major,summer_hits_1961,https://mosaic.scdn.co/640/04a0bc430aa69b40c9c3f2760d5f0f96de70ab034b0a8bbf4ed378df7260f292576179f09db05fcd6a33cc2d8b75b38ee20a7345cdf256ba78624409c67208ee2abb24bbac32067d1b60b68bb6b8fe3a,I Like It Like That - Part 1,Chris Kenner,"Land Of 1,000 Dances (US Internet Release)",https://i.scdn.co/image/4b0a8bbf4ed378df7260f292576179f09db05fcd,1961
0.52,0.0979,C,-21.351,major,0.0301,0.839,6.18e-6,0.183,0.648,107.527,624RgBQtIm3147GMl9FNCl,166160,4,C major,summer_hits_1961,https://mosaic.scdn.co/640/04a0bc430aa69b40c9c3f2760d5f0f96de70ab034b0a8bbf4ed378df7260f292576179f09db05fcd6a33cc2d8b75b38ee20a7345cdf256ba78624409c67208ee2abb24bbac32067d1b60b68bb6b8fe3a,Michael,Michael,The Highwaymen,https://i.scdn.co/image/25570e2557f33384101c6b65a2465aff806d97a8,1961
0.575,0.396,G#,-14.091,major,0.0392,0.13,1.14e-6,0.288,0.74,121.772,3sUrRx5olZ46KT6JWqG4EI,174620,4,G# major,summer_hits_1961,https://mosaic.scdn.co/640/04a0bc430aa69b40c9c3f2760d5f0f96de70ab034b0a8bbf4ed378df7260f292576179f09db05fcd6a33cc2d8b75b38ee20a7345cdf256ba78624409c67208ee2abb24bbac32067d1b60b68bb6b8fe3a,Raindrops,Dee Clark,Rain Drops,https://i.scdn.co/image/e6e42e7f712c00b98ef21dd2e77921fcb6d98d5e,1961
0.845,0.446,C#,-9.79,major,0.0562,0.722,0.0465,0.0986,0.918,84.865,2ELAMT68a78OGwhCgj9Kai,118427,4,C# major,summer_hits_1961,https://mosaic.scdn.co/640/04a0bc430aa69b40c9c3f2760d5f0f96de70ab034b0a8bbf4ed378df7260f292576179f09db05fcd6a33cc2d8b75b38ee20a7345cdf256ba78624409c67208ee2abb24bbac32067d1b60b68bb6b8fe3a,Wooden Heart,Joe Dowell,The Best Of Joe Dowell,https://i.scdn.co/image/384453212ff48801e700e62025d55199f636440f,1961
0.616,0.728,F,-7.365,minor,0.0312,0.581,4.73e-5,0.102,0.685,139.428,3JhwxN5fPtpWh8O4qCBjYO,153587,4,F minor,summer_hits_1961,https://mosaic.scdn.co/640/04a0bc430aa69b40c9c3f2760d5f0f96de70ab034b0a8bbf4ed378df7260f292576179f09db05fcd6a33cc2d8b75b38ee20a7345cdf256ba78624409c67208ee2abb24bbac32067d1b60b68bb6b8fe3a,Moody River,Pat Boone,The Gold Collection,https://i.scdn.co/image/012bcff398a03ab5b6a81dc2aed96ab6d2ed0e13,1961
0.702,0.522,C#,-9.903,major,0.306,0.795,0,0.154,0.618,127.689,3CJ9bzOhgWfKAU0J6T0nLy,147472,4,C# major,summer_hits_1961,https://mosaic.scdn.co/640/04a0bc430aa69b40c9c3f2760d5f0f96de70ab034b0a8bbf4ed378df7260f292576179f09db05fcd6a33cc2d8b75b38ee20a7345cdf256ba78624409c67208ee2abb24bbac32067d1b60b68bb6b8fe3a,Dum Dum - Remastered,Brenda Lee,Little Dynamite (Remastered),https://i.scdn.co/image/dca9a2a7bbd21de485f3003f1eed3e08353f90ee,1961
0.723,0.565,C,-4.175,major,0.0386,0.448,0.866,0.0708,0.859,126.588,7H22uQMwKWl43uagzO4Pnn,159173,4,C major,summer_hits_1961,https://mosaic.scdn.co/640/04a0bc430aa69b40c9c3f2760d5f0f96de70ab034b0a8bbf4ed378df7260f292576179f09db05fcd6a33cc2d8b75b38ee20a7345cdf256ba78624409c67208ee2abb24bbac32067d1b60b68bb6b8fe3a,Last Night,The Mar-Keys,The Last Night!,https://i.scdn.co/image/21eb36ac24f6d3e92b95fbd642a71c8633869aef,1961
0.515,0.218,F,-10.071,major,0.0287,0.828,0,0.302,0.534,102.997,0qYok0f8O5DE8yJSo146dn,158933,4,F major,summer_hits_1962,https://mosaic.scdn.co/640/27bc4eefd35211802c10d17dd94f6682245abd1da1d2b43156ea0dd0bc735281c02bc29481e9b516b76515a3d8eda6aac397de03c90da44d1b062f85ead3684db1d0822dad0c15ceaf97e2b94ebfe5b1,Roses Are Red (My Love) - Single Version,Bobby Vinton,The Best Of Bobby Vinton,https://i.scdn.co/image/ead3684db1d0822dad0c15ceaf97e2b94ebfe5b1,1962
0.389,0.276,D,-13.397,major,0.0298,0.816,0.233,0.308,0.557,82.889,6gkkXMkQJdFubRGG67hTES,247160,4,D major,summer_hits_1962,https://mosaic.scdn.co/640/27bc4eefd35211802c10d17dd94f6682245abd1da1d2b43156ea0dd0bc735281c02bc29481e9b516b76515a3d8eda6aac397de03c90da44d1b062f85ead3684db1d0822dad0c15ceaf97e2b94ebfe5b1,I Can't Stop Loving You,Ray Anthony,Plays Worried Mind: The Soul of Country Western Blues,https://i.scdn.co/image/a1d2b43156ea0dd0bc735281c02bc29481e9b516,1962
0.483,0.46,F,-10.055,major,0.0282,0.658,0.924,0.147,0.564,94.185,00vH2PsEQTGRyJYhyIyDbr,116733,4,F major,summer_hits_1962,https://mosaic.scdn.co/640/27bc4eefd35211802c10d17dd94f6682245abd1da1d2b43156ea0dd0bc735281c02bc29481e9b516b76515a3d8eda6aac397de03c90da44d1b062f85ead3684db1d0822dad0c15ceaf97e2b94ebfe5b1,The Stripper,David Rose,Tease: The Beat Of Burlesque,https://i.scdn.co/image/b76515a3d8eda6aac397de03c90da44d1b062f85,1962
0.734,0.553,G#,-11.146,minor,0.0364,0.866,0,0.0608,0.966,116.525,7pr4PuJDoPWSBXf5pzLbpZ,136733,4,G# minor,summer_hits_1962,https://mosaic.scdn.co/640/27bc4eefd35211802c10d17dd94f6682245abd1da1d2b43156ea0dd0bc735281c02bc29481e9b516b76515a3d8eda6aac397de03c90da44d1b062f85ead3684db1d0822dad0c15ceaf97e2b94ebfe5b1,Breaking Up Is Hard to Do,Neil Sedaka,All Time Greatest Hits,https://i.scdn.co/image/27bc4eefd35211802c10d17dd94f6682245abd1d,1962
0.636,0.893,D#,-6.311,major,0.047,0.674,0.00143,0.176,0.887,129.664,1hClDWPgajpLIFjLOkFuau,148627,4,D# major,summer_hits_1962,https://mosaic.scdn.co/640/27bc4eefd35211802c10d17dd94f6682245abd1da1d2b43156ea0dd0bc735281c02bc29481e9b516b76515a3d8eda6aac397de03c90da44d1b062f85ead3684db1d0822dad0c15ceaf97e2b94ebfe5b1,The Loco-Motion - Single Version,Little Eva,The Dimension Dolls,https://i.scdn.co/image/75adc33d36d309d0152a3271572a7403b60b24c9,1962
0.764,0.675,E,-6.084,minor,0.0404,0.144,4.93e-4,0.0759,0.875,134.086,1txHbsMQPOPqjigbBXTULL,150240,4,E minor,summer_hits_1962,https://mosaic.scdn.co/640/27bc4eefd35211802c10d17dd94f6682245abd1da1d2b43156ea0dd0bc735281c02bc29481e9b516b76515a3d8eda6aac397de03c90da44d1b062f85ead3684db1d0822dad0c15ceaf97e2b94ebfe5b1,The Wah-Watusi,The Orlons,The Wah-Watusi/South Street,https://i.scdn.co/image/82919976ce10f9c5c4e9a89cbad7d582398129da,1962
0.474,0.281,F,-11.437,minor,0.0282,0.79,0,0.128,0.582,91.848,7wXeFRFidpQIfZgExLavJy,161133,4,F minor,summer_hits_1962,https://mosaic.scdn.co/640/27bc4eefd35211802c10d17dd94f6682245abd1da1d2b43156ea0dd0bc735281c02bc29481e9b516b76515a3d8eda6aac397de03c90da44d1b062f85ead3684db1d0822dad0c15ceaf97e2b94ebfe5b1,Sealed With A Kiss,Brian Hyland,Greatest Hits,https://i.scdn.co/image/c2f8a8b4de4bff0d2ae0e462910e1bfee2908f56,1962
0.283,0.831,C#,-6.151,major,0.0612,0.347,0,0.11,0.874,82.128,2qi7QEyfxL2Z2ez9Rd51e0,113213,4,C# major,summer_hits_1962,https://mosaic.scdn.co/640/27bc4eefd35211802c10d17dd94f6682245abd1da1d2b43156ea0dd0bc735281c02bc29481e9b516b76515a3d8eda6aac397de03c90da44d1b062f85ead3684db1d0822dad0c15ceaf97e2b94ebfe5b1,Palisades Park,Freddy Cannon,Boom Boom Rock 'N' Roll,https://i.scdn.co/image/583d415f491c223fce0762219d202cef3e943fdb,1962
0.643,0.542,A#,-10.113,major,0.0591,0.686,0.305,0.149,0.896,129.513,3WyiczRg8tIWLfs7EO02Vb,131560,4,A# major,summer_hits_1962,https://mosaic.scdn.co/640/27bc4eefd35211802c10d17dd94f6682245abd1da1d2b43156ea0dd0bc735281c02bc29481e9b516b76515a3d8eda6aac397de03c90da44d1b062f85ead3684db1d0822dad0c15ceaf97e2b94ebfe5b1,Sheila,Tommy Roe,Save The Last Dance For Me And Other Great Hits From The 60's & 70's,https://i.scdn.co/image/d919aa8364b559d3bd09a55e32520fc4fa55e616,1962
