dataset,x,y
away,53.2591294055,97.4757710964
away,63.5149808671,25.1000785788
away,67.9805388133,80.9571652197
away,67.3724659005,29.720400203
away,15.5607495229,80.0656402858
away,71.7907676942,71.0654666627
away,70.2425464362,24.1095975542
away,64.9374355444,81.5542049945
away,62.2135245453,21.4758389969
away,67.2694004772,18.7089683725
away,40.5701970446,79.3729634752
away,74.7411813341,21.1016372041
away,71.7683189223,20.0110618423
away,76.1669198143,75.9361704048
away,65.6236574431,15.5828033531
away,50.8506336394,13.9876016304
away,33.0240700249,24.4678303872
away,39.7063261674,84.2752871038
away,45.5964849542,9.76334884943
away,42.9680469104,17.9454583961
away,52.4944067819,16.0511142003
away,46.0822757831,23.1104578154
away,74.2477082092,20.314187812
away,64.5682641863,83.6396338956
away,74.0216939058,76.1282745076
away,62.3911805626,5.62307076073
away,74.189036683,68.1335832223
away,28.2367819396,56.1395964513
away,75.7719387944,69.8292300322
away,75.8552294691,62.5170442862
away,65.9708570175,72.7448559954
away,21.7780404779,6.61662530728
away,67.7597962473,72.4212015285
away,78.6171953363,52.5752573142
away,68.5077081898,15.4569189652
away,74.8850211598,25.4166063231
away,66.4549036599,19.8366286542
away,77.3178020985,48.3983464352
away,58.9124603193,75.6677562173
away,57.617447817,8.19480060319
away,76.0882257967,59.6799300235
away,57.4660505497,1.50441817488
away,79.4283834934,45.2107942872
away,76.3565221496,10.4182411281
away,64.4050752632,78.5841760758
away,40.6350418091,73.3947503698
away,43.9498645857,75.9587156671
away,30.9962205791,71.694404938
away,68.2307689907,80.8725016628
away,72.0463894612,12.9180067349
away,46.5927679682,84.9723827774
away,49.2572183396,81.8814032306
away,42.7817612539,12.9911884302
away,65.475952195,14.2745856444
away,71.9650826544,17.7102359443
away,32.1464623358,43.4817094425
away,31.8384976954,71.8121653901
away,31.0052582572,40.682503007
away,80.4708943189,49.5021483467
away,71.9641671122,41.8742826668
away,78.0794214417,93.1333167652
away,41.6775957748,30.2012640846
away,65.953595185,31.1474060835
away,62.9344593731,31.9163906992
away,64.3737979844,28.8625834061
away,72.5093283599,39.5401302526
away,30.0522898741,96.6175423534
away,28.0033242354,46.6721919544
away,75.4012268619,88.6390766207
away,38.9800154218,87.322160691
away,65.2199135479,84.6829549336
away,73.0539899616,29.3808085571
away,34.3983616372,59.5444469033
away,43.4904501336,40.782542065
away,55.138737967,30.7257603575
away,43.6843934333,32.8230098696
away,35.9036097344,91.1118630801
away,45.3780188805,29.1692166544
away,39.7774828713,43.75581895
away,38.6644611569,33.3172384774
away,39.0440366877,84.6760108316
away,91.6399614428,79.4066030605
away,47.4881326771,85.3899333808
away,44.5902125769,22.0340116412
away,39.0896145478,70.4661940802
away,42.2293783752,19.9140684075
away,37.0003871448,60.264279248
away,39.0520864793,70.6525028457
away,37.4884147432,60.8144048511
away,69.3595594592,65.5213545959
away,43.542775926,62.4603112824
away,39.8112302539,65.3348328092
away,70.0689259404,7.59346560899
away,70.0405435824,77.1438066024
away,39.505789079,74.8516272173
away,62.5168908529,66.4847322418
away,72.1399254065,0.0151193251552
away,45.2515760666,70.0034213192
away,42.0633045627,2.33519661206
away,36.3556951539,6.0058486497
away,30.3918276596,42.75961287
away,36.4490038543,50.5462690659
away,40.467576002,60.0275120878
away,81.7246168002,6.03754484635
away,48.8231974964,76.6353305783
away,35.6205617651,57.2860155789
away,50.5839631148,71.8066161014
away,61.8564651063,71.7927431642
away,39.3237560262,59.3008196656
away,42.1856791429,66.0348978235
away,30.8469189898,37.3416401041
away,29.3462004281,42.1487418312
away,82.1105579783,1.21055166293
away,38.3020058088,60.0177857932
away,56.5841530218,70.512514809
away,33.3393742865,0.5091067352
away,78.7742390407,35.4841012146
away,27.9226442446,25.9868781844
away,71.6978651182,10.8681445111
away,74.1383313856,49.1739189791
away,32.579020066,1.80811559665
away,59.83218542,69.1525081443
away,35.0306285457,12.5366493416
away,74.3001198284,42.4770945921
away,63.2501970628,65.9524861966
away,34.1730737648,25.6936743092
away,40.9138319319,38.5590195509
away,62.8332930874,62.5108942269
away,42.4767923803,56.7312899691
away,52.0334562787,64.5666620298
away,48.9070429644,74.2877488252
away,59.8518383854,72.9583909677
away,48.9604602016,72.6295257275
away,46.8448551673,36.7917136918
away,39.9630215796,42.9449148487
away,66.704943997,32.0150954299
star,58.2136082599,91.881891513
star,58.1960536923,92.2149886482
star,58.7182307185,90.310532087
star,57.27837287,89.9076067166
star,58.082020494,92.0081450101
star,57.4894477748,88.0852855629
star,28.088741319,63.5107944263
star,28.0854682136,63.5901969481
star,28.087273053,63.1232828116
star,27.5780252176,62.8210386566
star,27.7799191139,63.518147517
star,28.5889998149,63.0240805653
star,28.7391414969,62.7208638859
star,27.0246032407,62.9018588649
star,28.8013366963,63.389040388
star,27.186463838,63.5587296478
star,29.2851466002,63.3836058254
star,39.4029453026,51.1508571967
star,28.8113284396,61.3578540576
star,34.3039579069,56.5421259093
star,29.6027609801,60.157346722
star,49.1161568603,63.6600006211
star,39.6175458263,62.9251879574
star,43.23308466,63.1652187223
star,64.8927879422,65.8141767574
star,62.4901493154,74.5842896072
star,68.9880844294,63.232147305
star,62.1056186306,75.9908707599
star,32.4618467439,62.8819029189
star,41.3272006535,49.0702512739
star,44.0071499323,46.4496737846
star,44.0740606888,34.5532038906
star,44.0013152386,33.9042073544
star,45.0063004454,38.2990195507
star,44.4438406096,36.0190833012
star,42.1787133986,26.492119482
star,44.0445656189,35.6622382764
star,41.6404540171,27.0930954213
star,41.9383300069,24.9915229793
star,44.0539275103,33.5563924949
star,39.2067193308,51.5337156971
star,28.7044492315,61.7775254006
star,31.7086628996,58.837754374
star,42.8117114739,30.0204484197
star,43.300614891,31.5264261979
star,40.3986329069,16.3470083822
star,40.4356915763,20.2326706762
star,40.9365466658,16.9130048364
star,39.6615736653,15.609355577
star,40.899259175,20.7985289466
star,41.9686168283,26.4970725985
star,40.3834058238,21.3912255247
star,56.5381264538,32.4442454697
star,52.9706912828,29.0401966941
star,54.6209525885,30.3445244537
star,65.0990443941,27.2415575588
star,63.0559909076,29.7090956748
star,70.9601362323,41.2595012867
star,69.8958192404,43.4537592655
star,70.5958928563,41.9647438672
star,69.6470214273,44.044445022
star,77.392982494,63.3714590552
star,64.4007871926,67.4487184472
star,63.8689598271,70.2137388333
star,56.5944213157,86.9270062202
star,56.5313372853,87.4998110713
star,59.6521583697,87.8094615921
star,56.6365087005,85.637495556
star,58.6722880025,90.077160307
star,58.2216127264,90.4110187715
star,57.9146644768,89.9538027677
star,55.3155090581,80.2518606944
star,54.5757285877,77.5362884724
star,54.4130936504,78.2290865878
star,55.0745059041,79.8175464166
star,29.4329605156,60.8017765444
star,29.4226860665,63.0684648229
star,29.0056141576,63.3907513334
star,58.4618385916,90.2653263904
star,57.997804739,92.1599086113
star,57.5494740761,90.7489065581
star,59.5299284566,88.3272741451
star,58.2493910631,92.1296814778
star,58.0245140126,91.6944211685
star,58.3821244904,90.5534760692
star,62.5667590405,77.7439347591
star,72.1758243064,63.1289294176
star,79.4727615693,63.4086861199
star,80.3577008812,63.2954375404
star,78.7572361375,53.3326200111
star,82.5402395934,56.5410522935
star,86.4358971909,59.7927618087
star,79.4886844186,53.6516742641
star,81.5304203188,56.0253645659
star,79.1867885665,53.2347918468
star,77.8990579454,51.8224583343
star,75.1307142075,23.3724419733
star,76.0580137544,16.383749688200002
star,57.6146743876,33.8224476502
star,56.1713975295,32.1179887719
star,66.2878905956,26.1171097453
star,67.8817196169,24.2360184109
star,64.0280813016,27.6726855125
star,77.4966517463,14.9485235577
star,77.6346517616,14.461853927
star,77.8637264289,14.6106776491
star,77.3381581659,15.890054658
star,76.1804165329,15.9125737458
star,77.2526510945,15.1515170246
star,77.4133752817,15.2219279762
star,76.7318493982,16.2168461441
star,49.471105411800004,25.0630193062
star,42.4765399431,18.3384735636
star,43.5951158622,19.9942009773
star,50.3399696652,26.4713966117
star,40.7489802561,16.1821416622
star,38.3865255803,14.5802151464
star,38.4040152085,14.4519484496
star,38.7642788913,14.3655904744
star,41.4701423265,17.2780334445
star,47.1554048146,22.3779325323
star,39.5825667453,17.6484528361
star,41.7402438167,17.8293243101
star,39.3118718889,15.6407169743
star,41.6798476925,17.7459190133
star,39.0874644519,15.1223039378
star,41.4815028637,18.0474374446
star,77.6060865492,15.1628725383
star,75.9826615205,16.3069223786
star,76.9457572424,15.858478334
star,77.5437200743,15.253949149
star,77.5847398447,15.8300393854
star,76.8223042562,15.5951653195
star,77.3485716647,15.7745292395
star,77.5731526867,14.7806458332
star,77.9726106776,14.9556987461
star,41.5289197586,24.9164251896
star,43.7225508034,19.0773278036
star,79.3260781751,52.9003912897
star,56.6639740815,87.9401250067
star,57.8217892319,90.6931665489
star,58.2431718991,92.1043278652
bullseye,51.2038911373,83.3397766053
bullseye,58.9744699018,85.499817612
bullseye,51.8720726696,85.8297376348
bullseye,48.1799307865,85.0451167372
bullseye,41.6832004024,84.0179406019
bullseye,37.8904155015,82.5674929978
bullseye,39.5489736947,80.812601774
bullseye,39.6495738769,82.6645338713
bullseye,34.7505970472,80.0110909897
bullseye,27.560835291,72.8478255927
bullseye,24.6355399754,71.6107148256
bullseye,20.9594648125,66.0414983826
bullseye,20.6891490538,62.7213052064
bullseye,19.2882047369,62.0630593582
bullseye,20.0245005746,61.3426238695
bullseye,35.4695229971,43.1158849517
bullseye,36.8943276507,47.7065559687
bullseye,39.0555497751,55.5469737131
bullseye,46.9570801494,65.2404073935
bullseye,37.3104527352,45.2587508999
bullseye,40.0096720019,60.9865825077
bullseye,48.0143866846,65.7128195934
bullseye,53.7037759268,66.3894820363
bullseye,63.0674998921,64.0350004581
bullseye,62.0480325076,63.8458632494
bullseye,59.8399667124,64.4767644437
bullseye,55.1609418175,65.2373081694
bullseye,61.2797865792,65.766402504
bullseye,60.8349175348,64.6037697063
bullseye,61.5205906458,64.7918550418
bullseye,36.916543863,41.0952474383
bullseye,38.5021996714,41.5671556174
bullseye,48.6643707344,30.6806668519
bullseye,50.2852524042,30.3379221051
bullseye,42.276332666,34.5276361236
bullseye,54.0317756204,29.6723483149
bullseye,37.3293552552,39.6020423074
bullseye,41.389522551,37.2960562328
bullseye,40.0746666572,34.6236852027
bullseye,35.3496806211,47.1410731332
bullseye,34.7637004189,47.6247999245
bullseye,37.0266294472,44.4622930512
bullseye,36.4555695327,40.791843032
bullseye,35.5376642131,48.7293868661
bullseye,20.4089478892,32.2030304205
bullseye,23.4957104659,25.3224681542
bullseye,29.5575433634,21.3647774591
bullseye,33.0082339121,15.9850714584
bullseye,53.9803991821,29.3509867092
bullseye,52.2343086004,29.711672986500002
bullseye,59.5030766063,30.6696739448
bullseye,41.1637810689,34.3157582514
bullseye,48.9930401201,32.0303588363
bullseye,59.2692803248,29.6407017654
bullseye,45.4691770035,33.8311927323
bullseye,62.6912665406,30.2903738312
bullseye,73.4286708654,48.5778551303
bullseye,70.846426107,52.282253331
bullseye,71.5390198495,45.5218061588
bullseye,67.6208658884,38.0065584658
bullseye,72.4709525633,51.1221348241
bullseye,64.8122375621,62.8109155873
bullseye,60.8536798727,65.4991470327
bullseye,67.7894961571,61.3637015467
bullseye,41.6095572691,83.8486865559
bullseye,53.0030253202,84.6747986012
bullseye,54.7141710591,84.0431280734
bullseye,44.2916687157,82.9094412144
bullseye,49.1917219555,85.8762291224
bullseye,53.1013817819,84.5476586881
bullseye,51.599848153,84.8198214898
bullseye,54.3797219484,84.2403555494
bullseye,46.4807681047,83.518211666
bullseye,53.174656268,84.2605679876
bullseye,45.272002941,85.2370794195
bullseye,36.03340215,53.371687755
bullseye,28.2711941653,72.840231257
bullseye,25.0548060847,71.5485979221
bullseye,64.7588870014,82.3152236405
bullseye,63.1445274767,85.2366963264
bullseye,50.4246786898,85.1747475891
bullseye,70.6449962629,82.4309187567
bullseye,63.1490490834,83.9468553485
bullseye,62.8240245172,84.9661859507
bullseye,70.236869515,82.1711510621
bullseye,70.0427352449,80.3850213547
bullseye,72.5706234458,80.9712184346
bullseye,75.1307160373,79.9840931403
bullseye,83.2939057345,70.7784317876
bullseye,79.6642622775,73.9323097157
bullseye,88.4321025254,64.6242470023
bullseye,89.1155590082,64.0015066388
bullseye,89.0921976305,57.768193047
bullseye,91.7260057727,52.6233532573
bullseye,91.7355387598,48.9702108877
bullseye,91.5078881747,53.3126520851
bullseye,88.239001904,31.4774348786
bullseye,88.5305192041,30.4760310098
bullseye,55.3651603364,30.4458502777
bullseye,62.5602588694,30.4471356661
bullseye,58.0066691227,30.2537212987
bullseye,55.0671179917,29.0115351997
bullseye,61.6147759612,29.9943911942
bullseye,68.5431435378,35.6578321706
bullseye,77.7061096487,20.3042601852
bullseye,68.4530459999,13.0355285908
bullseye,68.2572064402,12.3846391542
bullseye,70.2554746739,13.2503849689
bullseye,65.0443252778,11.0008414785
bullseye,60.0922466078,11.8721117093
bullseye,52.9920289667,9.90666848335
bullseye,50.1446289773,12.2115430946
bullseye,46.5086141932,11.2071344881
bullseye,43.8070319612,11.3189448865
bullseye,57.8178546865,10.9451424306
bullseye,50.9404926595,9.69154713447
bullseye,63.4973230835,11.9140691707
bullseye,50.0164829541,11.9338520864
bullseye,58.6367650809,11.9747210652
bullseye,54.7302890863,11.4128826732
bullseye,65.8755478023,11.7324363627
bullseye,57.0609827131,9.92056085444
bullseye,46.819907946,10.4946526804
bullseye,38.3593948725,13.431322624
bullseye,47.3154157773,12.853451784
bullseye,55.0519165396,11.9499886181
bullseye,50.5159602579,9.76559162187
bullseye,49.6774146514,10.3831325083
bullseye,67.2806595188,14.1286515323
bullseye,66.1730182606,12.0379170217
bullseye,61.0885441374,10.0845344144
bullseye,66.0530857731,13.3802260073
bullseye,72.6699892655,15.2342259409
bullseye,61.503472503,10.8284144754
bullseye,68.995028632,13.9943105293
bullseye,78.2499161658,17.8832409068
bullseye,36.4819805699,15.1627600944
bullseye,50.9677483784,29.6797742875
bullseye,91.1910536059,46.6743428399
bullseye,55.8637684939,85.3364867573
bullseye,49.2805947987,84.0488228306
bullseye,43.3685015447,84.3321772039
