"country","incomeperperson","alcconsumption","armedforcesrate","breastcancer","co2emissions","femaleemployrate","hivrate","internetuserate","lifeexpectancy","oilperperson","polityscore","relectricperperson","suicideper100th","employrate","urbanrate","continent"
"Cambodia",557.9475126,4.71,2.5364458,21.5,45411666.67,73.40000153,0.5,1.259933609,63.125,NA,2,51.58131958,4.961071491,78.90000153,21.56,"AS"
"Cameroon",713.6393027,7.9,0.305758,29.7,125172666.7,49,5.3,3.999977346,51.61,NA,-4,59.55124498,7.214220524,59.09999847,56.76,"AF"
"Canada",25575.35262,10.2,0.3429763,84.3,24979045667,58.90000153,0.2,81.33839269,81.012,3.007355851,10,4772.370648,10.10099,63.5,80.4,"NORAM"
"Cape Verde",1959.844472,4.98,0.4833248,28.1,5214000,43.59999847,NA,29.99993952,74.156,NA,NA,NA,5.633333683,55.90000153,59.62,"AF"
"Central African Rep.",239.5187494,3.17,0.1486587,16.5,8338000,62.90000153,4.7,2.300026653,48.398,NA,-1,NA,13.54841995,71.30000305,38.58,"AF"
"Chad",275.8842865,4.39,0.8358123,16.5,7608333.333,66.30000305,3.4,1.700031496,49.553,NA,-2,NA,8.283070564,68.90000153,26.68,"AF"
"Chile",6334.105194,8.81,1.3411144,43.9,1839471333,35.5,0.4,45,79.12,0.858961552,10,532.5151772,10.17187,51,88.44,"LATAM"
"China",2425.471293,5.56,0.3713568,18.7,1.01e+11,68.90000153,0.1,34.37778952,73.456,0.319532369,-7,331.376632,16.91324806,72.80000305,43.1,"AS"
"Colombia",3233.42378,6.59,2.2156207,30.3,2269806000,54.90000153,0.5,36.49987464,73.703,0.237607469,7,404.5913654,4.907702,63.20000076,74.5,"LATAM"
"Comoros",336.3687495,0.28,NA,19.5,2368666.667,59.29999924,0.1,5.098265306,61.061,NA,9,NA,4.751083851,68,28.08,"AF"
"Congo, Dem. Rep.",103.7758572,3.39,0.628381,10.3,169180000,50.40000153,NA,0.720008677,48.397,NA,5,30.70924355,14.71302033,66.19999695,33.96,"AF"
"Congo, Rep.",1253.292015,4.46,0.7716936,20.6,46306333.33,52.29999924,3.4,4.999875093,57.379,NA,-4,56.37245031,9.873761177,64.19999695,61.34,"AF"
"Costa Rica",5188.900935,5.81,0.4736536,30.9,148470666.7,40.09999847,0.3,36.49911472,79.311,NA,10,798.3405996,6.597168,58.59999847,63.26,"LATAM"
"Cote d'Ivoire",591.0679443,6.47,0.2339148,26,228748666.7,38.09999847,3.4,2.599973655,55.377,NA,0,70.38744444,20.31793022,59.90000153,48.78,"AF"
"Croatia",6338.494668,15,1.1032787,62.1,310024000,39.40000153,0.06,60.11970702,76.64,NA,9,1494.410268,14.77625,47.09999847,57.28,"EE"
"Cuba",4495.046262,5.12,1.4953835,31.2,1286670000,43.70000076,0.1,15.89997034,79.143,NA,-7,528.7873498,10.57191,56,75.66,"LATAM"
"Cyprus",15313.85935,8.84,2.4549129,67.2,183535000,51.29999924,NA,53.02474483,79.591,NA,10,2123.762863,2.206169,59.09999847,69.9,"WE"
"Czech Rep.",7381.312751,16.47,0.5157058,58.4,1776016000,47.59999847,0.06,68.63813347,77.685,0.876778335,8,1438.780412,12.36798,56,73.5,"EE"
"Denmark",30532.27704,12.02,1.012373,88.7,3503877667,58.09999847,0.2,88.77025387,78.826,1.567527462,10,1884.299342,8.973104,63.09999847,86.68,"WE"
"Djibouti",895.3183396,1.87,3.4515458,19.5,14054333.33,NA,2.5,6.49792351,57.937,NA,2,NA,4.993475914,NA,87.3,"AF"
"Dominican Rep.",4049.169629,6.28,1.469369,36.1,446365333.3,40.5,0.9,39.53127426,73.396,NA,8,457.6448423,6.519536972,52.70000076,69.02,"LATAM"
"Ecuador",1728.020976,9.43,1.0179463,23.5,692039333.3,45.5,0.4,28.99947674,75.632,0.732816541,5,314.8261997,8.504684448,59.70000076,65.58,"LATAM"
"Egypt",1975.551906,0.32,3.2908071,24.2,3341129000,18.20000076,0.06,26.74002538,73.235,0.447479266,-3,536.7604507,1.799903631,42.40000153,42.72,"AF"
"El Salvador",2557.433638,3.99,1.321155,13.6,143586666.7,44.79999924,0.8,15.89998203,72.196,NA,8,256.0991513,7.304886,58.20000076,60.7,"LATAM"
"Equatorial Guinea",8654.536845,6.12,0.3976544,16.5,26125000,39.59999847,5,6.003437143,51.088,NA,-5,NA,10.12934971,61.70000076,39.38,"AF"
"Eritrea",131.796207,1.64,9.8201265,19.5,7315000,51.70000076,0.8,5.399666997,61.597,NA,-7,20.28813109,8.913362503,64.90000153,20.72,"AF"
"Estonia",6238.537506,17.24,0.9984276,47.7,277170666.7,52.09999847,1.2,74.1630403,74.825,NA,9,1411.230532,16.95924,56.5,69.46,"EE"
"Ethiopia",220.8912479,4.1,0.3617085,24.7,119958666.7,73,NA,0.74999585,59.274,NA,1,15.05623591,10.07194233,80.69999695,17,"AF"
"Fiji",2230.676374,2.76,1.1772684,31.2,35717000,36.79999924,0.1,14.83073588,69.245,NA,-4,NA,3.94025898,56.40000153,52.36,"OC"
"Finland",27110.73159,13.1,1.1774157,84.7,2420300667,53.40000153,0.1,86.89884451,79.977,1.938654268,10,4036.953993,16.23437,57.20000076,63.3,"WE"
"France",22878.46657,12.48,1.2337802,91.9,33341634333,45.59999847,0.4,77.49861935,81.539,1.328291411,9,2539.753273,14.09153,51.20000076,77.36,"WE"
"French Polynesia",NA,NA,NA,34.2,19800000,NA,NA,48.95732841,75.133,NA,NA,NA,NA,NA,51.64,"OC"
"Gabon",4180.765821,9.46,1.0189063,18.2,170804333.3,52.59999847,5.2,7.232224246,62.703,NA,3,537.1047381,7.745064735,59,85.04,"AF"
"Gambia",354.5997263,3.58,0.1345905,6.4,7355333.333,65.69999695,2,9.196775477,58.491,NA,-5,NA,6.449156761,71.69999695,56.42,"AF"
"Georgia",1258.762596,6.66,1.4507353,51.8,81191000,48.5,0.1,26.29725148,73.737,NA,6,617.9255518,1.574350119,55.59999847,52.74,"EE"
"Germany",25306.18719,12.14,0.5758096,79.8,41229554667,46.79999924,0.1,82.52689791,80.414,1.398500033,10,1693.891898,9.211085,53.5,73.64,"WE"
"Ghana",358.9795398,3.11,0.1314868,28.1,188268666.7,64.09999847,1.8,9.549930701,64.228,NA,8,97.24649212,6.288554668,65.09999847,50.02,"AF"
"Greece",13577.87989,11.01,3.0932506,51.6,2712915333,37.79999924,0.1,44.57007444,79.915,1.628614887,10,1690.718434,2.816705,49.59999847,61,"WE"
"Guam",NA,NA,NA,50.4,NA,NA,NA,NA,76.142,NA,NA,NA,NA,NA,93.16,"OC"
"Guatemala",1860.753895,7.1,0.6608385,25.9,242594000,44,0.8,10.49994819,71.172,NA,8,187.3248822,2.234896,62.70000076,48.58,"LATAM"
"Guinea",411.5014473,0.79,0.4026995,15.3,46684000,77.59999847,1.3,0.999958926,54.097,NA,-1,NA,7.443826199,81.5,34.44,"AF"
"Guinea-Bissau",161.3171371,3.9,0.9301079,28.1,7813666.667,49.90000153,2.5,2.450362244,48.132,NA,6,NA,7.563692093,65.90000153,29.84,"AF"
"Guyana",1200.652075,8.7,0.8776657,29.5,69329333.33,41.79999924,1.2,29.87992146,69.927,NA,6,NA,35.75287247,58.90000153,28.38,"LATAM"
"Haiti",371.4241975,5.92,0,4.4,40857666.67,35.40000153,1.9,8.370206884,62.095,NA,5,9.192394708,1.519248009,55.90000153,46.84,"LATAM"
"Honduras",1392.411829,4.43,0.7108232,25.9,131703000,34.20000076,0.8,11.09076463,73.126,NA,7,278.7396351,7.060184479,56.29999924,47.88,"LATAM"
"Hungary",5634.003948,16.12,0.8668624,63,4244009000,40.29999924,0.06,65.16325092,74.414,0.67109758,10,1154.179932,20.16201,47.29999924,67.5,"EE"
"Iceland",33945.31442,7.38,0.0661,90,92770333.33,69.59999847,0.3,95.63811321,81.804,NA,NA,2826.044874,11.42618084,73.59999847,92.26,"WE"
"India",786.7000982,2.69,0.5739204,19.1,30391317000,32.29999924,0.3,7.499995878,65.438,0.126978752,9,110.7054664,18.58382607,55.40000153,29.54,"AS"
"Indonesia",1143.831514,0.56,0.5159403,26.1,6710201667,44.09999847,0.2,9.900038672,69.366,0.248466951,8,221.9614614,11.39611149,61.5,51.46,"AS"
"Iran",2161.54651,1.03,2.0263996,17.1,9183548000,26.89999962,0.2,13.00011072,72.974,1.162576448,-7,753.2098022,6.021882057,47.79999924,68.46,"AS"
"Iraq",736.2680538,0.47,7.7379125,31.7,2421917667,12.39999962,NA,2.471948347,69.042,NA,0,0,17.03264618,37.40000153,66.6,"AS"
"Ireland",27595.09135,14.92,0.4500244,74.9,1633778667,51,0.2,69.77039441,80.557,1.700261751,10,2051.802338,10.36507,59.90000153,61.34,"WE"
"Israel",22275.75166,2.52,5.8731426,90.8,1561079667,46.40000153,0.2,65.38778594,81.618,NA,10,2342.435248,5.931845,51.29999924,91.66,"AF"
"Italy",18982.26929,9.72,1.7293464,74.4,19000454000,35.79999924,0.3,53.7402166,81.855,1.207249814,10,1176.385457,4.930044509,46.40000153,68.08,"WE"
"Jamaica",3665.348369,5.17,0.2437395,43.5,340090666.7,47.5,1.7,26.47722324,73.127,NA,9,368.4346061,4.417507172,58.20000076,53.3,"LATAM"
"Japan",39309.47886,7.79,0.3618584,32.7,46092214667,46.20000076,0.06,77.63853516,83.394,1.593223489,10,2257.572233,18.94693,57.29999924,66.48,"AS"
"Jordan",2534.00038,0.65,5.9096991,33,377303666.7,13,NA,38.88120159,73.403,NA,-3,719.4765302,0.201448724,38.90000153,78.42,"AF"
"Kazakhstan",2481.718918,11.1,0.9562696,38.7,2484925667,58.20000076,0.1,33.38212816,67.017,0.779964667,-6,484.098988,25.4046,63.70000076,57.94,"AS"
"Kenya",468.6960436,3.88,0.1595738,25.2,283583666.7,66.59999847,6.3,25.8997967,57.134,NA,7,41.18000321,10.93771839,73.19999695,21.6,"AF"
"Korea, Dem. Rep.",NA,NA,10.6385211,20.4,5896388667,56,NA,NA,68.846,NA,-9,0,4.735673428,64.59999847,62.68,"AS"
"Korea, Rep.",16372.49978,19.15,2.8339665,20.4,9666891667,48,0.06,82.515928,80.642,2.087848011,8,1142.309009,22.40456,58.90000153,81.46,"AS"
"Kuwait",NA,0.1,1.6095482,31.8,1712755000,42,NA,38.26023355,74.576,6.467567888,-7,8362.567977,1.498057424,65.69999695,98.36,"AS"
"Kyrgyzstan",372.728414,4.72,0.8377678,23,87970666.67,48.79999924,0.3,19.58231645,67.714,NA,1,428.3123071,9.875281,58.90000153,36.28,"AS"
"Laos",554.8798401,6.99,4.3015761,10.9,21332666.67,78.09999847,0.2,6.999880342,67.484,NA,-7,NA,26.21919823,78.19999695,30.88,"AS"
"Latvia",5011.219456,13.45,1.3164321,44.3,125755666.7,50.70000076,0.7,71.51472354,73.339,NA,8,904.6694454,20.36959,56.79999924,68.12,"EE"
"Lebanon",6746.612632,2.3,5.4065355,52.5,428006333.3,22.29999924,0.1,31.00437828,72.64,NA,7,913.8456602,5.83831501,46,86.96,"AF"
"Lesotho",495.7342469,5.56,0.2176526,13.1,NA,49.79999924,23.6,3.860565398,48.196,NA,8,NA,7.858619213,56.29999924,25.46,"AF"
"Liberia",155.0332312,5.07,0.1299529,18.8,38991333.33,53.20000076,1.5,7.000213821,56.786,NA,6,NA,7.1848526,66,60.14,"AF"
"Libya",7885.468037,0.1,3.3116742,23.4,1414031667,23.20000076,NA,14.00024674,74.788,NA,-7,846.0149226,4.667024612,48.59999847,77.54,"AF"
"Lithuania",5332.238591,16.3,1.4878309,38.5,226255333.3,48.79999924,0.1,62.81190001,72.231,0.812369438,10,758.8587192,33.34186,53.09999847,66.96,"EE"
"Luxembourg",52301.58718,12.84,0.7313362,82.5,592012666.7,45.90000153,0.3,90.07952663,79.963,NA,NA,1566.106139,12.40591812,53.5,82.44,"WE"
"Macedonia, FYR",2221.185664,8.94,2.101467,52.1,168883000,26.79999924,NA,51.91418432,74.847,NA,9,NA,7.876878262,34.90000153,66.9,"EE"
"Madagascar",242.6775342,1.32,0.2351846,19.5,62777000,79.19999695,0.2,1.699985145,66.718,NA,0,NA,5.767406464,83,29.52,"AF"
"Malawi",184.1417966,1.44,0.1145925,10.5,28490000,69,11,2.259975885,54.21,NA,6,NA,10.17173481,71.80000305,18.8,"AF"
"Malaysia",5184.709328,0.87,1.1421267,30.8,2670950333,43.09999847,0.5,56.3000337,74.221,0.890813171,6,767.9703238,8.2110672,60.5,70.36,"AS"
"Mali",269.8928811,0.99,0.3269778,18.2,17515666.67,34.40000153,1,2.699966448,51.444,NA,7,NA,8.262892723,45.70000076,32.18,"AF"
"Malta",11066.78415,4.1,1.1443188,76.1,73784333.33,30.10000038,0.1,63.07799279,79.634,NA,NA,1598.673959,4.551121235,46.79999924,94.26,"WE"
"Mauritania",609.1312059,0.11,1.5512617,28.1,56818666.67,45.29999924,0.7,2.999803179,58.582,NA,-2,NA,6.882952213,46.90000153,41,"AF"
"Mauritius",5182.143721,3.53,0.3495439,31.6,59473333.33,36.29999924,1,28.7318835,73.373,NA,10,NA,8.08154,54.5,42.48,"AF"
"Mexico",6105.280743,8.55,0.6123401,26.4,13304503667,39.59999847,0.3,31.05001287,76.954,0.770566504,8,431.6253788,4.288574,57.90000153,77.2,"LATAM"
"Moldova",595.8745345,23.01,0.5415062,49.6,149904333.3,43.59999847,0.4,40.1222347,69.317,NA,8,304.9401149,15.53849,44.29999924,41.76,"EE"
"Mongolia",772.9333448,3.41,1.2118685,6.6,300934333.3,50.90000153,0.06,12.90000468,68.498,NA,10,303.8054487,13.08961582,52.09999847,57.18,"AS"
"Morocco",1844.351028,1.24,2.0858528,22.5,953051000,22.20000076,0.1,49.00063184,72.15,NA,-6,209.0945173,2.109413624,46.20000076,56.02,"AF"
"Mozambique",389.7636343,2.27,0.1022692,3.9,107096000,82.19999695,11.5,4.170136385,50.239,NA,5,31.3868377,10.55037499,77,36.84,"AF"
"Myanmar",NA,0.58,1.9129653,20.2,322960000,66.5,0.6,NA,65.193,NA,-6,38.00563737,10.11499691,74.69999695,32.58,"AS"
"Namibia",2667.24671,12.09,1.9729132,24.7,26209333.33,37.29999924,13.1,6.500822821,62.465,NA,6,0,8.021969795,42,36.84,"AF"
"Nepal",268.2594495,2.42,1.0127322,21.8,52657000,54.59999847,0.4,7.930096349,68.795,NA,6,31.54456397,11.65520954,61.79999924,17.24,"AS"
"Netherlands",26551.84424,9.75,0.5261262,86.7,9483023000,54.29999924,0.2,90.70355509,80.734,2.997654606,10,1490.056909,8.164005,61.29999924,81.82,"WE"
"New Zealand",14778.16393,9.99,0.3891575,91.9,1321661000,58.29999924,0.1,83.00258425,80.654,1.579621147,10,2993.09266,12.17976,65,86.56,"OC"
"Nicaragua",948.355952,5.21,0.5265916,23.9,109681000,36,0.2,9.998554154,74.044,NA,9,126.8265778,12.12226868,58.79999924,56.74,"LATAM"
"Niger",180.083376,0.34,0.2177167,23.3,30800000,38,0.8,0.829997485,54.675,NA,-3,NA,9.257975578,60.40000153,16.54,"AF"
"Nigeria",544.5994767,12.72,0.3331953,31.2,2386820333,36.5,3.6,28.43003266,51.879,NA,4,74.0642409,7.631049633,50.90000153,48.36,"AF"
"Norway",39972.35277,8.35,0.7205279,74.8,1962704333,60.90000153,0.1,93.27750793,81.097,2.191226044,10,7432.130852,10.823,65,77.48,"WE"
"Oman",11191.81101,0.92,4.4659976,13.2,487993000,22.60000038,0.1,61.98741286,72.974,NA,-8,2124.608816,3.716739416,50.70000076,71.62,"AS"
"Pakistan",668.547943,0.05,1.6494507,50.1,2329308667,19,0.1,16.78003702,65.437,0.11809206,5,186.925515,12.86981487,51,36.16,"AS"
"Panama",5900.616945,7.3,0.7502103,29,170404666.7,43.40000153,0.9,42.74781206,76.128,NA,9,500.2885055,6.1052819,59.79999924,73.2,"LATAM"
"Papua New Guinea",744.2394132,3.64,0.1051147,17.3,88337333.33,68.90000153,0.9,1.280049647,62.791,NA,4,NA,11.95694065,70.40000153,12.54,"OC"
"Paraguay",1621.177078,7.91,0.885386,34.4,95256333.33,65.30000305,0.3,19.80168119,72.477,NA,8,528.648051,4.409532,73.09999847,60.3,"LATAM"
"Peru",3180.430612,6.53,1.4356332,35.1,1146277000,59.79999924,0.4,34.30060399,73.99,0.288892973,9,239.3894571,1.658907771,68.30000305,71.4,"LATAM"
"Philippines",1383.401869,6.08,0.3880673,46.6,2008116000,46.79999924,0.06,24.99994585,68.749,0.140466308,8,179.6151806,1.922485113,61,64.92,"AS"
"Poland",6575.745044,14.43,0.8101865,50.3,23053598333,42.09999847,0.1,62.47123013,76.126,0.687102793,10,704.3997516,13.63706,48.70000076,61.32,"EE"
"Portugal",11744.83417,13.89,1.616886,55.5,1865922667,50.59999847,0.6,51.2804784,79.499,1.180264627,10,1259.392457,8.188375473,57.59999847,59.46,"WE"
"Puerto Rico",15822.11214,NA,NA,50.4,NA,34.59999847,NA,42.69233477,79.158,NA,NA,NA,NA,42.40000153,98.32,"LATAM"
"Qatar",33931.83208,1.29,1.3342359,33.3,811965000,39.59999847,0.06,81.59039727,78.371,4.207430892,-10,4759.453844,2.515720844,76,95.64,"AS"
"Romania",2636.7878,16.15,1.5367663,44.3,7104137333,43.79999924,0.1,40.02009488,73.979,0.423524289,9,467.5658077,10.05932,49.5,54.24,"EE"
"Russia",2923.144355,16.23,1.9414459,38.8,23404568000,53.79999924,1,43.36649772,68.823,1.032469884,4,825.9411107,27.87416,58.79999924,72.84,"EE"
"Rwanda",338.2663912,9.99,0.7268554,8.8,20152000,80.5,2.9,13.00000612,55.442,NA,-3,NA,13.11794853,79.80000305,18.34,"AF"
"Samoa",1784.071284,4.51,NA,34.2,4352333.333,NA,NA,6.965038044,72.444,NA,NA,NA,5.542323589,NA,23,"OC"
"Saudi Arabia",9425.32587,0.34,2.6182964,24.7,7861553333,17.70000076,NA,41.00012846,73.911,4.572267808,-10,3433.93245,6.401537895,51.20000076,82.42,"AS"
"Senegal",561.7085848,0.51,0.3622613,18.4,127108666.7,56.90000153,0.9,15.99964999,59.318,NA,7,55.79474354,6.811438561,65.59999847,42.38,"AF"
"Serbia and Montenegro",NA,NA,NA,58.4,NA,41.09999847,NA,NA,NA,NA,NA,NA,14.46964836,48.70000076,NA,"EE"
"Sierra Leone",268.3317903,9.48,0.5235483,28.1,29758666.67,63.40000153,1.6,NA,47.794,NA,7,NA,11.98049736,63.79999924,37.76,"AF"
"Singapore",32535.83251,1.54,6.3949358,48.7,1548044667,51.29999924,0.1,71.13170731,81.126,12.22864499,-2,1464.837281,9.127511,62.40000153,100,"AS"
"Slovak Republic",8445.526689,13.31,0.628578,48,590674333.3,45.29999924,0.06,79.88977734,75.446,0.677392785,10,830.701647,10.64574,53.40000153,56.56,"EE"
"Slovenia",12729.4544,14.94,1.1602817,58.9,214368000,49.40000153,0.06,69.33997072,79.341,NA,10,1585.174739,19.42261,55.90000153,48.6,"EE"
"Solomon Islands",1144.102193,1.37,NA,29.8,5210333.333,51.29999924,NA,5.001375465,67.852,NA,8,NA,4.484752655,65,17.96,"NORAM"
"Somalia",NA,0.5,NA,19.5,16379000,50.70000076,0.7,NA,51.219,NA,0,NA,29.86416435,66,36.52,"AF"
"South Africa",3745.649852,10.16,0.3318626,35,14609848000,34.29999924,17.8,12.33489326,52.797,0.504659453,9,920.1375998,15.714571,41.09999847,60.74,"AF"
"Spain",15461.75837,11.83,0.9795374,50.9,10822529667,41.70000076,0.4,65.80855367,81.404,1.616859123,10,1779.50351,5.888479,52.5,77.12,"WE"
"Sri Lanka",1295.742686,0.81,2.569643,23.6,253854333.3,39.20000076,0.06,11.99997066,74.941,NA,6,161.0934685,28.10404587,55.09999847,15.1,"AS"
"Sudan",523.9501515,2.56,0.969499,22.5,225019666.7,27.89999962,1.1,NA,61.452,NA,-4,50.89210138,9.709555626,47.29999924,43.44,"AF"
"Suriname",2668.020519,6.56,1.0584191,30,86317000,30.39999962,1,31.5680976,70.563,NA,NA,NA,20.7474308,44.70000076,74.92,"LATAM"
"Swaziland",1810.230533,5.05,NA,12.3,22704000,47.09999847,25.9,9.007735909,48.718,NA,-9,NA,12.87222195,50.90000153,24.94,"AF"
"Sweden",32292.48298,9.5,0.3520917,87.8,4286590000,56.70000076,0.1,90.01619002,81.439,1.545893802,10,4304.514402,11.11583,60.70000076,84.54,"WE"
"Switzerland",37662.75125,11.41,0.52422,81.7,2406741333,57,0.4,82.16665988,82.338,1.487412187,10,2361.033336,13.23981,64.30000305,73.48,"WE"
"Syria",1525.780116,1.49,5.9558471,44.8,1436893333,16.70000076,NA,20.66315568,75.85,NA,-7,815.0310909,0.523527563,44.79999924,54.22,"AF"
"Tajikistan",279.1804526,3.39,0.6048733,13.2,104170000,50.09999847,0.2,11.54939052,67.529,NA,-3,405.7753854,2.648980856,54.59999847,26.46,"AS"
"Tanzania",456.3857117,7.86,0.1347296,21.1,100782000,76.09999847,5.6,11.00005544,58.199,NA,-1,38.63450298,12.41118145,78.19999695,25.52,"AF"
"Thailand",2712.517199,7.08,1.0936515,16.6,4200940333,65,1.3,21.20007177,74.126,0.726249675,4,439.5897318,9.847459793,72,33.32,"AS"
"Togo",285.2244493,1.92,0.3400308,28.1,32233666.67,48.40000153,3.2,5.379819715,57.062,NA,-4,66.23852193,6.369887829,63.90000153,42,"AF"
"Trinidad and Tobago",10480.8172,6.16,0.581165,51.1,NA,50.5,1.5,48.51681767,70.124,NA,10,2261.316713,14.54716682,61.5,13.22,"LATAM"
"Tunisia",3164.927693,1.05,1.266624,19.6,525891666.7,21.39999962,0.06,36.56255296,74.515,NA,-4,325.8395609,3.146814108,41.59999847,66.5,"AF"
"Turkey",5348.597192,3.02,2.3794147,22,5675629667,21.89999962,0.06,39.82017789,73.979,0.394489111,7,550.6966103,3.56332469,42.79999924,68.68,"WE"
"Turkmenistan",2062.125152,5,0.9314175,17.9,531303666.7,53.90000153,NA,2.199997818,64.986,1.11067147,-9,351.1665941,12.21676922,58.5,48.62,"AS"
"Uganda",377.4211133,16.4,0.3445177,18.3,49793333.33,80,6.5,12.50025543,54.116,NA,-1,NA,12.28912163,83.19999695,12.98,"AF"
"Ukraine",1036.830725,17.47,0.9311688,39.9,5584766000,49.40000153,1.1,44.58535469,68.494,0.255234906,7,673.584861,18.95457,54.40000153,67.98,"EE"
"United Arab Emirates",21087.39413,0.52,1.8124763,24.1,2315698000,37.29999924,NA,77.99678115,76.546,4.299964455,-8,11154.75503,1.392950654,75.19999695,77.88,"AS"
"United Kingdom",28033.48928,13.24,0.5080181,87.2,72524250333,53.09999847,0.2,84.73170475,80.17,1.188028094,10,1933.945615,6.014659,59.29999924,89.94,"WE"
"United States",37491.17952,9.7,0.9723782,101.1,3.34e+11,56,0.6,74.247572,78.531,2.738543683,10,4542.848695,9.927033,62.29999924,81.7,"NORAM"
"Uruguay",9106.327234,8.99,1.5793413,83.1,275744333.3,46,0.5,47.86746863,77.005,NA,10,823.8231975,14.53727,57.5,92.3,"LATAM"
"Uzbekistan",952.8272608,3.61,0.7096295,17.3,1718339333,52.59999847,0.1,19.44502055,68.287,0.182184525,-9,261.4339532,5.21372,57.5,36.82,"AS"
"Vanuatu",1543.956457,0.96,NA,24,2977333.333,NA,NA,7.988366667,71.017,NA,NA,NA,4.983421803,NA,24.76,"OC"
