id,make,model,year,class,trans,drive,cyl,displ,fuel,hwy,cty
3161,Acura,Legend,1987,Compact Cars,Manual 5-spd,Front-Wheel Drive,6,2.5,Regular,23,18
3162,Acura,Legend,1987,Compact Cars,Automatic 4-spd,Front-Wheel Drive,6,2.7,Regular,22,16
3163,Acura,Legend,1987,Compact Cars,Manual 5-spd,Front-Wheel Drive,6,2.7,Regular,23,17
4360,Acura,Legend,1988,Compact Cars,Automatic 4-spd,Front-Wheel Drive,6,2.7,Regular,21,16
4361,Acura,Legend,1988,Compact Cars,Manual 5-spd,Front-Wheel Drive,6,2.7,Regular,22,17
5499,Acura,Legend,1989,Compact Cars,Automatic 4-spd,Front-Wheel Drive,6,2.7,Regular,20,16
5500,Acura,Legend,1989,Compact Cars,Manual 5-spd,Front-Wheel Drive,6,2.7,Regular,22,17
6636,Acura,Legend,1990,Compact Cars,Automatic 4-spd,Front-Wheel Drive,6,2.7,Regular,20,16
6637,Acura,Legend,1990,Compact Cars,Manual 5-spd,Front-Wheel Drive,6,2.7,Regular,22,17
7742,Acura,Legend,1991,Compact Cars,Automatic 4-spd,Front-Wheel Drive,6,3.2,Premium,21,17
7743,Acura,Legend,1991,Compact Cars,Manual 5-spd,Front-Wheel Drive,6,3.2,Premium,24,16
8831,Acura,Legend,1992,Compact Cars,Automatic 4-spd,Front-Wheel Drive,6,3.2,Premium,22,17
8832,Acura,Legend,1992,Compact Cars,Manual 5-spd,Front-Wheel Drive,6,3.2,Premium,24,16
28989,Acura,Legend,1993,Compact Cars,Automatic 4-spd,Front-Wheel Drive,6,3.2,Premium,21,16
28990,Acura,Legend,1993,Compact Cars,Manual 6-spd,Front-Wheel Drive,6,3.2,Premium,23,15
9877,Acura,Legend,1993,Compact Cars,Automatic 4-spd,Front-Wheel Drive,6,3.2,Premium,22,17
9878,Acura,Legend,1993,Compact Cars,Manual 5-spd,Front-Wheel Drive,6,3.2,Premium,23,16
10843,Acura,Legend,1994,Compact Cars,Automatic 4-spd,Front-Wheel Drive,6,3.2,Premium,21,16
10844,Acura,Legend,1994,Compact Cars,Automatic 4-spd,Front-Wheel Drive,6,3.2,Premium,22,17
10845,Acura,Legend,1994,Compact Cars,Manual 5-spd,Front-Wheel Drive,6,3.2,Premium,23,16
10846,Acura,Legend,1994,Compact Cars,Manual 6-spd,Front-Wheel Drive,6,3.2,Premium,24,16
11785,Acura,Legend,1995,Compact Cars,Automatic 4-spd,Front-Wheel Drive,6,3.2,Premium,21,16
11786,Acura,Legend,1995,Compact Cars,Automatic 4-spd,Front-Wheel Drive,6,3.2,Premium,22,17
11787,Acura,Legend,1995,Compact Cars,Manual 5-spd,Front-Wheel Drive,6,3.2,Premium,23,16
11788,Acura,Legend,1995,Compact Cars,Manual 6-spd,Front-Wheel Drive,6,3.2,Premium,24,16
17191,Acura,MDX,2001,Sport Utility Vehicle - 4WD,Automatic 5-spd,4-Wheel or All-Wheel Drive,6,3.5,Premium,21,15
18137,Acura,MDX,2002,Sport Utility Vehicle - 4WD,Automatic 5-spd,4-Wheel or All-Wheel Drive,6,3.5,Premium,21,15
33590,Acura,MDX 2WD,2014,Small Sport Utility Vehicle 2WD,Automatic (S6),Front-Wheel Drive,6,3.5,Premium,28,20
19118,Acura,MDX 4WD,2003,Sport Utility Vehicle - 4WD,Automatic 5-spd,4-Wheel or All-Wheel Drive,6,3.5,Premium,21,15
20243,Acura,MDX 4WD,2004,Sport Utility Vehicle - 4WD,Automatic 5-spd,4-Wheel or All-Wheel Drive,6,3.5,Premium,21,15
21351,Acura,MDX 4WD,2005,Sport Utility Vehicle - 4WD,Automatic 5-spd,4-Wheel or All-Wheel Drive,6,3.5,Premium,21,15
22462,Acura,MDX 4WD,2006,Sport Utility Vehicle - 4WD,Automatic 5-spd,4-Wheel or All-Wheel Drive,6,3.5,Premium,21,15
23771,Acura,MDX 4WD,2007,Sport Utility Vehicle - 4WD,Automatic (S5),4-Wheel or All-Wheel Drive,6,3.7,Premium,20,15
25012,Acura,MDX 4WD,2008,Sport Utility Vehicle - 4WD,Automatic (S5),4-Wheel or All-Wheel Drive,6,3.7,Premium,20,15
26163,Acura,MDX 4WD,2009,Sport Utility Vehicle - 4WD,Automatic (S5),4-Wheel or All-Wheel Drive,6,3.7,Premium,20,15
29797,Acura,MDX 4WD,2010,Sport Utility Vehicle - 4WD,Automatic (S6),All-Wheel Drive,6,3.7,Premium,21,16
30772,Acura,MDX 4WD,2011,Sport Utility Vehicle - 4WD,Automatic (S6),All-Wheel Drive,6,3.7,Premium,21,16
31947,Acura,MDX 4WD,2012,Sport Utility Vehicle - 4WD,Automatic (S6),All-Wheel Drive,6,3.7,Premium,21,16
33234,Acura,MDX 4WD,2013,Small Sport Utility Vehicle 4WD,Automatic (S6),All-Wheel Drive,6,3.7,Premium,21,16
33592,Acura,MDX 4WD,2014,Small Sport Utility Vehicle 4WD,Automatic (S6),All-Wheel Drive,6,3.5,Premium,27,18
7445,Acura,NSX,1991,Two Seaters,Automatic 4-spd,Rear-Wheel Drive,6,3,Premium,22,16
7446,Acura,NSX,1991,Two Seaters,Manual 5-spd,Rear-Wheel Drive,6,3,Premium,22,16
8556,Acura,NSX,1992,Two Seaters,Automatic 4-spd,Rear-Wheel Drive,6,3,Premium,22,16
8557,Acura,NSX,1992,Two Seaters,Manual 5-spd,Rear-Wheel Drive,6,3,Premium,22,17
9630,Acura,NSX,1993,Two Seaters,Automatic 4-spd,Rear-Wheel Drive,6,3,Premium,22,16
9631,Acura,NSX,1993,Two Seaters,Manual 5-spd,Rear-Wheel Drive,6,3,Premium,22,17
10617,Acura,NSX,1994,Two Seaters,Automatic 4-spd,Rear-Wheel Drive,6,3,Premium,22,16
10618,Acura,NSX,1994,Two Seaters,Manual 5-spd,Rear-Wheel Drive,6,3,Premium,22,17
11580,Acura,NSX,1995,Two Seaters,Automatic 4-spd,Rear-Wheel Drive,6,3,Premium,22,16
11581,Acura,NSX,1995,Two Seaters,Manual 5-spd,Rear-Wheel Drive,6,3,Premium,22,16
12507,Acura,NSX,1996,Two Seaters,Automatic 4-spd,Rear-Wheel Drive,6,3,Premium,22,16
12508,Acura,NSX,1996,Two Seaters,Manual 5-spd,Rear-Wheel Drive,6,3,Premium,22,16
13984,Acura,NSX,1998,Two Seaters,Automatic 4-spd,Rear-Wheel Drive,6,3,Premium,22,16
13985,Acura,NSX,1998,Two Seaters,Manual 6-spd,Rear-Wheel Drive,6,3.2,Premium,22,16
14790,Acura,NSX,1999,Two Seaters,Automatic 4-spd,Rear-Wheel Drive,6,3,Premium,22,16
14791,Acura,NSX,1999,Two Seaters,Manual 6-spd,Rear-Wheel Drive,6,3.2,Premium,22,16
15589,Acura,NSX,2000,Two Seaters,Automatic 4-spd,Rear-Wheel Drive,6,3,Premium,22,15
15590,Acura,NSX,2000,Two Seaters,Manual 6-spd,Rear-Wheel Drive,6,3.2,Premium,22,15
16425,Acura,NSX,2001,Two Seaters,Automatic (S4),Rear-Wheel Drive,6,3,Premium,22,15
16426,Acura,NSX,2001,Two Seaters,Manual 6-spd,Rear-Wheel Drive,6,3.2,Premium,22,15
17332,Acura,NSX,2002,Two Seaters,Automatic (S4),Rear-Wheel Drive,6,3,Premium,22,15
17333,Acura,NSX,2002,Two Seaters,Manual 6-spd,Rear-Wheel Drive,6,3.2,Premium,22,15
18292,Acura,NSX,2003,Two Seaters,Automatic (S4),Rear-Wheel Drive,6,3,Premium,22,15
18293,Acura,NSX,2003,Two Seaters,Manual 6-spd,Rear-Wheel Drive,6,3.2,Premium,22,15
19332,Acura,NSX,2004,Two Seaters,Automatic (S4),Rear-Wheel Drive,6,3,Premium,22,16
19333,Acura,NSX,2004,Two Seaters,Manual 6-spd,Rear-Wheel Drive,6,3.2,Premium,22,16
20451,Acura,NSX,2005,Two Seaters,Automatic (S4),Rear-Wheel Drive,6,3,Premium,22,16
20452,Acura,NSX,2005,Two Seaters,Manual 6-spd,Rear-Wheel Drive,6,3.2,Premium,22,16
29364,Acura,RDX 2WD,2010,Sport Utility Vehicle - 2WD,Automatic (S5),Front-Wheel Drive,4,2.3,Premium,24,19
30430,Acura,RDX 2WD,2011,Sport Utility Vehicle - 2WD,Automatic (S5),Front-Wheel Drive,4,2.3,Premium,24,19
31900,Acura,RDX 2WD,2012,Sport Utility Vehicle - 2WD,Automatic (S5),Front-Wheel Drive,4,2.3,Premium,24,19
32634,Acura,RDX 2WD,2013,Small Sport Utility Vehicle 2WD,Automatic (S6),Front-Wheel Drive,6,3.5,Premium,28,20
33523,Acura,RDX 2WD,2014,Small Sport Utility Vehicle 2WD,Automatic (S6),Front-Wheel Drive,6,3.5,Premium,28,20
34839,Acura,RDX 2WD,2015,Small Sport Utility Vehicle 2WD,Automatic (S6),Front-Wheel Drive,6,3.5,Premium,28,20
23772,Acura,RDX 4WD,2007,Sport Utility Vehicle - 4WD,Automatic (S5),4-Wheel or All-Wheel Drive,4,2.3,Premium,22,17
25013,Acura,RDX 4WD,2008,Sport Utility Vehicle - 4WD,Automatic (S5),4-Wheel or All-Wheel Drive,4,2.3,Premium,22,17
25659,Acura,RDX 4WD,2009,Sport Utility Vehicle - 4WD,Automatic (S5),4-Wheel or All-Wheel Drive,4,2.3,Premium,22,17
29366,Acura,RDX 4WD,2010,Sport Utility Vehicle - 4WD,Automatic (S5),All-Wheel Drive,4,2.3,Premium,22,17
30567,Acura,RDX 4WD,2011,Sport Utility Vehicle - 4WD,Automatic (S5),All-Wheel Drive,4,2.3,Premium,22,17
31946,Acura,RDX 4WD,2012,Sport Utility Vehicle - 4WD,Automatic (S5),All-Wheel Drive,4,2.3,Premium,22,17
32635,Acura,RDX 4WD,2013,Small Sport Utility Vehicle 4WD,Automatic (S6),All-Wheel Drive,6,3.5,Premium,27,19
33524,Acura,RDX 4WD,2014,Small Sport Utility Vehicle 4WD,Automatic (S6),All-Wheel Drive,6,3.5,Premium,27,19
34843,Acura,RDX 4WD,2015,Small Sport Utility Vehicle 4WD,Automatic (S6),All-Wheel Drive,6,3.5,Premium,27,19
20832,Acura,RL,2005,Midsize Cars,Automatic (S5),4-Wheel or All-Wheel Drive,6,3.5,Premium,24,16
21914,Acura,RL,2006,Midsize Cars,Automatic (S5),4-Wheel or All-Wheel Drive,6,3.5,Premium,24,16
23550,Acura,RL,2007,Midsize Cars,Automatic (S5),4-Wheel or All-Wheel Drive,6,3.5,Premium,24,16
24345,Acura,RL,2008,Midsize Cars,Automatic (S5),4-Wheel or All-Wheel Drive,6,3.5,Premium,24,16
25266,Acura,RL,2009,Midsize Cars,Automatic (S5),4-Wheel or All-Wheel Drive,6,3.7,Premium,22,16
28619,Acura,RL,2010,Midsize Cars,Automatic (S5),All-Wheel Drive,6,3.7,Premium,22,16
30850,Acura,RL,2011,Midsize Cars,Automatic (S6),All-Wheel Drive,6,3.7,Premium,24,17
32066,Acura,RL,2012,Midsize Cars,Automatic (S6),All-Wheel Drive,6,3.7,Premium,24,17
33517,Acura,RLX,2014,Midsize Cars,Automatic (S6),Front-Wheel Drive,6,3.5,Premium,31,20
34596,Acura,RLX Hybrid,2014,Midsize Cars,Automatic (S7),All-Wheel Drive,6,3.5,Premium,32,28
17406,Acura,RSX,2002,Subcompact Cars,Manual 5-spd,Front-Wheel Drive,4,2,Regular,30,23
17407,Acura,RSX,2002,Subcompact Cars,Manual 6-spd,Front-Wheel Drive,4,2,Premium,28,21
17408,Acura,RSX,2002,Subcompact Cars,Automatic (S5),Front-Wheel Drive,4,2,Regular,30,21
18390,Acura,RSX,2003,Subcompact Cars,Manual 5-spd,Front-Wheel Drive,4,2,Regular,30,24
18391,Acura,RSX,2003,Subcompact Cars,Manual 6-spd,Front-Wheel Drive,4,2,Premium,28,21
18392,Acura,RSX,2003,Subcompact Cars,Automatic (S5),Front-Wheel Drive,4,2,Regular,30,21
19445,Acura,RSX,2004,Subcompact Cars,Manual 5-spd,Front-Wheel Drive,4,2,Regular,30,24
19446,Acura,RSX,2004,Subcompact Cars,Manual 6-spd,Front-Wheel Drive,4,2,Premium,28,21
19447,Acura,RSX,2004,Subcompact Cars,Automatic (S5),Front-Wheel Drive,4,2,Regular,31,22
20584,Acura,RSX,2005,Subcompact Cars,Manual 5-spd,Front-Wheel Drive,4,2,Regular,31,24
20585,Acura,RSX,2005,Subcompact Cars,Manual 6-spd,Front-Wheel Drive,4,2,Premium,28,20
20586,Acura,RSX,2005,Subcompact Cars,Automatic (S5),Front-Wheel Drive,4,2,Regular,31,22
21706,Acura,RSX,2006,Subcompact Cars,Manual 5-spd,Front-Wheel Drive,4,2,Regular,31,24
21707,Acura,RSX,2006,Subcompact Cars,Manual 6-spd,Front-Wheel Drive,4,2,Premium,28,20
21708,Acura,RSX,2006,Subcompact Cars,Automatic (S5),Front-Wheel Drive,4,2,Regular,31,22
13190,Acura,SLX,1996,Special Purpose Vehicles,Automatic 4-spd,4-Wheel or All-Wheel Drive,6,3.2,Regular,17,13
13191,Acura,SLX,1996,Special Purpose Vehicles,Manual 5-spd,4-Wheel or All-Wheel Drive,6,3.2,Regular,17,14
13919,Acura,SLX,1997,Special Purpose Vehicles,Automatic 4-spd,4-Wheel or All-Wheel Drive,6,3.2,Regular,17,13
13920,Acura,SLX,1997,Special Purpose Vehicles,Manual 5-spd,4-Wheel or All-Wheel Drive,6,3.2,Regular,17,14
14705,Acura,SLX,1998,Special Purpose Vehicle 4WD,Automatic 4-spd,4-Wheel or All-Wheel Drive,6,3.5,Regular,18,13
15505,Acura,SLX,1999,Sport Utility Vehicle - 4WD,Automatic 4-spd,4-Wheel or All-Wheel Drive,6,3.5,Regular,18,13
19711,Acura,TL,2004,Midsize Cars,Manual 6-spd,Front-Wheel Drive,6,3.2,Premium,28,18
19712,Acura,TL,2004,Midsize Cars,Automatic (S5),Front-Wheel Drive,6,3.2,Premium,26,18
20833,Acura,TL,2005,Midsize Cars,Manual 6-spd,Front-Wheel Drive,6,3.2,Premium,26,18
20834,Acura,TL,2005,Midsize Cars,Automatic (S5),Front-Wheel Drive,6,3.2,Premium,26,18
21915,Acura,TL,2006,Midsize Cars,Manual 6-spd,Front-Wheel Drive,6,3.2,Premium,26,18
21916,Acura,TL,2006,Midsize Cars,Automatic (S5),Front-Wheel Drive,6,3.2,Premium,26,18
23551,Acura,TL,2007,Midsize Cars,Automatic (S5),Front-Wheel Drive,6,3.2,Premium,26,18
23552,Acura,TL,2007,Midsize Cars,Manual 6-spd,Front-Wheel Drive,6,3.5,Premium,27,18
23553,Acura,TL,2007,Midsize Cars,Automatic (S5),Front-Wheel Drive,6,3.5,Premium,26,17
24346,Acura,TL,2008,Midsize Cars,Automatic (S5),Front-Wheel Drive,6,3.2,Premium,26,18
24347,Acura,TL,2008,Midsize Cars,Manual 6-spd,Front-Wheel Drive,6,3.5,Premium,27,18
24348,Acura,TL,2008,Midsize Cars,Automatic (S5),Front-Wheel Drive,6,3.5,Premium,26,17
26252,Acura,TL 2WD,2009,Midsize Cars,Automatic (S5),Front-Wheel Drive,6,3.5,Premium,26,18
29716,Acura,TL 2WD,2010,Midsize Cars,Automatic (S5),Front-Wheel Drive,6,3.5,Premium,26,18
30657,Acura,TL 2WD,2011,Midsize Cars,Automatic (S5),Front-Wheel Drive,6,3.5,Premium,26,18
31209,Acura,TL 2WD,2012,Midsize Cars,Automatic (S6),Front-Wheel Drive,6,3.5,Premium,29,20
33160,Acura,TL 2WD,2013,Midsize Cars,Automatic (S6),Front-Wheel Drive,6,3.5,Premium,29,20
34341,Acura,TL 2WD,2014,Midsize Cars,Automatic (S6),Front-Wheel Drive,6,3.5,Premium,29,20
26253,Acura,TL 4WD,2009,Midsize Cars,Automatic (S5),4-Wheel or All-Wheel Drive,6,3.7,Premium,25,17
29717,Acura,TL 4WD,2010,Midsize Cars,Manual 6-spd,All-Wheel Drive,6,3.7,Premium,25,17
29718,Acura,TL 4WD,2010,Midsize Cars,Automatic (S5),All-Wheel Drive,6,3.7,Premium,25,17
30658,Acura,TL 4WD,2011,Midsize Cars,Manual 6-spd,All-Wheel Drive,6,3.7,Premium,25,17
30659,Acura,TL 4WD,2011,Midsize Cars,Automatic (S5),All-Wheel Drive,6,3.7,Premium,25,17
31210,Acura,TL 4WD,2012,Midsize Cars,Automatic (S6),All-Wheel Drive,6,3.7,Premium,26,18
31211,Acura,TL 4WD,2012,Midsize Cars,Manual 6-spd,All-Wheel Drive,6,3.7,Premium,25,17
33161,Acura,TL 4WD,2013,Midsize Cars,Manual 6-spd,All-Wheel Drive,6,3.7,Premium,25,17
33162,Acura,TL 4WD,2013,Midsize Cars,Automatic (S6),All-Wheel Drive,6,3.7,Premium,26,18
34342,Acura,TL 4WD,2014,Midsize Cars,Automatic (S6),All-Wheel Drive,6,3.7,Premium,26,18
