cust_id,sales_total,num_of_orders,gender
100398,132.08,2,F
100399,102.53,2,M
100400,90.83,3,M
100401,193.14,1,F
100402,1160.46,7,F
100403,86.67,2,F
100404,39.93,1,M
100405,55.79,2,F
100406,233.91,1,M
100407,793.39,5,F
100408,44.13,1,F
100409,177.69,2,M
100410,225.38,2,M
100411,243.57,2,F
100412,121.12,1,F
100413,105.11,1,F
100414,33.06,2,M
100415,82.37,3,F
100416,367.26,1,M
100417,65.99,3,F
100418,320.7,3,M
100419,129.35,3,M
100420,327.2,4,M
100421,174.86,3,M
100422,171,3,M
100423,46.22,1,M
100424,39.32,2,F
100425,184.26,2,M
100426,838,5,F
100427,242.14,1,F
100428,148.3,1,M
100429,965.25,4,M
100430,87.59,3,M
100431,325.17,3,M
100432,66.19,3,F
100433,36.31,1,M
100434,37.26,1,F
100435,344.5,2,F
100436,216.73,1,M
100437,313.78,2,F
100438,494.12,1,M
100439,43.14,2,F
100440,89.52,2,F
100441,77.80857746,1,F
100442,191.89,2,F
100443,184.8,2,M
100444,163.6,1,F
100445,195.04,2,F
100446,98.05,1,F
100447,58.72,3,M
100448,31.16805691,3,M
100449,178.06,1,M
100450,221.58,4,M
100451,140.27,3,F
100452,102.89,2,M
100453,485.52,3,F
100454,2016.62,12,F
100455,52.77,1,F
100456,576.11,6,F
100457,157.26,2,F
100458,107.98,1,M
100459,1133.4,8,F
100460,51.13,2,M
100461,373.56,4,M
100462,55.65,1,F
100463,39.87,2,F
100464,228.2,1,F
100465,97.58,2,F
100466,447.17,3,M
100467,59.18,2,M
100468,32.53,1,M
100469,178.7,3,M
100470,352.52,3,F
100471,230.63,2,F
100472,582.35,2,M
100473,38.64,1,M
100474,234.31,3,M
100475,121.19,3,F
100476,256.81,1,F
100477,554.85,3,M
100478,105.71,3,M
100479,93.47,1,M
100480,663.84,3,F
100481,95.88,2,M
100482,83.63,2,F
100483,165.98,1,F
100484,304.63,1,M
100485,68.11,2,M
100486,51.29,1,M
100487,55.81,1,M
100488,75.08389264,1,F
100489,127.36,2,F
100490,176.21,1,M
100491,104.19,2,M
100492,31.17,2,F
100493,1406.28,10,M
100494,116.59,2,M
100495,74.78,3,M
100496,296.2,1,M
100497,1082.74,9,M
100498,80.31,2,F
100499,40.7,2,F
100500,33.82,2,M
100501,87.73,1,F
100502,282.77,3,F
100503,159.69,1,F
100504,72.88,1,F
100505,102.81,2,F
100506,150.43,1,M
100507,203.48,3,M
100508,114.4,1,F
100509,71.44066462,1,F
100510,500.1,2,F
100511,68.52,2,F
100512,241.71,2,F
100513,52.9,3,M
100514,56.78,2,F
100515,111.8,2,M
100516,155.08,2,F
100517,342.29,4,M
100518,62.29,2,M
100519,667.34,3,M
100520,287.92,2,M
100521,54.9,2,F
100522,289.94,3,M
100523,45.81,1,M
100524,110.47,3,M
100525,210.57,3,M
100526,123.88,2,F
100527,278.74,3,M
100528,797.73,3,M
100529,54.61,3,M
100530,883.65,6,M
100531,88.51,1,M
100532,372.31,2,M
100533,142.86,2,F
100534,512.95,4,F
100535,161.63,2,M
100536,106.02,2,F
100537,309.02,2,M
100538,982.78,2,M
100539,511.45,4,F
100540,90.98,3,F
100541,472.12,4,M
100542,189.36,2,F
100543,84.4,2,F
100544,599.41,4,F
100545,386.86,3,F
100546,153.89,2,F
100547,272.21,4,M
100548,331.81,1,F
100549,862.94,3,M
100550,227.01,2,F
100551,107.18,1,M
100552,93.45,1,F
100553,380.54,3,F
100554,566.28,4,F
100555,53.73,2,F
100556,463.6,1,F
100557,790.77,5,M
100558,289.91,2,F
100559,90.17,2,F
100560,107.61,3,M
100561,319.29,3,M
100562,166.21,1,M
100563,41.3,1,M
100564,942.67,5,F
100565,190.05,3,M
100566,191.8,2,F
100567,199.49,1,M
100568,160.48,1,M
100569,345.15,2,F
100570,175.25,3,M
100571,104.6,3,F
100572,46.94,2,F
100573,95.01,3,M
100574,50.31,1,F
100575,197.74,2,F
100576,238.88,3,F
100577,35.55,2,M
100578,46.28,2,F
100579,194.36,3,F
100580,621.54,4,F
100581,963.15,5,M
100582,197.88,1,M
100583,504.97,3,F
100584,111.16,3,F
100585,394.44,1,M
100586,476.62,2,M
100587,102.36,1,F
100588,873.21,6,M
100589,491.69,4,M
100590,80.3,2,F
100591,367.29,3,M
100592,85.89,2,F
100593,53.99,1,M
100594,701.36,4,F
100595,36.69733979,1,M
100596,367.32,2,F
100597,141.25,1,F
100598,172.8,2,F
100599,783.15,3,M
100600,116.95,3,F
100601,50.58,3,F
100602,83.43,3,M
100603,40.36,1,F
100604,102.35,3,M
100605,30.15,1,M
100606,136.45,3,M
100607,31.14663724,1,M
100608,46.93,1,F
100609,1086.8,5,F
100610,97.99,1,M
100611,105.82,3,F
100612,394.04,3,F
100613,626.92,4,M
100614,82.41,1,M
100615,182.27,3,M
100616,137.28,3,M
100617,138.92,2,M
100618,505.15,6,M
100619,215.16,2,F
100620,860.13,3,M
100621,79.65,2,M
100622,47.65,2,M
100623,72.02,1,M
100624,198.71,2,M
100625,352.41,2,M
100626,55.38,2,F
100627,69.61,1,F
100628,454.98,2,M
100629,314.35,1,F
100630,433.69,3,F
100631,261.25,2,M
100632,192.89,3,M
100633,88.08,2,F
100634,700.97,5,M
100635,945.51,3,F
100636,57.73,3,M
100637,66.66,1,M
100638,341.17,2,M
100639,53.24076604,1,M
100640,77.23,3,M
100641,201.73,2,F
100642,806.59,6,M
100643,243.65,2,F
100644,935.42,3,F
100645,95.12071008,2,F
100646,97.8328137,2,F
100647,228.02,2,F
100648,76.92,2,F
100649,58.23353321,1,M
100650,210.7,1,M
100651,332.38,4,M
100652,719.27,4,F
100653,200.85,4,F
100654,284.14,3,F
100655,357.69,4,F
100656,132.81,3,F
100657,156.31,2,F
100658,234.38,2,M
100659,43.55,2,M
100660,151.09,1,F
100661,300.71,3,M
100662,631.37,3,M
100663,44.93,2,F
100664,152.56,2,F
100665,227.57,1,F
100666,79.38,3,M
100667,485.3,1,M
100668,43.59,1,F
100669,110.05,1,M
100670,179.11,2,M
100671,154,2,F
100672,220.86,3,M
100673,275.14,2,M
100674,212,2,M
100675,67.7,2,F
100676,154.83,2,F
100677,214.13,2,F
100678,93.25,3,F
100679,453.08,4,F
100680,62.97,3,M
100681,40.01,2,M
100682,318.67,4,M
100683,257,2,M
100684,142.21,1,F
100685,619.89,4,F
100686,124.24,3,M
100687,101.43,2,M
100688,240.79,3,M
100689,57.87,2,M
100690,62.67,2,F
100691,235.52,3,M
100692,31.1,2,M
100693,64.65,2,F
100694,612.91,5,M
100695,653.24,3,F
100696,884.12,2,M
100697,358.69,3,M
100698,40.6,1,F
100699,48.96,1,M
100700,75.87,2,M
100701,285.85,4,M
100702,89.8,3,F
100703,543.81,3,F
100704,258.12,2,M
100705,453.13,4,M
100706,359.72,2,F
100707,178.83,1,M
100708,84.28,2,F
100709,40.29,2,M
100710,167.67,3,F
100711,118.53,2,M
100712,261.68,3,M
100713,92,1,F
100714,56.22,3,F
100715,58.98,2,M
100716,454.56,3,M
100717,558.31,5,M
100718,53.8,2,F
100719,140.74,2,M
100720,406.68,1,M
100721,1568.75,9,M
100722,30.54,2,F
100723,207.01,3,M
100724,46.32,1,M
100725,277.32,3,M
100726,135.57,3,M
100727,147.36,2,M
100728,123.01,1,M
100729,553.37,3,M
100730,91.52,1,F
100731,132.97,1,F
100732,69.38,1,M
100733,746.41,5,F
100734,126.7,2,M
100735,33.2,2,M
100736,41.6492214,3,F
100737,55.06,3,F
100738,294.73,1,F
100739,90.59,1,M
100740,38.61,1,M
100741,305.49,3,M
100742,88.66,1,M
100743,207.17,3,M
100744,78.76,2,F
100745,416.12,1,M
100746,156.93,2,F
100747,47.23,2,F
100748,185.53,2,F
100749,147.59,1,F
100750,58.34304227,2,F
100751,101.78,3,M
100752,266.19,4,M
100753,88.38,2,M
100754,361.51,2,M
100755,379.99,1,F
100756,284.65,2,F
100757,35.96,2,M
100758,32.35,1,F
100759,72.74915621,1,F
100760,337.8,2,F
100761,281.79,2,F
100762,384.98,2,M
100763,129.24,1,F
100764,97.48,3,F
100765,251.69,1,M
100766,274.29,3,M
100767,185.46,2,F
100768,535.98,4,F
100769,283.1,4,M
100770,130.71,3,F
100771,367.74,2,M
100772,141.55,1,F
100773,248.46,2,M
100774,603.75,4,M
100775,70.28,3,M
100776,583.64,6,F
100777,151.73,2,M
100778,962.84,3,M
100779,45.9,2,M
100780,257.89,1,F
100781,544.54,2,M
100782,2393.59,8,F
100783,50.35,2,F
100784,272.22,1,F
100785,253.57,2,F
100786,120.28,2,M
100787,30.93,1,M
100788,212.82,3,M
100789,627.31,5,M
100790,260.57,1,M
100791,348.92,2,M
100792,154.04,3,M
100793,441.94,1,F
100794,333.83,2,F
100795,104.25,3,F
100796,48.74,2,F
100797,128.91,1,F
100798,241.8,4,M
100799,161.59,3,M
100800,34.6923095,2,F
100801,223.39,1,M
100802,235.61,1,F
100803,262.56,2,F
100804,104.71,3,M
100805,643.36,5,M
100806,201.78,2,M
100807,377.48,3,M
100808,189.73,2,F
100809,125.88,2,M
100810,46.28,1,F
100811,256.52,4,M
100812,31.86834681,2,F
100813,91.41,3,F
100814,74.65,1,F
100815,289.9,3,M
100816,338.15,3,M
100817,272.81,3,F
100818,69.9,1,F
100819,215.17,4,M
100820,174.59,3,F
100821,65.55,2,F
100822,216.42,2,F
100823,72.26,2,M
100824,268.21,4,M
100825,617.75,6,M
100826,461.98,2,M
100827,381.33,2,F
100828,107.32,2,F
100829,178.33,2,M
100830,1308.77,6,F
100831,183.14,2,M
100832,245.53,3,F
100833,71.54514901,2,F
100834,921.29,2,F
100835,165.21,2,F
100836,437.48,2,M
100837,63.94890392,1,M
100838,85.12,1,M
100839,43.5,1,M
100840,946.92,6,M
100841,380.26,3,F
100842,58.25,2,F
100843,194.81,2,F
100844,164.2,1,F
100845,199.94,2,M
100846,178.22,3,M
100847,35.29851392,3,M
100848,113.02,2,F
100849,135.56,2,M
100850,75.9,2,F
100851,57.13,2,F
100852,35.38,1,F
100853,584.13,3,M
100854,132.35,3,F
100855,410.39,2,M
100856,1170.98,5,M
100857,61.32,2,F
100858,138.96,2,M
100859,50.25,2,F
100860,71.28,2,F
100861,176.57,2,M
100862,1320.8,8,F
100863,78.17,2,M
100864,83.85,3,M
100865,95.59,2,F
100866,996.59,5,M
100867,176.42,2,F
100868,37.05,1,M
100869,180.57,2,F
100870,258.62,2,M
100871,407.4,3,M
100872,295.95,3,F
100873,328.93,3,M
100874,1048.72,5,F
100875,296.93,1,F
100876,83.83,2,M
100877,50.6,3,F
100878,78.46,3,F
100879,348.72,1,F
100880,129.61,1,F
100881,262.41,3,M
100882,46.52,2,M
100883,335.36,2,F
100884,123.06,2,M
100885,3649.93,10,F
100886,435.76,2,F
100887,1253.28,10,M
100888,768.22,5,F
100889,48.36,1,M
100890,154.65,2,M
100891,903.43,6,F
100892,324.56,2,F
100893,58.97,3,M
100894,270.23,3,F
100895,121.93,2,F
100896,95.06,3,F
100897,1442.13,7,M
100898,211.4,2,M
100899,81.01,2,F
100900,1516.49,6,F
100901,370.79,1,M
100902,454.36,3,M
100903,60.37,2,F
100904,223.41,2,M
100905,121.64,2,M
100906,96.19,3,F
100907,102.76,1,F
100908,96.32,1,M
100909,81.47605326,1,M
100910,150.55,1,F
100911,243.21,3,F
100912,67.18,1,M
100913,40.71,2,F
100914,232.83,3,F
100915,135.52,3,M
100916,80.05,3,F
100917,411.76,2,M
100918,374.56,4,M
100919,296.4,3,F
100920,75.63,3,M
100921,163.86,3,F
100922,36.39,1,M
100923,81.51053117,2,F
100924,45.44,2,F
100925,166.33,3,M
100926,118.36,1,F
100927,567.31,5,F
100928,381.4,4,M
100929,151.61,2,M
100930,48.93,1,M
100931,73.91,2,M
100932,118.35,2,M
100933,216,3,F
100934,192.98,2,F
100935,96.65,3,F
100936,118.69,1,M
100937,150.18,2,F
100938,95.46,2,F
100939,166.14,2,M
100940,70.81,3,F
100941,909.4,3,M
100942,57.44,2,F
100943,1770.28,9,M
100944,311.86,4,F
100945,147.43,1,M
100946,86.26,1,F
100947,194.86,2,M
100948,212.16,2,M
100949,47.7,1,F
100950,232.27,3,M
100951,266.84,3,M
100952,97.6,2,F
100953,56.22,2,F
100954,85.66,2,M
100955,32.8,1,F
100956,131.36,2,F
100957,220.04,3,F
100958,237.34,1,F
100959,30.06,1,M
100960,274.5,1,F
100961,105.2,1,M
100962,840.26,6,M
100963,48.14,2,M
100964,77.89,2,F
100965,124.6,1,F
100966,77.43,3,M
100967,352.12,2,F
100968,334.25,3,F
100969,66.29,3,F
100970,495.6,2,M
100971,263.15,4,F
100972,783.78,5,F
100973,209.81,3,M
100974,294.86,1,M
100975,59.16,2,F
100976,33.35,2,F
100977,155.71,3,F
100978,34.28,2,F
100979,88.21,1,M
100980,47.28,2,F
100981,107.11,2,F
100982,263.42,3,F
100983,72.29,2,M
100984,134.74,2,M
100985,158.01,1,F
100986,162.37,2,M
100987,217.38,4,M
100988,393.14,2,M
100989,713.59,4,F
100990,67.86,2,M
100991,590.43,3,F
100992,579.76,4,M
100993,1020.63,8,M
100994,386.89,4,M
100995,61.87,2,F
100996,206.56,2,M
100997,77.75,2,M
100998,33.07,1,M
100999,57.08,2,F
101000,525.08,6,M
101001,229.16,2,F
101002,289.22,1,M
101003,103.6,3,M
101004,258.63,1,F
101005,105.31,1,F
101006,168.56,2,F
101007,567.66,4,M
101008,51.37,1,F
101009,263.88,3,F
101010,542.63,2,M
101011,288.09,1,M
101012,203.18,3,F
101013,615.53,3,F
101014,101.01,3,F
101015,78.38011838,2,F
101016,539.7,3,M
101017,61.47332991,2,F
101018,152.46,2,F
101019,286.36,2,F
101020,239.63,3,F
101021,70.51,3,M
101022,238.4,3,F
101023,124.94,2,F
101024,174.22,2,M
101025,256.5,2,M
101026,788.49,3,M
101027,75,2,F
101028,238.86,4,F
101029,259.12,3,F
101030,320.56,3,F
101031,61.79,2,M
101032,97.13,2,M
101033,51.41,2,M
101034,69.35,3,M
101035,71.03,2,F
101036,105.17,3,M
101037,432.92,2,M
101038,38.89,1,F
101039,104.3,2,M
101040,36.55,1,F
101041,49.11,1,M
101042,373.88,1,M
101043,97.33,1,F
101044,254.76,4,F
101045,229.82,2,F
101046,275.73,2,M
101047,83.52,1,F
101048,149.8,1,F
101049,30.87,1,M
101050,345.91,2,F
101051,660.55,4,M
101052,263.12,2,M
101053,125.34,2,F
101054,109.48,1,M
101055,435.16,1,F
101056,36.93,1,F
101057,161.06,3,F
101058,345.43,2,M
101059,57.58610239,3,F
101060,110.2,1,F
101061,126.9,2,F
101062,108.33,3,M
101063,223.91,3,F
101064,138.09,1,F
101065,237.15,3,F
101066,1778.48,9,F
101067,56.75,3,F
101068,319.31,2,M
101069,603.29,6,F
101070,493.1,3,F
101071,150.36,2,F
101072,41.79,2,F
101073,653.94,3,F
101074,236.89,1,M
101075,233.41,1,M
101076,72.75,3,F
101077,448.71,1,F
101078,38.2,1,M
101079,473.27,3,F
101080,70.9526932,2,F
101081,119.87,3,F
101082,85.34,2,F
101083,76.22,1,M
101084,789.02,5,F
101085,666,3,F
101086,110.86,2,F
101087,211.67,3,F
101088,208.65,2,M
101089,138.14,2,M
101090,248.2,3,M
101091,65.37,3,M
101092,47.5,2,M
101093,73.82,1,F
101094,237.25,3,M
101095,129.17,1,F
101096,38.44,2,M
101097,79.53,2,F
101098,117.79,2,F
101099,803.16,3,M
101100,374.6,4,F
101101,493.1,3,M
101102,69.14,2,F
101103,130.82,2,M
101104,56.95,3,M
101105,44.35,1,F
101106,222.72,3,F
101107,129.79,3,F
101108,195.87,2,M
101109,554.33,5,F
101110,90.5,2,F
101111,408.78,4,F
101112,117.12,2,F
101113,46.59,1,F
101114,977,4,M
101115,221.36,3,F
101116,57.41,1,F
101117,154.01,3,F
101118,178.06,2,M
101119,83.88,2,F
101120,68.75,2,M
101121,67.07,2,F
101122,157.58,3,F
101123,100.5,3,F
101124,84.99,2,F
101125,78.27,2,F
101126,64.42,2,M
101127,383.42,3,F
101128,218.57,2,F
101129,153.81,2,M
101130,97.77,3,M
101131,152.54,3,M
101132,148.19,1,F
101133,59.13,2,M
101134,130.83,3,M
101135,94.41,1,M
101136,98.26,2,F
101137,520.56,2,F
101138,45.27861091,1,F
101139,135.28,2,M
101140,89.52,1,M
101141,141.03,2,F
101142,391.13,2,M
101143,2115.19,5,F
101144,176.56,2,F
101145,172.19,2,M
101146,190.52,2,F
101147,39.33,2,M
101148,505.05,4,M
101149,90.72,1,F
101150,49.79,2,F
101151,40.37,1,F
101152,86.21,2,F
101153,156.98,2,M
101154,147.25,2,M
101155,64.12,2,F
101156,51.92,2,F
101157,412.12,1,M
101158,390.59,3,M
101159,197.66,3,F
101160,240.99,2,F
101161,85.07,3,F
101162,184.23,2,M
101163,154.41,2,F
101164,199.44,2,F
101165,544.77,3,M
101166,68.51,2,M
101167,54.56,2,M
101168,93.61,1,M
101169,77.63,3,F
101170,228.65,2,M
101171,176.4,3,M
101172,433.34,2,F
101173,235.19,2,F
101174,443.53,4,M
101175,173.33,2,M
101176,46.83,1,F
101177,880.21,6,M
101178,1062.55,5,M
101179,57.57,3,M
101180,327.18,4,M
101181,299.06,1,M
101182,147.44,3,M
101183,95.62,2,M
101184,314.52,3,F
101185,96.94,1,F
101186,44.48,2,F
101187,112.59,3,M
101188,81.92,1,M
101189,471.4,3,F
101190,798.61,4,F
101191,203.89,3,F
101192,316.95,2,M
101193,168.43,2,F
101194,64.34,3,M
101195,183.86,1,F
101196,267.05,1,F
101197,253.38,3,F
101198,639.57,5,F
101199,46.18,1,M
101200,179.28,2,M
101201,300.3,2,M
101202,106.17,1,F
101203,39.61,1,M
101204,241.74,4,M
101205,694.78,5,F
101206,262.72,3,M
101207,553.63,6,M
101208,262.75,2,F
101209,43.87,1,F
101210,144.37,2,F
101211,293.97,3,F
101212,75.78,3,M
101213,114.42,2,F
101214,117.89,2,F
101215,238.5,3,M
101216,38.60862282,2,F
101217,77.45,1,F
101218,723.43,2,M
101219,110.32,2,M
101220,129.92,1,M
101221,50.7,2,F
101222,173.19,2,F
101223,45.75,1,F
101224,1851.2,8,M
101225,453.55,4,M
101226,515.56,4,F
101227,83.46,2,M
101228,40.12,2,M
101229,302.96,2,F
101230,331.74,2,F
101231,355.54,3,F
101232,70.07,1,M
101233,44.06,2,M
101234,436.47,2,F
101235,692.51,5,M
101236,1312.78,5,M
101237,89.75,3,F
101238,2030.63,11,M
101239,166.94,2,F
101240,82.49,3,M
101241,631.41,2,M
101242,1872.14,5,F
101243,127.45,2,M
101244,485.08,3,F
101245,269.75,2,M
101246,126.5,2,M
101247,2005.13,17,F
101248,336.36,2,M
101249,117.31,1,F
101250,144.96,2,F
101251,127.14,2,M
101252,366.2,4,F
101253,783.97,4,M
101254,186.17,3,M
101255,87.97042613,2,F
101256,106.81,2,F
101257,551.02,3,F
101258,57.6,2,F
101259,338.17,3,M
