Sex,Age,Married,Income,HoursWk,Race,USCitizen,HealthInsurance,Language
1,30,0,9,20,black,1,0,0
0,60,1,0,,white,1,1,0
1,63,1,82,32,asian,1,1,1
1,35,1,62,70,asian,1,1,1
1,22,0,0.7,25,white,1,1,0
1,16,0,0,,white,1,1,0
0,41,0,59,68,black,1,1,0
1,10,0,,,white,1,1,0
0,21,0,8,40,white,1,1,0
1,29,0,2,20,asian,0,0,1
1,17,0,0,,white,1,1,0
0,68,1,0,,white,1,1,0
1,31,0,22.1,45,white,1,1,0
1,40,1,30,45,white,1,1,0
0,45,0,25,40,white,1,1,0
1,5,0,,,other,1,1,1
0,19,0,2,25,white,1,1,0
0,86,1,0,,white,1,1,0
0,41,0,31.2,40,white,1,1,0
0,26,1,51,45,white,1,1,0
0,32,1,0,,white,1,1,0
0,33,0,0,,white,1,1,0
0,77,0,0,,white,1,1,0
0,9,0,,,white,1,1,0
1,30,1,16,20,other,0,0,1
0,54,0,0,,white,1,1,0
0,23,0,0,,white,1,0,0
0,37,1,28.9,40,white,1,1,0
0,0,0,,,white,1,1,0
0,46,1,0.8,23,white,1,1,0
0,3,0,,,black,1,1,0
1,8,0,,,black,1,1,0
0,28,0,105,50,white,1,1,0
0,56,1,27,40,white,1,1,0
0,47,1,10,8,white,1,0,1
0,29,1,0,,white,1,1,0
1,21,0,0,,asian,1,0,1
0,56,1,0,,white,1,1,0
0,34,1,36,40,white,1,1,0
1,14,0,,,white,1,1,0
0,83,0,0,,white,1,1,0
0,16,0,0,,black,1,1,0
1,32,1,40,40,white,1,1,0
0,64,1,83,40,white,1,1,0
1,79,1,3.6,60,white,1,1,0
0,6,0,,,other,1,1,0
0,36,1,20,40,white,0,1,1
1,10,0,,,white,1,1,0
0,61,1,0,,white,1,1,1
1,52,0,72,36,white,1,1,0
0,59,0,0,17,white,1,1,0
1,78,0,0,,white,1,1,0
0,34,1,0.4,40,white,1,1,0
0,56,1,0,10,asian,0,0,1
0,43,1,0,,white,1,0,0
1,52,0,0,,other,1,1,0
0,62,0,5.9,25,other,1,0,0
1,51,1,2,30,asian,1,1,0
1,4,0,,,white,1,1,0
1,51,1,80,40,white,1,1,0
1,69,1,0,40,white,0,1,1
1,58,1,22.4,40,asian,1,1,1
0,3,0,,,black,1,1,0
0,47,1,9,22,white,1,1,0
0,74,0,0,,white,1,1,0
1,63,1,0,,white,1,1,0
1,6,0,,,black,1,1,0
0,75,0,7.7,32,black,1,1,0
0,16,0,0,,white,1,1,0
1,26,1,19,40,white,1,0,0
1,53,0,8,46,white,1,0,0
1,31,1,0.5,48,white,1,1,0
0,6,0,,,white,1,1,0
0,60,1,60,40,white,1,1,0
1,82,1,0.9,7,white,1,1,0
0,61,0,0,,other,1,1,0
1,66,1,37,42,white,0,1,1
0,81,1,0,,asian,1,1,1
0,47,1,0,,white,1,1,0
1,49,0,40,50,white,1,0,0
1,8,0,,,white,1,1,0
0,25,0,41,45,asian,1,1,1
0,20,0,14.4,40,white,1,0,0
1,78,1,0,,white,1,1,1
0,0,0,,,white,1,1,0
0,70,0,0,,white,1,1,0
1,29,0,30,40,white,1,1,1
0,5,0,,,black,1,1,0
1,17,0,0,,black,1,0,0
1,72,1,67,80,white,1,1,0
1,52,1,115,40,black,1,1,0
0,55,0,55,40,white,1,1,0
1,50,0,0,,asian,1,0,1
1,76,1,5,40,white,1,1,0
0,65,1,0,,white,1,1,0
1,61,1,20.2,55,white,1,1,0
1,25,0,7.7,40,white,1,1,0
0,94,0,0,,white,1,1,0
0,49,1,0,,white,1,1,0
0,67,1,15,30,white,1,1,0
0,15,0,0,,white,1,1,0
1,47,1,0,,white,1,1,0
1,54,1,0,,white,1,1,0
1,64,1,15,30,white,1,1,0
0,55,1,0,,black,1,1,0
1,46,1,0,40,white,1,1,0
1,59,1,0,,black,1,1,0
0,43,1,0,,white,1,1,0
1,44,0,0,20,asian,1,0,0
1,21,0,0,,white,1,0,0
0,9,0,,,white,1,1,0
1,73,1,8,20,white,1,1,0
1,24,0,52,44,white,1,1,0
1,8,0,,,white,1,0,1
0,19,1,0,,white,0,1,1
1,11,0,,,white,1,1,0
1,32,1,60,50,white,1,1,0
0,39,0,57,40,black,1,1,0
1,25,0,15,32,white,1,0,0
0,62,1,0,,white,1,1,0
0,19,0,1.5,25,white,1,1,0
0,18,0,0,,white,1,0,0
0,44,1,21,24,white,1,1,0
1,31,0,92,60,black,1,1,0
1,50,0,0,6,white,1,1,0
0,6,0,,,white,1,1,0
1,32,0,65,70,white,1,1,0
1,8,0,,,other,1,1,1
1,12,0,,,white,0,1,1
1,47,1,36,40,white,1,1,0
0,63,0,0,,white,1,1,0
0,42,0,60,40,black,1,1,0
1,4,0,,,white,1,1,0
1,58,1,42,40,white,1,1,1
1,61,1,108,45,white,1,1,0
0,81,0,0,,white,1,1,0
0,38,1,41,40,white,1,1,0
1,25,1,5,70,white,1,1,0
1,20,0,0,,other,1,0,1
1,60,1,37,40,white,1,1,0
0,10,0,,,white,1,0,1
1,85,1,0,,white,1,1,0
1,6,0,,,black,1,1,0
1,69,0,0,,white,1,1,1
0,10,0,,,white,1,1,0
0,77,0,0,,white,1,1,0
0,46,1,0,,white,1,1,0
0,78,1,0,,white,1,1,0
1,69,1,0,,asian,0,1,1
0,34,1,0,,other,1,1,0
1,4,0,,,asian,1,1,0
0,54,1,0,,white,1,1,0
0,70,0,0,,other,1,1,0
1,11,0,,,other,1,1,1
0,71,1,0,,white,1,1,0
1,4,0,,,black,1,1,0
0,51,1,0,,white,1,1,0
1,60,1,60,40,white,1,1,0
0,16,0,0.49,8,white,1,1,0
1,59,1,21.6,30,white,1,1,0
0,3,0,,,white,1,1,0
1,77,0,0,,white,1,1,0
0,3,0,,,white,1,1,0
1,45,0,10,50,black,1,1,0
1,53,0,0,,white,1,1,0
1,86,1,0,,white,1,1,0
1,49,1,50,37,black,1,1,0
1,13,0,,,other,1,1,1
0,27,0,2,40,asian,1,1,1
1,49,1,56,40,white,1,1,0
1,56,1,80,40,asian,1,1,1
1,28,0,28,37,asian,1,1,1
1,61,1,0,,white,1,1,1
1,54,1,46,40,asian,1,1,1
0,59,0,16,40,white,1,0,0
0,62,0,0,1,white,1,1,0
0,19,0,2.1,8,white,1,1,0
0,22,0,1.9,16,white,1,1,0
0,35,0,0,,black,1,1,0
1,6,0,,,other,0,1,1
1,16,0,0,,white,1,1,0
0,38,1,46,44,white,1,1,0
0,41,1,24.7,24,black,1,1,0
0,12,0,,,white,1,1,0
1,35,1,0,40,white,1,1,0
1,32,0,40,40,white,0,1,1
1,9,0,,,white,1,1,1
0,24,1,0,,white,1,0,0
0,27,0,14.4,30,white,1,1,0
0,53,1,29,40,white,1,1,0
0,38,0,32,40,white,1,1,0
1,36,0,0,,black,1,0,0
0,74,0,5,10,white,1,1,0
1,40,1,52,40,white,1,1,0
1,7,0,,,black,1,1,0
0,83,0,0,,white,1,1,0
0,24,0,10,35,white,1,0,1
0,50,0,13.1,50,white,1,1,0
0,76,1,0,,white,1,1,0
1,63,1,19.3,15,white,1,1,0
0,26,1,9,20,white,1,1,0
0,20,0,17,35,white,1,0,0
1,54,1,60,40,white,1,1,0
0,66,0,0,,black,1,1,0
0,42,1,0,,white,1,1,0
0,23,0,1.8,40,white,1,1,0
0,68,0,0,,white,1,1,0
0,33,0,0,,white,1,1,0
0,47,1,11,30,white,1,1,0
1,13,0,,,white,0,1,1
1,51,1,47,40,black,1,1,0
1,73,1,0,,white,1,1,0
1,23,0,5.3,35,white,1,1,0
0,4,0,,,white,1,1,0
1,0,0,,,black,1,1,0
0,78,1,0,,white,1,1,0
1,18,0,0.3,4,white,1,1,1
0,59,0,18,40,other,1,1,1
0,62,1,0,,asian,1,1,1
0,6,0,,,white,1,1,0
0,56,1,0,,white,1,1,0
0,7,0,,,black,1,1,0
0,4,0,,,white,1,1,0
0,51,0,0,,white,1,1,0
1,63,1,69,80,white,1,1,0
0,15,0,0,,white,1,1,0
0,58,1,65,55,white,1,1,0
1,0,0,,,white,1,1,0
0,53,1,110,55,white,1,1,0
1,25,0,27,40,black,1,0,0
0,72,0,0,,white,1,1,0
0,47,0,35.3,38,white,1,1,0
1,72,1,0,,white,1,1,0
0,90,0,0,,white,1,1,1
1,20,0,0.7,20,white,1,0,0
0,34,0,0,,black,1,0,0
1,2,0,,,white,1,1,0
1,32,1,0,99,white,1,0,1
1,11,0,,,white,1,1,0
0,5,0,,,white,1,1,0
1,40,0,318,40,white,1,1,0
1,13,0,,,other,1,1,0
0,25,0,23,25,white,1,1,0
0,10,0,,,white,1,1,0
1,10,0,,,white,1,1,0
1,28,0,0,,black,1,0,0
0,50,0,0,,black,1,1,0
1,22,0,0,,white,1,1,0
1,72,1,0,,white,1,1,0
0,31,1,22,30,white,1,1,0
1,10,0,,,black,1,1,0
1,58,0,0,,black,1,1,0
1,39,1,48,40,white,1,1,0
1,45,1,0.78,20,white,1,1,0
1,56,0,0,,white,1,0,0
1,67,1,0,,white,1,1,1
0,56,1,0,10,white,1,1,0
1,69,0,0,,white,1,1,0
0,10,0,,,asian,1,1,0
0,38,1,7,17,white,1,0,1
0,42,1,32,24,white,1,1,0
0,7,0,,,asian,1,1,0
0,15,0,0,,white,1,1,0
0,80,0,0,,white,1,1,1
1,62,1,19.2,8,white,1,1,0
1,41,0,0,40,white,0,0,1
0,21,0,3.8,25,white,1,1,0
0,72,1,0,,white,1,1,0
1,25,0,40,40,other,1,1,1
0,28,0,18,36,black,0,0,0
0,19,0,0,,white,1,1,0
0,75,0,0,,black,1,1,0
1,48,0,24,40,other,1,0,1
0,4,0,,,white,1,1,0
0,68,0,0,,white,1,1,0
1,50,1,41.7,40,white,1,1,1
0,59,1,0,,white,1,1,0
1,54,1,35,43,white,1,1,0
0,29,1,0,20,other,1,0,0
0,49,1,0,,white,1,1,0
1,1,0,,,white,1,1,0
1,7,0,,,asian,1,1,0
0,62,1,0,,white,1,1,0
0,59,0,48.3,40,white,1,1,0
0,16,0,0,,white,1,1,0
1,63,1,0,,asian,1,0,1
0,43,0,0,,white,1,1,0
1,6,0,,,white,1,1,0
0,0,0,,,other,0,0,0
0,28,1,36,40,white,1,1,0
0,59,0,0,,white,1,0,0
0,57,1,27,40,white,1,1,0
0,75,0,0,,white,1,1,0
0,62,1,0,,white,1,1,0
1,47,0,10.3,27,white,1,1,0
0,53,0,5,40,white,1,0,0
0,54,0,54,39,white,1,1,0
1,61,1,22.5,40,white,1,1,0
0,76,0,0,,white,1,1,0
0,59,1,16.5,40,white,1,1,0
1,27,0,45,40,white,1,1,0
1,17,0,0,,white,1,1,0
1,82,1,0,,white,1,1,0
0,67,0,0,6,white,1,1,0
1,37,0,29,40,white,1,1,0
0,71,1,0,,white,1,1,0
1,14,0,,,white,1,1,0
1,63,1,67,46,white,1,1,0
1,9,0,,,white,1,1,0
0,55,0,32,40,white,1,1,0
0,20,0,0.5,20,white,1,1,0
0,3,0,,,other,1,1,0
0,7,0,,,white,1,0,0
0,16,0,0,,white,1,0,0
0,16,0,0.1,2,white,1,1,1
1,66,1,0,,white,1,1,0
0,56,0,0,,white,1,1,1
1,7,0,,,asian,1,1,1
1,4,0,,,black,1,1,0
1,53,0,2,16,white,1,1,0
1,22,1,15,42,asian,1,1,0
0,50,1,0,,other,0,1,1
0,13,0,,,white,1,1,1
1,28,1,35,40,white,1,1,0
1,1,0,,,white,1,1,0
0,36,1,0.54,30,black,1,1,1
0,4,0,,,other,1,1,0
1,24,0,2,10,white,1,1,0
0,2,0,,,white,1,1,0
1,37,1,0,,white,1,1,0
1,29,1,0,,white,1,1,0
1,18,0,3.7,32,white,1,1,0
0,80,0,0,,white,1,1,1
0,15,0,0,,white,1,1,0
1,1,0,,,white,1,0,0
1,51,1,78,40,white,1,1,0
0,18,0,0.7,15,white,1,1,0
1,78,1,0,,white,1,1,0
1,46,0,25,55,white,1,1,1
1,39,1,80,40,white,1,1,0
1,63,1,18.2,40,black,1,1,0
0,46,1,40,56,other,1,1,1
1,45,1,45.7,40,asian,0,1,1
0,13,0,,,black,1,1,0
0,40,1,1.9,20,white,1,0,0
0,59,0,8,24,white,1,1,0
0,30,1,5,48,white,0,1,1
1,41,1,0,,white,1,1,0
0,5,0,,,white,1,1,0
0,84,1,0,,white,1,1,0
1,40,1,21.1,40,white,1,1,0
1,29,0,47,75,asian,1,1,0
0,35,1,0,,white,0,1,1
1,3,0,,,white,1,1,0
0,11,0,,,white,1,1,0
0,43,0,0,,black,1,1,0
0,29,1,32,40,white,1,1,0
0,35,1,0,,white,0,1,1
1,45,1,50,40,white,1,1,0
1,24,0,0,,black,1,0,0
1,45,0,0,,white,1,1,0
1,35,0,16,60,white,1,0,0
0,18,0,0,,black,1,1,0
1,11,0,,,white,1,1,0
0,80,0,0,,asian,1,1,0
1,14,0,,,white,1,1,0
0,41,0,25,65,white,1,1,0
1,4,0,,,white,1,1,0
1,24,0,5.6,10,white,1,1,0
1,56,0,0,,black,1,1,0
1,77,1,0,,white,1,1,0
1,57,1,27,40,white,1,1,0
1,43,1,40,40,white,0,1,1
1,40,1,42,40,white,1,1,0
1,48,1,330,65,white,1,1,0
1,43,1,52,40,other,1,1,1
1,32,1,45,50,white,1,1,0
0,66,0,0,,black,1,1,0
1,7,0,,,white,1,1,0
1,62,0,35,32,asian,1,1,1
0,71,0,0,,white,1,1,0
0,77,0,0,,asian,1,1,1
0,59,0,0,60,white,1,0,0
1,46,1,50,40,white,1,1,0
1,32,1,70,40,asian,1,1,1
1,0,0,,,white,1,1,0
0,27,0,36,45,white,1,1,0
1,14,0,,,white,1,1,0
0,21,0,6,30,white,1,1,0
1,67,1,0,,white,1,1,0
0,21,1,19,38,white,1,1,0
1,28,0,0,,white,1,1,0
0,59,1,0,,white,1,1,0
0,59,1,0,,white,0,0,1
0,26,0,0,10,white,1,1,1
1,61,1,25,50,white,1,1,0
0,19,0,7,20,white,1,1,0
1,7,0,,,white,1,1,1
0,73,1,0,,white,1,1,0
1,38,0,22,60,asian,1,1,0
1,58,1,18,40,white,1,1,0
0,9,0,,,white,1,1,0
0,27,1,0,40,white,0,0,1
1,49,0,0,,white,1,0,0
0,13,0,,,white,1,1,1
0,49,1,22.7,36,white,1,1,0
1,13,0,,,black,1,1,0
0,41,1,110,40,black,1,1,0
1,53,0,26,40,white,1,1,0
1,49,0,32,40,white,1,1,0
0,20,0,3.5,15,white,1,1,0
1,10,0,,,white,1,0,0
0,7,0,,,other,1,1,0
1,33,0,125,40,white,1,1,1
0,74,1,0,,black,1,1,0
1,20,0,0,,white,1,0,1
0,15,0,0,,white,1,1,1
1,44,1,96,40,white,1,1,1
0,50,0,40,99,white,1,0,0
0,90,0,0,,white,1,1,0
0,50,1,0,,other,1,0,1
1,38,1,80,40,white,1,1,0
0,16,0,0,,white,1,1,0
0,55,1,6,40,white,1,1,0
1,49,1,45.6,35,white,1,1,0
0,2,0,,,white,1,1,0
0,78,0,0,,white,1,1,0
1,6,0,,,white,1,1,0
0,52,1,16,15,white,1,1,1
0,37,1,13,40,white,1,1,1
1,58,1,36,40,white,1,1,0
0,3,0,,,white,1,1,0
0,69,1,0,,asian,1,1,1
0,66,1,48,40,white,1,1,0
0,53,1,55,40,asian,1,1,1
0,82,0,0,,white,1,1,0
0,5,0,,,asian,1,1,0
1,24,0,48,48,other,1,1,1
1,1,0,,,black,1,1,0
1,35,1,40,40,white,1,0,0
0,25,1,40,40,white,1,1,0
1,36,1,80,80,other,1,1,0
0,13,0,,,white,1,1,0
0,68,0,13,24,white,1,1,0
1,63,1,0,,asian,0,1,1
1,5,0,,,black,1,1,0
0,47,1,23.6,40,white,1,1,0
0,25,0,26.9,40,white,1,1,0
0,48,1,8.5,40,white,1,1,0
0,63,1,26,40,asian,1,1,1
0,3,0,,,other,1,1,0
1,6,0,,,white,1,1,0
0,41,1,0,,white,0,0,1
0,4,0,,,white,1,1,0
0,16,0,0,,white,1,1,0
0,25,0,15,60,asian,1,1,1
1,64,0,20,40,white,1,1,0
0,61,1,0,30,white,1,0,0
1,21,0,25,24,asian,1,1,1
0,29,0,40,40,white,1,1,0
0,0,0,,,white,1,1,0
1,72,1,0,,white,1,1,0
0,53,0,176,50,white,1,1,0
0,19,0,6.6,15,black,1,1,0
0,19,0,9.6,32,white,1,1,0
1,53,1,5,16,asian,1,0,1
1,38,1,0,,white,1,0,0
1,49,1,294,80,white,1,1,0
1,9,0,,,white,1,1,0
1,65,1,15,40,other,0,1,1
1,56,1,0,,black,1,1,0
0,41,1,12.5,25,white,1,1,1
1,53,1,83,40,black,1,1,0
1,80,1,0,,white,1,1,0
0,67,1,10,40,white,1,1,0
0,65,0,28,40,white,1,1,0
1,10,0,,,white,1,1,0
1,48,0,24,30,asian,1,1,0
0,64,0,40,40,white,1,1,0
1,11,0,,,asian,1,1,1
0,35,1,0,,white,0,1,1
1,37,0,1.5,25,white,1,1,0
0,5,0,,,black,1,1,0
0,9,0,,,black,1,0,1
0,41,1,0.85,5,white,1,1,0
1,41,1,55,40,white,1,1,0
0,18,0,5,37,white,1,1,1
1,66,1,0,,white,1,1,0
0,39,1,76,42,white,1,1,0
0,14,0,,,white,1,1,1
1,42,0,0,,white,1,1,0
0,77,0,0,,black,1,1,0
1,27,1,45,40,white,1,1,0
0,37,1,97,40,asian,1,1,1
1,38,1,6,60,white,1,1,0
1,23,0,17.5,40,white,1,1,0
0,56,1,32,45,white,1,1,0
0,56,1,3.2,20,white,1,0,0
0,49,1,30,32,white,1,1,0
1,82,0,0,,white,1,1,0
0,16,0,0,,white,1,1,0
0,38,1,20,30,white,0,1,1
1,42,1,27,60,white,1,1,0
0,70,1,0,,white,1,1,0
1,11,0,,,white,1,1,0
0,27,1,12,40,white,0,0,1
0,41,1,0,,white,0,1,1
1,27,1,24,40,other,1,1,1
1,49,1,93,40,white,1,1,0
0,41,0,18.5,40,black,1,1,0
0,73,0,0,,white,1,1,0
0,12,0,,,white,1,0,0
1,66,1,38.8,40,white,1,1,0
0,75,0,0,,other,1,1,1
0,24,0,18.7,40,white,1,0,0
0,22,0,5.8,30,white,1,1,0
0,67,1,0,,white,1,1,0
0,12,0,,,white,1,1,0
1,61,1,0,,white,1,1,0
1,49,1,71,40,white,1,1,0
0,45,0,0,,white,1,1,0
0,14,0,,,black,1,1,0
1,87,1,0,,white,1,1,0
0,25,0,10.8,30,black,1,1,0
0,78,1,0,,white,1,1,1
1,52,1,0,60,black,1,1,0
0,48,1,70,55,white,1,1,0
0,43,0,0,,black,1,1,0
0,52,1,0,,asian,1,1,0
0,8,0,,,white,1,1,0
1,61,0,0,,white,1,1,1
0,47,1,110,48,white,1,1,0
0,21,1,17,45,black,1,1,0
0,27,1,28,32,other,1,0,1
0,20,0,0.45,25,white,1,1,0
0,27,1,40,40,asian,1,1,1
1,49,1,24,45,white,0,1,1
0,45,0,2,23,white,1,0,0
1,18,0,0.96,16,white,1,1,0
1,14,0,,,black,1,1,0
1,20,0,12,22,white,1,1,1
0,47,1,12,40,white,1,1,0
0,32,1,40,45,white,1,1,0
0,12,0,,,white,1,1,0
0,30,0,0,,white,1,1,0
1,49,1,50,40,white,1,1,0
1,70,1,0,,white,1,1,0
0,18,0,17.5,32,white,1,1,0
1,58,1,0,,white,1,1,0
0,12,0,,,white,1,1,0
1,85,1,0,,white,1,1,0
0,26,0,95,60,white,1,1,0
1,44,0,75,40,white,1,1,0
1,44,1,1.8,20,white,1,0,0
1,43,1,50,40,white,1,1,0
1,63,0,72,44,white,1,1,0
0,52,0,0,,white,1,1,0
0,38,0,0,,white,1,0,0
1,18,0,0,,white,1,1,0
1,40,1,30,60,white,1,1,0
1,74,1,4.6,25,white,1,1,0
0,53,1,7.2,24,white,1,1,0
1,61,1,0,,white,1,1,0
0,34,1,0,40,white,1,1,0
1,57,1,60,40,white,1,1,0
0,35,1,0,,other,0,0,1
1,66,1,84,32,white,1,1,0
0,52,1,0,,other,1,1,0
1,21,0,0,,black,1,0,0
0,8,0,,,white,1,1,0
1,36,1,15,40,black,0,0,1
1,10,0,,,black,1,0,0
0,57,0,0,,white,1,0,0
1,4,0,,,white,1,1,0
0,79,1,0,,white,1,1,0
0,43,0,72,50,white,1,1,0
1,24,0,0,,white,1,0,1
1,68,1,0,,black,1,1,0
1,67,1,0,,white,1,1,0
0,74,0,1,10,white,1,1,0
1,19,0,0,,other,1,1,1
1,62,1,48,40,white,1,1,0
0,19,0,6,40,white,1,1,0
0,49,1,28.6,28,white,1,0,0
1,68,1,0,,white,1,1,0
0,5,0,,,white,1,0,0
0,36,0,18,20,white,1,1,0
0,32,1,0,,asian,0,1,1
0,34,1,0,,white,1,1,0
0,43,1,55,40,white,1,1,1
1,87,1,0,,white,1,1,0
0,79,0,0,,white,1,1,0
1,46,0,0,,white,1,1,0
1,31,1,200,40,asian,0,1,0
0,9,0,,,black,1,1,0
1,21,0,26,40,white,1,1,0
1,40,0,45,40,white,1,1,0
0,62,0,0,,white,1,1,0
1,64,0,30,42,white,1,1,0
1,33,1,0,,white,1,1,0
0,88,0,0,,white,1,1,0
0,59,1,30,40,asian,1,1,0
1,56,1,2.8,18,white,1,1,0
0,32,0,12,40,white,1,0,0
