County,Municipality,Location,Route,Owner,Built,Date.Inspected,SD.FO.Status,Condition,YearInspected,AgeAtInspection,Manhattan
Albany,Albany City,JCT I87 OVER I90,910F910F11011007,NYSDOT,1986,4/6/15,N,5.594,2015.2603,29.260274,0
Albany,Albany City,JCT I87 OVER I90,910F910F11011008,NYSDOT,1987,3/10/15,N,5.641,2015.1863,28.186301,0
Albany,Albany City,JCT I87 OVER I90,910F910F11011008,NYSDOT,1987,3/10/15,N,5.594,2015.1863,28.186301,0
Albany,Albany City,.2 MI N JCT RTS 20 & 85,ACCESS CAMPUS RD,NYSDOT,2000,8/5/14,FO,6.639,2014.5918,14.591781,0
Albany,Albany City,.5 MI N JCT SH 20 & SH 85,ACCESS CAMPUS RD,NYSDOT,2000,8/11/14,FO,6,2014.6082,14.608219,0
Albany,Albany City,0.4 MI NW JCT 85 & 910D,ACCESS ROAD AB,State - Other,1963,4/9/14,N,4.391,2014.2685,51.268493,0
Albany,Albany City,0.4 MI NW JCT 85 & 910D,ACCESS ROAD BA,State - Other,1963,4/9/14,N,4.625,2014.2685,51.268493,0
Albany,Albany City,.8 MI NE JCT SH 32 & I787,ALBANY CITY ST'S,City,1900,9/28/15,N,4.632,2015.7397,115.73973,0
Albany,Albany City,JCT I90 & US 9,ALBANY-SHAKER RD,NYSDOT,1969,8/20/14,FO,4.778,2014.6329,45.632877,0
Albany,Albany City,1.2 MI E JCT I90 & CR 156,CAMPUS CONNECTOR,NYSDOT,1968,7/29/14,FO,5.406,2014.5726,46.572603,0
Albany,Albany City,0.8 MI NW JCT 85 & 910D,CAMPUS OUTER LOOP,State - Other,1963,6/4/15,N,4.859,2015.4219,52.421918,0
Albany,Albany City,JCT ORANGE ST & I787 NB,CLINT AVE TO I787,NYSDOT,1970,11/7/14,FO,5.069,2014.8493,44.849315,0
Albany,Albany City,JCT ORANGE ST & I787 SB,CLINTON AVE RAMP,NYSDOT,1970,9/22/14,FO,5.181,2014.7233,44.723288,0
Albany,Albany City,1.4 MI SE JCT I90 & SH 5,CORP.WOODS BLVD,NYSDOT,1972,8/27/14,FO,4.528,2014.6521,42.652055,0
Albany,Albany City,DOWNTOWN ALBANY,DUNN WB TO I787SB,NYSDOT,1973,8/24/15,FO,3.741,2015.6438,42.643836,0
Albany,Albany City,E.S.PLAZA RAMP & NB I787,EM ST PLZA ARTERY,NYSDOT,1972,11/10/15,SD,4.236,2015.8575,43.857534,0
Albany,Albany City,E.S.PLAZA & SB I787,EM ST PLZA ARTERY,NYSDOT,1972,11/6/15,SD,3.931,2015.8466,43.846575,0
Albany,Albany City,1.1 MI E JCT I90 & S.H.85,EVERETT ROAD,NYSDOT,1965,10/6/15,N,5.609,2015.7616,50.761644,0
Albany,Albany City,EXIT 5 OF I90,EVERETT ROAD,NYSDOT,1965,10/30/15,FO,4.453,2015.8274,50.827397,0
Albany,Albany City,EXIT 24 THRUWAY TO I87 NB,FR I90EB TO I87NB,NYSDOT,1987,4/1/15,N,5.676,2015.2466,28.246575,0
Albany,Albany City,.2 MI N JCT I90 + I87,FR I90WB TO I87NB,NYSDOT,1986,7/15/15,N,5.292,2015.5342,29.534247,0
Albany,Albany City,I-87 SO.BD.TO I-90-EXIT 1,FROM 87I SO. BD.,NYSDOT,1987,3/16/15,N,5.394,2015.2027,28.20274,0
Albany,Albany City,JCT I90 & HENRY JSON BLVD,HENRY JOHNSON BVD,NYSDOT,1971,10/8/14,N,5.361,2014.7671,43.767123,0
Albany,Albany City,NORTHERN BLVD CITY ALBANY,HENRY JOHNSON BVD,City,1980,4/16/15,SD,4.472,2015.2877,35.287671,0
Albany,Albany City,0.3 MI N JCT I90 & I787,I787 NB to I90 WB,NYSDOT,1968,12/21/15,SD,5.889,2015.9699,47.969863,0
Albany,Albany City,I787 58 RAMP&BDWAY-ALBANY,I787 SB TO SMX WB,NYSDOT,1973,6/24/15,FO,3.87,2015.4767,42.476712,0
Albany,Albany City,0.3 MI N JCT I90 & I787,I787 SB to I90 EB,NYSDOT,1968,12/18/14,FO,4.397,2014.9616,46.961644,0
Albany,Albany City,JCT I787 & MONTGOMERY ST,I787SB TO CLINTON,NYSDOT,1970,10/21/15,FO,4.778,2015.8027,45.80274,0
Albany,Albany City,I787 NB OFF CLINTON AVE,I787TO CLINTONAV,NYSDOT,1970,11/12/14,FO,4.625,2014.863,44.863014,0
Albany,Albany City,.2 MI W JCT I90 & US 5,I90WB TO SH 85 SB,NYSDOT,1967,5/13/14,N,6,2014.3616,47.361644,0
Albany,Albany City,0.8 MI S JCT RTS 20 & 85,KRUMKILL ROAD,NYSDOT,2000,8/5/14,FO,5.779,2014.5918,14.591781,0
Albany,Albany City,LOUDONVILLE RD & I90 RAMP,LOUDONVILLE ROAD,NYSDOT,1970,9/24/15,N,4.278,2015.7288,45.728767,0
Albany,Albany City,2.39MI NW INT23 ON I87,NEW SCOTLAND AVE,NYS Thruway Authority,1954,5/15/14,N,5.181,2014.3671,60.367123,0
Albany,Albany City,0.9 MI NE JCT RTS 9 & 5,NO MANNING BLVD,NYSDOT,1971,7/9/15,N,4.903,2015.5178,44.517808,0
Albany,Albany City,JCT OF US 9 & SH 377,NORTHERN BLVD,NYSDOT,1970,5/11/15,FO,5.167,2015.3562,45.356164,0
Albany,Albany City,ON RAMP E S PLAZA EXP EB,ONRAMP TO SMX EB,NYSDOT,1969,6/17/15,FO,4.944,2015.4575,46.457534,0
Albany,Albany City,GREEN- BROADWAY-QUAY CONN,QUAY STREET,NYSDOT,1969,7/30/15,FO,3.211,2015.5753,46.575342,0
Albany,Albany City,N OF EXIT 24 OVER I90,RAMP 87IX SB,NYS Thruway Authority,1986,9/9/15,N,5.113,2015.6877,29.687671,0
Albany,Albany City,RAMP I90 EB OFF TO 9 SB,RAMP 90EB TO 9SB,NYSDOT,1971,11/21/14,N,5.069,2014.8877,43.887671,0
Albany,Albany City,RAMP 9 NB TO I90 E&WB,RAMP 9NB TO 90EB,NYSDOT,1971,5/21/15,FO,4.292,2015.3836,44.383562,0
Albany,Albany City,RTE 9N & DRY GULLY-QUARRY,RAMP 9NB TO 90WB,NYSDOT,1971,5/21/15,FO,5.484,2015.3836,44.383562,0
Albany,Albany City,NB RMP US9 & 20 O/HDSN RV,RAMP DUNN- NBI787,NYSDOT,1972,10/22/15,SD,4.319,2015.8055,43.805479,0
Albany,Albany City,RTE 9S & DRY GULLY-QUARRY,RAMP I90WB TO 9SB,NYSDOT,1971,5/21/15,FO,5.097,2015.3836,44.383562,0
Albany,Albany City,.2 MI W OF EXIT 24 TOLL,RAMP INT 24 EB,NYS Thruway Authority,1987,7/7/15,FO,5.099,2015.5123,28.512329,0
Albany,Albany City,RAPP RD.OVER TWY.,RAPP ROAD OVER TW,NYS Thruway Authority,1986,10/7/15,FO,5.535,2015.7644,29.764384,0
Albany,Albany City,RAMP RT 9 OFF TO I90 WB,RT9 NB TO 90I WB,NYSDOT,1972,9/10/15,FO,4.791,2015.6904,43.690411,0
Albany,Albany City,.1 MI E JCT I90 & SH 85,SH 85 NB,NYSDOT,1967,6/4/14,N,6.067,2014.4219,47.421918,0
Albany,Albany City,.3 MI W JCT I90 & US 5,SH 85 NB TO I90WB,NYSDOT,1967,6/4/14,N,6,2014.4219,47.421918,0
Albany,Albany City,.1 MI W JCT I90 & SH 85,SH 85 SB,NYSDOT,1967,5/13/14,N,5.733,2014.3616,47.361644,0
Albany,Albany City,SO MALL EXP OFF TO I787NB,SMX EB TO 787NB,NYSDOT,1973,9/10/15,FO,3.833,2015.6904,42.690411,0
Albany,Albany City,ON RAMP I787 SB & MADISON,SMX EB TO 787SB,NYSDOT,1970,6/30/15,FO,3.963,2015.4932,45.493151,0
Albany,Albany City,RAMP SO MALL EXPRESS WB,SO MALL EXP WBOFF,NYSDOT,1970,6/17/15,FO,4.375,2015.4575,45.457534,0
Albany,Albany City,CITY OF ALBANY SOUTH MALL,SOUTH MALL EXP,NYSDOT,1976,7/21/15,N,5.078,2015.5507,39.550685,0
Albany,Albany City,CITY OF ALBANY SOUTH MALL,SOUTH MALL EXP.,NYSDOT,1976,7/21/15,FO,4.828,2015.5507,39.550685,0
Albany,Albany City,RAMP US 9 SB TO I90 EB,US 9 SB TO I90 EB,NYSDOT,1972,9/30/14,FO,4.94,2014.7452,42.745205,0
Albany,Albany City,0.7 MI NW JCT 85 & 910D,WASHINGTON AVENUE,State - Other,1963,6/17/14,FO,5.125,2014.4575,51.457534,0
Albany,Albany City,0.2 MI NW JCT 85 & 910D,WASHINGTON AVENUE,State - Other,1963,7/30/14,FO,4.781,2014.5753,51.575342,0
Albany,Albany City,0.7 MI N JCT RTS 20 & 85,WASHINGTON AVENUE,NYSDOT,1962,8/11/14,FO,3.814,2014.6082,52.608219,0
Albany,Albany City,.7 MI NW JCT SH85 & 910D,WASHINGTON AVENUE,State - Other,1963,6/4/15,FO,5.047,2015.4219,52.421918,0
Albany,Albany City,1.1 MI S JCT I90 & I787,WATER STREET,NYSDOT,1970,9/15/15,N,3.958,2015.7041,45.70411,0
Albany,Albany City,Washington ave. ext. over,Washington Ave.Ex,NYSDOT,2012,3/11/15,N,6.847,2015.189,3.1890411,0
Albany,Albany City,WASHINGTON AVE. EXT. OVER,Washington Ave.Ex,NYSDOT,2012,3/11/15,N,6.847,2015.189,3.1890411,0
Albany,Berne Town,.7 MI N JCT S H 443 & 156,156 156 11011006,NYSDOT,1964,4/3/14,N,4.589,2014.2521,50.252055,0
Albany,Berne Town,5.7 MI SW JCT SH443&SH146,443  443 11021020,NYSDOT,1931,5/12/15,N,4.594,2015.3589,84.358904,0
Albany,Berne Town,JCT SH 443 & SH 156,443 443 11021033,NYSDOT,1973,10/26/15,SD,5.972,2015.8164,42.816438,0
Albany,Berne Town,.5 MI EAST OF EAST BERNE,443 443 11021073,NYSDOT,1963,7/23/15,N,5.524,2015.5562,52.556164,0
Albany,Berne Town,HAMLET OF WEST BERNE,BRADT HOLLOW ROAD,County,1939,9/16/15,SD,4.638,2015.7068,76.706849,0
Albany,Berne Town,1 MI S OF WEST BERNE,CANADAY HILL ROAD,County,1949,3/30/15,N,6.564,2015.2411,66.241096,0
Albany,Berne Town,.8 MI WEST OF EAST BERNE,COUNTY ROAD 2,County,1992,8/3/15,N,5.316,2015.5863,23.586301,0
Albany,Berne Town,1.5 MILES SW OF BERNE,COUNTY ROAD 9,County,1990,8/3/15,N,5.609,2015.5863,25.586301,0
Albany,Berne Town,1.3 MI NW OF SOUTH BERNE,GIFFORD HOLLOW RD,County,1932,3/30/15,N,5.143,2015.2411,83.241096,0
Albany,Berne Town,1.7 MI NW OF SOUTH BERNE,GIFFORD HOLLOW RD,County,2008,3/30/15,N,7,2015.2411,7.2410959,0
Albany,Berne Town,1.8 MI SW OF HUNTERSLAND,HUNTERSLAND ROAD,County,1953,4/6/15,SD,4.543,2015.2603,62.260274,0
Albany,Berne Town,2.0MI W OF EAST BERNE,KAEHLER LANE,Town,1978,9/30/14,N,5.754,2014.7452,36.745205,0
Albany,Berne Town,1.9 M SW VILLAGE OF BERNE,RAVINE ROAD,County,1997,8/3/15,N,6.61,2015.5863,18.586301,0
Albany,Berne Town,1.2MI SW OF BERNE,SICKLE HILL ROAD,County,1973,5/20/14,N,6.109,2014.3808,41.380822,0
Albany,Berne Town,1 MI NW OF SOUTH BERNE,SWITZKILL ROAD,County,1988,3/30/15,N,6.64,2015.2411,27.241096,0
Albany,Berne Town,1.3 MI E OF WEST BERNE,SWITZKILL ROAD,County,1997,8/31/15,N,6.449,2015.663,18.663014,0
Albany,Bethlehem Town,1 MI S.JCT 9W < 396,9W  9W11051052,NYSDOT,1976,12/30/14,SD,4.203,2014.9945,38.994521,0
Albany,Bethlehem Town,0.9 MI N JCT RTS 9W & 396,9W  9W11051071,NYSDOT,1941,6/16/14,N,5.429,2014.4548,73.454795,0
Albany,Bethlehem Town,2.0 MI SW JT RT 32 & 910A,32  32 11041150,NYSDOT,1991,12/30/14,N,5.366,2014.9945,23.994521,0
Albany,Bethlehem Town,0.9 MI SW JT RT 32 & 910A,32  32 11041161,NYSDOT,1937,9/5/14,N,5,2014.6767,77.676712,0
Albany,Bethlehem Town,.1 MI N JCT SH 32 & SH144,32  32 11041221,NYSDOT,1996,5/11/15,N,6.286,2015.3562,19.356164,0
Albany,Bethlehem Town,JCT S H 85 & NORMANS KILL,85  85 11011225,NYSDOT,2001,7/16/15,N,5.734,2015.537,14.536986,0
Albany,Bethlehem Town,JCT.RTES 85<87I S.EXIT 24,85  85 11011240,NYSDOT,1964,11/4/14,FO,4.297,2014.8411,50.841096,0
Albany,Bethlehem Town,.6 MI SE JCT SH85 & SH140,140 140 11011011,NYSDOT,1969,7/22/14,N,4.547,2014.5534,45.553425,0
Albany,Bethlehem Town,1.6 MI N JCT RT 144 & 396,144 144 11021063,NYSDOT,1947,6/2/14,N,5.524,2014.4164,67.416438,0
Albany,Bethlehem Town,.5 MI SE JCT SH144 & 910A,144 144 11021100,NYSDOT,1930,11/7/13,FO,5.222,2013.8493,83.849315,0
Albany,Bethlehem Town,JCT RTS 9W & 32,32   32 11041211,NYSDOT,1963,5/6/15,FO,5,2015.3425,52.342466,0
Albany,Bethlehem Town,1.4 MI SW JCT 9W < 396,396 396 11011031,NYSDOT,1977,4/7/15,SD,4.6,2015.263,38.263014,0
Albany,Bethlehem Town,.7 MI SW JCT US9W & SH396,396 396 11011037,NYSDOT,1990,8/31/15,FO,5.845,2015.663,25.663014,0
Albany,Bethlehem Town,JCT RTE 396 & I87,396 396 11011064,NYS Thruway Authority,1952,9/9/14,FO,4.625,2014.6877,62.687671,0
Albany,Bethlehem Town,EXIT 24 THRUWAY & RTE 9W,87IX,NYS Thruway Authority,1952,7/9/14,N,4.634,2014.5178,62.517808,0
Albany,Bethlehem Town,EXIT 22 OF I90,87IX (NB),NYS Thruway Authority,1954,7/23/14,N,5.34,2014.5562,60.556164,0
Albany,Bethlehem Town,EXIT 22 OF I90,87IX (SB),NYS Thruway Authority,1954,7/23/14,N,5.491,2014.5562,60.556164,0
Albany,Bethlehem Town,1.2 MI NW INT22 ON I87,87IX NB,NYS Thruway Authority,1954,6/10/15,N,4.761,2015.4384,61.438356,0
Albany,Bethlehem Town,1.2 MI NW INT 22 ON I87,87IX SB,NYS Thruway Authority,1954,6/11/15,N,4.901,2015.4411,61.441096,0
Albany,Bethlehem Town,0.5 MI E JCT RT 9W & 910A,910A,NYS Thruway Authority,1952,9/3/15,N,5.111,2015.6712,63.671233,0
Albany,Bethlehem Town,0.4 MI NE JCT RTS 85&910E,910E910 11011003,NYSDOT,2005,7/22/15,FO,6.814,2015.5534,10.553425,0
Albany,Bethlehem Town,.49 MI NW INT 22 ON I87,BEAVER DAM ROAD,NYS Thruway Authority,1954,5/13/15,FO,4.775,2015.3616,61.361644,0
Albany,Bethlehem Town,1.8 MI NW EXIT 22 OF I90,CLAPPER RD,NYS Thruway Authority,1954,8/6/14,N,5.437,2014.5945,60.594521,0
Albany,Bethlehem Town,1.1 MI W OF SO BETHLEHEM,COUNTY ROAD 102,County,1934,3/19/15,N,5.033,2015.211,81.210959,0
Albany,Bethlehem Town,2.4 MILES NW OF SELKIRK,COUNTY ROAD 53,County,2004,4/8/15,N,6.793,2015.2658,11.265753,0
Albany,Bethlehem Town,1.8 MI N OF SELKIRK,COUNTY ROAD 55,County,1976,4/15/15,N,4.667,2015.2849,39.284932,0
Albany,Bethlehem Town,2.2 MI N OF SO BETHLEHEM,COUNTY ROAD 55,County,1976,9/22/15,N,5,2015.7233,39.723288,0
Albany,Bethlehem Town,1 MI SW OF SELKIRK,PICTUAY ROAD,County,2014,3/18/15,FO,7,2015.2082,1.2082192,0
Albany,Bethlehem Town,3.46MI NW INT 23 ON I87,RUSSELL ROAD,NYS Thruway Authority,1954,4/21/15,FO,4.887,2015.3014,61.30137,0
Albany,Bethlehem Town,.1MI N OF SOUTH BETHLEHEM,SO.ALBANY RD CR53,County,1949,6/6/14,N,5.274,2014.4274,65.427397,0
Albany,Bethlehem Town,3.11MI NW INT22 ON I87,WEMPLE ROAD,NYS Thruway Authority,1954,3/25/15,FO,5.606,2015.2274,61.227397,0
Albany,Coeymans Town,2.7 MIS JCT RTS 9W & 396,9W  9W11051035,NYSDOT,1985,3/24/15,N,5.024,2015.2247,30.224658,0
Albany,Coeymans Town,1.5MI E OF JUN 32 & 143,143 143 11011094,NYSDOT,1912,9/3/14,N,6.474,2014.6712,102.67123,0
Albany,Coeymans Town,SH 143 IN COEYMANS HOLLOW,143 143 11011129,NYSDOT,1985,4/1/15,N,4.841,2015.2466,30.246575,0
Albany,Coeymans Town,2.6 MI W JCT RTS 9W & 143,143 143 11011148,NYSDOT,2003,4/7/15,N,6.379,2015.263,12.263014,0
Albany,Coeymans Town,.4 mi W Rt 9W,143 14311011136,NYSDOT,2014,12/4/14,N,7,2014.9233,0.92328767,0
Albany,Coeymans Town,0.7 MI S JCT RT 143 & 144,144 144 11021001,NYSDOT,1931,3/24/15,SD,4.406,2015.2247,84.224658,0
Albany,Coeymans Town,0.2 MI N JCT RT 143 & 144,144 144 11021010,NYSDOT,2004,6/2/14,N,6.281,2014.4164,10.416438,0
Albany,Coeymans Town,1.3 MI S JCT RTS 144 &396,144 144 11021035,NYSDOT,1998,10/16/14,N,6.048,2014.789,16.789041,0
Albany,Coeymans Town,1.5 MI S OF SELKIRK,87IX,NYS Thruway Authority,1958,11/3/15,N,5.063,2015.8384,57.838356,0
Albany,Coeymans Town,1 MI N OF RAVENA,87IX,NYS Thruway Authority,1954,9/9/14,N,4.797,2014.6877,60.687671,0
Albany,Coeymans Town,2.5 MILES NORTH OF RAVENA,87IX,NYS Thruway Authority,1954,10/1/14,N,4.521,2014.7479,60.747945,0
Albany,Coeymans Town,2.7 MILES NW OF RAVENA,90IX (Int 21A of,NYS Thruway Authority,1956,3/26/15,SD,4.875,2015.2301,59.230137,0
Albany,Coeymans Town,1.1 MI S JCT RT 144 & 396,90IX Berksh.Spur,NYS Thruway Authority,1958,6/6/14,N,4.453,2014.4274,56.427397,0
Albany,Coeymans Town,IN HAMLET OF ALCOVE,COUNTY ROAD 111,County,1955,5/12/15,N,6.186,2015.3589,60.358904,0
Albany,Coeymans Town,.2 MI SW HAMLET OF ALCOVE,COUNTY ROAD 111,County,1928,5/14/15,N,5.113,2015.3644,87.364384,0
Albany,Coeymans Town,0.2 MI N HAMLET OF ALCOVE,COUNTY ROAD 111,County,1993,4/15/15,N,4.729,2015.2849,22.284932,0
Albany,Coeymans Town,1.5 MI SE S BETHLEHEM,KRUGER ROAD,County,1970,4/9/15,FO,5.288,2015.2685,45.268493,0
Albany,Coeymans Town,.1MI W of inters W/RT143,MARSHALL  ROAD,Town,1939,10/15/15,FO,5.043,2015.7863,76.786301,0
Albany,Coeymans Town,1 MILE SW OF SELKIRK,OLD RAVENA ROAD,Town,2011,8/27/15,N,6.549,2015.6521,4.6520548,0
Albany,Coeymans Town,1 MILE NORTH OF RAVENA,OLD RAVENA ROAD,Railroad,2005,8/27/15,N,6.458,2015.6521,10.652055,0
Albany,Coeymans Town,1.0 MI SW OF SELKIRK,OLD RAVENA ROAD,County,1975,4/10/15,N,4.891,2015.2712,40.271233,0
Albany,Coeymans Town,3 MI W VILLAGE OF RAVENA,THOMPKINS R CR106,County,1955,5/1/14,N,5.39,2014.3288,59.328767,0
