age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,subscribed
40,blue-collar,married,secondary,no,755,no,no,cellular,23,jul,145,1,-1,0,unknown,no
44,technician,married,secondary,no,331,yes,no,cellular,20,aug,256,4,-1,0,unknown,no
32,housemaid,married,primary,no,1349,yes,no,cellular,7,aug,132,2,-1,0,unknown,no
28,admin.,single,tertiary,no,336,no,no,cellular,26,may,135,1,-1,0,unknown,no
27,blue-collar,married,secondary,no,61,yes,no,unknown,19,jun,1012,1,-1,0,unknown,yes
43,blue-collar,married,primary,no,18,yes,no,cellular,14,may,131,2,370,3,other,no
51,management,married,tertiary,no,25856,no,no,cellular,14,aug,129,2,-1,0,unknown,no
29,self-employed,single,tertiary,no,1457,yes,no,cellular,7,apr,89,1,314,1,other,no
40,blue-collar,married,primary,no,332,yes,no,cellular,12,may,339,2,369,3,failure,no
49,admin.,married,secondary,no,1697,yes,no,cellular,19,nov,236,1,-1,0,unknown,no
31,blue-collar,single,secondary,no,616,yes,no,telephone,12,may,185,3,-1,0,unknown,no
52,management,divorced,primary,no,92,no,yes,cellular,16,jul,469,7,-1,0,unknown,no
51,admin.,married,secondary,no,101,no,no,cellular,7,aug,217,3,-1,0,unknown,no
51,entrepreneur,married,tertiary,no,6659,yes,yes,unknown,15,may,203,1,-1,0,unknown,no
32,admin.,single,secondary,no,781,no,no,cellular,20,nov,305,1,-1,0,unknown,no
56,retired,married,secondary,no,0,no,yes,cellular,7,aug,110,4,-1,0,unknown,no
54,blue-collar,divorced,primary,no,138,yes,no,unknown,4,jun,173,10,-1,0,unknown,no
47,technician,divorced,tertiary,no,477,yes,no,telephone,7,may,973,1,366,1,failure,no
44,blue-collar,married,secondary,no,476,no,no,cellular,14,jul,173,6,-1,0,unknown,no
53,blue-collar,married,secondary,no,5700,yes,no,unknown,14,may,97,1,-1,0,unknown,no
29,management,single,tertiary,no,2439,no,no,cellular,2,feb,263,2,-1,0,unknown,no
38,technician,married,secondary,no,1,yes,no,cellular,21,nov,57,5,199,1,success,no
25,student,single,tertiary,no,538,yes,no,cellular,20,apr,226,1,-1,0,unknown,no
47,housemaid,divorced,secondary,no,1565,no,no,cellular,5,feb,253,1,-1,0,unknown,no
31,blue-collar,married,primary,no,576,yes,yes,unknown,3,jun,230,3,-1,0,unknown,no
59,retired,married,primary,no,249,no,no,cellular,13,aug,432,5,-1,0,unknown,no
24,admin.,single,secondary,no,1019,yes,no,unknown,19,may,99,26,-1,0,unknown,no
26,admin.,married,secondary,no,714,yes,no,unknown,28,may,183,1,-1,0,unknown,no
36,technician,married,secondary,no,2473,no,no,cellular,28,aug,965,4,-1,0,unknown,yes
31,student,single,unknown,no,2347,no,no,cellular,18,dec,180,2,-1,0,unknown,no
32,blue-collar,single,secondary,no,6337,yes,no,cellular,19,nov,126,2,-1,0,unknown,no
46,management,single,tertiary,no,2154,yes,no,cellular,21,jul,87,4,-1,0,unknown,no
29,management,single,secondary,no,584,yes,no,unknown,16,jun,541,19,-1,0,unknown,no
42,blue-collar,married,primary,yes,398,yes,no,unknown,16,may,251,4,-1,0,unknown,no
57,services,married,secondary,no,2476,yes,no,cellular,7,aug,239,1,459,1,success,no
28,blue-collar,single,unknown,no,913,yes,no,unknown,27,may,580,2,-1,0,unknown,no
32,blue-collar,married,secondary,no,419,yes,no,unknown,30,may,56,2,-1,0,unknown,no
39,admin.,single,secondary,no,782,yes,no,cellular,5,may,542,4,47,11,other,no
25,student,married,secondary,no,37,no,no,unknown,24,jul,11,1,-1,0,unknown,no
25,technician,single,secondary,no,-80,yes,yes,unknown,3,jun,89,1,-1,0,unknown,no
34,admin.,married,secondary,no,444,yes,no,cellular,11,jul,173,2,-1,0,unknown,no
50,admin.,single,primary,no,1367,no,no,telephone,30,jul,270,2,-1,0,unknown,no
31,management,married,tertiary,no,6980,no,no,cellular,12,aug,157,2,-1,0,unknown,no
27,technician,single,secondary,no,0,yes,no,cellular,6,may,176,1,-1,0,unknown,no
55,blue-collar,divorced,primary,no,39,yes,no,unknown,13,may,343,1,-1,0,unknown,no
51,unemployed,married,secondary,no,760,yes,no,unknown,14,may,411,1,-1,0,unknown,no
43,technician,divorced,tertiary,no,123,no,no,unknown,14,may,279,2,-1,0,unknown,no
38,self-employed,single,secondary,no,1146,yes,no,unknown,21,may,91,2,-1,0,unknown,no
41,admin.,married,tertiary,no,5426,yes,no,unknown,14,may,149,2,-1,0,unknown,no
40,self-employed,married,secondary,yes,2,no,no,cellular,27,aug,158,3,-1,0,unknown,no
43,services,married,secondary,no,0,yes,no,unknown,14,may,260,3,-1,0,unknown,no
42,blue-collar,married,primary,no,555,yes,no,unknown,8,may,249,2,-1,0,unknown,no
34,entrepreneur,married,tertiary,no,4343,no,no,unknown,9,jun,85,4,-1,0,unknown,no
37,management,married,primary,no,1404,yes,no,cellular,2,feb,97,1,-1,0,unknown,no
34,technician,married,secondary,no,1569,no,no,cellular,11,aug,149,2,-1,0,unknown,no
47,technician,married,secondary,no,-18,yes,no,telephone,21,jul,105,2,-1,0,unknown,no
33,management,single,tertiary,no,2465,no,no,cellular,16,nov,139,2,95,1,success,no
40,unknown,married,tertiary,no,119,no,no,cellular,19,aug,258,2,-1,0,unknown,no
50,blue-collar,married,primary,no,811,no,no,unknown,11,jun,103,3,-1,0,unknown,no
40,blue-collar,divorced,primary,yes,0,yes,no,telephone,21,nov,333,3,-1,0,unknown,no
46,technician,married,secondary,no,78,no,no,cellular,20,aug,172,2,-1,0,unknown,no
38,management,divorced,tertiary,no,547,yes,no,unknown,14,may,137,4,-1,0,unknown,no
55,management,divorced,tertiary,no,-612,no,no,cellular,26,aug,131,2,-1,0,unknown,no
46,self-employed,divorced,tertiary,no,926,yes,no,cellular,19,nov,168,2,153,1,other,no
48,blue-collar,married,primary,no,219,yes,no,unknown,29,may,109,4,-1,0,unknown,no
43,admin.,married,secondary,no,1159,yes,no,cellular,14,apr,114,2,-1,0,unknown,no
44,management,married,tertiary,no,647,no,no,unknown,16,jun,226,2,-1,0,unknown,no
34,management,divorced,tertiary,no,0,no,no,cellular,21,aug,123,2,-1,0,unknown,no
38,admin.,single,secondary,no,221,yes,no,cellular,4,feb,93,2,274,2,failure,no
54,technician,married,secondary,no,65,no,no,cellular,24,feb,87,1,91,3,failure,no
40,technician,married,tertiary,no,2946,no,no,unknown,9,jun,78,2,-1,0,unknown,no
39,management,married,secondary,no,13578,yes,no,cellular,21,nov,185,2,-1,0,unknown,no
32,management,single,tertiary,no,4638,no,no,cellular,29,jan,180,1,-1,0,unknown,no
33,technician,single,secondary,no,20,yes,no,cellular,7,aug,131,2,-1,0,unknown,no
55,blue-collar,divorced,primary,no,0,no,no,unknown,19,jun,120,1,-1,0,unknown,no
43,blue-collar,married,secondary,no,607,yes,no,unknown,26,may,172,2,-1,0,unknown,no
46,management,married,secondary,no,766,yes,no,unknown,16,jul,6,1,-1,0,unknown,no
52,management,married,tertiary,no,193,no,no,cellular,4,aug,145,1,-1,0,unknown,no
26,management,single,tertiary,no,2786,no,no,cellular,23,mar,415,1,-1,0,unknown,yes
60,retired,married,primary,no,155,no,no,cellular,25,aug,115,7,-1,0,unknown,no
27,blue-collar,single,secondary,no,87,no,no,telephone,10,jul,245,1,-1,0,unknown,no
29,management,single,tertiary,no,5980,yes,no,unknown,28,may,317,1,-1,0,unknown,no
31,blue-collar,single,secondary,no,5607,no,no,cellular,20,nov,183,2,184,1,failure,no
40,admin.,married,secondary,yes,-279,yes,no,unknown,28,may,143,2,-1,0,unknown,no
41,technician,single,secondary,no,2300,no,no,cellular,8,aug,160,6,-1,0,unknown,no
46,services,divorced,secondary,no,124,yes,yes,cellular,12,may,81,4,-1,0,unknown,no
37,blue-collar,married,secondary,no,4321,no,no,cellular,8,sep,421,2,95,1,success,no
29,blue-collar,single,secondary,no,-37,yes,no,unknown,4,jun,182,1,-1,0,unknown,no
39,technician,married,tertiary,no,4373,yes,no,cellular,13,aug,78,6,-1,0,unknown,no
39,blue-collar,married,secondary,no,298,yes,no,unknown,20,may,216,1,-1,0,unknown,no
39,technician,married,tertiary,no,123,yes,no,unknown,30,may,127,1,-1,0,unknown,no
52,management,married,tertiary,no,0,no,no,cellular,12,aug,106,2,-1,0,unknown,no
56,management,married,tertiary,no,3120,yes,no,cellular,7,aug,666,2,-1,0,unknown,no
50,technician,married,unknown,no,-287,yes,no,cellular,8,may,92,1,347,1,failure,no
33,blue-collar,married,secondary,no,-409,yes,no,unknown,3,jun,235,3,-1,0,unknown,no
49,management,married,tertiary,no,0,no,no,telephone,17,oct,223,1,-1,0,unknown,yes
28,management,single,tertiary,no,282,yes,no,unknown,26,jun,301,4,-1,0,unknown,no
47,self-employed,married,secondary,no,523,no,no,unknown,20,jul,7,1,-1,0,unknown,no
28,self-employed,single,tertiary,no,5215,no,no,cellular,2,jun,673,1,-1,0,unknown,no
36,management,married,tertiary,no,86,yes,no,cellular,3,sep,104,1,380,3,failure,no
47,technician,married,secondary,no,-75,yes,no,cellular,4,feb,57,1,247,1,other,no
57,technician,married,secondary,no,16063,yes,no,unknown,30,may,352,3,-1,0,unknown,no
34,blue-collar,married,secondary,no,315,no,no,cellular,4,may,76,4,89,3,success,no
29,blue-collar,single,secondary,no,770,yes,no,cellular,17,apr,341,1,-1,0,unknown,no
56,entrepreneur,married,tertiary,no,16125,no,no,telephone,21,nov,167,1,-1,0,unknown,no
23,services,married,secondary,no,0,yes,yes,unknown,26,may,90,5,-1,0,unknown,no
55,unemployed,married,tertiary,no,383,no,no,unknown,6,may,343,3,-1,0,unknown,no
40,unemployed,single,secondary,no,6,no,no,unknown,9,jun,134,3,-1,0,unknown,no
49,admin.,married,secondary,no,1629,no,no,cellular,31,jul,57,2,-1,0,unknown,no
30,self-employed,married,tertiary,no,2666,no,no,cellular,5,aug,475,2,93,4,success,yes
44,entrepreneur,married,secondary,no,242,no,yes,cellular,21,jul,100,4,-1,0,unknown,no
27,blue-collar,single,tertiary,no,1372,no,no,cellular,21,jul,230,1,-1,0,unknown,no
32,blue-collar,married,primary,no,104,yes,no,cellular,25,jul,211,3,-1,0,unknown,no
46,self-employed,single,secondary,no,1029,no,no,cellular,17,nov,108,2,-1,0,unknown,no
42,self-employed,married,tertiary,no,-1781,yes,yes,cellular,7,aug,197,2,-1,0,unknown,no
30,management,single,tertiary,no,167,no,no,cellular,30,jan,320,2,-1,0,unknown,no
34,management,single,tertiary,no,212,no,no,cellular,25,mar,278,8,-1,0,unknown,yes
60,housemaid,married,tertiary,no,443,no,no,unknown,5,jun,60,1,-1,0,unknown,no
33,management,married,tertiary,no,113,yes,no,unknown,5,jun,101,11,-1,0,unknown,no
25,blue-collar,single,secondary,no,2007,no,no,cellular,12,jan,265,2,-1,0,unknown,yes
31,blue-collar,married,secondary,no,64,yes,no,cellular,18,jul,302,3,-1,0,unknown,no
40,blue-collar,married,primary,no,418,no,no,cellular,2,feb,84,2,-1,0,unknown,no
80,housemaid,married,secondary,no,499,no,no,telephone,13,apr,224,2,393,4,failure,no
33,management,single,tertiary,no,973,no,no,cellular,29,jan,762,1,-1,0,unknown,no
50,technician,married,primary,no,-315,no,yes,cellular,8,jul,173,1,-1,0,unknown,no
49,retired,single,primary,no,505,no,no,unknown,9,jun,35,1,-1,0,unknown,no
61,retired,married,secondary,no,2011,no,no,cellular,22,jun,292,1,578,2,failure,no
29,technician,married,tertiary,no,-246,yes,no,unknown,6,jun,311,3,-1,0,unknown,no
56,self-employed,married,tertiary,no,349,yes,no,telephone,4,may,186,4,-1,0,unknown,no
55,management,married,secondary,no,964,no,no,cellular,3,feb,66,3,-1,0,unknown,no
50,management,married,tertiary,no,85,no,yes,cellular,1,jun,141,1,-1,0,unknown,no
49,management,married,tertiary,no,350,no,no,cellular,12,aug,238,6,-1,0,unknown,no
40,technician,married,secondary,no,169,yes,no,cellular,18,aug,43,4,-1,0,unknown,no
34,technician,married,secondary,no,1026,no,no,cellular,12,nov,319,1,100,6,failure,no
43,entrepreneur,married,tertiary,no,11532,yes,no,telephone,25,jul,58,1,-1,0,unknown,no
44,management,divorced,tertiary,no,0,yes,yes,cellular,19,nov,128,1,-1,0,unknown,no
45,management,married,unknown,no,9051,yes,no,unknown,19,may,124,63,-1,0,unknown,no
49,blue-collar,married,secondary,no,1039,yes,no,cellular,14,may,156,2,178,1,failure,no
57,management,married,secondary,no,1502,no,no,telephone,17,nov,340,2,109,11,failure,no
35,services,single,secondary,no,1227,yes,yes,unknown,28,may,283,3,-1,0,unknown,no
35,technician,divorced,secondary,no,69,yes,no,unknown,8,may,461,3,-1,0,unknown,no
30,services,married,primary,no,1015,yes,no,cellular,30,jul,11,8,-1,0,unknown,no
48,management,married,tertiary,no,13501,no,no,unknown,19,jun,63,2,-1,0,unknown,no
60,retired,married,secondary,no,89,no,no,cellular,30,apr,156,2,-1,0,unknown,no
49,blue-collar,married,secondary,no,863,yes,yes,telephone,8,may,101,1,-1,0,unknown,no
46,technician,divorced,secondary,no,-154,yes,no,cellular,17,jul,158,1,-1,0,unknown,no
37,admin.,married,secondary,no,0,yes,no,cellular,22,jul,185,1,-1,0,unknown,no
