Ticket ID,Issue Type,Issue Description,Case Owner,Case Owner Description,Street Address,City,State / Province,Zip / Postal Code,Neighborhood / District / Ward / etc.,Created Year Month,Ticket Created Date / Time,Ticket Last Updated Date / Time,Ticket Closed Date / Time,Ticket Status,X Coordinate,Y Coordinate,Latitude,Longitude,Location Geo. Coded,Method Received,Goal Days,Actual Completed Days
17-10359720,ILLEGAL DUMPING - WM,,Waste_Management,Waste_Management,SW 78TH CT & SW 40TH ST,Miami_Dade_County,Florida,33155,District 10,20179,09/09/2017 09:09:48 AM,09/16/2017 10:52:41 AM,09/16/2017 10:52:41 AM,CLOSED,879294.562,509261.779,25.733107,-80.322199,"SW 78TH CT &amp; SW 40TH ST
MIAMI, Florida 33155
(25.733107, -80.322199)",PHONE,90,7
17-10359722,VISUAL OBSTRUCTION SAFETY ISSUE (RAAM),,RAAM-27-93,RAAM-27-93,4300 SW 67TH AVE,Miami_Dade_County,Florida,33155,District 7,20179,09/09/2017 09:11:06 AM,09/09/2017 09:19:07 AM,09/09/2017 09:19:07 AM,DUP,885488.508,508322.085,25.730433,-80.303399,"4300 SW 67TH AVE
MIAMI, Florida 33155
(25.730433, -80.303399)",PHONE,10,0
17-10359723,WM CART LEFT OUT,,Waste_Management,Waste_Management,4610 NW 199TH ST,City_of_Miami_Gardens,Florida,33055,District 1,20179,09/09/2017 09:12:20 AM,09/09/2017 09:12:20 AM,,OPEN,893552.999,589549.935,25.953789,-80.277548,"4610 NW 199TH ST
MIAMI, Florida 33055
(25.953789, -80.277548)",PHONE,20,
17-10359724,VISUAL OBSTRUCTION SAFETY ISSUE (RAAM),,RAAM-27-93,RAAM-27-93,5867 SW 60TH ST,Miami_Dade_County,Florida,33143,District 7,20179,09/09/2017 09:15:21 AM,09/09/2017 09:24:35 AM,,OPEN,890190.748,502881.312,25.715395,-80.289205,"5867 SW 60TH ST
MIAMI, Florida 33143
(25.715395, -80.289205)",PHONE,10,
17-10359725,ILLEGAL DUMPING / LITTER,,COM_Code_Enforcement,COM_Code_Enforcement,2100 SW 21ST AVE,City_of_Miami,Florida,33145,District 5,20179,09/09/2017 09:15:51 AM,09/09/2017 09:25:53 AM,,LOCKED,910168.748,516284.935,25.751963,-80.228293,"2100 SW 21ST AVE
MIAMI, Florida 33145
(25.751963, -80.228293)",PHONE,7,
17-10359726,ANIMAL CRUELTY INVESTIGATION,,Animal_Services,Animal Services,12100 SW 180TH ST,Miami_Dade_County,Florida,33177,District 9,20179,09/09/2017 09:18:30 AM,09/09/2017 10:44:09 AM,09/09/2017 10:44:09 AM,CLOSED,857766.065,461101.344,25.600891,-80.38827,"12100 SW 180TH ST
MIAMI, Florida 33177
(25.600891, -80.38827)",PHONE,14,0
17-10359727,ANIMAL CRUELTY INVESTIGATION,,Animal_Services,Animal Services,2828 VILLAGE GREEN DR,Miami_Dade_County,Florida,33175,District 10,20179,09/09/2017 09:18:59 AM,09/09/2017 02:41:35 PM,09/09/2017 02:41:35 PM,CLOSED,857218.064,512563.748,25.742489,-80.389211,"2828 VILLAGE GREEN DR
MIAMI, Florida 33175
(25.742489, -80.389211)",SOCIALMEDIA,14,0
17-10359729,VISUAL OBSTRUCTION SAFETY ISSUE (RAAM),,RAAM-27-93,RAAM-27-93,13950 SW 158TH ST,Miami_Dade_County,Florida,33177,District 9,20179,09/09/2017 09:20:53 AM,09/09/2017 09:36:25 AM,,OPEN,847214.564,468154.438,25.620428,-80.420192,"13950 SW 158TH ST
MIAMI, Florida 33177
(25.620428, -80.420192)",PHONE,10,
17-10359730,VISUAL OBSTRUCTION SAFETY ISSUE (RAAM),,RAAM-27-93,RAAM-27-93,SW 67TH AVE & SW 44TH ST,Miami_Dade_County,Florida,33155,District 7,20179,09/09/2017 09:26:09 AM,09/09/2017 09:35:06 AM,09/09/2017 09:35:06 AM,DUP,885706.437,508037.78,25.729648,-80.302742,"SW 67TH AVE &amp; SW 44TH ST
MIAMI, Florida 33155
(25.729648, -80.302742)",PHONE,10,0
17-10359732,VISUAL OBSTRUCTION SAFETY ISSUE (RAAM),,RAAM-27-93,RAAM-27-93,832 SW 154TH CT,Miami_Dade_County,Florida,33194,District 11,20179,09/09/2017 09:32:48 AM,09/09/2017 09:36:39 AM,,OPEN,838485.626,518969.53,25.760341,-80.446036,"832 SW 154TH CT
MIAMI, Florida 33194
(25.760341, -80.446036)",PHONE,10,
17-10359733,ANIMAL CRUELTY INVESTIGATION,,Animal_Services,Animal Services,8310 SW 147TH CT,Miami_Dade_County,Florida,33193,District 11,20179,09/09/2017 09:39:46 AM,09/09/2017 11:29:47 AM,09/09/2017 11:29:47 AM,CLOSED,843567.438,493180.405,25.689327,-80.430934,"8310 SW 147TH CT
MIAMI, Florida 33193
(25.689327, -80.430934)",PHONE,14,0
17-10359735,MINIMUM HOUSING OVA (OPEN/VACANT/ABANDONED),,Regulatory_and_Economic_Resources,Department of Regulatory and Economic Resources,3791 SW 139TH CT,Miami_Dade_County,Florida,33175,District 11,20179,09/09/2017 09:43:05 AM,09/09/2017 09:45:08 AM,,LOCKED,846975.001,508953.904,25.732684,-80.420376,"3791 SW 139TH CT
MIAMI, Florida 33175
(25.732684, -80.420376)",WEB,120,
17-10359736,TREE REMOVAL (RAAM),,RAAM-27-93,RAAM-27-93,6200 SW 79TH CT,Miami_Dade_County,Florida,33143,District 7,20179,09/09/2017 09:56:56 AM,09/09/2017 09:56:56 AM,,OPEN,878620,501415.906,25.711531,-80.32437,"6200 SW 79TH CT
MIAMI, Florida 33143
(25.711531, -80.32437)",PHONE,30,
17-10359739,TETHERED DOG,,Animal_Services,Animal Services,16547 SW 95TH ST,Miami_Dade_County,Florida,33196,District 11,20179,09/09/2017 10:02:30 AM,09/12/2017 09:55:43 AM,09/12/2017 09:55:43 AM,CLOSED,832777.502,488896.687,25.677665,-80.46375,"16547 SW 95TH ST
MIAMI, Florida 33196
(25.677665, -80.46375)",PHONE,14,3
17-10359740,TRAFFIC SIGN  CONTROL SIGNS  DOWN DAMAGED  MISSING,,Public_Works_Traffic_Engineering-10-60,Public_Works_Traffic_Engineering-10-60,511 E 48TH ST,City_of_Hialeah,Florida,33013,District 13,20179,09/09/2017 10:03:09 AM,09/09/2017 10:18:02 AM,,LOCKED,895386.937,557852.747,25.866556,-80.272502,"511 E 48TH ST
MIAMI, Florida 33013
(25.866556, -80.272502)",PHONE,2,
17-10359741,ANIMAL CRUELTY INVESTIGATION,,Animal_Services,Animal Services,4159 SW 92ND AVE,Miami_Dade_County,Florida,33165,District 10,20179,09/09/2017 10:07:05 AM,09/09/2017 11:58:50 AM,09/09/2017 11:58:50 AM,CLOSED,872268.343,508329.437,25.73064,-80.343555,"4159 SW 92ND AVE
MIAMI, Florida 33165
(25.73064, -80.343555)",PHONE,14,0
17-10359744,ANIMAL SERVICES DOG TAG CHECK,,Animal_Services,Animal Services,12145 SW 188TH ST,Miami_Dade_County,Florida,33177,District 9,20179,09/09/2017 10:32:54 AM,09/12/2017 05:08:49 PM,09/12/2017 05:08:49 PM,DUP,857623.938,458324.472,25.593253,-80.38874,"12145 SW 188TH ST
MIAMI, Florida 33177
(25.593253, -80.38874)",SOCIALMEDIA,0,3
17-10359745,VISUAL OBSTRUCTION SAFETY ISSUE (RAAM),,RAAM-27-93,RAAM-27-93,11517 SW 171ST TER,Miami_Dade_County,Florida,33157,District 9,20179,09/09/2017 10:36:51 AM,09/09/2017 10:37:36 AM,,OPEN,860459.686,464020.533,25.608889,-80.380055,"11517 SW 171ST TER
MIAMI, Florida 33157
(25.608889, -80.380055)",PHONE,10,
17-10359746,ANIMAL CRUELTY INVESTIGATION,,Animal_Services,Animal Services,3792 NW 31ST AVE,Miami_Dade_County,Florida,33142,District 2,20179,09/09/2017 10:37:59 AM,09/12/2017 04:13:00 PM,,OPEN,904072.694,537459.568,25.810316,-80.246445,"3792 NW 31ST AVE
MIAMI, Florida 33142
(25.810316, -80.246445)",PHONE,14,
17-10359750,VISUAL OBSTRUCTION SAFETY ISSUE (RAAM),,RAAM-27-93,RAAM-27-93,3095 NW 31ST AVE,Miami_Dade_County,Florida,33142,District 2,20179,09/09/2017 10:58:02 AM,09/09/2017 10:58:02 AM,,OPEN,904188.998,535245.812,25.804224,-80.24613,"3095 NW 31ST AVE
MIAMI, Florida 33142
(25.804224, -80.24613)",PHONE,10,
17-10359753,TRAFFIC SIGNAL COMPLETELY OUT,,Public_Works_traffic_Signals_And_Signs-15-60,Public_Works_traffic_Signals_And_Signs-15-60,SW 127TH AVE & SW 184TH ST,Miami_Dade_County,Florida,33177,District 9,20179,09/09/2017 11:19:53 AM,09/16/2017 12:00:00 AM,09/16/2017 12:00:00 AM,CLOSED,854873.81,459704.061,25.597083,-80.397065,"SW 127TH AVE &amp; SW 184TH ST
MIAMI, Florida 33177
(25.597083, -80.397065)",PHONE,0,7
17-10359754,VISUAL OBSTRUCTION SAFETY ISSUE (RAAM),,RAAM-27-93,RAAM-27-93,13812 SW 256TH ST,Miami_Dade_County,Florida,33032,District 9,20179,09/09/2017 11:19:53 AM,09/09/2017 11:19:53 AM,,OPEN,849055.94,434912.251,25.528943,-80.415049,"13812 SW 256TH ST
MIAMI, Florida 33032
(25.528943, -80.415049)",PHONE,10,
17-10359755,ILLEGAL DUMPING / LITTER,,COM_Code_Enforcement,COM_Code_Enforcement,4781 SW 1ST ST,City_of_Miami,Florida,33134,District 6,20179,09/09/2017 11:23:28 AM,09/13/2017 09:30:54 AM,09/13/2017 09:30:54 AM,CLOSED,895278.531,523059.093,25.770833,-80.273416,"4781 SW 1ST ST
MIAMI, Florida 33134
(25.770833, -80.273416)",PHONE,7,4
17-10359757,DEBRIS BLOCKING ROADWAY,,Public_Works_Road_And_Bridges-16-60,Public_Works_Road_And_Bridges-16-60,SW 80TH ST & SW 63RD PL,Miami_Dade_County,Florida,33143,District 7,20179,09/09/2017 11:26:00 AM,09/09/2017 11:38:03 AM,,LOCKED,887815.809,496041.248,25.696611,-80.296529,"SW 80TH ST &amp; SW 63RD PL
MIAMI, Florida 33143
(25.696611, -80.296529)",PHONE,2,
17-10359758,TRAFFIC SIGN DOWN DAMAGED FADED MISSING (OTHER THAN CONTROL SIGN),,Public_Works_Traffic_Engineering-10-60,Public_Works_Traffic_Engineering-10-60,12935 SW 286TH ST,Miami_Dade_County,Florida,33033,District 9,20179,09/09/2017 11:28:48 AM,09/11/2017 08:27:58 AM,,LOCKED,853802.064,425079.313,25.501831,-80.400791,"12935 SW 286TH ST
MIAMI, Florida 33033
(25.501831, -80.400791)",WEB,45,
17-10359759,ILLEGAL DUMPING - WM,,Waste_Management,Waste_Management,16665 SW 47TH ST,Miami_Dade_County,Florida,33185,District 11,20179,09/09/2017 11:33:25 AM,09/15/2017 02:02:14 PM,09/15/2017 02:02:14 PM,CLOSED,832893.127,504442.466,25.720435,-80.463207,"16665 SW 47TH ST
MIAMI, Florida 33185
(25.720435, -80.463207)",PHONE,90,6
17-10359760,ILLEGAL DUMPING - WM,,Waste_Management,Waste_Management,17721 NW 32ND CT,City_of_Miami_Gardens,Florida,33056,District 1,20179,09/09/2017 11:43:02 AM,09/09/2017 11:43:02 AM,,OPEN,901436.185,583018.874,25.935699,-80.253671,"17721 NW 32ND CT
MIAMI, Florida 33056
(25.935699, -80.253671)",PHONE,90,
17-10359761,VISUAL OBSTRUCTION SAFETY ISSUE (RAAM),,RAAM-27-93,RAAM-27-93,10351 SW 11TH ST,Miami_Dade_County,Florida,33174,District 10,20179,09/09/2017 11:43:57 AM,09/09/2017 11:43:57 AM,,OPEN,865790.013,518818.719,25.759586,-80.36308,"10351 SW 11TH ST
MIAMI, Florida 33174
(25.759586, -80.36308)",PHONE,10,
17-10359762,VISUAL OBSTRUCTION SAFETY ISSUE (RAAM),,RAAM-27-93,RAAM-27-93,25700 SW 139TH AVE,Miami_Dade_County,Florida,33032,District 9,20179,09/09/2017 11:44:48 AM,09/09/2017 11:44:48 AM,,OPEN,848474.366,434536.481,25.527916,-80.416817,"25700 SW 139TH AVE
MIAMI, Florida 33032
(25.527916, -80.416817)",PHONE,10,
17-10359763,VISUAL OBSTRUCTION SAFETY ISSUE (RAAM),,RAAM-27-93,RAAM-27-93,23943 SW 108TH CT,Miami_Dade_County,Florida,33032,District 8,20179,09/09/2017 11:46:34 AM,09/09/2017 11:46:34 AM,,OPEN,865034.997,440738.126,25.544771,-80.366509,"23943 SW 108TH CT
MIAMI, Florida 33032
(25.544771, -80.366509)",PHONE,10,
