"ID","Income","Age","Education","Gender"
"145",86,50,15,0
"146",64,42,15,0
"147",59,26,15,1
"148",83,59,15,1
"149",70,45,15,1
"150",103,58,17,1
"151",51,25,14,1
"152",119,64,20,0
"153",38,35,17,0
"154",98,48,19,0
"155",97,59,16,0
"156",101,57,18,0
"157",90,52,19,1
"158",105,39,18,0
"159",51,28,17,1
"160",65,56,10,0
"161",86,52,12,1
"162",62,21,15,1
"163",102,64,14,0
"164",87,30,17,0
"165",97,63,11,0
"166",56,31,18,0
"167",96,66,14,1
"168",45,20,19,0
"169",89,45,12,0
"170",109,60,14,0
"171",61,24,17,1
"172",68,33,14,1
"173",90,69,16,1
"174",92,50,20,1
"175",96,64,15,0
"176",68,34,16,0
"177",90,68,13,1
"178",79,54,16,1
"179",62,33,12,0
"180",96,51,16,1
"181",64,30,13,0
"182",64,21,18,0
"183",83,48,13,1
"184",55,32,11,0
"185",85,48,15,1
"186",65,29,14,1
"187",68,21,12,1
"188",86,67,12,1
"189",76,46,20,0
"190",58,41,10,0
"191",79,60,10,0
"192",100,42,18,1
"193",74,38,19,1
"194",32,19,15,0
"195",83,41,20,1
"196",72,51,15,0
"197",110,52,14,1
"198",89,58,16,1
"199",95,56,17,1
"200",93,54,16,1
"201",50,34,13,1
"202",56,29,12,1
"203",91,62,14,0
"204",91,49,18,0
"205",57,29,17,0
"206",77,26,19,1
"207",81,52,17,1
"208",68,44,16,1
"209",75,35,19,1
"210",76,66,11,0
"211",80,60,19,1
"212",58,23,16,1
"213",124,69,19,0
"214",52,19,18,0
"215",70,38,11,1
"216",92,59,11,0
"217",89,70,13,1
"218",61,30,10,1
"219",48,35,11,1
"220",101,49,20,1
"221",47,28,15,0
"222",67,39,11,0
"223",69,36,12,0
"224",79,42,17,0
"225",60,44,12,0
"226",100,62,20,1
"227",84,30,17,0
"228",66,29,17,1
"229",79,66,17,1
"230",74,33,18,0
"231",74,49,18,0
"232",51,43,15,0
"233",48,26,19,1
"234",104,69,14,1
"235",114,65,19,0
"236",108,70,18,0
"237",69,27,19,1
"238",77,42,17,0
"239",96,35,17,1
"240",93,53,11,0
"241",49,29,17,0
"242",67,47,20,0
"243",98,58,16,1
"244",74,63,14,1
"245",115,65,19,0
"246",38,23,10,0
"247",72,22,15,0
"248",90,59,17,0
"249",55,38,18,0
"250",61,49,11,1
"251",61,45,13,1
"252",84,55,18,1
"253",40,18,12,1
"254",48,31,14,0
"255",65,36,18,1
"256",81,52,11,0
"257",76,55,13,1
"258",112,70,11,1
"259",61,25,19,0
"260",42,19,19,0
"261",80,63,13,1
"262",92,56,14,0
"263",66,39,11,1
"264",78,46,20,1
"265",102,55,17,1
"266",118,61,18,1
"267",86,63,11,1
"268",66,48,16,1
"269",69,25,17,0
"270",103,56,18,0
"271",73,45,11,0
"272",54,49,14,1
"273",65,29,15,0
"274",50,21,11,1
"275",101,68,20,0
"276",39,25,15,0
"277",88,64,11,1
"278",99,44,17,1
"279",48,21,13,0
"280",82,41,11,0
"281",79,58,12,0
"282",37,20,17,1
"283",66,48,16,1
"284",44,20,16,0
"285",88,60,18,1
"286",97,67,14,1
"287",59,23,13,1
"288",41,22,11,0
"289",71,28,15,1
"290",102,38,18,1
"291",60,64,10,0
"292",49,26,12,1
"293",37,39,15,0
"294",69,24,14,0
"295",62,42,12,0
"296",57,31,12,1
"297",92,33,14,0
"298",82,30,19,0
"299",70,57,11,1
"300",49,19,17,1
"301",89,58,16,1
"302",55,25,19,0
"303",81,42,16,0
"304",71,25,11,1
"305",78,41,15,0
"306",71,45,15,1
"307",124,69,17,0
"308",119,62,19,0
"309",110,64,14,1
"310",84,34,17,1
"311",75,39,18,1
"312",57,37,12,0
"313",100,62,11,1
"314",101,57,19,1
"315",46,26,13,1
"316",44,31,11,0
"317",44,18,18,0
"318",97,54,15,0
"319",87,50,20,1
"320",44,27,10,0
"321",55,20,16,1
"322",97,64,16,0
"323",67,20,10,1
"324",69,53,16,1
"325",97,66,18,0
"326",76,30,15,0
"327",79,47,18,0
"328",75,48,12,0
"329",72,26,19,0
"330",95,70,14,1
"331",88,41,19,0
"332",89,60,14,0
"333",100,65,19,1
"334",90,69,17,1
"335",84,32,19,0
"336",61,48,15,1
"337",52,20,15,0
"338",119,53,18,0
"339",108,67,18,0
"340",87,50,14,1
"341",56,42,19,1
"342",59,37,13,1
"343",73,31,16,1
"344",73,42,13,0
"345",103,66,19,0
"346",85,35,14,1
"347",51,27,11,1
"348",48,21,19,0
"349",73,44,13,1
"350",67,44,12,1
"351",93,68,19,0
"352",66,24,17,0
"353",115,67,17,0
"354",94,35,17,1
"355",57,22,20,1
"356",101,57,19,0
"357",99,69,11,0
"358",70,20,15,0
"359",95,54,17,1
"360",62,22,18,1
"361",84,59,11,0
"362",65,33,10,1
"363",81,36,14,0
"364",85,60,11,0
"365",65,26,16,1
"366",81,39,15,1
"367",66,27,16,0
"368",74,29,17,1
"369",81,46,11,1
"370",60,50,11,1
"371",90,46,19,0
"372",57,39,16,1
"373",101,55,20,1
"374",87,50,14,0
"375",115,62,14,0
"376",124,69,20,1
"377",110,57,19,0
"378",128,70,16,1
"379",77,55,17,1
"380",105,68,17,1
"381",114,70,19,1
"382",87,48,14,0
"383",52,42,11,0
"384",78,47,13,1
"385",72,46,11,1
"386",102,62,13,1
"387",86,65,17,0
"388",128,66,18,0
"389",100,54,14,0
"390",87,32,17,1
"391",48,25,17,1
"392",83,37,18,0
"393",89,42,12,1
"394",83,68,11,0
"395",123,67,19,1
"396",78,41,14,1
"397",79,42,15,1
"398",91,44,15,1
"399",36,19,11,0
"400",68,33,16,0
"401",112,56,19,1
"402",63,35,20,0
"403",87,51,17,1
"404",84,52,18,1
"405",89,41,16,1
"406",43,40,11,0
"407",52,23,15,1
"408",97,41,12,1
"409",51,20,14,1
"410",88,53,14,1
"411",92,58,14,0
"412",63,41,11,0
"413",106,63,12,0
"414",96,66,12,0
"415",96,53,16,1
"416",84,56,13,0
"417",98,38,19,0
"418",65,22,18,0
"419",96,66,16,0
"420",77,51,19,0
"421",73,32,16,0
"422",105,48,12,0
"423",67,19,19,1
"424",106,66,12,1
"425",82,52,20,0
"426",73,50,12,1
"427",83,38,19,0
"428",93,60,13,0
"429",90,60,11,1
"430",66,45,13,1
"431",89,51,17,1
"432",103,56,17,1
"433",63,29,20,0
"434",66,48,12,0
"435",65,19,19,1
"436",79,27,17,0
"437",66,33,19,0
"438",79,27,17,1
"439",87,46,20,1
"440",53,24,11,0
"441",99,60,18,1
"442",89,68,18,0
"443",61,23,14,0
"444",104,67,13,0
"445",67,35,17,1
"446",44,22,18,0
"447",62,34,17,1
"448",45,27,11,0
"449",81,51,17,0
"450",78,46,11,1
"451",88,41,20,1
"452",64,41,19,1
"453",52,36,12,1
"454",81,53,19,1
"455",75,35,14,1
"456",58,24,17,1
"457",96,70,13,1
"458",71,25,12,1
"459",59,53,10,0
"460",78,52,17,0
"461",100,56,17,0
"462",67,45,16,0
"463",89,22,19,0
"464",64,31,19,1
"465",61,31,14,0
"466",102,60,10,0
"467",72,43,12,1
"468",77,48,18,0
"469",67,34,18,1
"470",86,65,18,0
"471",69,27,13,0
"472",86,38,19,1
"473",91,43,16,0
"474",65,48,11,0
"475",107,61,15,0
"476",57,25,15,0
"477",81,24,17,1
"478",65,18,15,1
"479",78,42,17,0
"480",86,50,19,0
"481",102,67,15,1
"482",56,21,18,0
"483",49,32,12,0
"484",87,49,18,1
"485",65,36,19,0
"486",62,29,14,1
"487",134,68,14,0
"488",105,66,16,0
"489",51,33,19,0
"490",106,67,18,0
"491",88,62,14,1
"492",99,60,11,1
"493",54,18,16,0
"494",55,32,11,1
"495",62,35,14,1
"496",90,46,19,0
"497",97,52,18,0
"498",121,68,17,0
"499",85,34,20,0
"500",55,28,11,0
"501",38,37,11,0
"502",78,39,19,1
"503",67,45,14,0
"504",111,70,18,1
"505",87,69,11,1
"506",99,58,15,0
"507",65,22,20,1
"508",48,31,13,1
"509",71,38,15,0
"510",71,22,19,0
"511",77,41,19,0
"512",103,64,19,1
"513",108,65,20,1
"514",95,41,19,0
"515",81,53,10,1
"516",77,40,16,1
"517",103,69,10,0
"518",74,60,19,0
"519",42,31,10,1
"520",100,63,19,1
"521",72,38,10,0
"522",67,26,13,1
"523",70,19,14,1
"524",127,64,17,1
"525",89,41,14,0
"526",109,59,17,1
"527",62,31,13,0
"528",50,19,11,0
"529",88,52,16,1
"530",84,53,13,1
"531",75,39,19,0
"532",98,66,10,0
"533",60,62,13,1
"534",105,56,18,1
"535",57,32,15,0
"536",69,31,17,1
"537",33,21,11,1
"538",96,63,11,0
"539",89,47,19,0
"540",76,51,12,1
"541",58,42,13,1
"542",64,38,10,1
"543",73,44,11,0
"544",75,19,20,1
"545",71,35,15,0
"546",61,23,18,0
"547",92,50,18,0
"548",43,54,11,0
"549",74,66,11,1
"550",93,65,11,0
"551",90,57,20,1
"552",70,29,11,0
"553",87,61,12,0
"554",60,37,14,1
"555",108,64,17,0
"556",76,37,20,1
"557",93,64,14,0
"558",62,23,10,1
"559",97,61,17,1
"560",95,54,16,0
"561",54,23,15,0
"562",99,30,14,0
"563",69,67,13,1
"564",76,30,14,0
"565",114,44,20,1
"566",77,37,11,1
"567",81,53,14,0
"568",58,21,12,1
"569",49,21,11,0
"570",63,42,12,1
"571",70,30,12,1
"572",73,38,20,1
"573",48,19,19,1
"574",104,64,14,0
"575",79,46,12,0
"576",97,53,11,0
"577",98,60,13,0
"578",50,30,12,0
"579",70,37,17,0
"580",50,27,19,1
"581",64,49,18,0
"582",62,39,14,1
"583",55,27,16,1
"584",83,33,13,1
"585",84,45,19,0
"586",81,45,16,0
"587",75,50,11,0
"588",99,59,19,1
"589",64,50,17,1
"590",69,49,12,0
"591",75,32,16,0
"592",58,31,12,0
"593",96,53,15,1
"594",101,68,13,0
"595",67,20,11,0
"596",49,29,14,0
"597",75,27,19,0
"598",55,24,10,0
"599",65,56,17,0
"600",55,29,11,1
"601",91,59,19,0
"602",63,33,11,0
"603",92,59,15,1
"604",80,47,14,0
"605",35,25,10,1
"606",93,60,10,1
"607",86,53,11,0
"608",117,60,20,0
"609",109,64,15,0
"610",87,57,14,1
"611",39,23,16,0
"612",89,63,11,0
"613",88,29,20,0
"614",79,53,13,0
"615",84,65,13,1
"616",82,34,18,0
"617",86,61,18,1
"618",54,44,14,0
"619",93,53,11,0
"620",57,19,18,1
"621",75,45,19,1
"622",49,20,17,0
"623",50,45,12,0
"624",58,29,10,1
"625",66,32,18,0
"626",58,25,10,1
"627",109,69,10,0
"628",54,28,18,0
"629",75,61,19,0
"630",117,67,18,1
"631",41,19,14,0
"632",77,36,15,0
"633",50,18,19,1
"634",88,60,16,1
"635",49,38,11,0
"636",39,22,11,1
"637",72,51,14,0
"638",93,40,13,0
"639",61,54,12,0
"640",92,65,13,1
"641",91,42,19,1
"642",70,42,12,1
"643",72,56,15,1
"644",56,35,12,1
"645",97,65,15,1
"646",64,26,20,1
"647",30,25,11,0
"648",59,23,13,1
"649",95,64,19,0
"650",101,59,17,0
"651",59,36,12,0
"652",83,55,17,0
"653",93,69,14,0
"654",91,65,12,0
"655",85,69,14,1
"656",73,21,19,0
"657",100,50,18,0
"658",49,24,19,1
"659",113,64,20,0
"660",83,36,15,1
"661",124,68,18,1
"662",48,38,10,0
"663",55,52,13,1
"664",102,62,18,1
"665",92,23,18,1
"666",73,39,20,0
"667",94,57,15,0
"668",107,61,18,0
"669",99,68,18,1
"670",35,30,15,0
"671",79,50,16,1
"672",94,60,12,0
"673",54,32,13,1
"674",72,40,15,1
"675",68,40,10,0
"676",98,68,17,1
"677",68,31,12,1
"678",86,51,20,0
"679",67,36,13,1
"680",102,68,12,0
"681",59,34,12,1
"682",79,38,18,0
"683",102,56,20,1
"684",52,25,19,1
"685",99,52,16,0
"686",63,29,18,1
"687",74,61,12,0
"688",78,40,18,0
"689",50,24,17,0
"690",93,70,18,0
"691",100,45,17,0
"692",86,33,17,1
"693",106,59,18,1
"694",53,48,13,1
"695",92,34,18,0
"696",59,39,16,0
"697",44,24,14,1
"698",69,37,13,0
"699",100,64,20,1
"700",105,64,18,0
"701",112,59,17,0
"702",86,49,14,0
"703",63,29,14,1
"704",60,43,12,1
"705",94,56,15,0
"706",74,26,17,0
"707",107,57,16,1
"708",113,69,14,1
"709",56,35,18,0
"710",72,46,15,0
"711",61,26,16,0
"712",47,28,12,1
"713",49,21,17,0
"714",78,48,13,1
"715",84,50,15,1
"716",54,19,15,1
"717",88,51,20,0
"718",61,39,12,1
"719",93,48,14,1
"720",110,61,18,1
"721",66,38,19,0
"722",56,19,17,0
"723",71,58,17,0
"724",86,35,19,0
"725",91,48,19,0
"726",61,36,17,0
"727",69,41,20,1
"728",67,50,14,0
"729",95,57,19,1
"730",18,20,11,1
"731",83,50,17,1
"732",33,28,16,1
"733",106,63,13,0
"734",81,42,20,0
"735",81,31,19,0
"736",50,28,11,1
"737",95,69,12,1
"738",39,35,11,1
"739",41,21,16,0
"740",77,38,19,1
"741",96,52,19,0
"742",55,40,16,1
"743",49,28,19,0
"744",63,32,11,1
"745",71,53,13,1
"746",94,57,14,1
"747",52,21,14,1
"748",72,59,13,0
"749",109,63,11,1
"750",86,52,19,1
"751",74,66,12,1
"752",112,59,17,0
"753",104,68,11,1
"754",51,36,14,0
"755",105,50,13,0
"756",73,40,17,0
"757",101,62,18,0
"758",106,57,18,1
"759",81,26,13,1
"760",99,41,15,0
"761",90,57,12,0
"762",88,61,17,0
"763",69,28,20,1
"764",51,23,11,1
"765",84,45,20,0
"766",51,22,14,0
"767",84,46,14,1
"768",49,35,11,1
"769",126,56,20,0
"770",100,63,14,1
"771",101,63,17,0
"772",73,43,17,1
"773",74,68,13,1
"774",49,18,18,0
"775",60,44,10,1
"776",86,68,19,0
"777",72,46,16,1
"778",89,56,18,1
"779",81,46,17,0
"780",77,54,12,1
"781",77,33,16,1
"782",106,68,18,0
"783",68,27,15,0
"784",50,27,14,1
"785",66,39,11,0
"786",65,22,11,0
"787",69,41,18,1
"788",55,24,13,1
"789",50,25,13,1
"790",69,41,11,1
"791",59,36,20,0
"792",44,22,15,1
"793",86,60,11,1
"794",56,21,16,1
"795",64,37,14,1
"796",54,26,13,0
"797",52,32,11,0
"798",72,50,12,1
"799",94,54,16,0
"800",116,69,16,1
"801",94,66,12,1
"802",71,38,12,1
"803",102,48,18,0
"804",89,38,13,1
"805",80,43,13,0
"806",106,52,16,1
"807",108,69,13,1
"808",96,54,17,1
"809",71,44,10,0
"810",52,21,15,0
"811",95,56,13,0
"812",16,25,10,0
"813",88,53,19,0
"814",36,23,16,0
"815",81,44,13,1
"816",75,57,11,1
"817",99,70,17,0
"818",56,32,11,0
"819",102,53,19,0
"820",103,65,14,0
"821",93,62,20,1
"822",86,61,14,1
"823",103,50,19,1
"824",43,23,20,0
"825",63,25,15,0
"826",76,31,18,1
"827",70,42,11,0
"828",94,68,16,1
"829",95,59,11,1
"830",97,52,16,0
"831",86,46,20,0
"832",42,20,13,0
"833",81,48,16,1
"834",75,45,15,0
"835",75,52,18,0
"836",52,27,12,0
"837",94,52,20,0
"838",89,53,16,1
"839",57,21,18,0
"840",97,58,11,1
"841",70,28,19,1
"842",73,28,14,1
"843",70,36,11,1
"844",75,32,19,1
"845",85,54,19,1
"846",41,26,15,0
"847",79,21,12,0
"848",85,53,13,1
"849",55,21,13,1
"850",91,47,13,1
"851",97,49,14,0
"852",70,29,12,0
"853",53,47,12,1
"854",76,59,10,1
"855",78,36,19,0
"856",103,63,16,0
"857",88,41,14,1
"858",73,45,16,1
"859",52,19,18,1
"860",50,20,11,1
"861",72,63,17,0
"862",101,63,15,1
"863",72,46,10,0
"864",63,43,12,1
"865",66,30,19,0
"866",61,21,17,1
"867",112,58,18,1
"868",79,26,16,0
"869",113,59,17,0
"870",77,56,11,1
"871",96,43,18,0
"872",45,22,15,0
"873",99,61,16,0
"874",71,36,13,1
"875",70,30,14,0
"876",44,27,12,1
"877",74,38,12,0
"878",62,24,15,1
"879",55,34,13,1
"880",74,43,10,0
"881",65,57,12,0
"882",77,58,15,1
"883",95,66,16,1
"884",71,21,11,0
"885",86,37,16,1
"886",91,48,18,1
"887",101,62,17,0
"888",66,36,18,1
"889",84,46,18,1
"890",61,51,17,1
"891",60,28,17,0
"892",91,46,17,0
"893",93,60,11,1
"894",64,21,17,0
"895",56,41,13,1
"896",67,42,10,0
"897",76,39,19,1
"898",43,18,12,1
"899",79,34,16,1
"900",88,46,19,0
"901",97,61,12,1
"902",101,67,12,0
"903",54,22,12,1
"904",14,22,12,1
"905",80,50,12,1
"906",76,51,12,1
"907",58,28,12,0
"908",74,50,12,1
"909",76,52,12,1
"910",70,24,12,0
"911",65,31,12,1
"912",57,20,12,0
"913",55,19,12,1
"914",42,26,12,1
"915",49,25,12,1
"916",30,28,12,1
"917",58,25,12,0
"918",63,52,12,0
"919",75,44,12,0
"920",72,48,12,1
"921",63,19,12,0
"922",74,35,12,0
"923",57,23,12,0
"924",55,42,12,1
"925",87,65,12,1
"926",105,59,12,1
"927",39,25,12,0
"928",31,22,12,1
"929",83,52,12,0
"930",79,59,12,1
"931",81,63,12,0
"932",97,50,12,0
"933",41,24,12,0
"934",67,61,12,0
"935",91,67,12,0
"936",72,41,12,1
"937",62,35,12,1
"938",96,44,12,0
"939",91,43,12,1
"940",66,24,12,1
"941",91,48,12,0
"942",63,34,12,1
"943",63,24,12,1
"944",91,49,12,1
"945",63,45,12,0
"946",26,27,12,0
"947",85,50,12,1
"948",68,36,12,0
"949",57,25,12,1
"950",63,64,12,1
"951",81,54,12,0
"952",38,34,12,0
"953",93,52,12,1
"954",65,45,12,1
"955",26,33,12,0
"956",79,35,12,0
"957",84,57,12,0
"958",72,51,12,0
"959",89,69,12,0
"960",79,30,12,1
"961",81,49,12,0
"962",61,25,12,0
"963",75,61,12,1
"964",69,32,12,0
"965",99,68,12,1
"966",61,31,12,1
"967",58,26,12,1
"968",75,46,12,1
"969",72,56,12,0
"970",39,18,12,0
"971",39,34,12,1
"972",97,55,12,0
"973",72,53,12,0
"974",63,22,12,0
"975",64,45,12,0
"976",44,29,12,0
"977",105,68,12,1
"978",118,67,12,0
"979",94,70,12,1
"980",53,27,12,0
"981",45,21,12,1
"982",55,35,12,1
"983",63,42,12,0
"984",63,28,12,1
"985",99,53,12,0
"986",91,59,12,0
"987",48,27,12,1
"988",77,50,12,0
"989",59,39,12,0
"990",82,43,12,1
"991",54,21,12,0
"992",63,40,12,1
"993",34,22,12,1
"994",91,64,12,1
"995",43,29,12,1
"996",69,55,12,0
"997",74,19,12,1
"998",60,26,12,0
"999",76,59,12,0
"1000",83,63,12,1
"1001",81,55,12,0
"1002",92,51,12,1
"1003",99,64,12,1
"1004",65,38,12,0
"1005",83,63,12,0
"1006",59,43,12,1
"1007",104,57,12,0
"1008",97,63,12,1
"1009",56,20,12,1
"1010",66,24,12,0
"1011",60,28,12,0
"1012",69,44,12,1
"1013",79,34,12,1
"1014",64,37,12,0
"1015",60,18,12,0
"1016",75,60,12,0
"1017",93,58,12,1
"1018",74,56,12,1
"1019",77,53,12,1
"1020",32,21,12,0
"1021",35,35,12,1
"1022",73,20,12,1
"1023",109,63,12,0
"1024",104,67,12,1
"1025",94,58,12,0
"1026",65,47,12,0
"1027",45,41,12,1
"1028",126,64,12,1
"1029",77,58,12,1
"1030",65,28,12,0
"1031",67,37,12,1
"1032",61,45,12,0
"1033",85,68,12,0
"1034",77,55,12,1
"1035",55,33,12,0
"1036",69,68,12,1
"1037",97,63,12,0
"1038",94,45,12,0
"1039",79,51,12,0
"1040",82,35,12,1
"1041",72,27,12,0
"1042",43,25,12,0
"1043",65,56,12,0
"1044",94,60,12,1
"1045",91,63,12,0
"1046",82,55,12,0
"1047",98,63,12,0
"1048",29,26,12,0
"1049",93,64,12,1
"1050",101,69,12,0
"1051",42,30,12,0
"1052",71,40,12,1
"1053",70,48,12,0
"1054",88,57,12,0
"1055",83,61,12,1
"1056",114,69,12,0
"1057",69,52,12,1
"1058",50,26,12,1
"1059",84,67,12,1
"1060",37,22,12,1
"1061",60,40,12,0
"1062",59,27,12,1
"1063",70,34,12,0
"1064",39,19,12,1
"1065",91,67,12,1
"1066",60,21,12,1
"1067",98,60,12,0
"1068",56,38,12,1
"1069",61,23,12,0
"1070",62,30,12,0
"1071",56,35,12,0
"1072",58,30,12,0
"1073",81,51,12,0
"1074",77,53,12,0
"1075",83,47,12,1
"1076",41,34,12,1
"1077",81,54,12,1
"1078",52,20,12,0
"1079",88,61,12,1
"1080",69,37,12,1
"1081",73,30,12,1
"1082",30,18,12,0
"1083",56,52,12,0
"1084",104,63,12,1
"1085",61,29,12,0
"1086",88,56,12,0
"1087",69,29,12,0
"1088",84,55,12,0
"1089",87,62,12,0
"1090",78,53,12,0
"1091",82,44,12,1
"1092",86,48,12,1
"1093",58,28,12,1
"1094",86,40,12,1
"1095",86,53,12,0
"1096",81,27,12,1
"1097",103,65,12,0
"1098",92,66,12,0
"1099",102,66,12,0
"1100",74,32,12,0
"1101",91,68,12,0
"1102",42,29,12,1
"1103",77,41,12,0
"1104",74,47,12,0
"1105",69,51,12,0
"1106",65,40,12,1
"1107",98,50,12,1
"1108",57,34,12,1
"1109",55,21,12,1
"1110",93,52,12,0
"1111",69,25,12,0
"1112",78,42,12,0
"1113",53,29,12,0
"1114",104,54,12,0
"1115",60,25,12,0
"1116",87,60,12,1
"1117",52,37,12,0
"1118",93,45,12,0
"1119",46,28,12,0
"1120",86,56,12,0
"1121",47,34,12,0
"1122",36,22,12,1
"1123",80,64,12,0
"1124",91,70,12,0
"1125",38,22,12,1
"1126",113,68,12,0
"1127",61,26,12,1
"1128",43,23,12,0
"1129",65,49,12,1
"1130",78,47,12,0
"1131",80,33,12,1
"1132",75,49,12,0
"1133",69,26,12,0
"1134",48,28,12,0
"1135",110,58,12,0
"1136",74,29,12,0
"1137",101,67,12,1
"1138",47,21,12,1
"1139",71,41,12,1
"1140",99,56,12,1
"1141",112,69,12,0
"1142",48,19,12,0
"1143",71,52,12,0
"1144",66,34,12,1
"1145",72,34,12,0
"1146",82,51,12,1
"1147",80,45,12,1
"1148",74,45,12,1
"1149",44,28,12,0
"1150",43,42,12,0
"1151",58,19,12,0
"1152",66,49,12,0
"1153",68,42,12,0
"1154",63,45,12,0
"1155",70,20,12,1
"1156",83,58,12,0
"1157",57,33,12,0
"1158",55,48,12,1
"1159",77,53,12,0
"1160",71,32,12,1
"1161",59,20,12,0
"1162",98,62,12,1
"1163",91,68,12,1
"1164",37,20,12,0
"1165",93,50,12,1
"1166",78,32,12,0
"1167",75,44,12,0
"1168",43,31,12,1
"1169",76,62,12,1
"1170",87,47,12,1
"1171",59,52,12,0
"1172",67,43,12,0
"1173",82,52,12,1
"1174",57,34,12,1
"1175",58,27,12,0
"1176",63,56,12,1
"1177",49,32,12,0
"1178",85,57,12,0
"1179",59,25,12,0
"1180",62,25,12,1
"1181",31,23,12,1
"1182",83,66,12,1
"1183",77,41,12,0
"1184",52,25,12,0
"1185",67,45,12,1
"1186",63,43,12,1
"1187",79,41,12,0
"1188",84,62,12,1
"1189",86,46,12,1
"1190",67,39,12,1
"1191",90,41,12,0
"1192",87,61,12,0
"1193",35,22,12,1
"1194",53,37,12,1
"1195",86,45,12,1
"1196",78,35,12,1
"1197",68,36,12,1
"1198",104,66,12,0
"1199",48,22,12,0
"1200",52,19,12,0
"1201",82,54,16,0
"1202",50,21,16,0
"1203",79,36,16,1
"1204",92,63,16,0
"1205",67,46,16,1
"1206",121,63,16,1
"1207",75,37,16,0
"1208",71,18,16,1
"1209",60,19,16,0
"1210",93,43,16,0
"1211",87,30,16,0
"1212",80,67,16,1
"1213",99,48,16,0
"1214",103,64,16,0
"1215",65,40,16,0
"1216",101,64,16,1
"1217",100,66,16,0
"1218",83,52,16,0
"1219",85,45,16,1
"1220",93,50,16,1
"1221",81,65,16,1
"1222",75,25,16,1
"1223",49,18,16,1
"1224",107,63,16,1
"1225",71,48,16,0
"1226",103,43,16,0
"1227",75,30,16,0
"1228",81,38,16,0
"1229",54,19,16,0
"1230",61,31,16,0
"1231",86,49,16,0
"1232",115,69,16,0
"1233",80,62,16,1
"1234",68,33,16,0
"1235",42,20,16,0
"1236",56,22,16,1
"1237",93,65,16,1
"1238",80,47,16,0
"1239",102,65,16,1
"1240",90,51,16,1
"1241",59,41,16,1
"1242",81,47,16,1
"1243",93,54,16,1
"1244",67,25,16,0
"1245",50,20,16,0
"1246",86,61,16,0
