X,Y,OBJECTID,FOLIO,NAME,CAMPUS,ADDRESS,UNIT,CITY,ZIPCODE,PHONE,TYPE,CAPACITY,CAP_DESC,LAT,LON,POINT_X,POINT_Y,CREATEDBY
-80.38601121,25.73089978,36,3.04913E+12,Nursing Unlimited inc,Kendall Regional Medical Center,11750 SW 40TH ST,    ,Miami,33175,305-223-3000,C,0,Enrollment,25.7309,-80.38601,858291.9861,508354.8847,abreui
-80.46263319,25.5375516,37,3.06919E+12,Coconut Palm Equestrian Center, ,24650 SW 167TH AVE,    ,Homestead,33031,305-246-4649,T,0,Enrollment,25.53755,-80.46263,833352.7633,437972.9846,abreui
-80.24593498,25.75077986,38,1.41091E+11,CCLS Language Studies, ,3191 CORAL WAY,    ,Miami,33145,305-529-8563,T,0,Enrollment,25.75078,-80.24593,904365.1223,515819.5659,abreui
-80.40317937,25.65616023,39,3.05914E+12,CCI School of Council, ,12002 SW 128TH CT,Suite 103,Miami,33186,305-480-5800,T,0,Enrollment,25.65616,-80.40318,852762.8024,481164.6795,abreui
-80.19320851,25.77638429,40,1.01091E+11,New World School of the Arts ,             ,25 NE 2ND ST,    ,Miami,33132,305-237-3135,C,0,       ,25.77638,-80.19321,921663.5625,525228.6247,abreui
-80.16515036,25.92911024,41,7.2217E+11,Nova Southeastern University,        ,1750 NE 167TH ST,   ,North Miami Beach,33162,954-678-2273,U,130,Enrollment,25.92911,-80.16515,930544.5036,580797.7819,abreui
-80.27812113,25.7198567,42,3.413E+11,University of Miami Coral Gables,Coral Gables,1306 STANFORD DR,    ,Coral Gables,33146,305-284-2211,U,13000,Enrollment,25.71985,-80.27812,893832.3125,504520.9373,abreui
-80.16503394,25.89409986,43,6.2229E+11,Johnson & Wales University, ,1701 NE 127TH ST,    ,North Miami,33181,305-892-7000,U,2000,Enrollment,25.8941,-80.16503,930663.8098,568072.625,abreui
-80.3362452,25.74294629,44,3.04016E+12,St. John Vianney College Seminary, ,2900 SW 87TH AVE,      ,Miami,33165,305-223-4561,C,70,Enrollment,25.74294,-80.33624,874653.3127,512812.594,abreui
-80.25929806,25.91667664,45,3.42116E+12,Marian Center School and Services, ,15701 NW 37TH AVE,    ,Opa-locka,33054,305-200-8927,T,0,Enrollment,25.91667,-80.2593,899626.8644,576092.4927,bincao
-80.21150065,25.79026516,46,1.31351E+11,University of Miami Medical,Medical Campus,1600 NW 10TH AVE,Suite 1140,Miami,33136,305-243-6545,U,750,Enrollment,25.79026,-80.2115,915613.6092,530237.4056,abreui
-80.36725967,25.75599414,47,3.04008E+12,Florida Career College Miami,Miami,1321 SW 107TH AVE,Suite 201,Miami,33174,888-852-7272,C,275,Enrollment,25.75599,-80.36726,864421.3747,517504.7504,abreui
-80.18919248,25.76496808,48,1.4207E+11,Open Hearts Language Academy, ,825 BRICKELL BAY DR,    ,Miami,33131,305-379-4027,T,0,Enrollment,25.76496,-80.18919,923010.7305,521087.322,abreui
-80.19122712,25.77764284,49,1.0108E+11,Miami Dade College Wolfson,Wolfson Campus,300 NE 2ND AVE,    ,Miami,33132,305-237-3000,C,18941,Enrollment,25.77764,-80.19122,922312.8123,525690.0627,abreui
-80.29495807,25.90216412,50,3.22024E+12,Plumbers Joint Apprentice, ,14105 NW 58TH CT,    ,Hialeah,33014,305-352-0519,T,0,Enrollment,25.90216,-80.29496,887933.8603,570753.019,abreui
-80.30885818,25.86536437,51,4.3002E+11,South Florida Institute of Technology,Satelitte Campus,1275 W 47TH PL,    ,Hialeah,33012,305-820-8993,C,0,Enrollment,25.86536,-80.30886,883434.8208,557353.2338,abreui
-80.23959851,25.78007895,52,1.3133E+11,South Florida Institute of Technology,Main Campus,720 NW 27TH AVE,    ,Miami,33125,305-649-2050,C,0,Enrollment,25.78007,-80.2396,906389.386,526480.7003,abreui
-80.39458143,25.64594567,53,3.05913E+12,Top Gun Cheerleading Training Center, ,13135 SW 124TH AVE,Suite 101,Miami,33186,305-259-5727,T,0,Enrollment,25.64594,-80.39458,855612.0455,477465.0527,abreui
-80.21363023,25.78745751,54,1.31351E+11,UM ALS Clinical and Research Center, ,1150 NW 14TH ST,Suite 609,Miami,33136,305-243-7400,T,0,Enrollment,25.78745,-80.21363,914918.9663,529212.7266,abreui
-80.21303623,25.78712066,55,1.31351E+11,UM Center for Complem. and Integrat. Medicine, ,1120 NW 14TH AVE,Suite 1472,Miami,33136,305-243-4751,U,0,Enrollment,25.78712,-80.21303,915115.1585,529091.463,abreui
-80.3565266,25.79422106,56,3.53032E+12,Carlos Albizu University,Main Campus,2173 NW 99TH AVE,    ,Miami,33172,305-593-1223,U,1073,Enrollment,25.79422,-80.35652,867886.1872,531415.7495,abreui
-80.27066455,25.9183909,57,3.42117E+12,Florida Memorial University,Main Campus,15800 NW 42ND AVE,   ,Miami Gardens,33054,305-626-3600,U,1200,Enrollment,25.91839,-80.27066,895887.2501,576694.6252,abreui
-80.21348541,25.78714131,58,1.31351E+11,UM Ear Institute, ,1120 NW 14TH ST,5th Floor,Miami,33136,305-243-2000,U,0,Enrollment,25.78714,-80.21348,914967.3062,529098.084,abreui
-80.13853274,25.77478341,59,2.4204E+11,Beauty Schools of America,Miami Beach Campus,1011 5TH ST,    ,Miami Beach,33139,305-824-2500,T,0,Enrollment,25.77478,-80.13853,939660.6889,524760.6708,abreui
-80.31392569,25.84663824,60,2.23011E+12,Contractors Exam School, ,7911 NW 72ND AVE,Suite 217,Miami,33166,305-620-2277,T,0,Enrollment,25.84663,-80.31392,881803.9738,550538.2117,abreui
-80.36091353,25.5954941,61,3.06005E+12,International Gymnastics Training Center, , 18640 SW 104TH AVE,    ,Cutler Bay,33157,305-259-0677,T,0,Enrollment,25.59549,-80.36091,866792.0665,459180.53,abreui
-80.32888097,25.76936456,62,3.04003E+12,CBT College - Flagler Campus,Flagler Campus,8230 W FLAGLER ST,   ,Miami,33144,305-273-4499,C,0,               ,25.76936,-80.32888,877028.5626,522426.8123,abreui
-80.27528223,25.72209434,63,3.413E+11,UM School of Business Administration, ,5202 UNIVERSITY DR,    ,Coral Gables,33146,305-284-4643,U,0,Enrollment,25.72209,-80.27528,894762.5303,505339.3504,abreui
-80.22886536,25.86720382,64,3.03103E+12,W.H.Turner Technical Arts H.S, ,10151 NW 19TH AVE,    ,Miami,33147,305-691-8324,T,0,Enrollment,25.8672,-80.22886,909735.7609,558168.2654,abreui
-80.4027322,25.72997984,65,3.04914E+12,Genesis Vocational Institute Corp, ,12861 SW 42ND ST,    ,Miami,33194,305-223-0506,C,0,Enrollment,25.72998,-80.40273,852788.8452,507995.2654,abreui
-80.29439992,25.86557937,66,4.3001E+11,Everest Institute - Hialeah,Hialeah Campus,530 W 49TH ST,   ,Hialeah,33012,305-558-9500,C,0,     ,25.86557,-80.2944,888188.8389,557456.6611,abreui
-80.17040281,25.96378966,67,3.01232E+12,Sheet Metal Workers Apprentice, ,20401 NE 15TH CT,    ,Miami,33179,305-651-8692,T,0,Enrollment,25.96378,-80.1704,928738.3268,593391.9687,abreui
-80.24952869,25.77948391,68,1.3133E+11,Nouvelle Institute,Miami,3271 NW 7TH ST,Suite 106,Miami,33125,305-643-3360,C,0,Enrollment,25.77948,-80.24953,903122.8216,526245.6851,abreui
-80.21125164,25.78813208,69,1.31351E+11,UM Environmental Health & Safety, ,1400 NW 10TH AVE,Suite 405,Coral Gables,33136,305-243-3400,U,0,Enrollment,25.78813,-80.21125,915700.1902,529462.5921,abreui
-80.34675927,25.60764513,70,3.35033E+12,"Nursing Unlimited, inc",Gramercy Park Nursing Center,17475 S DIXIE HWY,    ,Miami,33157,305-255-1045,C,0,Enrollment,25.60764,-80.34676,871435.2686,463619.5564,abreui
-80.31578754,25.76961223,71,3.04002E+12,La Belle Beauty Academy, ,7390 W FLAGLER ST,    ,Miami,33144,305-262-0088,T,0,Enrollment,25.76961,-80.31578,881337.186,522538.9886,abreui
-80.24169287,25.77974409,72,1.3133E+11,Security School, ,2853 NW 7TH ST,    ,Miami,33125,786-953-4192,T,0,Enrollment,25.77974,-80.24169,905700.8796,526355.0196,abreui
-80.16386023,25.69535903,73,2.44232E+12,Inlingua Language Center Key Biscayne,Key Biscayne,328 CRANDON BLVD,  ,Miami,33149,305-365-0018,T,0,Enrollment,25.69535,-80.16386,931508.4408,495838.8729,abreui
-80.35392354,25.81195036,74,3.5302E+12,Inlingua Language Center Doral,Doral,9763 NW 41ST ST,Suite 101,Miami,33178,305-591-1361,T,0,Enrollment,25.81195,-80.35392,868711.0522,537863.837,abreui
-80.40384299,25.64840475,75,3.05914E+12,Cise Electronics Corporation, ,12920 SW 128TH ST,Suite 4,Miami,33186,786-293-1094,T,0,Enrollment,25.6484,-80.40384,852556.8941,478344.9588,abreui
-80.27943002,25.71724084,76,3.413E+11,UM School of Architecture, ,1223 DICKINSON DR,    ,Coral Gables,33146,305-284-3731,U,0,Enrollment,25.71724,-80.27943,893406.5589,503567.8247,abreui
-80.20468047,25.75814245,77,1.4138E+11,Keyes Real State License Exam School, ,2121 SW 3RD AVE,Suite 5,Miami,33129,305-371-3592,T,0,Enrollment,25.75814,-80.20468,917928.2711,518575.3829,abreui
-80.31327092,25.74850455,78,3.04011E+12,Real Estate Learning Center Inc, ,7281 CORAL WAY,    ,Miami,33155,305-261-7111,T,0,Enrollment,25.7485,-80.31327,882205.377,514871.504,abreui
-80.26637333,25.77937762,79,1.3132E+11,Olga P Gonzalez Sewing School, ,4315 NW 7TH ST,Suite 44,Miami,33126,305-442-0858,T,0,Enrollment,25.77937,-80.26637,897579.8348,526175.8299,abreui
-80.19578969,25.92947797,80,7.2207E+11,Union Institute & University, ,16853 NE 2ND AVE,    ,North Miami Beach,33162,305-653-7141,U,0,Enrollment,25.92947,-80.19579,920473.5201,580868.4558,abreui
-80.29000143,25.81016741,81,2.63025E+12,Aeroservice Aviation Center LLC, ,3814 CURTISS PKWY,    ,Miami Springs,33166,305-871-5557,T,0,Enrollment,25.81016,-80.29,889744.0097,537324.1619,abreui
-80.30675951,25.84862962,82,4.3011E+11,Compu-Med Vocational Career, , 2900 W 12TH AVE,Suite 28,Hialeah,33012,305-888-9200,T,0,Enrollment,25.84862,-80.30676,884157.0401,551274.3791,abreui
-80.17016877,25.89434257,83,6.2229E+11,PRC Career Center Corp, ,12875 NE 14TH AVE,    ,North Miami,33161,305-891-6184,T,0,Enrollment,25.89434,-80.17017,928975.0958,568150.1349,abreui
-80.28741496,25.84697507,84,4.3107E+11,US K-9 Academy & Police Dog Training Center Inc, ,240 W 28TH ST,    ,Hialeah,33010,305-805-0030,T,0,Enrollment,25.84697,-80.28741,890522.4419,550707.0373,abreui
-80.208878,25.7948422,85,1.3135E+11,Lindsey Hopkings Tech. Education Center, ,750 NW 20TH ST,    ,Miami,33136,305-324-6070,T,0,Enrollment,25.79484,-80.20888,916466.5997,531906.1838,abreui
-80.32006079,25.68727109,86,3.05003E+12,"Sullivan & Cogliano Training Center, Inc",South Miami Campus,7740 N KENDALL DR,    ,Miami,33156,305-279-5877,T,0,Enrollment,25.68727,-80.32006,880085.0283,492604.1685,abreui
-80.2258387,25.77296646,87,1.4103E+11,Vocational Institute of Florida, ,1849 W FLAGLER ST,    ,Miami,33135,305-643-6111,T,0,Enrollment,25.77296,-80.22584,910932.6218,523921.9316,abreui
-80.27098514,25.8305397,88,4.3117E+11,Sheepdog Firearms & Training, ,527 E 9TH ST,    ,Hialeah,33010,305-887-4889,T,0,Enrollment,25.83054,-80.27098,895959.1854,544762.983,abreui
-80.24198177,25.76459804,89,1.41091E+11,La Belle Beauty Academy, ,2960 SW 8TH ST,    ,Miami,33135,305-649-2800,T,0,Enrollment,25.76459,-80.24198,905637.4761,520849.4294,abreui
-80.31252922,25.86692388,90,4.3002E+11,La Belle Beauty Academy, ,1495 W 49TH ST,    ,Hialeah,33012,305-558-0562,T,0,Enrollment,25.86692,-80.31253,882224.6743,557913.7261,abreui
-80.33214351,25.74814063,91,3.0401E+12,International Models School, , 8415 CORAL WAY,Suite 205,Miami,33155,305-266-6331,T,0,Enrollment,25.74814,-80.33214,875993.9281,514707.3332,abreui
-80.25494494,25.77988491,92,1.3133E+11,Hi Tech School of Miami, ,801 NW 37TH AVE,    ,Miami,33125,305-643-2996,T,0,Enrollment,25.77988,-80.25494,901339.6277,526381.319,abreui
-80.22561009,25.76536557,93,3.03131E+12,The Praxis Institute,Main Campus,1850 SW 8TH ST,    ,Miami,33135,305-974-1966,C,0,Enrollment,25.76536,-80.22561,911024.0937,521159.7198,abreui
-80.47716453,25.47328633,94,1.07918E+12,Dade Medical College - Homestead Campus,Homestead Campus,381 N KROME AVE,    ,Homestead,33030,786-454-9070,C,0,Enrollment,25.47328,-80.47716,828653.0592,414597.279,abreui
-80.25919237,25.75260047,95,3.4108E+11,Inlingua Language Center Coral Gables,Coral Gables,201 ALHAMBRA CIR,Suite 104,Miami,33134,305-446-0030,T,0,Enrollment,25.7526,-80.25919,899997.6358,516456.5543,abreui
-80.13986566,25.9124724,96,6.2222E+11,Florida International University Biscayne Bay,Biscayne Bay Campus,3000 NE 151ST ST,   ,North Miami,33181,305-919-5500,U,7000,Enrollment,25.91247,-80.13986,938894.4996,574804.0621,abreui
-80.24701856,25.87764197,97,3.02133E+12,Miami Dade College North,North Campus,11380 NW 27TH AVE,    ,Miami,33167,305-237-1000,C,25671,Enrollment,25.87764,-80.24702,903744.5629,561927.5621,abreui
-80.32008131,25.85575038,98,4.3011E+11,Florida Career College Hialeah,Hialeah,3750 W 18TH AVE,    ,Hialeah,33012,305-825-3231,C,0,         ,25.85575,-80.32008,879762.3129,553839.6251,abreui
-80.3658896,25.81277763,99,3.5302E+12,San Ignacio Culinary Arts School, ,10395 NW 41ST ST,    ,Doral,33178,305-629-2929,T,0,Enrollment,25.81277,-80.36589,864772.9592,538145.3659,abreui
-80.36062035,25.70056876,100,3.04032E+12,Frank Alonso Professor - Auto-CAD Classes, ,10300 SW 72ND ST,  ,Miami,33173,305-382-2228,T,0,Enrollment,25.70056,-80.36062,866704.2211,497370.6046,abreui
-80.13535617,25.93094118,101,7.221E+11,Gold Coast School of Real Estate - NORTH DADE, ,3577 NE 163RD ST,    ,North Miami,33160,305-940-4660,T,0,Enrollment,25.93094,-80.13535,940332.555,581526.7962,abreui
-80.36862537,25.74583972,102,3.04018E+12,Guadalupe Vocational Institute, ,2500 SW 107TH AVE,Suite 31,Miami,33165,305-559-7728,C,0,Enrollment,25.74584,-80.36862,863989.5436,513811.9026,abreui
-80.16117044,25.70022094,103,2.44232E+12,The Pankey Institute , ,1 CRANDON BLVD,    ,Key Biscayne,33149,305-361-5433,C,0,Enrollment,25.70022,-80.16117,932383.0077,497611.6207,abreui
-80.50105377,25.5105885,104,3.06835E+12,UF Tropical Research and Educational Center, ,18905 SW 280TH ST,    ,Homestead,33031,305-246-7001,U,0,    ,25.51058,-80.50105,820720.9668,428124.1116,abreui
-80.21082966,25.790867,105,1.31351E+11,UM Batchelor Children’s Research Institute, ,1580 NW 10TH AVE,    ,Miami,33136,305-243-1423,U,0,Enrollment,25.79086,-80.21083,915833.0885,530457.4762,abreui
-80.28013441,25.72065164,106,3.413E+11,UM College of Arts & Sciences, ,1252 MEMORIAL DR,Suite 227,Coral Gables,33146,305-284-4117,U,0,Enrollment,25.72065,-80.28013,893167.8817,504806.2467,abreui
-80.21195017,25.79038876,107,1.31351E+11,UM Department of Microbiology & Immunology, ,1600 NW 10TH AVE,    ,Miami,33136,305-243-6655,U,0,Enrollment,25.79038,-80.21195,915465.4269,530281.4445,abreui
-80.21363309,25.78742284,108,1.31351E+11,UM Clinical Enterprise Technologies, ,1150 NW 14TH ST,Suite 100,Miami,33136,305-243-7339,U,0,Enrollment,25.78742,-80.21363,914918.0974,529200.122,abreui
-80.2131995,25.7865888,109,1.31351E+11,UM Otolaryngology Department, ,1120 NW 14TH ST,    ,Miami,33136,305-243-2000,U,0,Enrollment,25.78658,-80.2132,915062.5871,528897.8262,abreui
-80.18864517,25.78995127,110,1.32311E+11,Miami International University of Art & Design , ,1501 BISCAYNE BLVD,Suite 100,Miami,33132,305-428-5700,U,0,      ,25.78995,-80.18864,923134.9378,530168.9998,abreui
-80.3078732,25.85983518,111,1.41101E+11,The Praxis Institute - Hialeah,Hialeah Campus,4162 W 12TH AVE,    ,Hialeah,33012,305-556-1424,C,0,Enrollment,25.85983,-80.30787,883769.3086,555345.2735,abreui
-80.19252077,25.76059379,112,1.02091E+11,TALK International School of Languages,Miami Downtown,1390 BRICKELL AVE,    ,Miami,33131,305-375-0126,T,0,Enrollment,25.76059,-80.19252,921925.056,519490.6932,abreui
-80.27996666,25.72150199,113,3.413E+11,UM Center for Computational Science, ,1365 MEMORIAL DR,Suite 313,Coral Gables,33146,305-243-4962,U,0,Enrollment,25.7215,-80.27996,893221.4264,505115.6158,abreui
-80.34428955,25.7325714,114,3.04021E+12,Natural Healing Center, ,9230 SW 40TH ST,    ,Miami,33165,305-228-0380,T,0,Enrollment,25.73257,-80.34429,872024.0506,509028.519,abreui
-80.38251128,25.7913721,115,2.53031E+12,Strayer University - Doral Campus,Doral Campus,11430 NW 20TH ST,Suite 150,Miami,33172,305-507-5700,U,0,Enrollment,25.79137,-80.38251,859341.2323,530339.3304,abreui
-80.33523828,25.80918607,116,3.53027E+12,Connecticut Broadcasting School (CBS), ,8600 NW 36TH ST,Suite 100,Doral,33166,305-592-7133,T,0,Enrollment,25.80918,-80.33524,874863.2929,536889.7445,abreui
-80.25141048,25.74022344,117,1.4116E+11,The English Center, ,3501 SW 28TH ST,    ,Miami,33133,305-445-7731,T,0,Enrollment,25.74022,-80.25141,902584.5952,511972.4381,abreui
-80.34097728,25.70239854,118,3.04028E+12,Medvance Institute, ,9035 SW 72ND ST,Suite 200,Miami,33173,305-596-5553,C,0,Enrollment,25.70239,-80.34097,873169.2003,498067.4323,abreui
-80.2757233,25.71942647,119,3.413E+11,UM Behavioral Medicine Research Program, ,1251 STANFORD DR,    ,Miami,33146,305-284-2211,U,0,Enrollment,25.71942,-80.27572,894622.635,504368.892,abreui
-80.32546258,25.78358371,120,3.53034E+12,ITT Technical Institute, ,7955 NW 12TH ST,Suite 119,Miami,33126,305-477-3080,T,0,Enrollment,25.78358,-80.32546,878127.1068,527600.648,abreui
-80.17701209,25.89088188,121,6.2229E+11,SEGAL Institute,Headquarters,1065 NE 125TH ST,Suite 221,North Miami,33161,305 722-8444,C,0,Enrollment,25.89088,-80.17701,926733.1453,566878.0912,abreui
-80.38037438,25.7917148,122,2.53031E+12,Gold Coast School of Real Estate - DORAL, , 11250 NW 20TH ST,    ,Miami,33172,305-663-0313,T,0,Enrollment,25.79171,-80.38037,860043.7749,530467.1927,abreui
-80.26363629,25.80419159,123,3.03129E+12,George T. Baker Aviation Center, ,3275 NW 42ND AVE,    ,Miami,33142,305-871-3143,T,0,Enrollment,25.80419,-80.26363,898430.0979,535199.8342,abreui
-80.25794755,25.78168159,124,1.3132E+11,Key Power Tech. Inst. Comm. Truck Driving School, ,3790 NW 11TH ST,    ,Miami,33126,305-649-5344,C,0,Enrollment,25.78168,-80.25794,900347.8566,527028.7666,abreui
-80.41742142,25.68307648,125,3.05903E+12,Everest Institute - Kendall,Kendall Campus,9020 SW 137TH AVE,    ,Miami,33186,305-386-9900,C,0,Enrollment,25.68307,-80.41742,848028.2178,490926.5038,abreui
-80.21070694,25.79111027,126,1.31351E+11,UM Bascom Palmer Eye Institute, ,900 NW 17TH ST,    ,Miami,33136,305-243-2020,U,0,Enrollment,25.79111,-80.2107,915872.9416,530546.1364,abreui
-80.3052105,25.73270795,127,3.04023E+12,Florida Vocational Institute Corp, ,6840 BIRD RD,    ,Miami,33155,305-665-1911,C,0,Enrollment,25.7327,-80.30521,884888.7923,509143.9804,abreui
-80.32255062,25.77256306,128,3.04003E+12,Technical Career Institute, ,7757 W FLAGLER ST,Suite 230,Miami,33144,305-261-5511,C,0,Enrollment,25.77256,-80.32255,879105.9246,523600.0006,abreui
