Country,LandArea,Population,Density,GDP,Rural,CO2,PumpPrice,Military,Health,ArmedForces,Internet,Cell,HIV,Hunger,Diabetes,BirthRate,DeathRate,ElderlyPop,LifeExpectancy,FemaleLabor,Unemployment,EnergyUse,Electricity,Developed
Costa Rica,51.060,4.872,95.4,10185,25,15.3,1.57,,26.89,9.80,46.0,146.0,0.2,5.9,9.5,15.1,4.2,7.0,79.9,51.0,7.8,983,1844,1
Cote d'Ivoire,318.000,20.316,63.9,1529,47.2,36.7,1.51,9.91,8.51,,2.6,95.4,2.7,14.7,5.6,36.6,14.2,3.2,50.8,53.1,9.4,579,212,1
Croatia,55.960,4.256,76.1,13598,41.6,9.8,1.77,4.62,12.67,19.55,66.7,114.5,,,5.5,9.4,11.8,18.3,77.1,58.4,15.8,1971,3901,2
Cuba,106.440,11.266,105.8,,23.1,9.6,1.4,,13.40,75.50,25.7,17.7,0.2,5.0,6.7,9.5,7.7,13.3,79.2,51.7,,992,1327,1
Curacao,0.444,0.154,346.8,,10.5,13.4,,,,,,128.2,,,12.8,12.7,8.1,14.0,,,,,,
Cyprus,9.240,1.141,123.5,25249,32.9,11.5,1.77,4.12,7.53,12.75,65.5,96.4,0.1,,9.3,11.5,6.9,12.3,79.8,66.0,11.8,2121,4271,2
Czech Republic,77.230,10.514,136.1,19858,26.9,10.3,1.93,3.24,14.25,24.10,74.1,127.7,0.1,,6.6,10.2,10.4,16.7,78.3,64.9,7.0,4138,6289,3
Denmark,42.430,5.615,132.3,59819,12.7,10.4,2.02,3.18,15.85,17.20,94.6,127.1,0.2,,6.1,10.0,9.3,17.9,80.3,75.5,7.5,3231,6122,3
Djibouti,23.180,0.873,37.7,1668,22.8,27.8,1.75,,14.14,12.95,9.5,28.0,0.9,18.9,6.4,27.5,8.7,4.0,61.8,38.5,,,,
Dominica,0.750,0.072,96.0,7176,31,,,,11.62,,59.0,130.0,,,11.0,,,,,,,,,
Dominican Republic,48.320,10.404,215.3,5879,22.9,21.2,1.58,,14.06,61.00,45.9,88.4,0.7,14.7,11.4,20.8,6.0,6.3,73.5,55.7,14.7,727,893,1
Ecuador,248.360,15.738,63.4,6003,36.7,21.1,0.58,,,58.98,40.4,111.5,0.4,11.2,5.9,20.8,4.9,6.5,76.5,57.8,4.1,849,1192,1
"Egypt, Arab Rep.",995.450,82.056,82.4,3314,57,23.5,0.45,5.52,5.55,835.50,49.6,121.5,0.1,5.0,16.6,23.2,6.5,5.8,71.1,25.8,12.7,978,1743,1
El Salvador,20.720,6.340,306.0,3826,34.2,20.2,1.26,5.57,18.19,32.30,23.1,136.2,0.5,13.5,11.8,20.1,6.5,7.1,72.3,51.1,6.1,690,830,1
Equatorial Guinea,28.050,0.757,27.0,20582,60.4,35.8,,,6.96,1.32,16.4,67.5,,,6.1,35.4,13.2,2.8,53.1,82.1,,,,
Eritrea,101.000,6.333,62.7,544,78.2,37.4,2.49,,3.60,201.75,0.9,5.6,0.6,,5.7,36.7,6.7,2.3,62.8,82.2,,129,49,1
Estonia,42.390,1.318,31.1,18877,32.3,10.6,1.76,6.24,11.74,5.75,80.0,159.7,1.3,,5.7,10.3,11.6,18.0,76.4,71.9,,4221,6314,3
Ethiopia,1000.000,94.101,94.1,505,81.4,33.5,1.05,,16.43,138.00,1.9,27.3,1.2,35.0,5.5,33.0,7.6,3.4,63.6,80.9,17.5,381,52,1
Faeroe Islands,1.396,0.049,35.1,,58.5,12.8,,,,,90.0,120.7,,,5.4,,7.5,,81.3,,3.0,,,
Fiji,18.270,0.881,48.2,4375,47,20.8,1.41,,8.87,3.50,37.1,105.6,0.1,5.0,10.9,20.4,6.8,5.4,69.9,39.3,,,,
Finland,303.890,5.439,17.9,49151,16,11,2.08,3.06,12.10,25.00,91.5,171.6,,,5.8,10.7,9.5,19.0,80.8,73.4,7.6,6449,15738,3
France,547.561,65.940,120.4,42560,20.9,12.6,1.91,4.76,15.84,318.40,81.9,98.5,,,5.2,12.3,8.7,17.9,82.0,66.6,9.8,3869,7292,3
French Polynesia,3.660,0.277,75.7,,43.9,16.6,,,,,56.8,85.6,,,24.4,16.4,5.5,7.2,76.3,51.7,,,,
Gabon,257.670,1.672,6.5,11571,13.3,32.2,1.04,,7.17,6.70,9.2,214.8,3.9,5.0,10.7,31.9,9.1,5.2,63.4,57.7,,1253,907,1
"Gambia, The",10.120,1.849,182.7,489,41.6,43,,,12.97,0.80,14.0,100.0,1.2,6.0,2.0,42.7,9.7,2.4,58.8,72.8,,,,
Georgia,69.490,4.487,64.6,3597,46.7,13.5,1.34,11.35,6.71,32.35,43.1,115.0,0.3,9.8,2.6,13.3,11.5,14.4,74.1,60.6,15.0,790,1918,1
Germany,348.540,80.652,231.4,46251,25.1,8.4,1.96,4.65,19.42,181.55,84.0,120.9,,,7.9,8.5,11.1,21.1,81.0,72.0,5.5,3811,7081,3
Ghana,227.540,25.905,113.8,1858,47.3,31.3,0.92,,10.56,15.50,12.3,108.2,1.3,5.0,3.8,30.9,9.0,3.5,61.1,68.9,,425,344,1
Greece,128.900,11.028,85.6,21966,22.7,9,2.06,4.41,11.66,148.95,59.9,116.8,,,4.8,8.5,10.2,19.7,80.6,58.6,24.2,2402,5380,3
Greenland,410.450,0.056,0.1,,14.4,13.9,,,,,65.8,106.0,,,,14.5,8.0,,,,,,,
Grenada,0.340,0.106,311.8,7891,64.4,19.4,1.4,,9.56,,35.0,125.6,,,9.2,19.3,7.4,7.1,72.7,,,,,
Guam,0.540,0.165,305.6,,5.6,17.5,,,,,65.4,,,,20.1,17.4,4.8,8.1,78.9,60.9,12.2,,,
Guatemala,107.160,15.468,144.3,3478,49.3,31.4,1.14,3.44,17.03,42.30,19.7,140.4,0.6,14.3,10.8,31.0,5.2,4.6,72.0,51.3,2.9,691,539,1
Guinea,245.720,11.745,47.8,523,63.8,37.3,1.34,,6.77,12.30,1.6,63.3,1.7,18.1,4.4,36.9,11.5,3.1,56.1,67.2,1.7,,,
Guinea-Bissau,28.120,1.704,60.6,564,52.3,37.9,,,7.79,6.45,3.1,74.1,3.7,17.7,3.8,37.5,12.5,2.9,54.3,69.7,,,,
Guyana,196.850,0.800,4.1,3739,71.6,20.7,1.08,,13.87,1.10,33.0,69.4,1.4,10.0,15.8,20.3,6.7,3.4,66.2,44.7,,,,
Haiti,27.560,10.317,374.3,820,43.8,26,1.25,,1.94,0.12,10.6,69.4,2,51.8,6.7,25.6,8.6,4.5,63.1,62.9,,320,32,1
Honduras,111.890,8.098,72.4,2291,46.5,26.1,1.25,4.28,12.20,20.00,17.8,95.9,0.5,12.1,11.7,25.8,4.7,4.4,73.8,44.7,,609,708,1
"Hong Kong SAR, China",1.050,7.188,6845.7,38124,0,12.8,2.16,,,,74.2,237.4,,,7.7,7.9,6.0,14.0,83.8,60.4,3.3,2106,5949,3
Hungary,90.530,9.894,109.3,13485,29.7,9.1,1.84,2.40,10.23,38.50,72.6,116.4,,,5.9,9.2,12.8,17.2,75.3,58.4,10.9,2503,3895,2
Iceland,100.250,0.324,3.2,47349,6.1,14.1,1.99,0.36,15.76,0.20,96.5,108.1,,,3.2,13.4,6.7,12.8,83.1,82.3,6.0,17964,52374,3
India,2973.190,1252.140,421.1,1498,68,20.7,1.25,15.69,4.55,2749.70,15.1,70.8,0.3,15.2,9.1,20.4,7.9,5.3,66.5,28.5,3.6,614,684,1
Indonesia,1811.570,249.866,137.9,3475,47.7,19.2,0.47,,6.63,676.50,15.8,125.4,0.5,8.7,6.0,18.8,6.2,5.2,70.8,53.5,6.1,857,680,1
"Iran, Islamic Rep.",1628.550,77.447,47.6,4763,27.7,19,0.33,,17.53,563.00,31.4,84.2,0.1,5.0,10.0,18.8,5.2,5.3,74.1,17.6,,2813,2649,2
Iraq,434.320,33.417,76.9,6862,30.7,31.5,,,5.99,177.60,9.2,96.1,,23.5,9.6,31.1,5.2,3.2,69.5,15.6,,1266,1343,1
Ireland,68.890,4.598,66.7,50478,37.3,15.7,2.02,1.38,14.07,9.35,78.2,102.8,,,5.4,15.0,6.5,12.1,81.0,62.6,14.7,2888,5701,3
Isle of Man,0.570,0.086,150.9,,47.9,,,,,,,,,,,,,,,,,,,
Israel,21.640,8.060,372.5,36051,8,21.6,2.01,15.03,10.55,184.50,70.8,122.8,,,5.5,21.3,5.1,10.7,82.1,67.0,6.9,2994,6926,3
Italy,294.140,60.234,204.8,35686,31.3,9,2.28,3.99,14.03,359.50,58.5,158.8,0.3,,4.9,8.5,10.0,21.1,82.3,53.7,10.7,2819,5515,3
Jamaica,10.830,2.715,250.7,5290,45.7,14.5,1.2,2.73,9.72,2.83,37.8,102.2,1.8,7.9,10.5,13.5,5.7,7.9,73.5,61.5,13.7,1135,1553,1
Japan,364.560,127.339,349.3,38634,7.5,8.2,2,5.17,20.03,259.80,86.3,117.6,,,5.1,8.2,10.1,25.1,83.3,65.1,4.3,3610,7848,3
Jordan,88.780,6.460,72.8,5213,16.8,27.7,1.44,13.65,13.48,115.50,44.2,141.8,,5.0,11.5,27.0,3.7,3.5,73.9,16.4,12.2,1143,2289,1
Kazakhstan,2699.700,17.035,6.3,13612,46.6,22.7,1.01,,10.90,70.50,54.0,184.7,,5.0,5.0,22.7,8.0,6.7,70.5,75.1,5.3,4717,4893,2
Kenya,569.140,44.354,77.9,1246,75.2,35.5,1.37,8.52,5.85,29.10,39.0,71.8,6,24.3,4.5,34.9,8.2,2.7,61.7,62.9,,480,155,1
Kiribati,0.810,0.102,125.9,1651,55.9,23.3,,,10.03,,11.5,16.6,,5.0,26.4,23.3,6.0,4.1,68.8,,,,,
"Korea, Dem. Rep.",120.410,24.895,206.8,,39.4,14.4,,,,1379.00,,9.7,,37.5,6.2,14.4,9.2,9.5,69.8,78.5,,773,739,1
"Korea, Rep.",97.350,50.220,515.9,25977,17.8,9.6,1.8,,11.50,659.50,84.8,111.0,,5.0,6.0,8.6,5.3,12.2,81.5,55.5,3.2,5232,10162,3
Kosovo,10.887,1.824,167.5,3877,0,18,1.65,,,,,,,,,17.7,7.0,,70.8,,30.9,1411,2947,2
Kuwait,17.820,3.369,189.1,52197,1.7,20.9,0.23,10.74,5.77,22.60,75.5,190.3,,5.0,23.1,20.6,2.9,2.3,74.5,45.1,,10408,16122,3
Kyrgyz Republic,191.800,5.720,29.8,1263,64.5,27.6,0.89,13.99,13.22,20.40,23.4,121.4,0.2,6.0,6.3,27.2,6.1,4.2,70.2,59.6,8.4,562,1642,1
Lao PDR,230.800,6.770,29.3,1661,63.5,27.3,1.33,1.78,3.46,129.10,12.5,68.1,0.2,21.8,5.0,26.8,5.9,3.8,68.2,80.0,,,,
Latvia,62.180,2.013,32.4,15381,32.5,9.8,1.8,3.22,9.81,5.31,75.2,228.4,,,5.0,10.2,14.3,18.6,74.0,72.5,15.0,2122,3264,2
Lebanon,10.230,4.467,436.7,9928,12.5,13.2,1.11,14.90,10.66,80.00,70.5,80.6,,5.0,14.9,13.4,4.4,8.7,80.1,25.9,,1449,3499,2
Lesotho,30.360,2.074,68.3,1126,73.7,27.6,1.24,,14.48,2.00,5.0,86.3,22.9,11.5,4.5,27.5,15.0,4.2,49.3,60.3,,,,
Liberia,96.320,4.294,44.6,454,51.1,36,1.17,3.37,13.18,2.05,4.6,59.4,1.1,29.6,3.8,35.5,8.8,3.0,60.5,59.5,,,,
Libya,1759.540,6.202,3.5,11965,21.8,21.1,0.12,,4.33,7.00,16.5,165.0,,,9.8,20.7,4.2,4.8,75.4,31.8,19.0,2186,3926,2
Liechtenstein,0.160,0.037,231.3,,85.7,9.7,1.88,,,,93.8,104.1,,,5.4,9.2,6.7,,82.4,,,,,
Lithuania,62.674,2.958,47.2,15530,33.4,10.2,1.83,2.42,12.06,21.95,68.5,151.3,,,3.8,10.1,14.0,15.7,74.2,71.4,13.4,2406,3530,2
Luxembourg,2.590,0.543,209.7,110665,10.4,11.3,1.64,1.33,13.64,1.51,93.8,148.6,,,4.5,11.3,7.0,14.2,81.8,62.2,5.1,8046,15530,3
"Macao SAR, China",0.030,0.566,18929.8,91376,0,10,,,,,65.8,304.1,,,8.6,10.2,4.8,8.1,80.3,72.3,,,,
"Macedonia, FYR",25.220,2.107,83.5,4838,43,10.8,1.75,4.17,13.17,8.00,61.2,106.2,0.1,,9.8,10.7,9.7,12.3,75.2,51.1,31.0,1484,3881,2
Madagascar,581.795,22.925,39.4,463,66.2,34.9,1.49,,11.84,21.60,2.2,36.9,0.4,30.5,3.7,34.7,6.8,2.8,64.7,88.2,,,,
Malawi,94.280,16.363,173.6,226,84.1,40.1,1.93,,16.23,6.80,5.4,32.3,10.3,21.8,5.6,39.8,11.4,3.2,55.2,84.5,,,,
Malaysia,328.550,29.717,90.4,10538,26.7,17.6,0.62,7.12,5.88,133.60,67.0,144.7,0.4,5.0,17.6,17.7,4.7,5.4,75.0,47.0,3.0,2639,4246,2
Maldives,0.300,0.345,1150.0,6666,56.6,22.2,1.1,,16.27,,44.1,181.2,0.1,6.2,9.4,22.0,3.4,4.9,77.9,58.4,,,,
Mali,1220.190,15.302,12.5,715,61.6,47.4,1.41,9.98,12.32,11.80,2.3,129.1,0.9,5.0,1.6,47.1,13.0,2.8,55.0,51.9,,,,
Malta,0.320,0.423,1321.9,22775,4.9,9.8,1.92,1.34,13.29,2.13,68.9,129.8,,,7.3,9.5,7.6,16.3,80.7,47.6,6.3,2060,4689,2
Marshall Islands,0.180,0.053,294.4,3627,27.8,,,,24.01,,11.7,,,,37.1,,,,,,,,,
Mauritania,1030.700,3.890,3.8,1069,41.4,34.5,1.43,,5.46,20.85,6.2,102.5,,6.5,5.2,34.1,8.7,3.2,61.5,29.4,,,,
Mauritius,2.030,1.259,620.2,9478,60,11.5,1.65,0.69,9.52,2.50,39.0,123.2,1.1,5.0,21.2,10.9,7.5,8.7,74.5,49.0,8.7,,,
Mexico,1943.950,122.332,62.9,10307,21.3,18.8,0.86,,15.38,325.45,43.5,85.8,0.2,5.0,12.6,18.4,4.5,6.4,77.4,48.2,4.8,1560,2092,1
"Micronesia, Fed. Sts.",0.700,0.104,148.6,3054,77.7,23.5,,,17.70,,27.8,30.3,,,36.3,23.5,6.2,4.1,69.0,,,,,
Moldova,32.860,3.559,108.3,2240,55.1,12.2,1.42,0.92,13.41,7.75,48.8,106.0,0.6,,2.5,12.1,14.1,11.4,68.8,43.7,5.6,936,1470,1
Monaco,0.002,0.038,19000.0,,0,,2.23,,18.82,,90.7,93.7,,,5.4,,,,,,,,,
Mongolia,1553.560,2.839,1.8,4056,29.6,22.9,1.29,3.50,10.28,17.50,17.7,124.2,0.1,22.4,7.5,22.7,6.8,3.8,67.5,59.6,8.2,1310,1577,1
Montenegro,13.450,0.621,46.2,7107,36.4,11.8,1.82,,9.84,12.18,56.8,159.9,,,9.8,11.6,10.5,13.1,74.8,52.1,19.6,1900,5747,3
Morocco,446.300,33.008,74.0,3093,40.8,22.6,1.42,10.20,6.04,245.80,56.0,128.5,0.2,5.0,7.9,22.7,6.3,5.0,70.9,27.1,9.0,539,826,1
Mozambique,786.380,25.834,32.9,605,68.3,39.4,1.58,,8.81,11.20,5.4,48.0,10.8,27.9,2.8,38.9,14.1,3.3,50.2,86.1,22.5,415,447,1
Myanmar,653.290,53.259,81.5,,67,17.4,1.04,,1.50,513.25,1.2,12.8,0.6,16.7,6.1,17.2,8.5,5.2,65.1,79.2,,268,110,1
Namibia,823.290,2.303,2.8,5693,55.3,26.4,1.24,,13.86,15.20,13.9,118.4,14.3,37.2,6.9,26.0,7.2,3.5,64.3,56.4,16.7,717,1549,1
Nepal,143.350,27.797,193.9,694,82.1,21.6,1.44,8.92,11.87,157.75,13.3,76.8,0.2,13.0,5.0,21.0,6.7,5.1,68.4,83.0,,383,106,1
Netherlands,33.720,16.804,498.3,50793,10.7,10.5,2.33,3.05,20.67,43.30,94.0,113.7,,,5.0,10.2,8.4,17.0,81.1,74.3,5.3,4638,7036,3
New Caledonia,18.280,0.262,14.3,,30.9,17,,,,,66.0,93.8,,,20.1,17.0,5.1,9.9,77.1,52.1,,,,
New Zealand,263.310,4.442,16.9,41824,13.8,13.8,1.77,2.21,20.46,8.50,82.8,105.8,,,9.9,13.1,6.6,14.0,81.4,72.6,6.9,4144,9444,3
Nicaragua,120.340,6.080,50.5,1851,41.9,23.1,1.23,4.37,20.89,12.00,15.5,112.0,0.2,16.8,12.5,22.7,4.6,4.6,74.8,49.8,,515,522,1
Niger,1266.700,17.831,14.1,415,81.8,49.8,1.12,,10.02,10.70,1.7,39.3,0.4,11.3,4.2,49.7,10.9,2.6,58.4,40.6,,,,
Nigeria,910.770,173.615,190.6,3006,53.9,41.5,0.62,9.78,17.97,162.00,38.0,73.3,3.2,6.4,5.3,41.2,13.2,2.7,52.5,48.5,,721,149,1
Northern Mariana Islands,0.460,0.054,117.4,,10.7,,,,,,,,,,,,,,,,,,,
Norway,365.268,5.080,13.9,100898,20.1,12,2.53,4.16,18.33,25.80,95.1,116.3,,,5.2,11.6,8.1,15.8,81.5,75.8,3.2,5681,23174,3
Oman,309.500,3.632,11.7,21929,23.3,21.3,0.31,44.30,4.77,47.00,66.5,154.6,,,14.5,20.9,2.7,2.8,76.9,30.5,,8356,6292,3
Pacific island small states,64.180,2.280,35.5,3513,63,25.1,,,,,22.9,74.0,,7.4,15.4,24.7,6.1,4.6,69.9,46.1,,,,
Pakistan,770.880,182.143,236.3,1275,62.1,25.7,1.14,18.55,4.73,947.80,10.9,70.1,0.1,21.7,7.9,25.2,6.9,4.4,66.6,25.6,,482,449,1
Palau,0.460,0.021,45.7,11810,14.2,12.7,,,17.97,,,85.8,,,18.5,13.1,11.0,,,,,,,
Panama,74.340,3.864,52.0,11037,34,19.7,1.05,,12.79,12.00,42.9,163.0,0.7,10.6,8.5,19.4,4.9,7.2,77.6,53.2,4.0,1085,1829,1
Papua New Guinea,452.860,7.321,16.2,2105,87,29.3,,,12.60,1.90,6.5,41.0,0.7,,6.3,28.9,7.7,2.9,62.4,71.7,,,,
Paraguay,397.300,6.802,17.1,4265,40.8,23.9,1.74,6.49,7.83,25.45,36.9,103.7,0.4,11.0,7.0,23.7,5.7,5.5,72.3,58.6,4.9,739,1228,1
Peru,1280.000,30.376,23.7,6662,22,20,1.63,7.43,14.75,192.00,39.2,98.1,0.4,8.7,6.5,19.7,5.3,6.4,74.8,69.3,3.6,695,1248,1
Philippines,298.170,98.394,330.0,2765,55.4,24.6,1.25,7.06,8.55,165.50,37.0,104.5,,11.5,6.7,24.4,6.0,3.9,68.7,52.7,7.0,426,647,1
Poland,306.220,38.514,125.8,13654,39.4,10,1.74,5.38,11.08,172.70,62.8,149.1,,,5.6,9.6,10.1,14.4,76.8,60.3,10.1,2629,3832,2
Portugal,91.590,10.457,114.2,21738,37.7,8.5,2.15,4.45,12.90,79.85,62.1,113.0,,,9.6,7.9,10.2,18.8,80.4,70.1,15.5,2187,4848,2
Puerto Rico,8.870,3.615,407.6,28529,6.3,10.6,,,,,73.9,83.6,,,13.0,10.8,8.3,13.9,78.7,41.2,14.5,,,
Qatar,11.610,2.169,186.8,93714,0.9,11.2,0.27,,5.83,11.80,85.3,152.6,,,19.8,11.0,1.4,1.0,78.6,51.8,0.5,17419,15755,3
Romania,230.020,19.981,86.9,9491,45.8,10,1.7,4.10,12.17,151.30,49.8,105.6,0.1,,8.0,8.8,12.4,15.1,74.5,56.9,7.0,1778,2639,3
Russian Federation,16376.870,143.500,8.8,14612,26.1,13.3,0.99,15.26,8.42,1260.00,61.4,152.8,,,5.0,13.2,13.0,13.0,71.1,68.6,5.5,5113,6486,3
Rwanda,24.670,11.777,477.4,639,73.1,35.8,1.73,7.64,22.32,35.00,8.7,56.8,2.9,33.8,6.3,35.2,7.1,2.4,64.0,88.0,3.4,,,
Samoa,2.830,0.190,67.1,4212,80.6,26.8,,,17.00,,15.3,,,5.0,7.6,26.2,5.4,5.1,73.3,25.5,,,,
