news_date,news_title,news_summary
2023-03-06,Former U.S. ambassador to speak at Florida Poly Commencement,"Thomas Dougherty, a former U.S. ambassador and Fulbright leader, was announced as Florida Polytechnic University's 2023 Commencement speaker. He is the Warburg Chair in International Relations at Simmons University in Boston."
2023-02-28,Spring break campus services and closures,"Spring break is here, and students will soon enjoy a restful, weeklong break from class starting on Monday, March 6. Florida Polytechnic University hopes everyone has a safe and fun time and returns to classes on March 13 recharged and ready to tackle the end of the semester."
2023-02-28,Florida Poly researchers developing 3D simulator to enhance surgery training,Bariatric surgeries have become more and more necessary for thousands of people across the country each year who need medical assistance to combat obesity. Two Florida Polytechnic University professors are working on a highly realistic 3D bariatric procedure simulator to help ensure doctors have the best training possible to perform the surgery.
2023-02-21,Florida Poly students shine at international math competition,Thirteen Florida Polytechnic University students recently earned top honors at a well-respected international math modeling competition.
2023-02-16,Florida Poly to grow curriculum with two new bachelor's degrees,Florida Polytechnic University is adding to its engineering strength by launching two new bachelor's degrees for students this fall: civil engineering and industrial engineering.
2023-02-15,Students uncover opportunities at 2023 Spring Career and Internship Fair,Hundreds of Florida Polytechnic University students gathered at the Applied Research Center to explore exciting career options and meet with representatives from some of Florida's most well-known companies at the 2023 Spring Career and Internship Fair.
2023-02-14,Student entrepreneurs get their shot at Startup Pitch Night,"Four teams of Florida Polytechnic University students put their best foot forward at the eMerge Americas and Florida Poly Startup Pitch Night on Monday, Feb. 13."
2023-02-13,Middle schoolers explore the possibilities of STEM at Florida Poly,Florida Polytechnic University hosted the female student body of Academy Prep Center of Lakeland on Feb. 13 to open their eyes to the fields of STEM and show them what's possible if they follow their ambitions.
2023-02-09,Former State Sen. Kelli Stargel joins Florida Polytechnic University,Former state senator and community advocate Kelli Stargel has joined Florida Polytechnic University in a new role designed to help the all-STEM institution broaden its statewide impact.
2023-02-06,Students to get boost in spring career fair prep,"The annual Florida Polytechnic University Spring Career and Internship Fair is just around the corner, but students still have plenty of opportunities to polish their skills and gain an edge as they seek positions with some of the state's most sought-after tech employers."
2023-02-02,Florida Poly kicks off Black History Month with slate of campus events,Students at Florida Polytechnic University will have ample opportunity to commemorate Black History Month throughout February.
2023-02-01,Florida Poly president named to Tampa Bay's list of most impactful business leaders,"Dr. Randy K. Avent, president of Florida Polytechnic University, was recognized as one of the most influential business executives by the Tampa Bay Business Journal. The publication revealed its annual Power 100 list today, acknowledging the business leaders who have generated the biggest impact in the Tampa Bay region."
2023-01-31,Florida Poly student uses 3D printing to help injured turtles,Injured turtles and tortoises throughout Florida now have a stronger chance of survival thanks to Florida Polytechnic University mechanical engineering student Matthew DeCicco.
2023-01-27,Students design VR safety training for nationwide construction management company,"Construction sites can be dangerous places, and Florida Polytechnic University capstone design students are working to make them safer."
2023-01-26,Florida Poly students visit State Capitol to advocate for the University,Nearly a dozen Student Government Association members from Florida Polytechnic University traveled to the State Capitol in Tallahassee this week to meet with legislators and discuss their priorities for both their University and the other universities in the State University System.
2023-01-20,Fulbright Senior Scholar from Australia shares research on true cost of cyberattacks,The Florida Polytechnic University community had the opportunity to learn from Australian Fulbright Senior Scholar Dr. Alex Frino about the true financial costs of cyberattacks for large U.S. companies.
2023-01-18,New analysis shows Florida Poly majors prep grads for top-paying careers,"A recent analysis linking college majors to high-paying careers concluded that technology-driven and engineering positions are among the most immediately lucrative. As the only state institution with an all-STEM curriculum, Florida Polytechnic University is preparing its students to enter the top field on the list, as well as many other high-paying careers listed."
2023-01-11,Solaris is the newly named Florida Poly mascot,More than 100 members of the Florida Polytechnic University community cheered on the unveiling of Solaris as the name of the University's Phoenix mascot.
2023-01-09,Police sergeant puts decades of experience to work at Florida Poly,Florida Polytechnic University Police Sgt. David Last's career has always seen him serve and protect all those around him.
2023-01-04,Florida Poly alum achieves ambition of becoming cybersecurity pro,"Osaki Pokima '20 pursued an education at Florida Polytechnic University to fulfill his goal of working in cybersecurity. Today, he is a senior implementation engineer at Fortress Information Security, based in Orlando, Florida. The company is one of the nation's largest cybersecurity providers of supply chain risk management and asset vulnerability management solutions."
2022-12-30,Wrap up 2022 with these top 10 stories,"So many big things happened for Florida Polytechnic University in 2022. We launched degrees, opened the long-awaited Applied Research Center, and saw the return of a beloved campus tradition. The students, faculty, and staff at Florida Poly worked hard to make possible all of the achievements of the past year. As we look ahead, 2023 is poised to be better than ever."
2022-12-22,Capstone team designs critical planetary rover component for NASA,A senior capstone design team at Florida Polytechnic University worked at a lightning speed throughout the fall semester to design and build an updated shoulder for a marsupial planetary rover.
2022-12-20,"Passionate about aerospace, students design self-correcting rocket engine","Florida Polytechnic University seniors Mac Feilmeier and Austin Rumancik spent the last several weeks of the fall semester designing and building a thrust vectored rocket, or a rocket that self-corrects its direction if it detects any deviation from its planned flightpath."
2022-12-16,5 Florida Poly researchers among world's top scientists,Five researchers from Florida Polytechnic University have been recognized as being among the top 2% of scientists globally on a prestigious annual list compiled by Stanford University. The findings are published in PLOS Biology.
2022-12-13,Winter break campus hours and closures,"The 2022 winter break begins on Saturday, Dec. 17. As Florida Polytechnic University prepares for its winter break, please note the operating hours of some campus services may be affected through the end of the month. The list below outlines the affected services."
2022-12-12,"New physics society offers educational, networking opportunities","Florida Polytechnic University members of Sigma Pi Sigma and the Society of Physics Students are taking advantage of opportunities that expose them to internationally recognized scholars, new research, and specialized educational events."
2022-12-09,Florida Poly powerlifters muscle their way to spring national championship,"Ten members of the Florida Polytechnic University Women's Powerlifting team competed in the USA Powerlifting Collegiate State Championship in Orlando, Florida, on Dec. 3-4. Madison Yonash, the team's captain and coach, and Breanne Menikheim qualified for the national powerlifting championship competition to be held next April in Texas."
2022-12-08,Fulbright Finland pact broadens global opportunities at Florida Poly,Officials from Florida Polytechnic University and the Fulbright Finland Foundation have signed an agreement to provide educational opportunities between the University and Finland.
2022-12-06,Annual police toy drive boosts seasonal cheer in Lakeland and beyond,"Deep into each fall semester, the Florida Polytechnic University Police Department starts preparing for one of its biggest outreach efforts of the year. The department is the mischievous group behind the annual toy drive benefitting children at Lakeland Regional Health Medical Center and a small rural community in Honduras."
2022-12-03,Fall Game Expo spotlights student-created video games,"High school students from across the region flocked to Florida Polytechnic University on Saturday, Dec. 3, to try out student-created video games and learn about education and career paths in computer science during the annual Fall Game EXPO."
2022-11-30,Renowned academic leader joins Florida Poly Board of Trustees,Florida's Board of Governors has appointed Dr. Dave Williams to the Florida Polytechnic University Board of Trustees.
2022-11-21,Thanksgiving holiday campus services and closures,"As the long-awaited holiday weekend draws near, Florida Polytechnic University wishes the entire University community a happy Thanksgiving. Those staying on campus and those leaving to spend the holiday with friends and family should be mindful of the following changes to campus services and closures during the break."
2022-11-21,Alum turns entrepreneur with new video game design studio,"Florida Polytechnic University alum Chris Didier '18 is living out his childhood dreams. His professional life since graduation ushered him into the world of software engineering and development, and he has used this experience to launch his own video game studio."
2022-11-18,"Mauritian student dives into education, cultural acclimation at Florida Poly","Freshman Armaan Teeruth Roy traveled nearly 10,000 miles from home to get a leading STEM education at Florida Polytechnic University. Teeruth Roy is a native of Mauritius, an island nation off the eastern coast of Africa."
2022-11-16,Visiting Fulbright scientist from Spain advances research at Florida Poly,"Dr. Fernando González Fermoso, head scientist of the Spanish Research Council in Spain, is spending nine months at Florida Polytechnic University collaborating on environmental engineering research at the campus."
2022-11-14,"Tabletop Club brings fun, fantasy to Florida Poly students","In a world of magic, dragons, and giants, students at Florida Polytechnic University immerse themselves in a fantasy adventure and band together to reach a common goal. The Tabletop Club invites all Phoenixes with a taste for fun, storytelling, battle, and friendship to join them."
2022-11-10,Proud Florida Poly vet recalls Air Force service,"As a senior airman in the U.S. Air Force, Roquiah Francis saw the reality of military conflict up close and learned the fortitude it takes for one to serve their country."
2022-11-08,Johnson Scholarship helps academic dreams come true,"With the Johnson Scholarship Foundation's financial support and a fervent belief that he can succeed, Florida Polytechnic University senior Graham Gilbert is determined to reach his educational goals."
2022-11-03,Electrical engineering alumna helps create next-generation medical devices,"Chelsea Reeves '19 always had dual passions for engineering and biology. Today, she fulfills both in her position as a product development engineer at Arthrex, a global orthopedic medical device company based in Naples, Florida."
2022-11-02,IFF launches Florida Poly partnership with $125K scholarship and research fund,"IFF (NYSE:IFF) announced a $125,000 gift to Florida Polytechnic University, as both entities laid the foundation for a first-of-its-kind partnership between the University and the Fortune 500 company."
2022-11-01,Florida Poly team on way to fully autonomous golf cart,A project to turn a standard golf cart into an autonomous vehicle has made a huge leap forward at Florida Polytechnic University. The students and faculty have successfully transformed the golf cart into a drive-by-wire vehicle - one that can be controlled by remote control.
2022-10-28,"Industry partnership advances cybersecurity, high-tech career opportunities","Florida Polytechnic University students are gaining insider industry knowledge, improving career readiness, and finding valuable employment opportunities thanks to a partnership with KnowBe4, a global security awareness training and simulated phishing provider based in Clearwater, Florida."
2022-10-27,Florida Poly president selected to prominent list of top influential leaders,"For the fourth consecutive year, Dr. Randy K. Avent, president of Florida Polytechnic University, has been recognized as one of Florida's most influential leaders by Florida Trend magazine. The publication's annual Florida 500 list features the state's top leaders and executives across major industries."
2022-10-25,IFF and Florida Poly celebrate construction of state-of-the-art Global Citrus Innovation Center,"Today in a ceremonial presentation, IFF (NYSE:IFF) and Florida Polytechnic University laid the foundation for the new Citrus Innovation Center, located on the University's campus in Lakeland, Florida. The nearly 30,000-square-foot, standalone building will support global citrus research and development, and will include sensory and experience venues, research labs, processing, analytical departments, a fully equipped citrus garden and amenities for hosting customers and partners."
2022-10-20,Avent appointed to Orlando Economic Partnership board,"Dr. Randy K. Avent, president of Florida Polytechnic University, recently was appointed to the board of Orlando Economic Partnership. The board works to unify community strategies to build a stronger, more prosperous economy for the Central Florida region."
2022-10-19,Transfer students reach for personal success at Florida Poly,Gabriel Pinson's fascination with energy has taken him from a student at Pasco-Hernando State College to an oil and gas employee in Wyoming to his current role as a mechanical engineering student at Florida Polytechnic University.
2022-10-18,"Florida Poly Foundation Board adds members with industry, University insight","The Florida Polytechnic University Foundation's Board of Directors has welcomed the appointment of four members with expertise in engineering, information technology, law, and the University itself."
2022-10-14,Students and employers connect at Fall Career and Internship Fair,"Companies from all over the state looking for high-skilled interns and employees descended on Florida Polytechnic University's new Applied Research Center on Thursday, Oct. 13, for the annual Fall Career and Internship Fair."
2022-10-11,Esteemed attorney named new Florida Poly VP and general counsel,Longtime attorney and higher education leader David Fugett has been named vice president and general counsel at Florida Polytechnic University. Fugett joins Florida Poly with more than 25 years of experience in law and a distinguished record of serving his community.
2022-10-10,"Compassion, purpose fuel campus worker's calling to help","As a maintenance technician, Jorge Velazquez is proud of his hard work helping to keep the Florida Polytechnic University campus running smoothly. But it's his volunteer work during evenings and weekends to help an impoverished community in Honduras that inspires and motivates him to keep pushing forward."
2022-10-05,LASA leadership helps Hispanic students thrive,"Empowered by his family's commitment to his academic success, Moisés Muñoz is leading Florida Polytechnic University's Latin American Studies Association (LASA) toward a bright future distinguished by a thriving campuswide culture of diversity."
2022-10-04,Alumna building impressive career with EA,"Just three years out of college, one Florida Polytechnic University alum is thriving in an exciting career with international video game powerhouse Electronic Arts (EA)."
2022-09-22,"Public safety officer keeps a watchful, helpful eye on campus","John Lane always has a smile, directions, or a quick golf cart ride ready to help students, employees, and visitors to the Florida Polytechnic University campus in Lakeland, Florida. He also has specialized gear that helps him rid busy sections of campus of the occasional unwanted visitor, like alligators, snakes, and other wildlife."
2022-09-21,Phoenix Family Day welcomes students' loved ones to get to know Florida Poly,"Families of Florida Polytechnic University students will join their Phoenixes on campus for a day of exploration, bonding, and fun during the annual Phoenix Family Day on Saturday, Sept. 24."
2022-09-19,Florida Poly offers powerful coding credential to freshmen from day one,"Select freshmen at Florida Polytechnic University can start learning valuable coding and programming skills from their first day of enrollment, thanks to a unique program designed to prepare them early for high-skill, high-wage internships and then careers in the tech industry."
2022-09-15,Math major connects to Colombian roots through music,"Florida Polytechnic University student Andrew Franz Pulido often attracts attention from students, faculty, and staff as he practices his unusual instrument - a Hohner diatonic accordion -- at the University's Oak Grove or outside the Wellness Center."
2022-09-12,US News: Florida Poly ranked #1 public college in the region for 2nd straight year,"For second year in a row, Florida Polytechnic University is ranked the No. 1 public college by U.S. News and World Report in the Southern region of the United States. In its 2022-2023 Best Colleges list, the University also ranked third among all top colleges in the region - both public and private."
2022-09-02,Data Science & Business Analytics charge ahead at Florida Poly,"The Department of Data Science and Business Analytics at Florida Polytechnic University has focused on cultivating a tech-forward, industry-leading program since its inception in 2014. The department's stature in the academic world has grown steadily, positioning it to attract standout faculty, conduct innovative research, and host prominent conferences."
2022-09-01,Florida Poly boosts global impact with Fulbright Italy agreement,Florida Polytechnic University leaders have solidified an agreement with the U.S-Italy Fulbright Commission to provide educational opportunities between the University and Italy.
2022-08-26,Club Row drives student connections and involvement,"The Nest was transformed into a club-recruiting mecca on Thursday, Aug. 25 at Club Row, a large, student-run event that provides a platform for student organizations to share what they do and recruit new members at the start of each semester."
2022-08-26,Students ignite fall semester fun at Purple Fire Week,"A fun week of events designed to build camaraderie, community, and school spirit has welcomed students to Florida Polytechnic University for the fall semester."
2022-08-24,New class of Alexander Scholars celebrated at Florida Poly,"A group of Florida Polytechnic University's brightest and most promising students was recognized on Monday, Aug. 22, at the Inaugural Alexander Scholars Luncheon."
2022-08-23,Florida Poly welcomes standout incoming class,The new class of freshmen beginning their studies at Florida Polytechnic University this fall is more well-rounded and academically advanced than any class in the school's history.
2022-08-22,New Phoenixes arrive on campus ready to soar,"Hundreds of new Florida Polytechnic University students began arriving on campus on Friday, Aug. 19, to settle int and get to know their new home for the next four years."
2022-08-18,Florida Poly's new state-of-the-art research building opens its doors,"Florida Polytechnic University today unveiled its new Applied Research Center, a cutting-edge facility that will strengthen Florida Poly's position as a premier STEM institution and an engine for economic development. The $47 million building substantially expands the University's research capabilities and will be instrumental to Florida Poly's mission to serve students and industry through excellence in education, discovery, and application of engineering and applied sciences."
2022-08-17,New SGA president charges toward promising academic year,"Florida Polytechnic University junior Melia Rodriguez is more excited than most about the first day of the fall semester. As the new Student Government Association (SGA) president, she is ready to lead and to work hard to support the entire student body."
2022-08-16,Graduate student embraces innovation at prestigious NASA internship,"Alex Perera '21 has spent the summer learning and working in a prestigious internship at NASA's Jet Propulsion Laboratory, based at California Institute of Technology in Pasadena, California."
2022-08-12,Competitive X-Force fellowship provides boost to two Florida Poly students,Two Florida Polytechnic University students seized a once-in-a-lifetime opportunity this summer to join the National Security Innovation Network's (NSIN) 2022 cohort of X-Force fellows. The program is sponsored by the Department of Defense.
2022-08-09,Lockheed Martin internship sets Phoenix up for career success,Working at Lockheed Martin this summer as a college student technical specialist is opening doors of opportunity for Grayson Dannecker that may shape the rest of his career.
2022-08-05,Alum testing his engineering mettle at John Deere,Florida Polytechnic University alumnus Dorian Gray '20 works hard to ensure the tractors and other equipment produced by global manufacturing company John Deere are correct and adhere to quality standards.
2022-07-29,Internship opens Phoenix's eyes to world of software development,The opportunity to see how software development happens on a large scale was something Florida Polytechnic University rising senior Justine Kenji Dela Cruz was thrilled to take on.
2022-07-26,Talented international Fulbright cohort ready to work at Florida Poly,Outstanding international students and researchers are slated to arrive at Florida Polytechnic University in the 2022-2023 academic year to pursue their academic goals and advance research at the University as part of the United States' Fulbright Program. A Florida Poly student and assistant professor also will travel abroad as part of the program.
2022-07-21,Iconic Florida Poly building featured on international TV show,"The jaw-dropping Innovation, Science, and Technology Building at Florida Polytechnic University is featured on the latest episode of the international TV show ""How Did They Build That?"" on the Smithsonian Channel."
2022-07-18,Coca-Cola internship offers window to mechanical engineering opportunities,"Mechanical engineering major Sam Morrison is learning the process of Coca-Cola's supply chain inside out during a summer internship at the soft drink company's bottling and distribution facilities in Tampa, Florida."
2022-07-14,Professor's app to create one of the largest 3D facial scan libraries,"Dr. Oguzhan Topsakal, assistant professor of computer science at Florida Polytechnic University, has developed a cutting-edge, easy-to-use iOS app to collect detailed 3D facial scans. He aims to create one of the largest 3D facial scan libraries in the world."
2022-07-12,Publix opportunity paves way for promising analytics career,Senior Magelee Delgado is spending her summer maximizing a remarkable career opportunity that could define her professional future.
2022-07-05,Alum keeps supply chains running smoothly for South Florida company,"The work Greg Dills '18, '21 does as a senior data analyst for Ryder System, Inc. helps keep the Miami, Florida, company's transportation systems humming around the country."
2022-06-28,"Industry leader committed to teaching, inspiring students","Amy Augustyniak, a senior manager of supply chain analytics at Saddle Creek Logistics Services, works hard to help ensure the company's warehouses run smoothly."
2022-06-23,Professor recognized with prestigious industrial engineering fellow award,"Dr. Grisselle Centeno, a professor at Florida Polytechnic University, recently was inducted as a Fellow of the Institute of Industrial and Systems Engineers (IISE). The award is the highest classification of membership in IISE. It recognizes outstanding leaders of the profession that have made significant, nationally recognized contributions to industrial engineering."
2022-06-20,Florida Poly expands European footprint with presidential visit to Spain,"Dr. Randy K. Avent, president of Florida Polytechnic University, strengthened European ties and shared the University's approach to producing career-ready STEM graduates in a visit to Spain that concluded on Monday, June 20."
2022-06-14,Alum working to transform future of aquatic physical therapy,Florida Polytechnic University alumnus Abu Bony Amin '20 is working on research that could improve the assessment of aquatic physical therapy for patients with balance difficulties.
2022-06-09,New class of Presidential Ambassadors ready to work,"When Ahna Cecil was a freshman at Florida Polytechnic University, the data science major discovered a group of students who were polished, successful, and driven to support and represent their University. She was inspired to join them."
2022-06-08,Florida Poly to help improve access to high-speed internet in Polk County,"Researchers at Florida Polytechnic University are working to help close the gaps in broadband connectivity in Polk County through a $250,000 feasibility study recently approved by the Polk County Board of County Commissioners."
2022-06-01,Are you ready for hurricane season?,Forecasters predict a bustling 2022 Atlantic hurricane season. The season began June 1 and ends on Nov. 30. Florida Polytechnic University urges its students and employees to take early actions to prepare for possible storm impacts.
2022-05-31,"Brazilian university leaders learn innovation, technology trends at Florida Poly","Presidents, provosts, and other leaders from universities throughout Brazil visited Florida Polytechnic University on Friday, May 27, as part of an international mission to learn from some of the United States' best higher education institutions."
2022-05-26,Corporate Impact Network connects businesses to Florida Poly talent,Businesses that are part of Florida's high-tech surge and want to support the emerging generation of technological leaders are connecting directly to Florida Polytechnic University's valuable base of student and faculty knowledge through its Corporate Impact Network.
2022-05-23,"Florida Poly, Fulbright alum electrifies career as FCC engineer","As an electronics engineer for the Federal Communications Commission (FCC), Bobby Acacio '20 is living out his professional dreams."
2022-05-18,Sophomore balances entrepreneurship aspirations and life as an aerialist,"When Maggie Julian gets in a twist about complex assignments in her applied mathematics major, the Florida Polytechnic University student knows the perfect way to unwind and refocus her mind."
2022-05-17,Florida Poly launches two new master's degree programs,Florida Polytechnic University is introducing two new Master of Science degrees this fall in data science and engineering management. The two leading-edge graduate programs were created in response to growing University enrollment and high industry demand.
2022-05-10,"Phoenix escorts Vietnam veteran aboard Honor Flight to Washington, D.C.","Thomas Risalvato is driven to help people whenever he can. The rising senior at Florida Polytechnic University recently jumped at the opportunity to help in a unique way by serving as a guardian aboard a Flight to Honor trip to Washington, D.C."
2022-05-08,Florida Poly celebrates hundreds of in-demand grads at 2022 commencement,"More than 220 Florida Polytechnic University graduates celebrated the completion of their high-demand STEM degrees on Sunday, May 8, at the University's 2022 commencement ceremony."
2022-05-05,Q&A: Journey of curiosity and growth sets bright tech future for Ritchel Calvaire,"Ritchel Calvaire '22 receives his bachelor's degree in computer engineering on Sunday, May 8. The achievement is one that marks four years of exploration, development, and self-realization at Florida Polytechnic University."
2022-05-04,The Force guides Florida Poly students inspired by the Jedi way,"While members of the Force Institute may regularly train with their lightsabers on campus, their focus isn't solely on the wildly successful Star Wars galaxy of media."
2022-05-02,Engineering students earn awards at prestigious statewide science conference,Three Florida Polytechnic University graduate students pursing master's degrees in engineering recently took home top honors for their research at the Florida Academy of Sciences 85th Annual Meeting. All three students are on the mechanical engineering degree track.
2022-04-28,Capstone event showcases high-tech student projects,"Teams of Florida Polytechnic University seniors showed off their hard work on industry-sponsored, tech-focused projects at the annual Capstone Design Showcase on Wednesday, April 27."
2022-04-27,"Q&A: Grad launches engineering career with optimism, Olympic dreams","Bruce Hicks '22 will receive his bachelor's degree in electrical engineering from Florida Polytechnic University on May 8. The student from Eustis, Florida, is an accomplished archer with his sights set on competing in the 2028 Olympics."
2022-04-26,Spring Game Expo draws hundreds to try newest student video games,"Video game players went head-to-head in fun competitions at Florida Polytechnic University on Saturday, April 23, at the annual Spring Game Expo."
2022-04-25,Gary C. Wendt donates $2 million for new leadership initiatives at Florida Poly,Florida Polytechnic University announced a $2 million gift from Trustee Gary C. Wendt to support the creation of new leadership initiatives for students.
2022-04-21,Phoenix aspirations take flight at Kennedy Space Center,Nearly 100 Florida Polytechnic University students recently seized a unique opportunity to visit Kennedy Space Center to engage with aerospace leaders and explore high-tech employment opportunities.
2022-04-20,Q&A: Leadership and grit propel first-generation grad to success,"Vanessa Townsend '22 has never shied away from an opportunity to learn, grow, or lead. She will receive her bachelor's degree in mechanical engineering with a concentration in aerospace from Florida Polytechnic University on May 8."
2022-04-14,Florida Poly honors exemplary employees at 2022 Ablaze awards,"Outstanding faculty and staff members at Florida Polytechnic University were recognized on Wednesday, April 13, during the University's fifth annual Ablaze awards ceremony. The event shines a spotlight on the dedication, work, and successes of faculty and staff members and their many contributions to Florida Poly."
2022-04-13,Q&A: Everything's going according to plan for computer engineering grad,"When Javier Lozada '22 receives his bachelor's degree in computer engineering with a concentration in embedded systems design from Florida Polytechnic University on May 8, the talented student will be ready to step into a job as a software engineer at L3 Harris Technologies."
2022-04-12,"Freshman gets to work inside, outside the classroom",Students who head to the Student Development Center (SDC) for a workout are likely to encounter Natasha Gattas' smiling face welcoming them.
2022-04-06,"Q&A: Smashing stereotypes and hitting goals, Hailey Skoglund is ready to make a difference","When Hailey Skoglund '22 arrived at Florida Polytechnic University, she made the decision to embrace everything the University had to offer. "
2022-04-05,Innovative research creates virtual reality tool to help doctors in training,"Dr. Doga Demirel, assistant chair of Florida Polytechnic University's Computer Science Department, is creating a leading-edge virtual reality tool to help doctors learn critical medical procedures commonly performed in emergency rooms, during surgery, and in other medical scenarios."
2022-03-31,Florida Poly expands athletics with new archery range on campus,"Just weeks before his graduation with a bachelor's degree in electrical engineering, Florida Polytechnic University student Bruce Hicks is excited to see his vision for a campus archery range come to fruition."
2022-03-29,Bottorff joins Florida Poly as VP of administration and finance,Dr. Allen Bottorff has joined Florida Polytechnic University as the new vice president of administration and finance.
2022-03-24,"NSF grant funds research at Florida Poly to develop reliable, energy efficient electronic devices",Developing error-resilient and highly energy efficient computing platforms for ultra-low power applications will be the focus of a new research at Florida Polytechnic University funded by a grant from the National Science Foundation (NSF).
2022-03-22,Florida Poly graduates earn highest salaries among all public colleges in Florida,"Florida Polytechnic University graduates earn an average salary of $57,900 one year after graduation, the highest among all state universities, according to the State University System of Florida's MyFloridaFuture educational research and comparison tool."
2022-03-21,Students Give a Saturday to help others in need,"For Florida Polytechnic University junior Pressley Hendrix, volunteering and helping has always been second nature."
2022-03-17,Robotics teams take on challengers throughout Florida and the nation,Combat and VEX U robotics teams representing Florida Polytechnic University have kicked off the spring competition season with strong showings against their opponents.
2022-03-16,"Florida PolyCon brings geeky, comic fun back to Lakeland","Florida Polytechnic University's unique daylong celebration of comics, anime, videogames, movies, and all things geek returns to the Lakeland, Florida on Saturday, March 19."
2022-03-15,Florida Poly receives $2.05 million infusion during inaugural Giving Day,"More than $2 million was raised to support Florida Polytechnic University scholarships, academic departments, and student organizations during the University's inaugural Giving Day on Monday, March 14."
2022-03-11,Female leaders lauded at annual Women in STEM Awards,"Three women who carved their place in male-dominated STEM fields such as engineering, data science, and technology were recognized at Florida Polytechnic University's annual Women in STEM Awards luncheon on Thursday, March 10."
2022-03-09,Autonomous vehicles inspire leaders at international conference hosted by Florida Poly,Global leaders in connected and autonomous vehicle (CAV) research and industry gathered at Florida Polytechnic University to discuss developments in the technology and the future of self-driving cars during the annual Institute of Electrical and Electronics Engineers (IEEE) International Conference on Connected Vehicles.
2022-03-08,Canadian scholar advances energy research as visiting Fulbright Chair,"Dr. Jing Jiang, a visiting Fulbright Canada Research Chair from the University of Western Ontario in London, Ontario, Canada, is partnering with Dr. Hisham Mahmood, assistant professor of electrical engineering at Florida Polytechnic University, to research new ways to improve the country's power system resilience."
2022-03-07,Capstone team designs microgravity simulation device for Florida Space Institute,A team of Florida Polytechnic University capstone students is designing a device that will help engineers at Florida Space Institute and the Hawking Center for Microgravity Research effectively perform microgravity simulations.
2022-03-03,Spring break campus services and closures,"Students will enjoy a much-deserved weeklong break from class starting on Monday, March 7 as spring break begins. We hope you have a safe and fun time and return to classes on March 14 recharged and ready to tackle the end of the semester."
2022-03-03,"Global AV technology leader shares insight on industry challenges, rewards, and female encouragement","Connected and autonomous vehicle technology experts will gather at Florida Polytechnic University on March 7-9 for the annual Institute of Electrical and Electronics Engineers (IEEE) International Conference on Connected Vehicles. Among the industry leaders who will share their expertise in this quickly evolving field is Mary Joyce, global vice president and general manager of critical systems and mobility at UL, the global safety science leader."
2022-03-02,Disney shares magical opportunities with Florida Poly students,"Michael Tschanz, director of engineering technology and analysis at Walt Disney World, shared with Florida Polytechnic University students the many ways they can put their technical expertise to work in a career with Disney."
2022-03-02,Global tech visionary to speak at Florida Poly's 2022 commencement,"The Honorable Zachary J. Lemnios, a renowned thought leader in electrical engineering, former assistant secretary of defense, and former vice president of IBM Research, has been named speaker for Florida Polytechnic University's spring 2022 commencement."
