Bill,Tip,Credit,Guests,Day,Server,PctTip
23.38,4,n,2,th,B,17.1
21.03,3,n,2,w,B,14.3
26.80,2.2,n,2,w,B,8.2
28.36,5.2,n,1,th,B,18.3
18.73,2.27,n,2,th,B,12.1
50.24,9.76,y,2,w,C,19.4
12.31,1.9,n,2,w,B,15.4
28.84,5.16,n,2,w,B,17.9
19.42,3,n,2,w,B,15.4
18.62,2.79,y,3,w,A,15
10.17,2,n,1,w,A,19.7
18.62,3.35,y,2,t,A,18
57.30,10,n,7,t,C,17.5
25.63,5,n,2,w,B,19.5
39.75,7.25,y,2,w,A,18.2
1.66,0.25,n,1,w,A,15.1
9.52,1,n,1,w,A,10.5
11.18,2,y,2,t,A,17.9
18.83,2.8,n,2,m,B,14.9
17.82,2.75,n,2,m,B,15.4
35.95,6.05,y,3,m,B,16.8
23.97,4,n,2,m,B,16.7
27.45,4,y,3,m,B,14.6
27.66,4.16,y,2,t,C,15
27.82,4.71,n,3,th,B,16.9
19.53,8,n,2,t,A,41
11.18,1.82,y,2,t,A,16.3
11.93,2,n,1,t,A,16.8
18.67,3.33,y,2,t,A,17.8
28.36,5.44,n,3,w,A,19.2
18.14,4,n,3,w,C,22.1
20.22,4.37,n,2,w,A,21.6
11.66,1.5,n,1,w,A,12.9
17.82,3.18,y,2,w,C,17.8
18.62,2.38,y,2,w,C,12.8
3.26,0.74,n,2,w,C,22.7
23.91,4,n,2,w,A,16.7
15.25,2.75,y,2,w,A,18
7.44,1.56,n,1,w,B,21
11.72,2.28,y,1,w,A,19.5
8.40,1.6,y,1,w,A,19
17.44,2,n,2,w,A,11.5
12.52,1.5,n,1,w,B,12
14.34,2,n,2,w,B,13.9
30.60,5,y,2,w,B,16.3
18.08,2,n,2,w,A,11.1
16.48,3,n,2,m,B,18.2
24.50,3.5,y,2,t,A,14.3
17.12,3.72,n,2,t,A,21.7
6.69,1,n,1,m,B,14.9
16.26,2.43,n,2,w,B,14.9
13.86,1.14,n,1,t,C,8.2
30.98,4.02,y,4,t,C,13
18.40,2.75,n,2,m,B,14.9
16.80,2.2,y,2,m,B,13.1
3.75,0.25,n,2,m,B,6.7
32.69,5,n,2,m,B,15.3
35.68,5,n,3,m,B,14
9.84,2.16,y,1,m,B,22
14.23,2.15,n,2,w,B,15.1
29.85,4.15,y,2,w,A,13.9
20.76,3,n,2,m,B,14.5
24.82,4.4,n,2,m,B,17.7
15.62,2.81,n,2,th,B,18
31.30,5.7,y,3,m,B,18.2
12.57,2,n,3,m,B,15.9
14.87,3.13,n,2,m,B,21
51.68,10,y,6,m,B,19.3
17.12,2.5,n,2,m,B,14.6
